3072-2019-07-14_Fete_Romande2-ST

1a;Aeschbacher Matthias;**;;;;;;;;;58.25
+;;;Duplan Steve;**;;;;;;;9.75
-;2;9.75;Giger Samuel;***;5;57.0;2;9.75;0;0.0;8.75
+;6;18.5;Riedo Fredy;*;9;56.0;4;19.0;-2;0.5;10.0
+;4;28.5;Brodard Augustin;**;8;56.25;3;28.75;-1;0.25;9.75
+;3;38.25;Haenni Stéphane;**;12;55.25;4;38.0;1;-0.25;10.0
+;1;48.25;Kramer Lario;**;5;57.0;1;48.25;0;0.0;10.0

2a;Matthey Mickaël;**;;;;;;;;;58.0
o;;;Müllestein Mike;***;;;;;;;8.5
+;5;8.5;Chofflon Anthony;;17;54.0;1;10.0;-4;1.5;10.0
+;6;18.5;Kramer Dorian;*;13;55.0;4;19.0;-2;0.5;9.75
+;5;28.25;Monney Branighan;;15;54.5;5;28.25;0;0.0;10.0
+;3;38.25;Wicki Joel;**;3;57.75;1;39.5;-2;1.25;9.75
+;2;48.0;Riedo Fredy;*;9;56.0;5;47.25;3;-0.75;10.0

3a;Wicki Joel;**;;;;;;;;;57.75
+;;;Kramer Lario;**;;;;;;;10.0
+;1;10.0;Räbmatter Patrick;***;5;57.0;2;9.75;1;-0.25;9.75
+;2;19.75;Collaud Romain (2002);*;9;56.0;1;20.0;-1;0.25;9.75
+;1;29.5;Schneider Mario;**;7;56.5;2;29.25;1;-0.25;10.0
o;1;39.5;Matthey Mickaël;**;2;58.0;3;38.25;2;-1.25;8.5
+;2;48.0;Schmid David;***;8;56.25;3;47.75;1;-0.25;9.75

4a;Gapany Benjamin;**;;;;;;;;;57.5
o;;;Giger Samuel;***;;;;;;;8.5
+;5;8.5;Grossenbacher Simon (2002);*;14;54.75;1;10.0;-4;1.5;10.0
+;6;18.5;Dubey Gaël;*;13;55.0;6;18.5;0;0.0;10.0
+;4;28.5;Rossy Yannick;*;11;55.5;4;28.5;0;0.0;10.0
-;2;38.5;Schenk Patrick;***;5;57.0;3;38.25;1;-0.25;9.0
+;4;47.5;Grossenbacher Marc;;11;55.5;6;47.0;2;-0.5;10.0

5a;Kramer Lario;**;;;;;;;;;57.0
o;;;Wicki Joel;**;;;;;;;8.5
+;5;8.5;Ducry Antoine;**;26;46.75;1;10.0;-4;1.5;10.0
+;6;18.5;Buchs Carlo;*;15;54.5;6;18.5;0;0.0;10.0
+;4;28.5;Gottofrey Luc;*;14;54.75;4;28.5;0;0.0;9.75
+;3;38.25;Müllestein Mike;***;6;56.75;2;38.5;-1;0.25;10.0
o;1;48.25;Aeschbacher Matthias;**;1;58.25;1;48.25;0;0.0;8.75

5b;Giger Samuel;***;;;;;;;;;57.0
+;;;Gapany Benjamin;**;;;;;;;9.75
-;2;9.75;Aeschbacher Matthias;**;1;58.25;2;9.75;0;0.0;8.75
-;6;18.5;Ledermann Michael;*;9;56.0;5;18.75;-1;0.25;9.0
+;7;27.5;Minder Florian;**;7;56.5;4;28.5;-3;1.0;9.75
+;7;37.25;Balimann Sandro (2001);*;12;55.25;3;38.25;-4;1.0;10.0
+;5;47.25;Dind Samuel;**;12;55.25;7;46.75;2;-0.5;9.75

5c;Räbmatter Patrick;***;;;;;;;;;57.0
+;;;Piemontesi Pascal;**;;;;;;;9.75
o;2;9.75;Wicki Joel;**;3;57.75;1;10.0;-1;0.25;8.5
+;7;18.25;Dind Samuel;**;12;55.25;6;18.5;-1;0.25;10.0
+;5;28.25;Borcard Johann;**;8;56.25;5;28.25;0;0.0;10.0
+;3;38.25;Duplan Steve;**;7;56.5;3;38.25;0;0.0;10.0
-;1;48.25;Schneider Mario;**;7;56.5;3;47.75;2;-0.5;8.75

5d;Schenk Patrick;***;;;;;;;;;57.0
-;;;Gottofrey Marc;**;;;;;;;8.75
+;4;8.75;Haenni Stéphane;**;12;55.25;1;10.0;-3;1.25;9.75
+;6;18.5;Colò Kilian;**;13;55.0;4;19.0;-2;0.5;10.0
+;4;28.5;Mollet Ivan;*;6;56.75;4;28.5;0;0.0;9.75
-;3;38.25;Gapany Benjamin;**;4;57.5;2;38.5;-1;0.25;9.0
+;5;47.25;Hayoz Quentin;*;12;55.25;7;46.75;2;-0.5;9.75

6a;Mollet Ivan;*;;;;;;;;;56.75
+;;;Buchs Carlo;*;;;;;;;10.0
-;1;10.0;Rapin Florent;*;9;56.0;1;10.0;0;0.0;8.75
+;5;18.75;Vaucher Rémy;;14;54.75;4;19.0;-1;0.25;9.75
o;4;28.5;Schenk Patrick;***;5;57.0;4;28.5;0;0.0;8.5
+;8;37.0;Pürro David (2001);;11;55.5;7;37.25;-1;0.25;10.0
+;6;47.0;Balimann Sandro (2001);*;12;55.25;7;46.75;1;-0.25;9.75

6b;Müllestein Mike;***;;;;;;;;;56.75
+;;;Matthey Mickaël;**;;;;;;;9.75
+;2;9.75;Kropf Rolf;**;10;55.75;2;9.75;0;0.0;10.0
-;2;19.75;Schmid David;***;8;56.25;3;19.5;1;-0.25;8.75
+;4;28.5;Rapin Florent;*;9;56.0;4;28.5;0;0.0;10.0
o;2;38.5;Kramer Lario;**;5;57.0;3;38.25;1;-0.25;8.5
+;6;47.0;Gottofrey Marc;**;9;56.0;5;47.25;-1;0.25;9.75

7a;Duplan Steve;**;;;;;;;;;56.5
o;;;Aeschbacher Matthias;**;;;;;;;8.5
+;5;8.5;Minder Florian;**;7;56.5;1;10.0;-4;1.5;9.75
+;7;18.25;Baeriswyl Christoph (2002);;12;55.25;3;19.5;-4;1.25;10.0
+;5;28.25;Wieland Micha;;12;55.25;5;28.25;0;0.0;10.0
o;3;38.25;Räbmatter Patrick;***;5;57.0;3;38.25;0;0.0;8.5
+;7;46.75;Kramer Dorian;*;13;55.0;8;46.5;1;-0.25;9.75

7b;Schneider Mario;**;;;;;;;;;56.5
+;;;Roch Vincent;**;;;;;;;9.75
+;2;9.75;Borcard Johann;**;8;56.25;2;9.75;0;0.0;9.75
+;3;19.5;Hayoz Quentin;*;12;55.25;3;19.5;0;0.0;9.75
o;2;29.25;Wicki Joel;**;3;57.75;1;29.5;-1;0.25;8.5
+;5;37.75;Crettaz Olivier;*;12;55.25;3;38.25;-2;0.5;10.0
-;3;47.75;Räbmatter Patrick;***;5;57.0;1;48.25;-2;0.5;8.75

7c;Minder Florian;**;;;;;;;;;56.5
+;;;Rossy Yannick;*;;;;;;;10.0
o;1;10.0;Duplan Steve;**;7;56.5;5;8.5;4;-1.5;8.5
+;6;18.5;Merz Sascha (2002);;17;54.0;6;18.5;0;0.0;10.0
o;4;28.5;Giger Samuel;***;5;57.0;7;27.5;3;-1.0;8.5
+;8;37.0;Portmann Fabio;;15;54.5;8;37.0;0;0.0;9.75
+;7;46.75;Crettaz Olivier;*;12;55.25;7;46.75;0;0.0;9.75

7d;Roch Vincent;**;;;;;;;;;56.5
o;;;Schneider Mario;**;;;;;;;8.5
+;5;8.5;Dorsaz Théo;;10;55.75;1;10.0;-4;1.5;9.75
+;7;18.25;Lerch Jimmy;*;10;55.75;6;18.5;-1;0.25;9.75
+;6;28.0;Schönenberger Leo (2002);;13;55.0;6;28.0;0;0.0;10.0
o;4;38.0;Schmid David;***;8;56.25;4;38.0;0;0.0;8.5
+;8;46.5;Dubey Gaël;*;13;55.0;8;46.5;0;0.0;10.0

8a;Schmid David;***;;;;;;;;;56.25
+;;;Brodard Augustin;**;;;;;;;9.75
+;2;9.75;Balimann Sandro (2001);*;12;55.25;1;10.0;-1;0.25;9.75
-;3;19.5;Müllestein Mike;***;6;56.75;2;19.75;-1;0.25;8.75
+;5;28.25;Ducry Antoine;**;26;46.75;5;28.25;0;0.0;9.75
+;4;38.0;Roch Vincent;**;7;56.5;4;38.0;0;0.0;9.75
o;3;47.75;Wicki Joel;**;3;57.75;2;48.0;-1;0.25;8.5

8b;Borcard Johann;**;;;;;;;;;56.25
+;;;Parvex Yannick;*;;;;;;;9.75
o;2;9.75;Schneider Mario;**;7;56.5;2;9.75;0;0.0;8.5
+;7;18.25;Grossenbacher Marc;;11;55.5;6;18.5;-1;0.25;10.0
o;5;28.25;Räbmatter Patrick;***;5;57.0;5;28.25;0;0.0;8.5
+;9;36.75;Dind Clément;;15;54.5;6;37.5;-3;0.75;9.75
+;8;46.5;Colò Kilian;**;13;55.0;8;46.5;0;0.0;9.75

8c;Brodard Augustin;**;;;;;;;;;56.25
o;;;Schmid David;***;;;;;;;8.75
+;4;8.75;Schläfli Hugo (2002);;17;54.0;1;10.0;-3;1.25;10.0
+;5;18.75;Emonet Fabien;**;12;55.25;6;18.5;1;-0.25;10.0
o;3;28.75;Aeschbacher Matthias;**;1;58.25;4;28.5;1;-0.25;8.5
+;7;37.25;Zbinden Jvan (2001);;16;54.25;8;37.0;1;-0.25;10.0
-;5;47.25;Rapin Florent;*;9;56.0;6;47.0;1;-0.25;9.0

9a;Ledermann Michael;*;;;;;;;;;56.0
-;;;Gottofrey Luc;*;;;;;;;8.75
+;4;8.75;Wieland Micha;;12;55.25;1;10.0;-3;1.25;10.0
-;5;18.75;Giger Samuel;***;5;57.0;6;18.5;1;-0.25;8.75
+;7;27.5;Clément Aurélien (2003);;12;55.25;5;28.25;-2;0.75;9.75
+;7;37.25;Emonet Fabien;**;12;55.25;8;37.0;1;-0.25;9.75
-;6;47.0;Loup Grégoire;;10;55.75;6;47.0;0;0.0;9.0

9b;Turin Antoine (2001);;;;;;;;;;56.0
+;;;Fankhauser Yanik (2002);;;;;;;;9.75
+;2;9.75;Cotting Alexandre;;28;25.5;5;8.5;3;-1.25;9.75
o;3;19.5;Rapin Florent;*;9;56.0;5;18.75;2;-0.75;8.5
o;6;28.0;Kramer Dorian;*;13;55.0;7;27.5;1;-0.5;8.5
+;10;36.5;Kolly Elmar (2002);;18;53.75;9;36.75;-1;0.25;9.75
+;9;46.25;Borcard Clovis;*;16;54.25;11;45.75;2;-0.5;9.75

9c;Rapin Florent;*;;;;;;;;;56.0
+;;;Emonet Fabien;**;;;;;;;10.0
-;1;10.0;Mollet Ivan;*;6;56.75;1;10.0;0;0.0;8.75
+;5;18.75;Turin Antoine (2001);;9;56.0;3;19.5;-2;0.75;9.75
o;4;28.5;Müllestein Mike;***;6;56.75;4;28.5;0;0.0;8.5
+;8;37.0;Fankhauser Yanik (2002);;16;54.25;8;37.0;0;0.0;10.0
-;6;47.0;Brodard Augustin;**;8;56.25;5;47.25;-1;0.25;9.0

9d;Gottofrey Marc;**;;;;;;;;;56.0
-;;;Schenk Patrick;***;;;;;;;8.75
+;4;8.75;Nager Yannick;;12;55.25;2;9.75;-2;1.0;10.0
+;5;18.75;Schöpfer Dio;**;13;55.0;5;18.75;0;0.0;9.75
+;4;28.5;Cotting Florian;*;10;55.75;4;28.5;0;0.0;9.75
-;3;38.25;Collaud Romain (2002);*;9;56.0;2;38.5;-1;0.25;9.0
o;5;47.25;Müllestein Mike;***;6;56.75;6;47.0;1;-0.25;8.75

9e;Sturny Nicolas;;;;;;;;;;56.0
o;;;Dind Clément;;;;;;;;8.5
+;5;8.5;Schönenberger Leo (2002);;13;55.0;2;9.75;-3;1.25;9.75
-;7;18.25;Kropf Rolf;**;10;55.75;7;18.25;0;0.0;9.0
-;8;27.25;Dorsaz Théo;;10;55.75;8;27.25;0;0.0;8.75
+;12;36.0;Gueissaz Léonard (2003);;12;55.25;9;36.75;-3;0.75;10.0
+;10;46.0;Fankhauser Hans (2001);*;18;53.75;13;45.25;3;-0.75;10.0

9f;Riedo Fredy;*;;;;;;;;;56.0
-;;;Loup Alexandre;*;;;;;;;9.0
+;3;9.0;Golliard Steve;;17;54.0;1;10.0;-2;1.0;10.0
o;4;19.0;Aeschbacher Matthias;**;1;58.25;6;18.5;2;-0.5;8.5
+;7;27.5;Parvex Yannick;*;12;55.25;9;27.0;2;-0.5;10.0
+;6;37.5;Wieland Timon;;15;54.5;8;37.0;2;-0.5;9.75
o;5;47.25;Matthey Mickaël;**;2;58.0;2;48.0;-3;0.75;8.75

9g;Collaud Romain (2002);*;;;;;;;;;56.0
+;;;Dufey Gil;*;;;;;;;10.0
+;1;10.0;Parvex Bryan;;18;53.75;2;9.75;1;-0.25;10.0
o;1;20.0;Wicki Joel;**;3;57.75;2;19.75;1;-0.25;8.5
+;4;28.5;Zbinden Jvan (2001);;16;54.25;4;28.5;0;0.0;10.0
-;2;38.5;Gottofrey Marc;**;9;56.0;3;38.25;1;-0.25;8.75
-;5;47.25;Haenni Stéphane;**;12;55.25;8;46.5;3;-0.75;8.75

10a;Lerch Jimmy;*;;;;;;;;;55.75
o;;;Kramer Dorian;*;;;;;;;8.5
+;5;8.5;Pürro David (2001);;11;55.5;2;9.75;-3;1.25;10.0
o;6;18.5;Roch Vincent;**;7;56.5;7;18.25;1;-0.25;8.5
-;9;27.0;Buchs Carlo;*;15;54.5;9;27.0;0;0.0;9.0
+;12;36.0;Golliard Steve;;17;54.0;8;37.0;-4;1.0;9.75
+;11;45.75;Cottier Marco;;14;54.75;9;46.25;-2;0.5;10.0

10b;Dorsaz Théo;;;;;;;;;;55.75
+;;;Aeschbacher Ivo (2001);;;;;;;;10.0
o;1;10.0;Roch Vincent;**;7;56.5;5;8.5;4;-1.5;8.5
-;6;18.5;Pellet Adrian;;13;55.0;7;18.25;1;-0.25;8.75
-;8;27.25;Sturny Nicolas;;9;56.0;8;27.25;0;0.0;8.75
+;12;36.0;Pürro Tobias;;14;54.75;10;36.5;-2;0.5;9.75
+;11;45.75;Golliard Steve;;17;54.0;12;45.5;1;-0.25;10.0

10c;Cotting Florian;*;;;;;;;;;55.75
o;;;Balimann Sandro (2001);*;;;;;;;8.5
+;5;8.5;Kolly Elmar (2002);;18;53.75;1;10.0;-4;1.5;10.0
+;6;18.5;Rappo Yann;;13;55.0;6;18.5;0;0.0;10.0
o;4;28.5;Gottofrey Marc;**;9;56.0;4;28.5;0;0.0;8.5
