3080-2015-04-26_92_Schwyzer_Kantonales_Schwing-_und_Aelplerfest-ST

1a;Müllestein Mike;**;;;;;;;;;58.75
+;;;Odermatt Sepp;**;;;;;;;10.0
-;1;10.0;Gloggner Philipp;***;13;55.0;5;8.5;4;-1.5;9.0
+;4;19.0;Betschart Silvan;;7;56.5;3;19.5;-1;0.5;10.0
+;2;29.0;Wicki Joel (1997);**;5;57.0;4;28.5;2;-0.5;9.75
+;1;38.75;Schuler Christian;***;9;56.0;2;38.5;1;-0.25;10.0
+;1;48.75;Ulrich Florian;*;4;57.25;2;48.5;1;-0.25;10.0

2a;Ulrich Andreas;***;;;;;;;;;58.25
-;;;Scheuber Lutz;**;;;;;;;8.75
+;4;8.75;Schlachter Lukas;*;17;54.0;2;9.75;-2;1.0;9.75
+;6;18.5;Zurfluh Roman;;10;55.75;4;19.0;-2;0.5;10.0
+;4;28.5;Theiler Beat;*;10;55.75;3;28.75;-1;0.25;9.75
+;3;38.25;Müller Bruno;***;6;56.75;3;38.25;0;0.0;10.0
+;3;48.25;Mahrer Jürg;**;7;56.5;4;48.0;1;-0.25;10.0

3a;Laimbacher Adrian;***;;;;;;;;;57.5
+;;;Suppiger René;**;;;;;;;10.0
+;1;10.0;Arnold Raphael;*;31;18.25;2;9.75;1;-0.25;10.0
+;1;20.0;Grab Martin;***;3;57.5;3;19.5;2;-0.5;9.75
-;1;29.75;Schuler Christian;***;9;56.0;1;29.75;0;0.0;8.75
+;2;38.5;Steinauer Adrian;**;6;56.75;2;38.5;0;0.0;10.0
-;2;48.5;Elsener Adrian;*;6;56.75;4;48.0;2;-0.5;9.0

3b;Laimbacher Philipp;***;;;;;;;;;57.5
+;;;Gloggner Philipp;***;;;;;;;10.0
+;1;10.0;Bieri Marcel;**;6;56.75;1;10.0;0;0.0;10.0
o;1;20.0;Schuler Christian;***;9;56.0;1;20.0;0;0.0;8.75
+;3;28.75;Forster Adrian;**;5;57.0;4;28.5;1;-0.25;10.0
o;1;38.75;Ulrich Florian;*;4;57.25;1;38.75;0;0.0;8.75
+;6;47.5;Suppiger René;**;7;56.5;4;48.0;-2;0.5;10.0

3c;Grab Martin;***;;;;;;;;;57.5
+;;;Betschart Rainer;**;;;;;;;9.75
+;2;9.75;Linggi Bruno;**;7;56.5;2;9.75;0;0.0;9.75
o;3;19.5;Laimbacher Adrian;***;3;57.5;1;20.0;-2;0.5;8.5
+;6;28.0;Stettler Philipp;*;17;54.0;4;28.5;-2;0.5;10.0
+;4;38.0;Schelbert Ralf;;5;57.0;1;38.75;-3;0.75;9.75
+;5;47.75;Betschart Remo;**;8;56.25;5;47.75;0;0.0;9.75

4a;Nötzli Bruno;***;;;;;;;;;57.25
+;;;Mahrer Jürg;**;;;;;;;10.0
-;1;10.0;Steinauer Adrian;**;6;56.75;1;10.0;0;0.0;8.75
+;5;18.75;Diener Pirmin;;7;56.5;2;19.75;-3;1.0;10.0
-;3;28.75;Waser Dominik;*;10;55.75;4;28.5;1;-0.25;8.75
+;6;37.5;Grab Daniel;;6;56.75;3;38.25;-3;0.75;10.0
+;6;47.5;Hösli Fritz;*;11;55.5;8;47.0;2;-0.5;9.75

4b;Blaser Theo;;;;;;;;;;57.25
+;;;Müller Dominik;;;;;;;;9.75
+;2;9.75;Zimmermann Daniel;*;14;54.75;5;8.5;3;-1.25;10.0
o;2;19.75;Theiler Beat;*;10;55.75;5;18.75;3;-1.0;8.5
-;5;28.25;Laimbacher Alex;;12;55.25;7;27.75;2;-0.5;9.0
+;7;37.25;Bucher Thomas;;10;55.75;7;37.25;0;0.0;10.0
+;7;47.25;Schelbert Roman;;12;55.25;9;46.75;2;-0.5;10.0

4c;Gwerder Andreas;;;;;;;;;;57.25
+;;;Baumann Lukas;;;;;;;;10.0
-;1;10.0;Kälin Remo;*;14;54.75;4;8.75;3;-1.25;9.0
o;4;19.0;Waser Dominik;*;10;55.75;6;18.5;2;-0.5;8.5
+;8;27.5;Klauser Nico;;16;54.25;9;27.25;1;-0.25;10.0
