3125-2015-08-09_Schaffhauser_Kantonalschwingfest-ST

1a;Giger Samuel (1998);**;;;;;;;;;58.25
-;;;Büsser Andy;***;;;;;;;8.75
+;4;8.75;Manser Bruno;*;6;56.25;1;10.0;-3;1.25;9.75
+;6;18.5;Odermatt Christoph;*;10;55.25;6;18.5;0;0.0;10.0
+;6;28.5;Ott Dominik;;5;56.5;2;29.5;-4;1.0;10.0
+;2;38.5;Inauen Franz;*;3;57.0;2;38.5;0;0.0;9.75
+;1;48.25;Notz Beni;***;3;57.0;1;48.25;0;0.0;10.0

2a;Forrer Arnold;***;;;;;;;;;57.5
-;;;Leuppi Samir;**;;;;;;;8.75
+;4;8.75;Nigg Lukas;**;13;54.5;1;10.0;-3;1.25;10.0
+;5;18.75;Vögeli Sven;*;4;56.75;2;19.75;-3;1.0;10.0
-;5;28.75;Notz Beni;***;3;57.0;1;29.75;-4;1.0;8.75
+;6;37.5;Nägeli Marco;*;11;55.0;5;37.75;-1;0.25;10.0
+;4;47.5;Roth Lukas;*;9;55.5;6;47.0;2;-0.5;10.0

2b;Büsser Andy;***;;;;;;;;;57.5
-;;;Giger Samuel (1998);**;;;;;;;8.75
+;4;8.75;Inauen Franz;*;3;57.0;1;10.0;-3;1.25;10.0
+;5;18.75;Fejzaj Naim;*;10;55.25;4;19.0;-1;0.25;10.0
+;5;28.75;Bühler Ernst;**;6;56.25;3;29.25;-2;0.5;10.0
-;1;38.75;Burkhalter Stefan;***;2;57.5;1;38.75;0;0.0;8.75
+;4;47.5;Vögeli Sven;*;4;56.75;1;48.25;-3;0.75;10.0

2c;Burkhalter Stefan;***;;;;;;;;;57.5
+;;;Kuster Marcel;**;;;;;;;10.0
+;1;10.0;Scherer Christian;*;5;56.5;2;9.75;1;-0.25;10.0
-;1;20.0;Schläpfer Markus;**;7;56.0;2;19.75;1;-0.25;8.75
+;5;28.75;Güntensperger Marcel;*;10;55.25;6;28.5;1;-0.25;10.0
-;1;38.75;Büsser Andy;***;2;57.5;1;38.75;0;0.0;8.75
+;4;47.5;Pfister Florian;;3;57.0;1;48.25;-3;0.75;10.0

3a;Knechtle Martin;**;;;;;;;;;57.0
-;;;Steiner Michael;**;;;;;;;8.75
+;4;8.75;Hersche Daniel;;10;55.25;1;10.0;-3;1.25;9.75
+;6;18.5;Fässler Patrick;;11;55.0;6;18.5;0;0.0;9.75
-;7;28.25;Notz Hans;*;16;53.75;8;28.0;1;-0.25;8.75
