3128-2015-05-14_Baselstaedtisches_Kantonalschwingfest-ST

1a;Ulrich Andreas;***;;;;;;;;;58.75
+;;;Gisler Bruno;***;;;;;;;10.0
-;1;10.0;Henzer Andreas;**;5;57.0;1;10.0;0;0.0;9.0
+;4;19.0;Stoffel Marc;**;10;55.75;6;18.5;2;-0.5;9.75
+;4;28.75;Forrer Arnold;***;5;57.0;4;28.75;0;0.0;10.0
+;1;38.75;Blatter Lorenz;*;5;57.0;3;38.25;2;-0.5;10.0
+;1;48.75;Krähenbühl Tobias;**;6;56.75;2;48.0;1;-0.75;10.0

2a;Wicki Joel (1997);**;;;;;;;;;57.75
+;;;Thoenen Henryc;**;;;;;;;10.0
+;1;10.0;Mahrer Jürg;**;6;56.75;1;10.0;0;0.0;9.75
+;2;19.75;Stalder Remo;***;5;57.0;5;18.75;3;-1.0;10.0
o;1;29.75;Bieri Christoph;***;3;57.5;4;28.75;3;-1.0;8.5
+;3;38.25;Henzer Andreas;**;5;57.0;1;38.75;-2;0.5;9.75
+;2;48.0;Schmid David;**;9;56.0;4;47.5;2;-0.5;9.75

3a;Bieri Christoph;***;;;;;;;;;57.5
-;;;Forrer Arnold;***;;;;;;;9.0
+;3;9.0;von Arx Christian;*;16;54.25;2;9.75;-1;0.75;10.0
+;4;19.0;Gottofrey Marc;*;10;55.75;5;18.75;1;-0.25;9.75
+;4;28.75;Wicki Joel (1997);**;2;57.75;1;29.75;-3;1.0;9.75
-;2;38.5;Kohler Fredi;**;10;55.75;4;38.0;2;-0.5;9.0
+;4;47.5;Stoffel Marc;**;10;55.75;6;47.0;2;-0.5;10.0

4a;Gisler Bruno;***;;;;;;;;;57.25
o;;;Ulrich Andreas;***;;;;;;;8.75
+;4;8.75;Anderegg David;*;27;28.25;1;10.0;-3;1.25;10.0
+;5;18.75;Brand Christian;**;7;56.5;3;19.5;-2;0.75;10.0
+;4;28.75;Nötzli Bruno;***;4;57.25;3;29.0;-1;0.25;10.0
o;1;38.75;Krähenbühl Tobias;**;6;56.75;3;38.25;2;-0.5;8.75
+;4;47.5;Winiger Fabian;**;11;55.5;6;47.0;2;-0.5;9.75

4b;Nötzli Bruno;***;;;;;;;;;57.25
+;;;Stalder Remo;***;;;;;;;10.0
-;1;10.0;Schmid David;**;9;56.0;2;9.75;1;-0.25;9.0
+;4;19.0;Odermatt Christian;**;7;56.5;3;19.5;-1;0.5;10.0
o;3;29.0;Gisler Bruno;***;4;57.25;4;28.75;1;-0.25;8.75
+;5;37.75;Stüdeli Thomas;**;6;56.75;2;38.5;-3;0.75;9.75
+;4;47.5;Alpiger Nick;**;7;56.5;3;47.75;-1;0.25;9.75

5a;Forrer Arnold;***;;;;;;;;;57.0
-;;;Bieri Christoph;***;;;;;;;8.75
+;4;8.75;Erb Roger;**;9;56.0;1;10.0;-3;1.25;10.0
+;5;18.75;Scherrer Johann;**;9;56.0;5;18.75;0;0.0;10.0
o;4;28.75;Ulrich Andreas;***;1;58.75;4;28.75;0;0.0;8.75
+;6;37.5;Vieira Tiago;**;11;55.5;7;37.25;1;-0.25;9.75
+;5;47.25;Voggensperger Janic (1998);*;10;55.75;5;47.25;0;0.0;9.75

5b;Henzer Andreas;**;;;;;;;;;57.0
+;;;Studinger Stephan;**;;;;;;;10.0
-;1;10.0;Ulrich Andreas;***;1;58.75;1;10.0;0;0.0;8.75
+;5;18.75;Büchi Christian;;17;54.0;6;18.5;1;-0.25;10.0
+;4;28.75;Widmer David;;16;54.25;5;28.5;1;-0.25;10.0
o;1;38.75;Wicki Joel (1997);**;2;57.75;3;38.25;2;-0.5;8.5
+;5;47.25;Räbmatter Patrick;**;10;55.75;5;47.25;0;0.0;9.75

5c;Stalder Remo;***;;;;;;;;;57.0
o;;;Nötzli Bruno;***;;;;;;;8.75
+;4;8.75;Winiger Fabian;**;11;55.5;1;10.0;-3;1.25;10.0
o;5;18.75;Wicki Joel (1997);**;2;57.75;2;19.75;-3;1.0;8.75
+;9;27.5;Steinmann Yves;*;8;56.25;6;28.25;-3;0.75;10.0
+;6;37.5;Schlachter Lukas;*;16;54.25;7;37.25;1;-0.25;9.75
+;5;47.25;Gschwind Michael;**;12;55.25;7;46.75;2;-0.5;9.75

5d;Kramer Franz;;;;;;;;;;57.0
-;;;Dobler Florian;;;;;;;;8.75
+;4;8.75;Fritz Andreas;;19;53.5;5;8.5;1;-0.25;10.0
o;5;18.75;Kocher Remo;**;13;55.0;8;17.75;3;-1.0;8.75
+;9;27.5;Schneider Markus;*;12;55.25;12;26.75;3;-0.75;10.0
+;6;37.5;von Arx Christian;*;16;54.25;7;37.25;1;-0.25;9.75
+;5;47.25;Döbeli Andreas (1998);;11;55.5;6;47.0;1;-0.25;9.75

5e;Blatter Lorenz;*;;;;;;;;;57.0
o;;;Gottofrey Marc;*;;;;;;;8.75
+;4;8.75;Studinger Mathias;**;11;55.5;4;8.75;0;0.0;9.75
+;6;18.5;Strebel Joel (1997);*;9;56.0;4;19.0;-2;0.5;9.75
+;6;28.25;Huber Jan (1997);;6;56.75;2;29.5;-4;1.25;10.0
o;3;38.25;Ulrich Andreas;***;1;58.75;1;38.75;-2;0.5;8.75
+;6;47.0;Schär Simon;*;13;55.0;8;46.5;2;-0.5;10.0

6a;Thoenen Henryc;**;;;;;;;;;56.75
