3133-2015-07-26_Bruenigschwinget-ST

1a;Kämpf Bernhard;***;;;;;;;;;57.75
-;;;Fankhauser Erich;***;;;;;;;9.0
-;3;9.0;Waser Dominik;*;7;56.0;1;10.0;-2;1.0;9.0
+;8;18.0;Rohrer Ivan;*;14;54.25;5;18.75;-3;0.75;9.75
+;6;27.75;Betschart Rainer;**;11;55.0;2;28.75;-4;1.0;10.0
+;4;37.75;Leuthard Reto;*;11;55.0;3;38.0;-1;0.25;10.0
+;2;47.75;Schuler Christian;***;9;55.5;5;47.0;3;-0.75;10.0

2a;Siegenthaler Matthias;***;;;;;;;;;57.25
-;;;Mathis Marcel;***;;;;;;;8.75
+;4;8.75;Müller Michael;**;14;54.25;2;9.75;-2;1.0;10.0
+;5;18.75;Vieira Tiago;**;14;54.25;5;18.75;0;0.0;9.75
-;3;28.5;Laimbacher Philipp;***;5;56.5;2;28.75;-1;0.25;9.0
+;5;37.5;Brun Jonas;**;13;54.5;6;37.25;1;-0.25;9.75
+;4;47.25;Betschart Rainer;**;11;55.0;8;46.25;4;-1.0;10.0

2b;Fankhauser Erich;***;;;;;;;;;57.25
-;;;Kämpf Bernhard;***;;;;;;;9.0
+;3;9.0;Studinger Stephan;**;10;55.25;1;10.0;-2;1.0;10.0
o;4;19.0;Glarner Matthias;***;2;57.25;1;20.0;-3;1.0;8.5
+;7;27.5;Lengacher Jonas;**;7;56.0;3;28.5;-4;1.0;10.0
+;5;37.5;von Büren Stephan;*;9;55.5;2;38.25;-3;0.75;9.75
+;4;47.25;Gisler Bruno;***;5;56.5;2;47.75;-2;0.5;10.0

2c;Glarner Matthias;***;;;;;;;;;57.25
+;;;Imhof Andi;***;;;;;;;10.0
+;1;10.0;Brun Jonas;**;13;54.5;1;10.0;0;0.0;10.0
+;1;20.0;Fankhauser Erich;***;2;57.25;4;19.0;3;-1.0;9.75
o;1;29.75;von Ah Benji;***;2;57.25;3;28.5;2;-1.25;8.5
+;2;38.25;Steinauer Adrian;**;12;54.75;4;37.75;2;-0.5;10.0
-;1;48.25;von Ah Benji;***;2;57.25;1;48.25;0;0.0;9.0

2d;von Ah Benji;***;;;;;;;;;57.25
-;;;Anderegg Simon;***;;;;;;;8.75
+;4;8.75;Urfer Simon;*;22;35.25;2;9.75;-2;1.0;10.0
+;5;18.75;Röthlisberger Simon;*;9;55.5;2;19.75;-3;1.0;9.75
+;3;28.5;Glarner Matthias;***;2;57.25;1;29.75;-2;1.25;10.0
+;1;38.5;Wenger Kilian;***;5;56.5;2;38.25;1;-0.25;9.75
-;1;48.25;Glarner Matthias;***;2;57.25;1;48.25;0;0.0;9.0

3a;Käser Remo;**;;;;;;;;;57.0
-;;;Wicki Joel (1997);**;;;;;;;8.75
+;4;8.75;Gwerder Carlo;**;17;53.5;1;10.0;-3;1.25;9.75
+;6;18.5;Omlin Toni;*;15;54.0;6;18.5;0;0.0;9.75
-;4;28.25;Gisler Bruno;***;5;56.5;2;28.75;-2;0.5;9.0
+;6;37.25;Mathis Marcel;***;12;54.75;5;37.5;-1;0.25;9.75
+;5;47.0;Steinauer Adrian;**;12;54.75;8;46.25;3;-0.75;10.0

3b;Sempach Thomas;***;;;;;;;;;57.0
+;;;Nötzli Bruno;***;;;;;;;9.75
+;2;9.75;Odermatt Andreas;*;12;54.75;2;9.75;0;0.0;10.0
+;2;19.75;Gasser Stefan;**;5;56.5;2;19.75;0;0.0;10.0
-;1;29.75;Mathis Marcel;***;12;54.75;2;28.75;1;-1.0;8.75
-;1;38.5;Bieri Christoph;***;8;55.75;2;38.25;1;-0.25;8.75
+;4;47.25;Räbmatter Patrick;**;8;55.75;4;47.25;0;0.0;9.75

4a;Bächli Michael (1998);*;;;;;;;;;56.75
+;;;Binggeli Dominik;*;;;;;;;9.75
-;2;9.75;Imhof Andi;***;24;34.75;5;8.5;3;-1.25;8.75
-;6;18.5;Müller Michael;**;14;54.25;7;18.25;1;-0.25;8.75
+;8;27.25;Höfliger Andreas;**;13;54.5;8;27.25;0;0.0;9.75
+;7;37.0;Gnägi Christian;*;16;53.75;8;36.75;1;-0.25;10.0
+;5;47.0;Anderegg Simon;***;7;56.0;4;47.25;-1;0.25;9.75

4b;Alpiger Nick;**;;;;;;;;;56.75
+;;;Schuler Alex;**;;;;;;;9.75
