3147-2015-05-25_Glarner-Buendner_Kantonalschwingfest-ST

1a;Schneider Domenic;**;;;;;;;;;58.25
-;;;Riget Tobias;**;;;;;;;8.75
+;4;8.75;Bäbler Sandro;**;11;55.5;2;9.75;-2;1.0;9.75
+;5;18.5;Schnyder Christian;;12;55.25;1;20.0;-4;1.5;10.0
+;3;28.5;Inauen Andreas;*;11;55.5;3;28.5;0;0.0;10.0
+;3;38.5;Horner Peter;**;6;56.75;3;38.5;0;0.0;9.75
+;2;48.25;Glaus Martin;***;2;58.0;1;49.25;-1;1.0;10.0

2a;Glaus Martin;***;;;;;;;;;58.0
+;;;Peng Mike;***;;;;;;;10.0
+;1;10.0;Steiner Michael;**;7;56.5;2;9.75;1;-0.25;10.0
+;1;20.0;Leuppi Samir;**;12;55.25;3;19.5;2;-0.5;9.75
+;1;29.75;Fässler Andreas;**;5;57.0;2;28.75;1;-1.0;9.75
+;1;39.5;Rychen Roger;**;6;56.75;3;38.5;2;-1.0;9.75
o;1;49.25;Schneider Domenic;**;1;58.25;2;48.25;1;-1.0;8.75

3a;Orlik Armon;**;;;;;;;;;57.5
-;;;Forrer Arnold;***;;;;;;;8.75
+;4;8.75;Nägeli Roman;*;16;54.25;1;10.0;-3;1.25;10.0
+;4;18.75;Rüegg Roman;*;11;55.5;4;18.75;0;0.0;10.0
+;2;28.75;Holenstein Christian;*;6;56.75;3;28.5;1;-0.25;10.0
-;2;38.75;Notz Beni;***;11;55.5;4;38.25;2;-0.5;8.75
+;3;47.5;Coray Beda;*;10;55.75;5;47.0;2;-0.5;10.0

4a;Jöhl Christian;;;;;;;;;;57.25
+;;;Fässler Michael (1999);;;;;;;;9.75
+;2;9.75;Akeret Benno;*;13;55.0;5;8.5;3;-1.25;10.0
o;2;19.75;Nägeli Marco;*;9;56.0;4;18.75;2;-1.0;8.75
+;3;28.5;Jecklin Alexsandro (1998);;19;53.5;5;28.0;2;-0.5;9.75
-;4;38.25;Gwerder Andreas;**;12;55.25;6;37.75;2;-0.5;9.0
+;4;47.25;Mösli Reto;;13;55.0;7;46.5;3;-0.75;10.0

5a;Höfliger Andreas;*;;;;;;;;;57.0
-;;;Fässler Andreas;**;;;;;;;8.75
+;4;8.75;Schmid Dominik;*;10;55.75;2;9.75;-2;1.0;10.0
o;4;18.75;Riget Tobias;**;5;57.0;4;18.75;0;0.0;8.5
+;8;27.25;Inauen Aurel;;13;55.0;5;28.0;-3;0.75;10.0
+;8;37.25;Rüegg Roman;*;11;55.5;8;37.25;0;0.0;10.0
+;4;47.25;Oettli Marco (1997);;10;55.75;4;47.25;0;0.0;9.75

5b;Kindlimann Fabian;***;;;;;;;;;57.0
-;;;Büsser Andy;***;;;;;;;8.75
+;4;8.75;Schweizer Christof;*;24;45.75;1;10.0;-3;1.25;9.75
+;5;18.5;Notz Armin;*;16;54.25;4;18.75;-1;0.25;9.75
+;4;28.25;Signer Emil;**;7;56.5;4;28.25;0;0.0;10.0
-;4;38.25;Riget Tobias;**;5;57.0;4;38.25;0;0.0;8.75
+;5;47.0;Knechtle Martin;**;13;55.0;7;46.5;2;-0.5;10.0

5c;Riget Tobias;**;;;;;;;;;57.0
-;;;Schneider Domenic;**;;;;;;;8.75
+;4;8.75;Odermatt Christoph;*;9;56.0;3;9.0;-1;0.25;10.0
+;4;18.75;Höfliger Andreas;*;5;57.0;4;18.75;0;0.0;9.75
+;3;28.5;Schweizer Christof;*;24;45.75;3;28.5;0;0.0;9.75
-;4;38.25;Kindlimann Fabian;***;5;57.0;4;38.25;0;0.0;8.75
+;5;47.0;Corvi Dominik;;10;55.75;4;47.25;-1;0.25;10.0

5d;Fässler Andreas;**;;;;;;;;;57.0
-;;;Höfliger Andreas;*;;;;;;;8.75
+;4;8.75;Schlegel Reto (1997);*;15;54.5;2;9.75;-2;1.0;10.0
+;4;18.75;Oertig Dominik;*;9;56.0;4;18.75;0;0.0;10.0
o;2;28.75;Glaus Martin;***;2;58.0;1;29.75;-1;1.0;8.5
+;8;37.25;Schnyder Christian;;12;55.25;4;38.25;-4;1.0;10.0
+;4;47.25;Nägeli Marco;*;9;56.0;3;47.5;-1;0.25;9.75

6a;Forrer Arnold;***;;;;;;;;;56.75
-;;;Orlik Armon;**;;;;;;;8.75
o;4;8.75;Horner Peter;**;6;56.75;2;9.75;-2;1.0;8.5
+;9;17.25;Korrodi Paul;*;6;56.75;5;18.5;-4;1.25;10.0
+;8;27.25;Roth Martin;*;7;56.5;4;28.25;-4;1.0;9.75
+;9;37.0;Odermatt Christoph;*;9;56.0;7;37.5;-2;0.5;10.0
+;5;47.0;Gwerder Andreas;**;12;55.25;6;46.75;1;-0.25;9.75

6b;Korrodi Paul;*;;;;;;;;;56.75
-;;;Manser Bruno;*;;;;;;;8.75
+;4;8.75;Preisig Pascal;;21;53.0;2;9.75;-2;1.0;9.75
o;5;18.5;Forrer Arnold;***;6;56.75;9;17.25;4;-1.25;8.5
+;9;27.0;Jörger Marc;;22;52.75;8;27.25;-1;0.25;10.0
+;9;37.0;Bleiker Reto;*;12;55.25;10;36.75;1;-0.25;9.75
+;6;46.75;Notz Beni;***;11;55.5;5;47.0;-1;0.25;10.0

6c;Horner Peter;**;;;;;;;;;56.75
+;;;Huber Pascal;*;;;;;;;9.75
+;2;9.75;Forrer Arnold;***;6;56.75;4;8.75;2;-1.0;9.75
-;3;19.5;Gwerder Andreas;**;12;55.25;4;18.75;1;-0.75;9.0
+;3;28.5;Plump Martin;*;11;55.5;3;28.5;0;0.0;10.0
o;3;38.5;Schneider Domenic;**;1;58.25;3;38.5;0;0.0;8.5
+;5;47.0;Oertle Daniel;;10;55.75;4;47.25;-1;0.25;9.75

6d;Holenstein Christian;*;;;;;;;;;56.75
+;;;Hofstetter Manuel;*;;;;;;;9.75
-;2;9.75;Peng Mike;***;9;56.0;5;8.5;3;-1.25;8.75
+;5;18.5;Castelli Fabio (1999);;17;54.0;1;20.0;-4;1.5;10.0
o;3;28.5;Orlik Armon;**;3;57.5;2;28.75;-1;0.25;8.5
+;9;37.0;Gartmann Mauro;;16;54.25;10;36.75;1;-0.25;9.75
+;6;46.75;Leuppi Samir;**;12;55.25;7;46.5;1;-0.25;10.0

6e;Gmür Pirmin;*;;;;;;;;;56.75
-;;;Zbinden Marc;*;;;;;;;8.75
+;4;8.75;Fuster Sepp (1997);;17;54.0;1;10.0;-3;1.25;9.75
o;5;18.5;Signer Emil;**;7;56.5;5;18.5;0;0.0;8.5
+;9;27.0;Candraja Kevin;;17;54.0;9;27.0;0;0.0;10.0
+;9;37.0;Notz Armin;*;16;54.25;9;37.0;0;0.0;9.75
+;6;46.75;Plump Martin;*;11;55.5;5;47.0;-1;0.25;10.0

6f;Rychen Roger;**;;;;;;;;;56.75
