3197-2016-05-08_106_Zuercher_Kantonalschwingfest-ST

1a;Giger Samuel (1998);**;;;;;;;;;58.5
+;;;Bieri Christoph;***;;;;;;;9.75
+;2;9.75;Battaglia Ursin;**;11;55.75;1;10.0;-1;0.25;10.0
+;2;19.75;Eugster Ruedi;**;11;55.75;4;18.75;2;-1.0;10.0
+;2;29.75;Leuppi Karim;;8;56.5;2;29.75;0;0.0;9.75
-;2;39.5;Orlik Curdin;**;9;56.25;3;38.75;1;-0.75;9.0
+;2;48.5;Bösch Daniel;***;4;57.5;1;48.75;-1;0.25;10.0

2a;Kammermann Thomas;*;;;;;;;;;58.25
+;;;Pfister Florian;*;;;;;;;9.75
+;2;9.75;Junker Nik;;14;55.0;1;10.0;-1;0.25;10.0
+;2;19.75;Güntensperger Marcel;*;8;56.5;5;18.5;3;-1.25;10.0
o;2;29.75;Bösch Daniel;***;4;57.5;4;28.75;2;-1.0;8.5
+;5;38.25;Buchmann Michael;;13;55.25;5;38.25;0;0.0;10.0
+;3;48.25;Notz Beni;***;12;55.5;8;47.0;5;-1.25;10.0

3a;Bieri Christoph;***;;;;;;;;;58.0
o;;;Giger Samuel (1998);**;;;;;;;8.5
+;5;8.5;Roth Martin;*;7;56.75;1;10.0;-4;1.5;9.75
+;6;18.25;Zbinden Marc;*;6;57.0;5;18.5;-1;0.25;9.75
+;7;28.0;Bucher Roland;;13;55.25;5;28.5;-2;0.5;10.0
+;6;38.0;Battaglia Ursin;**;11;55.75;4;38.5;-2;0.5;10.0
+;4;48.0;Clopath Beat;***;6;57.0;2;48.5;-2;0.5;10.0

3b;Gisler Bruno;***;;;;;;;;;58.0
o;;;Bösch Daniel;***;;;;;;;8.5
+;5;8.5;Schudel Simon;*;14;55.0;2;9.75;-3;1.25;10.0
+;5;18.5;Burkhard Patrick;*;7;56.75;2;19.75;-3;1.25;10.0
+;5;28.5;Koller Martin;*;11;55.75;5;28.5;0;0.0;9.75
+;5;38.25;Baumann Rico;*;7;56.75;4;38.5;-1;0.25;10.0
+;3;48.25;Krähenbühl Tobias;**;5;57.25;2;48.5;-1;0.25;9.75

4a;Bösch Daniel;***;;;;;;;;;57.5
+;;;Gisler Bruno;***;;;;;;;10.0
+;1;10.0;Krähenbühl Tobias;**;5;57.25;1;10.0;0;0.0;10.0
-;1;20.0;Fässler Andreas;**;9;56.25;4;18.75;3;-1.25;8.75
+;4;28.75;Kammermann Thomas;*;2;58.25;2;29.75;-2;1.0;10.0
+;3;38.75;Schaffner Samuel;**;12;55.5;4;38.5;1;-0.25;10.0
o;1;48.75;Giger Samuel (1998);**;1;58.5;2;48.5;1;-0.25;8.75

4b;Leuppi Samir;**;;;;;;;;;57.5
-;;;Zwyssig Raphael;***;;;;;;;8.75
+;4;8.75;Rüegg Roman;*;14;55.0;1;10.0;-3;1.25;10.0
+;4;18.75;Roth Lukas;*;13;55.25;6;18.25;2;-0.5;10.0
+;4;28.75;Oertle Daniel;;12;55.5;1;30.0;-3;1.25;10.0
-;3;38.75;Clopath Beat;***;6;57.0;1;39.75;-2;1.0;8.75
+;6;47.5;Oetiker Ronny;;9;56.25;5;47.75;-1;0.25;10.0

5a;Bickel Roman (1998);;;;;;;;;;57.25
+;;;Hitz Florian (1999);;;;;;;;10.0
o;1;10.0;Marty Jaime (2000);;14;55.0;1;10.0;0;0.0;8.75
+;4;18.75;Schlatter Philipp;*;24;35.25;9;17.0;5;-1.75;10.0
+;4;28.75;Scherer Christian;*;6;57.0;4;28.75;0;0.0;10.0
o;3;38.75;Notz Beni;***;12;55.5;8;37.25;5;-1.5;8.5
+;7;47.25;Bucher Roland;;13;55.25;9;46.75;2;-0.5;10.0

5b;Krähenbühl Tobias;**;;;;;;;;;57.25
+;;;Knechtle Martin;**;;;;;;;10.0
o;1;10.0;Bösch Daniel;***;4;57.5;1;10.0;0;0.0;8.5
