3218-2015-07-04_Appenzeller_Kantonalschwingfest-ST

1a;Zwyssig Raphael;***;;;;;;;;;58.75
-;;;Bösch Daniel;***;;;;;;;8.75
+;4;8.75;Koller Martin;*;8;56.0;2;9.75;-2;1.0;10.0
+;5;18.75;Jud Pirmin;*;8;56.0;5;18.75;0;0.0;10.0
+;2;28.75;Bäbler Sandro;**;6;56.5;4;28.25;2;-0.5;10.0
+;1;38.75;Coray Beda;*;6;56.5;4;38.0;3;-0.75;10.0
+;1;48.75;Forrer Arnold;***;3;57.25;2;48.5;1;-0.25;10.0

2a;Giger Samuel (1998);**;;;;;;;;;57.75
o;;;Rhyner Michael;**;;;;;;;8.5
+;5;8.5;Candrian Gian-Luca (1998);;10;55.5;1;10.0;-4;1.5;10.0
+;6;18.5;Oertig Dominik;*;8;56.0;2;19.75;-4;1.25;9.75
+;4;28.25;Kohler Fredi;**;4;57.0;2;28.75;-2;0.5;9.75
+;4;38.0;Fejzaj Naim;*;5;56.75;3;38.25;-1;0.25;10.0
+;4;48.0;Manser Bruno;*;10;55.5;8;47.0;4;-1.0;9.75

3a;Forrer Arnold;***;;;;;;;;;57.25
-;;;Burkhalter Stefan;***;;;;;;;9.0
+;3;9.0;Fejzaj Naim;*;5;56.75;1;10.0;-2;1.0;10.0
+;4;19.0;Fässler Andreas;**;4;57.0;1;20.0;-3;1.0;10.0
+;1;29.0;Kuster Marcel;**;4;57.0;3;28.5;2;-0.5;9.75
+;1;38.75;Schneider Domenic;**;4;57.0;2;38.5;1;-0.25;9.75
o;2;48.5;Zwyssig Raphael;***;1;58.75;1;48.75;-1;0.25;8.75

3b;Schmid Patrick (1997);;;;;;;;;;57.25
-;;;Notz Armin;*;;;;;;;9.0
+;3;9.0;Rüegger Remo (1999);;25;34.5;4;8.75;1;-0.25;10.0
-;4;19.0;Elmer Adrian;;15;54.25;6;18.5;2;-0.5;8.75
+;6;27.75;Städler Dario;;19;53.25;9;27.0;3;-0.75;9.75
+;6;37.5;Näf Bruno;*;11;55.25;8;37.0;2;-0.5;10.0
+;6;47.5;Oertle Daniel;;6;56.5;5;47.75;-1;0.25;9.75

3c;Bösch Daniel;***;;;;;;;;;57.25
-;;;Zwyssig Raphael;***;;;;;;;8.75
-;4;8.75;Schneider Domenic;**;4;57.0;1;10.0;-3;1.25;8.75
+;9;17.5;Bucher Roland;;10;55.5;6;18.5;-3;1.0;10.0
+;7;27.5;Kammermann Thomas;*;4;57.0;3;28.5;-4;1.0;9.75
+;7;37.25;Hofstetter Manuel;*;6;56.5;3;38.25;-4;1.0;10.0
+;7;47.25;Riget Ivan;*;8;56.0;6;47.5;-1;0.25;10.0

3d;Signer Emil;**;;;;;;;;;57.25
-;;;Bernold Christian;*;;;;;;;9.0
+;3;9.0;Pfiffner Ivo;;14;54.5;1;10.0;-2;1.0;10.0
+;4;19.0;Koller Fabian;;7;56.25;2;19.75;-2;0.75;9.75
-;2;28.75;Burkhalter Stefan;***;6;56.5;2;28.75;0;0.0;8.75
+;6;37.5;Ott Dominik;;15;54.25;9;36.75;3;-0.75;9.75
+;7;47.25;Hari Michi;;9;55.75;7;47.25;0;0.0;10.0

4a;Hersche Martin;**;;;;;;;;;57.0
+;;;Bühler Ernst;**;;;;;;;9.75
+;2;9.75;Bäbler Sandro;**;6;56.5;2;9.75;0;0.0;10.0
-;2;19.75;Kohler Fredi;**;4;57.0;2;19.75;0;0.0;9.0
+;2;28.75;Näf Willi;*;16;54.0;4;28.25;2;-0.5;9.75
+;2;38.5;Vollenweider Jeremy (1998);*;6;56.5;4;38.0;2;-0.5;9.75
-;3;48.25;Burkhalter Stefan;***;6;56.5;5;47.75;2;-0.5;8.75

4b;Kohler Fredi;**;;;;;;;;;57.0
+;;;Krähenbühl Tobias;**;;;;;;;9.75
+;2;9.75;Roth Martin;*;5;56.75;2;9.75;0;0.0;10.0
-;2;19.75;Hersche Martin;**;4;57.0;2;19.75;0;0.0;9.0
o;2;28.75;Giger Samuel (1998);**;2;57.75;4;28.25;2;-0.5;8.5
+;7;37.25;Fäh Tobias;;14;54.5;7;37.25;0;0.0;10.0
+;7;47.25;Schläpfer Matthias;*;9;55.75;7;47.25;0;0.0;9.75

4c;Kuster Marcel;**;;;;;;;;;57.0
o;;;Schneider Domenic;**;;;;;;;8.5
+;5;8.5;Rütsche Werner;;16;54.0;1;10.0;-4;1.5;10.0
+;6;18.5;Läderach Pascal (1999);;11;55.25;5;18.75;-1;0.25;10.0
o;3;28.5;Forrer Arnold;***;3;57.25;1;29.0;-2;0.5;8.5
+;8;37.0;Gartmann Mauro;;12;55.0;9;36.75;1;-0.25;10.0
+;8;47.0;Scherer Christian;*;10;55.5;8;47.0;0;0.0;10.0

4d;Schneider Domenic;**;;;;;;;;;57.0
+;;;Kuster Marcel;**;;;;;;;10.0
-;1;10.0;Bösch Daniel;***;3;57.25;4;8.75;3;-1.25;8.75
+;5;18.75;Koch Reto;;10;55.5;2;19.75;-3;1.0;9.75
+;3;28.5;Manser Bruno;*;10;55.5;3;28.5;0;0.0;10.0
o;2;38.5;Forrer Arnold;***;3;57.25;1;38.75;-1;0.25;8.75
+;7;47.25;Bernold Christian;*;9;55.75;7;47.25;0;0.0;9.75

4e;Kammermann Thomas;*;;;;;;;;;57.0
o;;;Oertig Dominik;*;;;;;;;8.5
+;5;8.5;Meier Walter (1998);;23;35.5;1;10.0;-4;1.5;10.0
+;6;18.5;Raschle Simon (1999);;23;35.5;6;18.5;0;0.0;10.0
o;3;28.5;Bösch Daniel;***;3;57.25;7;27.5;4;-1.0;8.5
+;8;37.0;Speck Christof (1999);;16;54.0;10;36.5;2;-0.5;10.0
+;8;47.0;Wittenwiler Roman (1998);;21;46.75;9;46.75;1;-0.25;10.0

4f;Giger Urs;*;;;;;;;;;57.0
+;;;Näf Bruno;*;;;;;;;9.75
+;2;9.75;Oertig Simon;;14;54.5;1;10.0;-1;0.25;9.75
-;3;19.5;Bühler Ernst;**;6;56.5;5;18.75;2;-0.75;9.0
+;3;28.5;Biäsch Christian;;12;55.0;4;28.25;1;-0.25;9.75
+;3;38.25;Reber Marcel;*;13;54.75;5;37.75;2;-0.5;9.75
-;4;48.0;Oertig Dominik;*;8;56.0;8;47.0;4;-1.0;9.0

4g;Fässler Andreas;**;;;;;;;;;57.0
+;;;Battaglia Ursin;**;;;;;;;10.0
+;1;10.0;Odermatt Martin;*;14;54.5;2;9.75;1;-0.25;10.0
o;1;20.0;Forrer Arnold;***;3;57.25;4;19.0;3;-1.0;8.5
+;3;28.5;Frauchiger Remo;;11;55.25;3;28.5;0;0.0;10.0
+;2;38.5;Rhyner Michael;**;6;56.5;3;38.25;1;-0.25;9.75
-;3;48.25;Bühler Ernst;**;6;56.5;5;47.75;2;-0.5;8.75

4h;Schläpfer Markus;**;;;;;;;;;57.0
+;;;Knechtle Martin;**;;;;;;;9.75
-;2;9.75;Rhyner Michael;**;6;56.5;2;9.75;0;0.0;8.75
+;6;18.5;Keller Dominic;;7;56.25;3;19.5;-3;1.0;10.0
+;3;28.5;Rütsche Stefan;*;10;55.5;3;28.5;0;0.0;10.0
o;2;38.5;Kid Simon;**;5;56.75;4;38.0;2;-0.5;8.5
+;8;47.0;Frauchiger Remo;;11;55.25;9;46.75;1;-0.25;10.0

5a;Roth Martin;*;;;;;;;;;56.75
+;;;Bäbler Dominik;*;;;;;;;9.75
o;2;9.75;Kohler Fredi;**;4;57.0;2;9.75;0;0.0;8.5
+;7;18.25;Städler Dario;;19;53.25;7;18.25;0;0.0;9.75
+;5;28.0;Keller Dominic;;7;56.25;5;28.0;0;0.0;10.0
+;4;38.0;Koller Fabian;;7;56.25;4;38.0;0;0.0;10.0
