3310-2016-05-29_102_StGaller_Kantonalschwingfest-ST

1a;Clopath Beat;***;;;;;;;;;58.25
+;;;Wickli Beat;**;;;;;;;10.0
+;1;10.0;Forrer Arnold;***;3;57.5;1;10.0;0;0.0;9.75
+;2;19.75;Zwyssig Raphael;***;5;57.0;1;20.0;-1;0.25;9.75
-;1;29.5;Eugster Ruedi;**;13;55.0;3;28.5;2;-1.0;8.75
+;3;38.25;Rhyner Michael;**;7;56.5;3;38.25;0;0.0;10.0
+;2;48.25;Orlik Armon;**;4;57.25;1;48.5;-1;0.25;10.0

2a;Schneider Mario;**;;;;;;;;;57.75
+;;;Vestner Roman;*;;;;;;;9.75
+;2;9.75;Peterer Ivan;**;17;54.0;1;10.0;-1;0.25;10.0
o;2;19.75;Orlik Armon;**;4;57.25;4;19.0;2;-0.75;8.5
+;4;28.25;Good Marco;*;9;56.0;2;28.75;-2;0.5;9.75
+;4;38.0;Kamer Hanspeter;*;12;55.25;3;38.25;-1;0.25;10.0
+;3;48.0;Oertig Dominik;*;8;56.25;4;47.75;1;-0.25;9.75

3a;Forrer Arnold;***;;;;;;;;;57.5
+;;;Bless Michael;***;;;;;;;10.0
o;1;10.0;Clopath Beat;***;1;58.25;1;10.0;0;0.0;8.75
+;5;18.75;Fässler Andreas;**;5;57.0;2;19.75;-3;1.0;10.0
+;2;28.75;Peng Mike;***;9;56.0;2;28.75;0;0.0;10.0
-;1;38.75;Giger Samuel (1998);**;5;57.0;3;38.25;2;-0.5;9.0
+;4;47.75;Roth Martin;*;11;55.5;6;47.0;2;-0.75;9.75

4a;Orlik Armon;**;;;;;;;;;57.25
-;;;Eugster Ruedi;**;;;;;;;9.0
+;3;9.0;Zbinden Marc;*;10;55.75;1;10.0;-2;1.0;10.0
+;4;19.0;Schneider Mario;**;2;57.75;2;19.75;-2;0.75;9.75
+;2;28.75;Hersche Martin;**;5;57.0;3;28.5;1;-0.25;9.75
+;2;38.5;Bösch Daniel;***;8;56.25;4;38.0;2;-0.5;10.0
o;1;48.5;Clopath Beat;***;1;58.25;2;48.25;1;-0.25;8.75

5a;Knechtle Martin;**;;;;;;;;;57.0
-;;;Peng Mike;***;;;;;;;8.75
+;4;8.75;Koch Reto;;15;54.5;2;9.75;-2;1.0;10.0
-;5;18.75;Sprecher Sandro;*;10;55.75;4;19.0;-1;0.25;8.75
+;7;27.5;Schrepfer Chris;;12;55.25;3;28.5;-4;1.0;9.75
+;7;37.25;Bernold Michael (1999);;16;54.25;8;37.0;1;-0.25;10.0
+;5;47.25;Schlegel Reto;*;11;55.5;6;47.0;1;-0.25;9.75

5b;Hersche Martin;**;;;;;;;;;57.0
o;;;Schneider Domenic;**;;;;;;;8.5
+;5;8.5;Rüegg Fabian;*;6;56.75;1;10.0;-4;1.5;10.0
+;6;18.5;Bischof Martin;;17;54.0;6;18.5;0;0.0;10.0
o;3;28.5;Orlik Armon;**;4;57.25;2;28.75;-1;0.25;8.5
+;8;37.0;Schmucki Ivo;;10;55.75;3;38.25;-5;1.25;10.0
+;6;47.0;Baumgartner Alexander;;12;55.25;7;46.75;1;-0.25;10.0

5c;Giger Samuel (1998);**;;;;;;;;;57.0
+;;;Bösch Daniel;***;;;;;;;9.75
o;2;9.75;Zwyssig Raphael;***;5;57.0;1;10.0;-1;0.25;8.5
+;7;18.25;Schläpfer Matthias;*;10;55.75;5;18.75;-2;0.5;10.0
+;4;28.25;Gmür Pirmin;*;6;56.75;3;28.5;-1;0.25;10.0
-;3;38.25;Forrer Arnold;***;3;57.5;1;38.75;-2;0.5;8.75
+;6;47.0;Räbsamen Marcel (2000);;11;55.5;6;47.0;0;0.0;10.0

5d;Bühler Ernst;**;;;;;;;;;57.0
-;;;Orlik Curdin;**;;;;;;;8.75
+;4;8.75;Wild Thomas;;11;55.5;1;10.0;-3;1.25;10.0
o;5;18.75;Peng Mike;***;9;56.0;5;18.75;0;0.0;8.5
+;8;27.25;Tischhauser Markus (2000);;23;35.5;9;27.0;1;-0.25;10.0
+;7;37.25;Vollmeier Sandro;;12;55.25;3;38.25;-4;1.0;9.75
+;6;47.0;Fejzaj Naim;*;11;55.5;6;47.0;0;0.0;10.0

5e;Schneider Domenic;**;;;;;;;;;57.0
+;;;Hersche Martin;**;;;;;;;9.75
-;2;9.75;Kuster Marcel;**;7;56.5;1;10.0;-1;0.25;8.75
o;6;18.5;Bless Michael;***;7;56.5;6;18.5;0;0.0;8.75
+;8;27.25;Elmer Daniel;*;11;55.5;2;28.75;-6;1.5;10.0
+;7;37.25;Schlegel Reto;*;11;55.5;2;38.5;-5;1.25;9.75
+;6;47.0;Rütsche Stefan;*;12;55.25;7;46.75;1;-0.25;10.0

5f;Zwyssig Raphael;***;;;;;;;;;57.0
+;;;Rhyner Michael;**;;;;;;;10.0
+;1;10.0;Giger Samuel (1998);**;5;57.0;2;9.75;1;-0.25;10.0
o;1;20.0;Clopath Beat;***;1;58.25;2;19.75;1;-0.25;8.5
o;3;28.5;Bösch Daniel;***;8;56.25;4;28.25;1;-0.25;8.5
