3313-2016-08-07_109_Nordwestschweizer_Schwingfest-ST

1a;Gisler Bruno;***;;;;;;;;;58.0
-;;;Nötzli Bruno;***;;;;;;;9.0
+;3;9.0;Schaffner Samuel;**;10;55.75;1;10.0;-2;1.0;10.0
+;4;19.0;Arnold David;;17;54.0;1;20.0;-3;1.0;10.0
+;3;29.0;Fankhauser Erich;***;4;57.25;3;29.0;0;0.0;10.0
+;1;39.0;Alpiger Nick;**;6;56.75;3;38.5;2;-0.5;10.0
-;1;49.0;Bless Michael;***;3;57.5;2;48.5;1;-0.5;9.0

2a;Voggensperger Janic (1998);*;;;;;;;;;57.75
+;;;Leuthard Reto;*;;;;;;;9.75
+;2;9.75;Zwyssig Raphael;***;9;56.0;4;8.75;2;-1.0;9.75
o;3;19.5;Bless Michael;***;3;57.5;1;20.0;-2;0.5;8.5
+;7;28.0;Gabathuler Björn (1998);;13;55.0;8;27.5;1;-0.5;10.0
+;5;38.0;Piemontesi Pascal;**;9;56.0;7;37.5;2;-0.5;9.75
+;3;47.75;Hügli Kaj;*;9;56.0;4;47.25;1;-0.5;10.0

3a;Bless Michael;***;;;;;;;;;57.5
+;;;Stalder Remo;***;;;;;;;10.0
+;1;10.0;Hauri Urs;**;6;56.75;2;9.75;1;-0.25;10.0
+;1;20.0;Voggensperger Janic (1998);*;2;57.75;3;19.5;2;-0.5;10.0
-;1;30.0;Bieri Christoph;***;9;56.0;5;28.5;4;-1.5;8.75
+;2;38.75;Thürig Mario;***;22;46.75;4;38.25;2;-0.5;9.75
-;2;48.5;Gisler Bruno;***;1;58.0;1;49.0;-1;0.5;9.0

3b;Blatter Lorenz;**;;;;;;;;;57.5
+;;;Döbeli Andreas (1998);*;;;;;;;10.0
+;1;10.0;Graber Willy;***;7;56.5;2;9.75;1;-0.25;10.0
-;1;20.0;Fankhauser Erich;***;4;57.25;1;20.0;0;0.0;9.0
+;3;29.0;Hermann Oliver;*;9;56.0;5;28.5;2;-0.5;10.0
-;1;39.0;Mahrer Jürg;**;4;57.25;3;38.5;2;-0.5;8.75
+;3;47.75;Büchi Christian;;12;55.25;6;46.75;3;-1.0;9.75

4a;Mahrer Jürg;**;;;;;;;;;57.25
+;;;Nyffeler Christoph;*;;;;;;;9.75
-;2;9.75;Nötzli Bruno;***;5;57.0;4;8.75;2;-1.0;8.75
+;6;18.5;Schmutz Simon (2000);;14;54.75;6;18.5;0;0.0;10.0
+;5;28.5;Schaffner Samuel;**;10;55.75;6;28.25;1;-0.25;10.0
-;3;38.5;Blatter Lorenz;**;3;57.5;1;39.0;-2;0.5;8.75
+;4;47.25;Schillig Willi;**;10;55.75;5;47.0;1;-0.25;10.0

4b;Fankhauser Erich;***;;;;;;;;;57.25
+;;;Thürig Mario;***;;;;;;;10.0
+;1;10.0;Räbmatter Patrick;**;5;57.0;1;10.0;0;0.0;10.0
-;1;20.0;Blatter Lorenz;**;3;57.5;1;20.0;0;0.0;9.0
o;3;29.0;Gisler Bruno;***;1;58.0;3;29.0;0;0.0;8.5
+;7;37.5;Schmid David;**;6;56.75;4;38.25;-3;0.75;9.75
+;4;47.25;Stegmüller Klemens;*;10;55.75;4;47.25;0;0.0;10.0

5a;Räbmatter Patrick;**;;;;;;;;;57.0
+;;;Waldner Patrick;**;;;;;;;10.0
o;1;10.0;Fankhauser Erich;***;4;57.25;1;10.0;0;0.0;8.75
+;5;18.75;Mangold Michael;;9;56.0;1;20.0;-4;1.25;10.0
+;4;28.75;Strebel Joel;**;11;55.5;5;28.5;1;-0.25;9.75
+;3;38.5;Stalder Remo;***;6;56.75;4;38.25;1;-0.25;10.0
o;2;48.5;Glarner Matthias;***;5;57.0;4;47.25;2;-1.25;8.5

5b;Kocher Remo;**;;;;;;;;;57.0
-;;;Hügli Kaj;*;;;;;;;8.75
+;4;8.75;Arnold Kornel;*;13;55.0;4;8.75;0;0.0;9.75
-;6;18.5;Zwyssig Raphael;***;9;56.0;9;17.25;3;-1.25;8.75
+;9;27.25;Läuchli Janik (2000);;12;55.25;6;28.25;-3;1.0;10.0
+;8;37.25;Lehmann Robin (1999);;18;53.75;10;36.75;2;-0.5;10.0
+;4;47.25;Rüegger Aaron (1999);;23;46.0;9;46.0;5;-1.25;9.75

5c;Glarner Matthias;***;;;;;;;;;57.0
-;;;Bieri Christoph;***;;;;;;;8.75
-;4;8.75;Schmid David;**;6;56.75;2;9.75;-2;1.0;8.75
+;8;17.5;Thoenen Henryc;**;6;56.75;6;18.5;-2;1.0;9.75
+;9;27.25;Studinger Stephan;**;6;56.75;5;28.5;-4;1.25;10.0
+;8;37.25;Erb Roger;**;10;55.75;8;37.25;0;0.0;10.0
+;4;47.25;Räbmatter Patrick;**;5;57.0;2;48.5;-2;1.25;9.75

5d;Nötzli Bruno;***;;;;;;;;;57.0
-;;;Gisler Bruno;***;;;;;;;8.75
-;4;8.75;Mahrer Jürg;**;4;57.25;2;9.75;-2;1.0;8.75
+;8;17.5;Klausner Yanick;**;5;57.0;5;18.75;-3;1.25;9.75
+;9;27.25;Schillig Willi;**;10;55.75;4;28.75;-5;1.5;10.0
+;8;37.25;Mangold Michael;;9;56.0;3;38.5;-5;1.25;10.0
