3338-2018-06-24_Fete_Alpestre_Lac_Noir-Bergschwinget_Schwarzsee2-ST

1a;Stucki Christian;***;;;;;;;;;58.5
-;;;Alpiger Nick;***;;;;;;;8.75
+;4;8.75;Brand Christian;**;13;55.0;2;9.75;-2;1.0;10.0
+;5;18.75;Aellen Florian;*;11;55.5;1;20.0;-4;1.25;10.0
+;4;28.75;Moser Michael;**;7;56.5;2;29.5;-2;0.75;10.0
+;2;38.75;Schwander Severin;*;9;56.0;2;38.75;0;0.0;9.75
+;2;48.5;Gnägi Florian;***;2;58.25;1;49.5;-1;1.0;10.0

2a;Gnägi Florian;***;;;;;;;;;58.25
+;;;Gapany Benjamin;**;;;;;;;10.0
+;1;10.0;Hügli Kaj;**;16;54.25;2;9.75;1;-0.25;9.75
+;2;19.75;Marti Stefan;**;10;55.75;2;19.75;0;0.0;10.0
+;1;29.75;Gerber Christian;**;6;56.75;1;29.75;0;0.0;10.0
+;1;39.75;Sempach Thomas;***;6;56.75;3;38.5;2;-1.25;9.75
o;1;49.5;Stucki Christian;***;1;58.5;2;48.5;1;-1.0;8.75

3a;Anderegg Simon;***;;;;;;;;;58.0
-;;;Bieri Christoph;***;;;;;;;8.75
+;4;8.75;Hermann Oliver;*;13;55.0;2;9.75;-2;1.0;10.0
+;5;18.75;Emonet Fabien;**;22;52.5;6;18.5;1;-0.25;10.0
+;4;28.75;Brun Samuel;**;14;54.75;7;28.0;3;-0.75;9.75
+;3;38.5;Roch Vincent;**;11;55.5;3;38.5;0;0.0;9.75
+;3;48.25;Moser Michael;**;7;56.5;4;48.0;1;-0.25;9.75

4a;Kramer Lario;**;;;;;;;;;57.75
+;;;Glarner Matthias;***;;;;;;;10.0
+;1;10.0;Wüthrich Niklaus;**;12;55.25;2;9.75;1;-0.25;9.75
o;2;19.75;Gerber Christian;**;6;56.75;1;20.0;-1;0.25;8.5
+;6;28.25;Leuenberger Michael;*;13;55.0;6;28.25;0;0.0;9.75
+;5;38.0;Renfer Lukas;*;6;56.75;4;38.25;-1;0.25;9.75
+;5;47.75;Inniger Thomas;*;7;56.5;5;47.75;0;0.0;10.0

5a;Orlik Curdin;**;;;;;;;;;57.0
-;;;Thürig Mario;***;;;;;;;8.75
-;4;8.75;Kramer Franz;*;12;55.25;2;9.75;-2;1.0;8.75
+;9;17.5;Hayoz Quentin;*;28;34.5;10;17.25;1;-0.25;10.0
+;9;27.5;Brodard Augustin;**;19;53.25;10;27.25;1;-0.25;9.75
+;8;37.25;Mangold Michael;**;15;54.5;7;37.5;-1;0.25;9.75
+;8;47.0;Brun Samuel;**;14;54.75;11;46.25;3;-0.75;10.0

6a;Sempach Thomas;***;;;;;;;;;56.75
-;;;Räbmatter Patrick;***;;;;;;;8.75
+;4;8.75;Roch Vincent;**;11;55.5;2;9.75;-2;1.0;10.0
+;5;18.75;Stoffel Marc;**;15;54.5;4;19.0;-1;0.25;10.0
+;4;28.75;Luginbühl Hanspeter;**;9;56.0;3;29.0;-1;0.25;9.75
o;3;38.5;Gnägi Florian;***;2;58.25;1;39.75;-2;1.25;8.5
+;8;47.0;Stegmüller Klemens;*;12;55.25;9;46.75;1;-0.25;9.75

6b;Gerber Christian;**;;;;;;;;;56.75
+;;;Erb Roger;**;;;;;;;10.0
+;1;10.0;Dind Samuel;**;20;53.0;3;9.0;2;-1.0;10.0
+;1;20.0;Kramer Lario;**;4;57.75;2;19.75;1;-0.25;9.75
o;1;29.75;Gnägi Florian;***;2;58.25;1;29.75;0;0.0;8.5
-;4;38.25;Thürig Mario;***;8;56.25;7;37.5;3;-0.75;8.75
+;8;47.0;Stoll Simon;*;13;55.0;10;46.5;2;-0.5;9.75

6c;Renfer Lukas;*;;;;;;;;;56.75
+;;;Gottofrey Marc;**;;;;;;;10.0
o;1;10.0;Räbmatter Patrick;***;9;56.0;4;8.75;3;-1.25;8.75
+;5;18.75;Hauri Urs;**;16;54.25;6;18.5;1;-0.25;9.75
+;5;28.5;Alpiger Nick;***;14;54.75;9;27.5;4;-1.0;9.75
o;4;38.25;Kramer Lario;**;4;57.75;5;38.0;1;-0.25;8.5
+;9;46.75;Roch Vincent;**;11;55.5;8;47.0;-1;0.25;10.0

7a;Moser Michael;**;;;;;;;;;56.5
+;;;Cardinaux Victor;**;;;;;;;9.75
+;2;9.75;Berset Cyril;*;28;34.5;4;8.75;2;-1.0;10.0
+;2;19.75;Leuthard Reto;*;17;54.0;6;18.5;4;-1.25;9.75
o;2;29.5;Stucki Christian;***;1;58.5;4;28.75;2;-0.75;8.5
+;5;38.0;Schmid David;***;14;54.75;7;37.5;2;-0.5;10.0
o;4;48.0;Anderegg Simon;***;3;58.0;3;48.25;-1;0.25;8.5

7b;Inniger Thomas;*;;;;;;;;;56.5
+;;;Parvex Yannick;*;;;;;;;10.0
-;1;10.0;Bieri Christoph;***;9;56.0;4;8.75;3;-1.25;8.75
+;5;18.75;Lerch Jimmy;*;25;35.5;6;18.5;1;-0.25;10.0
-;4;28.75;Widmer Tobias;**;8;56.25;5;28.5;1;-0.25;9.0
+;6;37.75;Ramseier Fritz;**;15;54.5;8;37.25;2;-0.5;10.0
o;5;47.75;Kramer Lario;**;4;57.75;5;47.75;0;0.0;8.75

8a;Thürig Mario;***;;;;;;;;;56.25
-;;;Orlik Curdin;**;;;;;;;8.75
+;4;8.75;Kämpf Alexander;**;11;55.5;2;9.75;-2;1.0;9.75
+;6;18.5;Wittwer Jan;*;17;54.0;3;19.5;-3;1.0;10.0
-;5;28.5;Mathys Simon;**;23;46.25;4;28.75;-1;0.25;9.0
-;7;37.5;Gerber Christian;**;6;56.75;4;38.25;-3;0.75;8.75
+;11;46.25;Gehrig Damian;***;16;54.25;13;45.75;2;-0.5;10.0

8b;Gobeli Patrick;*;;;;;;;;;56.25
+;;;Studinger Stephan;**;;;;;;;9.75
-;2;9.75;Alpiger Nick;***;14;54.75;4;8.75;2;-1.0;9.0
+;5;18.75;Rapin Florent;*;22;52.5;6;18.5;1;-0.25;10.0
-;4;28.75;Moser Steven;**;13;55.0;10;27.25;6;-1.5;8.75
-;7;37.5;Kramer Franz;*;12;55.25;8;37.25;1;-0.25;9.0
+;10;46.5;Schmid David;***;14;54.75;12;46.0;2;-0.5;9.75

8c;Widmer Tobias;**;;;;;;;;;56.25
+;;;Guisolan Marc;**;;;;;;;9.75
-;2;9.75;Glarner Matthias;***;31;27.25;5;8.5;3;-1.25;8.75
+;6;18.5;Buchs Carlo;*;29;34.25;11;17.0;5;-1.5;10.0
-;5;28.5;Inniger Thomas;*;7;56.5;4;28.75;-1;0.25;9.0
+;7;37.5;Leuenberger Michael;*;13;55.0;10;36.75;3;-0.75;10.0
-;6;47.5;Schwander Severin;*;9;56.0;7;47.25;1;-0.25;8.75

8d;Staudenmann Fabian (2000);**;;;;;;;;;56.25
-;;;Borcard Johann;**;;;;;;;9.0
+;3;9.0;Rapin Florent;*;22;52.5;1;10.0;-2;1.0;9.75
+;5;18.75;Cardinaux Victor;**;18;53.75;7;18.25;2;-0.5;10.0
-;4;28.75;Schmid David;***;14;54.75;5;28.5;1;-0.25;9.0
-;6;37.75;Wüthrich Niklaus;**;12;55.25;5;38.0;-1;0.25;8.75
+;10;46.5;Mangold Michael;**;15;54.5;12;46.0;2;-0.5;9.75

9a;Schwander Severin;*;;;;;;;;;56.0
+;;;Varone Luc;*;;;;;;;10.0
+;1;10.0;Erb Roger;**;11;55.5;5;8.5;4;-1.5;10.0
-;1;20.0;Räbmatter Patrick;***;9;56.0;6;18.5;5;-1.5;8.75
+;4;28.75;Gapany Benjamin;**;10;55.75;5;28.5;1;-0.25;10.0
o;2;38.75;Stucki Christian;***;1;58.5;2;38.75;0;0.0;8.5
-;7;47.25;Widmer Tobias;**;8;56.25;6;47.5;-1;0.25;8.75

9b;Bieri Christoph;***;;;;;;;;;56.0
-;;;Anderegg Simon;***;;;;;;;8.75
