3339-2019-06-23_Fete_alpestre_Lac_Noir-Bergschwinget_Schwarzsee-ST

1a;Aeschbacher Matthias;**;;;;;;;;;58.75
+;;;Gapany Benjamin;**;;;;;;;10.0
-;1;10.0;Bösch Daniel;***;6;56.75;2;9.75;1;-0.25;8.75
+;5;18.75;Brodard Augustin;**;12;55.25;5;18.75;0;0.0;10.0
+;4;28.75;Dumelin David;**;12;55.25;5;28.5;1;-0.25;10.0
+;2;38.75;Zenger Niklaus;***;6;56.75;4;38.25;2;-0.5;10.0
+;2;48.75;Anderegg Simon;***;3;58.0;1;49.25;-1;0.5;10.0

2a;Lengacher Jonas;**;;;;;;;;;58.25
+;;;Dumelin David;**;;;;;;;10.0
+;1;10.0;Borcard Clovis;*;18;53.75;1;10.0;0;0.0;10.0
o;1;20.0;Bösch Daniel;***;6;56.75;6;18.5;5;-1.5;8.5
+;5;28.5;Lerch Jimmy;*;22;52.5;11;27.0;6;-1.5;10.0
+;3;38.5;Graber Willy;***;5;57.0;3;38.5;0;0.0;10.0
+;3;48.5;Kämpf Bernhard;***;5;57.0;4;48.25;1;-0.25;9.75

3a;Anderegg Simon;***;;;;;;;;;58.0
+;;;Krähenbühl Tobias;***;;;;;;;9.75
+;2;9.75;Schlegel Werner (2002);*;14;54.75;1;10.0;-1;0.25;10.0
+;2;19.75;Koch Thomas;*;18;53.75;2;19.75;0;0.0;9.75
+;2;29.5;Gäumann Stefan;*;11;55.5;2;29.5;0;0.0;10.0
+;1;39.5;Käser Remo;***;4;57.25;3;38.5;2;-1.0;9.75
o;1;49.25;Aeschbacher Matthias;**;1;58.75;2;48.75;1;-0.5;8.75

4a;Käser Remo;***;;;;;;;;;57.25
o;;;Rychen Roger;***;;;;;;;8.75
+;4;8.75;Wittenwiler Roman;*;18;53.75;2;9.75;-2;1.0;9.75
+;6;18.5;Zimmermann Mario;*;22;52.5;6;18.5;0;0.0;10.0
+;5;28.5;Roch Vincent;**;12;55.25;5;28.5;0;0.0;10.0
o;3;38.5;Anderegg Simon;***;3;58.0;1;39.5;-2;1.0;8.75
+;6;47.25;Roth Martin;**;11;55.5;7;47.0;1;-0.25;10.0

4b;Staudenmann Fabian;**;;;;;;;;;57.25
