3341-2019-06-10_Stoos-Schwinget-ST

1a;Wicki Joel;**;;;;;;;;;59.5
+;;;Schenk Patrick;***;;;;;;;10.0
+;1;10.0;Ulrich Andreas;***;7;56.0;2;9.75;1;-0.25;9.75
+;2;19.75;Arnold Stefan;**;4;57.0;1;20.0;-1;0.25;9.75
+;2;29.5;Imhof Andi;***;12;54.75;4;28.5;2;-1.0;10.0
+;1;39.5;Kropf Marcel;**;8;55.75;3;38.5;2;-1.0;10.0
+;1;49.5;Schurtenberger Sven;***;4;57.0;2;48.25;1;-1.25;10.0

2a;Reichmuth Pirmin;***;;;;;;;;;57.75
-;;;Alpiger Nick;***;;;;;;;9.0
+;3;9.0;Müllestein Mike;***;5;56.5;1;10.0;-2;1.0;10.0
-;4;19.0;Mathis Marcel;***;11;55.0;5;18.75;1;-0.25;9.0
+;6;28.0;Hermann Oliver;*;9;55.5;3;28.75;-3;0.75;10.0
+;5;38.0;Räbmatter Patrick;***;5;56.5;4;38.25;-1;0.25;9.75
+;3;47.75;Döbeli Andreas;*;8;55.75;5;47.25;2;-0.5;10.0

3a;Van Messel Noe (2002);*;;;;;;;;;57.25
+;;;Voggensperger Lars (2001);*;;;;;;;10.0
+;1;10.0;Anderegg David;*;20;35.5;2;9.75;1;-0.25;10.0
o;1;20.0;Alpiger Nick;***;4;57.0;6;18.5;5;-1.5;8.5
-;4;28.5;Döbeli Andreas;*;8;55.75;5;28.25;1;-0.25;9.0
+;7;37.5;Kurmann Toni;*;14;54.25;9;37.0;2;-0.5;9.75
+;5;47.25;Schenk Patrick;***;10;55.25;7;46.75;2;-0.5;10.0

4a;Schurtenberger Sven;***;;;;;;;;;57.0
+;;;Zenger Niklaus;***;;;;;;;10.0
+;1;10.0;Bieri Marcel;**;6;56.25;1;10.0;0;0.0;9.75
+;2;19.75;Nötzli Reto;***;9;55.5;5;18.75;3;-1.0;10.0
o;1;29.75;Alpiger Nick;***;4;57.0;4;28.5;3;-1.25;8.5
+;4;38.25;Schenk Patrick;***;10;55.25;4;38.25;0;0.0;10.0
o;2;48.25;Wicki Joel;**;1;59.5;1;49.5;-1;1.25;8.75

4b;Arnold Stefan;**;;;;;;;;;57.0
+;;;Kocher Remo;**;;;;;;;10.0
+;1;10.0;Linggi Bruno;**;15;54.0;2;9.75;1;-0.25;10.0
o;1;20.0;Wicki Joel;**;1;59.5;2;19.75;1;-0.25;8.5
+;4;28.5;Ulrich Marco;*;12;54.75;6;28.0;2;-0.5;9.75
-;4;38.25;Mathis Marcel;***;11;55.0;7;37.5;3;-0.75;8.75
+;6;47.0;Hermann Oliver;*;9;55.5;6;47.0;0;0.0;10.0

4c;Alpiger Nick;***;;;;;;;;;57.0
-;;;Reichmuth Pirmin;***;;;;;;;8.75
+;4;8.75;Egli Damian;**;9;55.5;1;10.0;-3;1.25;9.75
+;6;18.5;Van Messel Noe (2002);*;3;57.25;1;20.0;-5;1.5;10.0
+;4;28.5;Schurtenberger Sven;***;4;57.0;1;29.75;-3;1.25;10.0
-;3;38.5;Bieri Marcel;**;6;56.25;2;38.75;-1;0.25;8.75
+;5;47.25;Kenel Franz-Toni;*;8;55.75;5;47.25;0;0.0;9.75

5a;Suppiger Werner;**;;;;;;;;;56.5
+;;;Wittwer Josias;**;;;;;;;9.75
+;2;9.75;Hügli Kaj;**;20;35.5;2;9.75;0;0.0;9.75
o;3;19.5;Räbmatter Patrick;***;5;56.5;6;18.5;3;-1.0;8.5
+;6;28.0;Arnold Raphael;**;11;55.0;5;28.25;-1;0.25;9.75
-;6;37.75;Herger Matthias;**;6;56.25;7;37.5;1;-0.25;8.75
+;8;46.5;Studinger Stephan;**;10;55.25;7;46.75;-1;0.25;10.0

5b;Müllestein Mike;***;;;;;;;;;56.5
+;;;Studinger Stephan;**;;;;;;;10.0
o;1;10.0;Reichmuth Pirmin;***;2;57.75;3;9.0;2;-1.0;8.5
+;6;18.5;Vieira Tiago;**;16;53.5;5;18.75;-1;0.25;9.75
-;5;28.25;Gäumann Stefan;*;8;55.75;4;28.5;-1;0.25;8.75
+;9;37.0;Schwander Severin;**;13;54.5;8;37.25;-1;0.25;9.75
+;7;46.75;Voggensperger Lars (2001);*;9;55.5;6;47.0;-1;0.25;9.75

5c;Räbmatter Patrick;***;;;;;;;;;56.5
o;;;Imhof Andi;***;;;;;;;8.5
+;5;8.5;Graber Michael;*;21;35.25;2;9.75;-3;1.25;10.0
+;6;18.5;Suppiger Werner;**;5;56.5;3;19.5;-3;1.0;9.75
+;5;28.25;Kenel Franz-Toni;*;8;55.75;3;28.75;-2;0.5;10.0
o;4;38.25;Reichmuth Pirmin;***;2;57.75;5;38.0;1;-0.25;8.5
+;7;46.75;Arnold Raphael;**;11;55.0;8;46.5;1;-0.25;9.75

6a;Bieri Marcel;**;;;;;;;;;56.25
+;;;Kropf Marcel;**;;;;;;;10.0
o;1;10.0;Schurtenberger Sven;***;4;57.0;1;10.0;0;0.0;8.75
+;5;18.75;Brun Jonas;**;20;35.5;7;18.25;2;-0.5;10.0
+;3;28.75;Egli Damian;**;9;55.5;5;28.25;2;-0.5;10.0
-;2;38.75;Alpiger Nick;***;4;57.0;3;38.5;1;-0.25;8.75
-;4;47.5;Gäumann Stefan;*;8;55.75;6;47.0;2;-0.5;8.75

6b;Herger Matthias;**;;;;;;;;;56.25
-;;;Schwander Severin;**;;;;;;;8.75
+;4;8.75;Schmid Samuel;**;16;53.5;4;8.75;0;0.0;10.0
o;5;18.75;Hermann Oliver;*;9;55.5;5;18.75;0;0.0;8.75
+;7;27.5;Reichmuth Marco;**;11;55.0;7;27.5;0;0.0;10.0
-;7;37.5;Suppiger Werner;**;5;56.5;6;37.75;-1;0.25;8.75
+;9;46.25;Ulrich Marco;*;12;54.75;9;46.25;0;0.0;10.0

7a;Suppiger René;***;;;;;;;;;56.0
-;;;Mathis Marcel;***;;;;;;;8.75
+;4;8.75;Effinger Markus;*;20;35.5;2;9.75;-2;1.0;10.0
o;5;18.75;Schenk Patrick;***;10;55.25;6;18.5;1;-0.25;8.5
+;8;27.25;Hess Dominik;*;10;55.25;4;28.5;-4;1.25;10.0
+;8;37.25;Erb Roger;**;10;55.25;9;37.0;1;-0.25;10.0
-;5;47.25;Ulrich Andreas;***;7;56.0;5;47.25;0;0.0;8.75

7b;Berger Lorenz;*;;;;;;;;;56.0
+;;;Waser Reto;*;;;;;;;10.0
o;1;10.0;Ulrich Marco;*;12;54.75;2;9.75;1;-0.25;8.5
