3361-2016-05-22_Fete_Cantonale_Neuchateloise2-ST

1a;Dind Samuel;**;;;;;;;;;58.0
o;;;Wampfler Beat;***;;;;;;;8.5
+;4;8.5;Dubey Gaël;;17;54.0;2;9.75;-2;1.25;10.0
+;4;18.5;Mauron Olivier;*;12;55.25;4;18.5;0;0.0;10.0
+;3;28.5;Derron Cédric;*;10;55.75;2;28.75;-1;0.25;9.75
+;2;38.25;Kramer Lario (1998);*;10;55.75;1;38.5;-1;0.25;10.0
+;2;48.25;Glauser Thomas;**;5;57.0;1;48.5;-1;0.25;9.75

2a;Nydegger Michael;***;;;;;;;;;57.75
+;;;Droxler Jonathan;*;;;;;;;9.75
-;2;9.75;Haenni Stéphane;**;9;56.0;1;10.0;-1;0.25;8.75
+;4;18.5;Gottofrey Marc;**;8;56.25;3;18.75;-1;0.25;10.0
+;3;28.5;Zosso Remo;**;9;56.0;2;28.75;-1;0.25;9.75
+;2;38.25;Gapany Benjamin;**;7;56.5;2;38.25;0;0.0;9.75
+;3;48.0;Derron Cédric;*;10;55.75;5;47.25;2;-0.75;9.75

3a;Cardinaux Victor;*;;;;;;;;;57.5
o;;;Dousse Michel;*;;;;;;;8.75
+;3;8.75;Niederberger Nicola (2000);;14;54.75;2;9.75;-1;1.0;10.0
o;3;18.75;Moser Steven;**;4;57.25;4;18.5;1;-0.25;8.75
+;7;27.5;Golliard Steve;;18;53.75;4;28.25;-3;0.75;10.0
+;4;37.5;Pellet Michael;**;12;55.25;7;36.75;3;-0.75;10.0
+;4;47.5;Kramer Lario (1998);*;10;55.75;5;47.25;1;-0.25;10.0

4a;Guisolan Marc;**;;;;;;;;;57.25
-;;;Duplan Steve;**;;;;;;;8.75
+;3;8.75;Kyburz Silas;;16;54.25;2;9.75;-1;1.0;9.75
+;4;18.5;Kropf Rolf;**;12;55.25;4;18.5;0;0.0;10.0
+;3;28.5;Pouye Diey;*;13;55.0;4;28.25;1;-0.25;10.0
+;1;38.5;Dousse Michel;*;9;56.0;1;38.5;0;0.0;10.0
-;1;48.5;Moser Steven;**;4;57.25;1;48.5;0;0.0;8.75

4b;Moser Steven;**;;;;;;;;;57.25
-;;;Roschi Ruedi;**;;;;;;;8.75
+;3;8.75;Wieland Micha;;13;55.0;2;9.75;-1;1.0;9.75
+;4;18.5;Cardinaux Victor;*;3;57.5;3;18.75;-1;0.25;10.0
+;3;28.5;Berset Julien;*;9;56.0;3;28.5;0;0.0;10.0
+;1;38.5;Brodard Augustin;**;11;55.5;2;38.25;1;-0.25;10.0
-;1;48.5;Guisolan Marc;**;4;57.25;1;48.5;0;0.0;8.75

5a;Roschi Ruedi;**;;;;;;;;;57.0
-;;;Moser Steven;**;;;;;;;8.75
+;3;8.75;Roch Vincent;*;6;56.75;1;10.0;-2;1.25;10.0
+;3;18.75;Dousse Michel;*;9;56.0;1;20.0;-2;1.25;10.0
-;2;28.75;Piemontesi Pascal;**;5;57.0;3;28.5;1;-0.25;8.75
+;4;37.5;Ducry Antoine;;6;56.75;1;38.5;-3;1.0;9.75
+;5;47.25;Mauron Olivier;*;12;55.25;7;46.75;2;-0.5;9.75

5b;Piemontesi Pascal;**;;;;;;;;;57.0
+;;;Pellet Michael;**;;;;;;;10.0
-;1;10.0;Wampfler Beat;***;7;56.5;2;9.75;1;-0.25;8.75
+;3;18.75;Brodard Simon;**;11;55.5;4;18.5;1;-0.25;9.75
-;3;28.5;Roschi Ruedi;**;5;57.0;2;28.75;-1;0.25;8.75
+;5;37.25;Wenger Marcel (1999);;7;56.5;2;38.25;-3;1.0;9.75
+;6;47.0;Berset Cyril;*;12;55.25;7;46.75;1;-0.25;10.0

5c;Glauser Thomas;**;;;;;;;;;57.0
o;;;Haenni Stéphane;**;;;;;;;8.5
+;4;8.5;Spring Dominic;;22;52.5;1;10.0;-3;1.5;10.0
+;4;18.5;Pellet Michael;**;12;55.25;4;18.5;0;0.0;10.0
+;3;28.5;Giroud Jonathan;**;12;55.25;4;28.25;1;-0.25;10.0
+;1;38.5;Duplan Steve;**;9;56.0;4;37.5;3;-1.0;10.0
o;1;48.5;Dind Samuel;**;1;58.0;2;48.25;1;-0.25;8.5

5d;Hayoz Paul (1998);;;;;;;;;;57.0
+;;;Beer Peter (1999);;;;;;;;10.0
-;1;10.0;Rüegg Patrick (1999);;16;54.25;2;9.75;1;-0.25;8.75
+;3;18.75;Skryapnik Oleg;*;26;25.5;8;17.0;5;-1.75;9.75
o;3;28.5;Wampfler Beat;***;7;56.5;9;27.0;6;-1.5;8.5
+;6;37.0;Pürro Tobias;;19;53.5;8;36.5;2;-0.5;10.0
+;6;47.0;Schwander Severin;;10;55.75;6;47.0;0;0.0;10.0

6a;Roch Vincent;*;;;;;;;;;56.75
+;;;Borcard Johann;**;;;;;;;10.0
o;1;10.0;Roschi Ruedi;**;5;57.0;3;8.75;2;-1.25;8.5
+;4;18.5;Dufey Gil;;16;54.25;3;18.75;-1;0.25;9.75
+;4;28.25;Beer Peter (1999);;15;54.5;7;27.5;3;-0.75;10.0
o;2;38.25;Gottofrey Marc;**;8;56.25;4;37.5;2;-0.75;8.5
+;7;46.75;Haenni Stéphane;**;9;56.0;4;47.5;-3;0.75;10.0

6b;Ducry Antoine;;;;;;;;;;56.75
+;;;Barras François (1998);;;;;;;;10.0
+;1;10.0;Morger Adrian;;17;54.0;4;8.5;3;-1.5;10.0
+;1;20.0;Emonet Frédéric;*;10;55.75;7;17.25;6;-2.75;10.0
o;1;30.0;Dousse Michel;*;9;56.0;3;28.5;2;-1.5;8.5
o;1;38.5;Roschi Ruedi;**;5;57.0;4;37.5;3;-1.0;8.5
+;6;47.0;Chèvre Bernard;;12;55.25;7;46.75;1;-0.25;9.75

7a;Wenger Marcel (1999);;;;;;;;;;56.5
+;;;Morger Adrian;;;;;;;;9.75
-;2;9.75;Gassmann Simon;;11;55.5;1;10.0;-1;0.25;8.75
+;4;18.5;Schafer Damien;;12;55.25;4;18.5;0;0.0;9.75
+;4;28.25;Brodard Simon;**;11;55.5;9;27.0;5;-1.25;10.0
o;2;38.25;Piemontesi Pascal;**;5;57.0;5;37.25;3;-1.0;8.5
+;7;46.75;Riedo Fredy;;12;55.25;7;46.75;0;0.0;9.75

7b;Gapany Benjamin;**;;;;;;;;;56.5
+;;;Kropf Rolf;**;;;;;;;9.75
+;2;9.75;Berset Julien;*;9;56.0;1;10.0;-1;0.25;10.0
-;2;19.75;Wampfler Beat;***;7;56.5;4;18.5;2;-1.25;8.5
+;4;28.25;Riedo Fredy;;12;55.25;3;28.5;-1;0.25;10.0
o;2;38.25;Nydegger Michael;***;2;57.75;2;38.25;0;0.0;8.5
+;7;46.75;Cropt Harald;**;14;54.75;9;46.25;2;-0.5;9.75

7c;Wampfler Beat;***;;;;;;;;;56.5
+;;;Dind Samuel;**;;;;;;;9.75
-;2;9.75;Piemontesi Pascal;**;5;57.0;1;10.0;-1;0.25;8.75
-;4;18.5;Gapany Benjamin;**;7;56.5;2;19.75;-2;1.25;8.5
+;9;27.0;Hayoz Paul (1998);;5;57.0;3;28.5;-6;1.5;9.75
+;7;36.75;Loup Alexandre;;18;53.75;7;36.75;0;0.0;10.0
+;7;46.75;Borcard Johann;**;12;55.25;7;46.75;0;0.0;9.75

8a;Gottofrey Marc;**;;;;;;;;;56.25
-;;;Remy Guillaume;**;;;;;;;8.75
+;3;8.75;Blanchard Benjamin;;19;53.5;2;9.75;-1;1.0;10.0
o;3;18.75;Nydegger Michael;***;2;57.75;4;18.5;1;-0.25;8.75
+;7;27.5;Lützelschwab Luc (1999);;20;53.25;7;27.5;0;0.0;10.0
+;4;37.5;Roch Vincent;*;6;56.75;2;38.25;-2;0.75;9.75
-;5;47.25;Kropf Rolf;**;12;55.25;8;46.5;3;-0.75;9.0

9a;Duplan Steve;**;;;;;;;;;56.0
-;;;Guisolan Marc;**;;;;;;;8.75
+;3;8.75;Loup Alexandre;;18;53.75;2;9.75;-1;1.0;10.0
+;3;18.75;Liaudat Rudy;**;13;55.0;3;18.75;0;0.0;10.0
-;2;28.75;Borcard Johann;**;12;55.25;4;28.25;2;-0.5;8.75
o;4;37.5;Glauser Thomas;**;5;57.0;1;38.5;-3;1.0;8.5
+;10;46.0;Derron Julien;;13;55.0;8;46.5;-2;0.5;10.0

9b;Haenni Stéphane;**;;;;;;;;;56.0
+;;;Glauser Thomas;**;;;;;;;10.0
-;1;10.0;Nydegger Michael;***;2;57.75;2;9.75;1;-0.25;8.75
-;3;18.75;Brodard Augustin;**;11;55.5;2;19.75;-1;1.0;8.75
+;7;27.5;Burri Flemming;;25;37.0;3;28.5;-4;1.0;10.0
+;4;37.5;Emonet Fabien;;12;55.25;6;37.0;2;-0.5;10.0
o;4;47.5;Roch Vincent;*;6;56.75;7;46.75;3;-0.75;8.5

