3363-2016-05-29_Fete_Cantonale_Vaudoise2-ST

1a;Roch Vincent;*;;;;;;;;;58.0
+;;;Derron Cédric;*;;;;;;;10.0
o;1;10.0;Moser Steven;**;3;57.25;1;10.0;0;0.0;8.5
+;6;18.5;Buchs Carlo;;10;55.5;1;20.0;-5;1.5;9.75
+;6;28.25;Dousse Michel;*;6;56.5;6;28.25;0;0.0;10.0
+;4;38.25;Kropf Rolf;**;7;56.25;7;37.5;3;-0.75;9.75
+;2;48.0;Cardinaux Victor;*;6;56.5;2;48.0;0;0.0;10.0

2a;Gottofrey Marc;**;;;;;;;;;57.75
+;;;Glauser Thomas;**;;;;;;;10.0
+;1;10.0;Dousse Michel;*;6;56.5;2;9.75;1;-0.25;9.75
o;2;19.75;Moser Steven;**;3;57.25;1;20.0;-1;0.25;8.5
+;6;28.25;Schöpfer Dio;;9;55.75;5;28.5;-1;0.25;9.75
+;5;38.0;Buchs Carlo;;10;55.5;3;38.5;-2;0.5;9.75
+;3;47.75;Mosimann Vincent;*;7;56.25;3;47.75;0;0.0;10.0

3a;Borcard Johann;**;;;;;;;;;57.25
o;;;Berset Frédéric;**;;;;;;;8.75
-;4;8.75;Pellet Michael;**;14;54.5;4;8.75;0;0.0;8.75
+;9;17.5;Mariéthoz Grégory (1999);;16;54.0;5;18.75;-4;1.25;10.0
+;8;27.5;Portmann Fabio (1998);;13;54.75;7;28.0;-1;0.5;9.75
+;8;37.25;Minder Florian;;25;45.75;8;37.25;0;0.0;10.0
+;5;47.25;Kramer Lario (1998);*;10;55.5;7;46.75;2;-0.5;10.0

3b;Guisolan Marc;**;;;;;;;;;57.25
-;;;Gapany Benjamin;**;;;;;;;8.75
+;4;8.75;Hayoz Paul (1998);*;12;55.0;2;9.75;-2;1.0;10.0
+;5;18.75;Schwander Severin;;4;57.0;1;20.0;-4;1.25;10.0
-;4;28.75;Moser Steven;**;3;57.25;1;30.0;-3;1.25;8.75
+;7;37.5;Mauron Olivier;*;8;56.0;7;37.5;0;0.0;9.75
+;5;47.25;Berset Julien;*;10;55.5;6;47.0;1;-0.25;10.0

3c;Gapany Benjamin;**;;;;;;;;;57.25
-;;;Guisolan Marc;**;;;;;;;8.75
+;4;8.75;Schafer Claudio;*;11;55.25;2;9.75;-2;1.0;10.0
+;5;18.75;Ducry Antoine;*;11;55.25;2;19.75;-3;1.0;9.75
+;5;28.5;Chèvre Bernard;;5;56.75;2;29.75;-3;1.25;10.0
+;3;38.5;Haenni Stéphane;**;4;57.0;3;38.5;0;0.0;10.0
-;1;48.5;Nydegger Michael;***;5;56.75;2;48.0;1;-0.5;8.75

3d;Piemontesi Pascal;**;;;;;;;;;57.25
o;;;Nydegger Michael;***;;;;;;;8.5
+;5;8.5;Mosimann Vincent;*;7;56.25;2;9.75;-3;1.25;10.0
+;6;18.5;Mauron Olivier;*;8;56.0;4;19.0;-2;0.5;10.0
+;5;28.5;Gassmann Simon;;5;56.75;5;28.5;0;0.0;10.0
+;3;38.5;Brodard Augustin;**;4;57.0;3;38.5;0;0.0;10.0
-;1;48.5;Moser Steven;**;3;57.25;1;48.5;0;0.0;8.75

3e;Moser Steven;**;;;;;;;;;57.25
+;;;Brodard Simon;**;;;;;;;10.0
+;1;10.0;Roch Vincent;*;1;58.0;1;10.0;0;0.0;10.0
+;1;20.0;Gottofrey Marc;**;2;57.75;2;19.75;1;-0.25;10.0
-;1;30.0;Guisolan Marc;**;3;57.25;4;28.75;3;-1.25;8.75
+;2;38.75;Schwander Severin;;4;57.0;3;38.5;1;-0.25;9.75
-;1;48.5;Piemontesi Pascal;**;3;57.25;1;48.5;0;0.0;8.75

4a;Cropt Harald;**;;;;;;;;;57.0
o;;;Dousse Michel;*;;;;;;;8.5
+;5;8.5;Emonet Fabien;;26;45.5;1;10.0;-4;1.5;10.0
o;6;18.5;Brodard Augustin;**;4;57.0;5;18.75;-1;0.25;8.5
+;10;27.0;Lützelschwab Luc (1999);;13;54.75;11;26.75;1;-0.25;10.0
+;9;37.0;Morger Adrian;*;11;55.25;10;36.75;1;-0.25;10.0
+;6;47.0;Ducry Antoine;*;11;55.25;7;46.75;1;-0.25;10.0

4b;Schwander Severin;;;;;;;;;;57.0
+;;;Dubey Gaël;;;;;;;;10.0
+;1;10.0;Emonet Frédéric;*;16;54.0;5;8.5;4;-1.5;10.0
o;1;20.0;Guisolan Marc;**;3;57.25;5;18.75;4;-1.25;8.5
+;5;28.5;Ducry Antoine;*;11;55.25;6;28.25;1;-0.25;10.0
o;3;38.5;Moser Steven;**;3;57.25;2;38.75;-1;0.25;8.5
+;6;47.0;Buchs Carlo;;10;55.5;6;47.0;0;0.0;10.0

4c;Brodard Augustin;**;;;;;;;;;57.0
-;;;Remy Guillaume;**;;;;;;;8.75
+;4;8.75;Barras François (1998);;9;55.75;2;9.75;-2;1.0;10.0
+;5;18.75;Cropt Harald;**;4;57.0;6;18.5;1;-0.25;9.75
+;5;28.5;Schafer Claudio;*;11;55.25;6;28.25;1;-0.25;10.0
o;3;38.5;Piemontesi Pascal;**;3;57.25;3;38.5;0;0.0;8.5
+;6;47.0;Burgy Frank;;12;55.0;8;46.5;2;-0.5;10.0

4d;Haenni Stéphane;**;;;;;;;;;57.0
+;;;Emonet Frédéric;*;;;;;;;10.0
+;1;10.0;Berset Julien;*;10;55.5;1;10.0;0;0.0;10.0
o;1;20.0;Nydegger Michael;***;5;56.75;1;20.0;0;0.0;8.5
+;5;28.5;Torche Bastian;;15;54.25;5;28.5;0;0.0;10.0
o;3;38.5;Gapany Benjamin;**;3;57.25;3;38.5;0;0.0;8.5
+;6;47.0;Overney Olivier;*;11;55.25;7;46.75;1;-0.25;10.0

5a;Nydegger Michael;***;;;;;;;;;56.75
+;;;Piemontesi Pascal;**;;;;;;;10.0
+;1;10.0;Berset Frédéric;**;10;55.5;2;9.75;1;-0.25;10.0
+;1;20.0;Haenni Stéphane;**;4;57.0;1;20.0;0;0.0;9.75
o;2;29.75;Cardinaux Victor;*;6;56.5;3;29.0;1;-0.75;8.5
+;4;38.25;Kramer Lario (1998);*;10;55.5;4;38.25;0;0.0;9.75
-;2;48.0;Gapany Benjamin;**;3;57.25;1;48.5;-1;0.5;8.75

5b;Chèvre Bernard;;;;;;;;;;56.75
+;;;Jacquier Pascal;;;;;;;;10.0
+;1;10.0;Berset Cyril;*;29;17.0;5;8.5;4;-1.5;9.75
+;2;19.75;Berset Julien;*;10;55.5;6;18.5;4;-1.25;10.0
o;2;29.75;Gapany Benjamin;**;3;57.25;5;28.5;3;-1.25;8.5
o;4;38.25;Remy Guillaume;**;8;56.0;7;37.5;3;-0.75;8.5
+;7;46.75;Parvex Yannick;;27;45.25;13;45.25;6;-1.5;10.0

5c;Gassmann Simon;;;;;;;;;;56.75
o;;;Riedo Fredy;;;;;;;;8.5
+;5;8.5;Quiot Didier;;17;53.75;1;10.0;-4;1.5;10.0
+;6;18.5;Pellet Michael;**;14;54.5;9;17.5;3;-1.0;10.0
o;5;28.5;Piemontesi Pascal;**;3;57.25;5;28.5;0;0.0;8.5
+;9;37.0;Mollet Adrian;;16;54.0;9;37.0;0;0.0;10.0
+;6;47.0;Liaudat Rudy;**;6;56.5;3;47.75;-3;0.75;9.75

6a;Liaudat Rudy;**;;;;;;;;;56.5
+;;;Zimmermann Mario;*;;;;;;;10.0
-;1;10.0;Kropf Rolf;**;7;56.25;4;8.75;3;-1.25;8.75
+;5;18.75;Schöpfer Dio;;9;55.75;1;20.0;-4;1.25;10.0
+;4;28.75;Giroud Jonathan;**;12;55.0;6;28.25;2;-0.5;10.0
-;2;38.75;Cardinaux Victor;*;6;56.5;1;39.0;-1;0.25;9.0
o;3;47.75;Gassmann Simon;;5;56.75;6;47.0;3;-0.75;8.75

6b;Brodard Simon;**;;;;;;;;;56.5
