3377-2016-05-01_111_Thurgauer_Kantonales_Schwingfest-ST

1a;Orlik Armon;**;;;;;;;;;58.75
+;;;Rhyner Michael;**;;;;;;;10.0
+;1;10.0;Coray Beda;*;13;55.25;2;9.75;1;-0.25;10.0
-;1;20.0;Bösch Daniel;***;2;58.25;3;19.5;2;-0.5;8.75
+;4;28.75;Notz Beni;***;6;57.0;4;28.75;0;0.0;10.0
+;2;38.75;Kuster Marcel;**;12;55.5;4;38.25;2;-0.5;10.0
+;2;48.75;Giger Samuel (1998);**;3;58.0;1;49.25;-1;0.5;10.0

2a;Bösch Daniel;***;;;;;;;;;58.25
+;;;Schneider Domenic;**;;;;;;;9.75
+;2;9.75;Kuster Marcel;**;12;55.5;1;10.0;-1;0.25;9.75
-;3;19.5;Orlik Armon;**;1;58.75;1;20.0;-2;0.5;8.75
+;6;28.25;Frick Andreas;*;12;55.5;5;28.5;-1;0.25;10.0
+;4;38.25;Leuppi Samir;**;8;56.5;4;38.25;0;0.0;10.0
+;3;48.25;Steiner Michael;**;7;56.75;3;48.25;0;0.0;10.0

3a;Giger Samuel (1998);**;;;;;;;;;58.0
+;;;Forrer Arnold;***;;;;;;;9.75
+;2;9.75;Gwerder Andreas;**;16;54.5;1;10.0;-1;0.25;10.0
+;2;19.75;Odermatt Christoph;*;12;55.5;1;20.0;-1;0.25;9.75
+;2;29.5;Glaus Martin;***;12;55.5;5;28.5;3;-1.0;9.75
+;1;39.25;Siegenthaler Tobias;*;11;55.75;3;38.5;2;-0.75;10.0
o;1;49.25;Orlik Armon;**;1;58.75;2;48.75;1;-0.5;8.75

3b;Schneider Mario;**;;;;;;;;;58.0
+;;;Schnurrenberger Roman;**;;;;;;;9.75
+;2;9.75;Schläpfer Matthias;*;7;56.75;1;10.0;-1;0.25;9.75
+;3;19.5;Odermatt Martin;*;24;35.75;4;18.75;1;-0.75;9.75
-;3;29.25;Rychen Roger;**;8;56.5;4;28.75;1;-0.5;9.0
+;4;38.25;Giger Urs;*;13;55.25;4;38.25;0;0.0;9.75
+;4;48.0;Fejzaj Naim;*;10;56.0;6;47.5;2;-0.5;10.0

4a;Bühler Ernst;**;;;;;;;;;57.75
-;;;Freuler Franz;**;;;;;;;9.0
-;3;9.0;Oertig Dominik;*;11;55.75;2;9.75;-1;0.75;9.0
