3378-2016-07-10_Appenzeller_Kantonalschwingfest-ST

1a;Koller Martin;*;;;;;;;;;110.75
-;;;Raymann David;*;;;;;;;9.0
o;;;Fässler Andreas;**;;;;;;;8.5
o;1;17.5;Straub Robin;*;12;55.75;6;8.5;5;-9.0;8.5
o;1;17.5;Manser Bruno;*;13;55.5;6;8.5;5;-9.0;8.5
+;1;34.5;Wettstein Daniel;;14;55.25;7;18.5;6;-16.0;9.75
+;1;34.5;Fässler Philipp (2000);;27;35.25;8;18.25;7;-16.25;10.0
o;1;54.25;Oertig Dominik;**;11;56.0;11;27.25;10;-27.0;8.5
+;1;54.25;Poltera Andrin (1999);;12;55.75;10;27.5;9;-26.75;9.75
+;1;72.5;Kiser Michael (1998);;21;53.5;13;36.5;12;-36.0;10.0
+;1;72.5;Koch Reto;;12;55.75;10;37.25;9;-35.25;10.0
+;1;92.5;Frei Hanspeter (1999);;20;53.75;16;45.25;15;-47.25;9.75
o;1;92.5;Rychen Roger;**;7;57.0;9;47.0;8;-45.5;8.5

2a;Zwyssig Raphael;***;;;;;;;;;59.0
+;;;Rychen Roger;**;;;;;;;10.0
+;2;10.0;Güntensperger Marcel;*;10;56.25;2;10.0;0;0.0;10.0
+;2;20.0;Scherer Christian;*;25;46.25;4;19.5;2;-0.5;10.0
+;2;30.0;Bernold Christian;**;7;57.0;5;28.75;3;-1.25;10.0
+;2;40.0;Fejzaj Naim;**;6;57.25;4;38.75;2;-1.25;10.0
-;2;50.0;Bless Michael;***;3;58.25;3;48.5;1;-1.5;9.0

3a;Bless Michael;***;;;;;;;;;58.25
o;;;Bösch Daniel;***;;;;;;;8.5
+;6;8.5;Krähenbühl Lukas;*;14;55.25;3;9.75;-3;1.25;10.0
+;7;18.5;Korrodi Paul;*;11;56.0;5;19.0;-2;0.5;10.0
+;6;28.5;Rychen Roger;**;7;57.0;6;28.5;0;0.0;10.0
+;5;38.5;Coray Beda;*;9;56.5;6;38.25;1;-0.25;10.0
+;3;48.5;Schneider Mario;**;9;56.5;5;48.0;2;-0.5;9.75
-;3;58.25;Zwyssig Raphael;***;2;59.0;2;59.0;-1;0.75;0.0

4a;Hersche Martin;**;;;;;;;;;58.0
+;;;Gwerder Andreas;**;;;;;;;10.0
-;2;10.0;Bösch Daniel;***;8;56.75;3;9.75;1;-0.25;8.75
+;6;18.75;Vollmeier Sandro;;15;55.0;3;19.75;-3;1.0;9.75
+;6;28.5;Krähenbühl Lukas;*;14;55.25;7;28.25;1;-0.25;9.75
+;6;38.25;Raymann David;*;13;55.5;10;37.25;4;-1.0;10.0
+;4;48.25;Kuster Marcel;**;8;56.75;4;48.25;0;0.0;9.75

5a;Giger Urs;*;;;;;;;;;57.5
o;;;Scherer Christian;*;;;;;;;8.75
+;5;8.75;Horner Sämi;;19;54.0;2;10.0;-3;1.25;10.0
-;6;18.75;Rüegg Fabian;*;11;56.0;7;18.5;1;-0.25;9.0
+;9;27.75;Bürgler Patrick;;15;55.0;8;28.0;-1;0.25;10.0
+;8;37.75;Leuppi Karim;*;17;54.5;10;37.25;2;-0.5;10.0
+;6;47.75;Landolt Reto;*;12;55.75;9;47.0;3;-0.75;9.75

5b;Schläpfer Markus;**;;;;;;;;;57.5
o;;;Oertig Adrian;**;;;;;;;8.5
+;6;8.5;Götti Samuel (1998);;15;55.0;3;9.75;-3;1.25;10.0
+;7;18.5;Akeret Benno;*;26;35.5;7;18.5;0;0.0;10.0
-;6;28.5;Leuppi Samir;**;6;57.25;6;28.5;0;0.0;9.0
+;9;37.5;Ackermann Remo;*;18;54.25;10;37.25;1;-0.25;10.0
+;7;47.5;Breitenmoser Simon;;15;55.0;11;46.5;4;-1.0;10.0

6a;Fejzaj Naim;**;;;;;;;;;57.25
-;;;Bernold Christian;**;;;;;;;9.0
+;4;9.0;Harder Benj;;13;55.5;2;10.0;-2;1.0;10.0
+;5;19.0;Jöhl Christian;*;14;55.25;6;18.75;1;-0.25;9.75
+;5;28.75;Horner Sämi;;19;54.0;7;28.25;2;-0.5;10.0
o;4;38.75;Zwyssig Raphael;***;2;59.0;2;40.0;-2;1.25;8.5
+;8;47.25;Rüegg Fabian;*;11;56.0;7;47.5;-1;0.25;10.0

6b;Leuppi Samir;**;;;;;;;;;57.25
-;;;Burkhalter Stefan;***;;;;;;;8.75
+;5;8.75;Rüegg Roman;*;13;55.5;5;8.75;0;0.0;10.0
+;6;18.75;Schneider Domenic;**;8;56.75;4;19.5;-2;0.75;9.75
-;6;28.5;Schläpfer Markus;**;5;57.5;6;28.5;0;0.0;9.0
+;9;37.5;Breitenmoser Manuel;;13;55.5;10;37.25;1;-0.25;10.0
+;7;47.5;Roth Martin;*;7;57.0;3;48.5;-4;1.0;9.75

7a;Roth Martin;*;;;;;;;;;57.0
+;;;Rüegg Roman;*;;;;;;;10.0
+;2;10.0;Schlegel Reto;*;12;55.75;3;9.75;1;-0.25;10.0
o;2;20.0;Bernold Christian;**;7;57.0;6;18.75;4;-1.25;8.75
+;5;28.75;Oettli Silvio (2000);;19;54.0;6;28.5;1;-0.25;10.0
+;4;38.75;Good Marco;*;12;55.75;5;38.5;1;-0.25;9.75
o;3;48.5;Leuppi Samir;**;6;57.25;7;47.5;4;-1.0;8.5

7b;Bernold Christian;**;;;;;;;;;57.0
-;;;Fejzaj Naim;**;;;;;;;9.0
+;4;9.0;Kammermann Dominik;;16;54.75;2;10.0;-2;1.0;9.75
+;6;18.75;Roth Martin;*;7;57.0;2;20.0;-4;1.25;10.0
o;5;28.75;Zwyssig Raphael;***;2;59.0;2;30.0;-3;1.25;8.5
+;10;37.25;Inauen Andreas;*;18;54.25;11;37.0;1;-0.25;10.0
+;8;47.25;Oertle Daniel;;8;56.75;5;48.0;-3;0.75;9.75

7c;Rychen Roger;**;;;;;;;;;57.0
o;;;Zwyssig Raphael;***;;;;;;;8.5
+;6;8.5;Frick Andreas;*;9;56.5;3;9.75;-3;1.25;10.0
+;7;18.5;Wittenwiler Roman (1998);;12;55.75;2;20.0;-5;1.5;10.0
o;6;28.5;Bless Michael;***;3;58.25;6;28.5;0;0.0;8.5
+;11;37.0;Harder Benj;;13;55.5;11;37.0;0;0.0;10.0
+;9;47.0;Koller Martin;*;1;110.75;1;92.5;-8;45.5;10.0

7d;Koch Thomas;;;;;;;;;;57.0
+;;;Akeret Benno;*;;;;;;;10.0
+;2;10.0;Frei Hanspeter (1999);;20;53.75;2;10.0;0;0.0;9.75
+;3;19.75;Elmer Daniel;*;13;55.5;7;18.5;4;-1.25;10.0
o;3;29.75;Good Marco;*;12;55.75;5;28.75;2;-1.0;8.75
+;5;38.5;Scherer Christian;*;25;46.25;8;37.75;3;-0.75;10.0
o;3;48.5;Bösch Daniel;***;8;56.75;9;47.0;6;-1.5;8.5

7e;Fässler Andreas;**;;;;;;;;;57.0
+;;;Koller Martin;*;;;;;;;9.75
-;3;9.75;Steiner Michael;**;14;55.25;3;9.75;0;0.0;8.75
+;7;18.5;Oettli Silvio (2000);;19;54.0;2;20.0;-5;1.5;10.0
+;6;28.5;Koller Fabian;;14;55.25;7;28.25;1;-0.25;10.0
o;5;38.5;Schneider Mario;**;9;56.5;6;38.25;1;-0.25;8.5
+;9;47.0;Krähenbühl Lukas;*;14;55.25;10;46.75;1;-0.25;10.0

8a;Oertle Daniel;;;;;;;;;;56.75
+;;;Wettstein Daniel;;;;;;;;10.0
+;2;10.0;Kammermann Thomas;*;17;54.5;5;8.75;3;-1.25;9.75
+;3;19.75;Landolt Reto;*;12;55.75;7;18.5;4;-1.25;9.75
+;4;29.5;Schlegel Reto;*;12;55.75;7;28.25;3;-1.25;9.75
o;3;39.25;Kuster Marcel;**;8;56.75;6;38.25;3;-1.0;8.75
o;5;48.0;Bernold Christian;**;7;57.0;8;47.25;3;-0.75;8.75

8b;Bösch Daniel;***;;;;;;;;;56.75
+;;;Bless Michael;***;;;;;;;9.75
-;3;9.75;Hersche Martin;**;4;58.0;2;10.0;-1;0.25;8.75
+;7;18.5;Horner Peter;**;9;56.5;7;18.5;0;0.0;10.0
-;6;28.5;Kuster Marcel;**;8;56.75;4;29.5;-2;1.0;8.75
+;10;37.25;Frick Andreas;*;9;56.5;7;38.0;-3;0.75;9.75
+;9;47.0;Koch Thomas;;7;57.0;3;48.5;-6;1.5;9.75

8c;Kuster Marcel;**;;;;;;;;;56.75
+;;;Schneider Mario;**;;;;;;;10.0
+;2;10.0;Elmer Daniel;*;13;55.5;2;10.0;0;0.0;9.75
+;3;19.75;Coray Beda;*;9;56.5;3;19.75;0;0.0;9.75
-;4;29.5;Bösch Daniel;***;8;56.75;6;28.5;2;-1.0;8.75
+;6;38.25;Oertle Daniel;;8;56.75;3;39.25;-3;1.0;10.0
o;4;48.25;Hersche Martin;**;4;58.0;4;48.25;0;0.0;8.5

8d;Schneider Domenic;**;;;;;;;;;56.75
+;;;Gmür Pirmin;*;;;;;;;9.75
+;3;9.75;Kuster Thomas;*;9;56.5;3;9.75;0;0.0;9.75
o;4;19.5;Leuppi Samir;**;6;57.25;6;18.75;2;-0.75;8.5
-;8;28.0;Kammermann Dominik;;16;54.75;5;28.75;-3;0.75;9.0
+;11;37.0;Burkhard Patrick;*;14;55.25;11;37.0;0;0.0;10.0
+;9;47.0;Oertig Dominik;**;11;56.0;8;47.25;-1;0.25;9.75

8e;Burkhalter Stefan;***;;;;;;;;;56.75
-;;;Leuppi Samir;**;;;;;;;8.75
-;5;8.75;Oertig Dominik;**;11;56.0;5;8.75;0;0.0;8.75
+;10;17.5;Roth Andreas;;16;54.75;6;18.75;-4;1.25;9.75
+;11;27.25;Odermatt Martin;*;16;54.75;10;27.5;-1;0.25;10.0
+;10;37.25;Vollmeier Sandro;;15;55.0;7;38.0;-3;0.75;9.75
+;9;47.0;Rüegg Roman;*;13;55.5;9;47.0;0;0.0;9.75

8f;Bickel Roman (1998);*;;;;;;;;;56.75
+;;;Inauen Andreas;*;;;;;;;10.0
o;2;10.0;Scherer Christian;*;25;46.25;3;9.75;1;-0.25;8.5
o;7;18.5;Hersche Daniel;;13;55.5;3;19.75;-4;1.25;8.5
+;12;27.0;Inauen Marco (1999);;26;35.5;12;27.0;0;0.0;9.75
+;12;36.75;Frei Hanspeter (1999);;20;53.75;12;36.75;0;0.0;10.0
+;10;46.75;Wittenwiler Roman (1998);;12;55.75;9;47.0;-1;0.25;10.0

9a;Kuster Thomas;*;;;;;;;;;56.5
+;;;Burkhard Patrick;*;;;;;;;9.75
o;3;9.75;Schneider Domenic;**;8;56.75;3;9.75;0;0.0;8.5
+;8;18.25;Funk Nicola (1999);;17;54.5;6;18.75;-2;0.5;9.75
+;8;28.0;Riedi Thomas;;20;53.75;7;28.25;-1;0.25;10.0
+;7;38.0;Hersche Daniel;;13;55.5;7;38.0;0;0.0;9.75
-;6;47.75;Good Marco;*;12;55.75;9;47.0;3;-0.75;8.75

9b;Elmer Adrian;;;;;;;;;;56.5
+;;;Mösli Reto;;;;;;;;9.75
+;3;9.75;Inauen Andreas;*;18;54.25;6;8.5;3;-1.25;10.0
o;3;19.75;Steiner Michael;**;14;55.25;7;18.5;4;-1.25;8.5
o;7;28.25;Schmid Patrick;*;14;55.25;7;28.25;0;0.0;8.5
+;12;36.75;Bürgler Patrick;;15;55.0;13;36.5;1;-0.25;10.0
+;10;46.75;Hersche Daniel;;13;55.5;10;46.75;0;0.0;9.75

9c;Frick Andreas;*;;;;;;;;;56.5
+;;;Leuppi Karim;*;;;;;;;9.75
o;3;9.75;Rychen Roger;**;7;57.0;6;8.5;3;-1.25;8.5
+;8;18.25;Hengartner Ivo;;18;54.25;6;18.75;-2;0.5;10.0
+;7;28.25;Götti Samuel (1998);;15;55.0;8;28.0;1;-0.25;9.75
o;7;38.0;Bösch Daniel;***;8;56.75;10;37.25;3;-0.75;8.5
+;11;46.5;Notz Armin;*;16;54.75;12;46.25;1;-0.25;10.0

9d;Coray Beda;*;;;;;;;;;56.5
+;;;Dumelin David;*;;;;;;;9.75
+;3;9.75;Schmid Patrick;*;14;55.25;3;9.75;0;0.0;10.0
o;3;19.75;Kuster Marcel;**;8;56.75;3;19.75;0;0.0;8.5
+;7;28.25;Pianta Christian;;14;55.25;7;28.25;0;0.0;10.0
o;6;38.25;Bless Michael;***;3;58.25;5;38.5;-1;0.25;8.5
+;10;46.75;Dändliker Shane;;14;55.25;11;46.5;1;-0.25;9.75

9e;Schneider Mario;**;;;;;;;;;56.5
o;;;Kuster Marcel;**;;;;;;;8.5
+;6;8.5;Breitenmoser Manuel;;13;55.5;3;9.75;-3;1.25;10.0
+;7;18.5;Vestner Bruno;*;10;56.25;8;18.25;1;-0.25;9.75
+;7;28.25;Hersche Daniel;;13;55.5;4;29.5;-3;1.25;10.0
+;6;38.25;Fässler Andreas;**;7;57.0;5;38.5;-1;0.25;9.75
o;5;48.0;Bless Michael;***;3;58.25;3;48.5;-2;0.5;8.5

9f;Horner Peter;**;;;;;;;;;56.5
o;;;Steiner Michael;**;;;;;;;8.5
+;6;8.5;Bänziger Peter;;18;54.25;3;9.75;-3;1.25;10.0
o;7;18.5;Bösch Daniel;***;8;56.75;7;18.5;0;0.0;8.5
+;12;27.0;Alder Armin;;17;54.5;10;27.5;-2;0.5;9.75
+;12;36.75;Wettstein Daniel;;14;55.25;11;37.0;-1;0.25;10.0
+;10;46.75;Oertig Adrian;**;13;55.5;9;47.0;-1;0.25;9.75

9g;Schläpfer Matthias;*;;;;;;;;;56.5
-;;;Bleiker Reto;*;;;;;;;8.75
+;5;8.75;Koller Fabian;;14;55.25;2;10.0;-3;1.25;10.0
-;6;18.75;Leuppi Karim;*;17;54.5;7;18.5;1;-0.25;9.0
+;9;27.75;Kiser Michael (1998);;21;53.5;8;28.0;-1;0.25;10.0
o;8;37.75;Rüegg Fabian;*;11;56.0;9;37.5;1;-0.25;8.75
+;11;46.5;Pﬁffner Ivo;;13;55.5;9;47.0;-2;0.5;10.0

10a;Vestner Bruno;*;;;;;;;;;56.25
o;;;Schlegel Reto;*;;;;;;;8.5
+;6;8.5;Dändliker Shane;;14;55.25;3;9.75;-3;1.25;9.75
o;8;18.25;Schneider Mario;**;9;56.5;7;18.5;-1;0.25;8.5
+;13;26.75;Rieser Fabian;;26;35.5;12;27.0;-1;0.25;9.75
+;13;36.5;Furrer Matthias;;20;53.75;12;36.75;-1;0.25;9.75
+;12;46.25;Bischof Martin;;16;54.75;12;46.25;0;0.0;10.0

10b;Güntensperger Marcel;*;;;;;;;;;56.25
+;;;Wey Nicola;*;;;;;;;10.0
o;2;10.0;Zwyssig Raphael;***;2;59.0;2;10.0;0;0.0;8.5
-;7;18.5;Fehr Michael;;18;54.25;7;18.5;0;0.0;9.0
o;10;27.5;Dändliker Shane;;14;55.25;8;28.0;-2;0.5;8.75
+;14;36.25;Raschle Adrian;;19;54.0;11;37.0;-3;0.75;10.0
+;12;46.25;Kammermann Dominik;;16;54.75;12;46.25;0;0.0;10.0

11a;Rüegg Fabian;*;;;;;;;;;56.0
-;;;Odermatt Martin;*;;;;;;;8.75
+;5;8.75;Fuster Sepp;;13;55.5;2;10.0;-3;1.25;9.75
-;7;18.5;Giger Urs;*;5;57.5;6;18.75;-1;0.25;9.0
+;10;27.5;Fehr Michael;;18;54.25;10;27.5;0;0.0;10.0
+;9;37.5;Schläpfer Matthias;*;9;56.5;8;37.75;-1;0.25;10.0
o;7;47.5;Fejzaj Naim;**;6;57.25;8;47.25;1;-0.25;8.5

11b;Junker Nik;;;;;;;;;;56.0
+;;;Sisombun Fin;;;;;;;;9.75
o;3;9.75;Tanner Adrian;;17;54.5;5;8.75;2;-1.0;8.5
+;8;18.25;Koch Reto;;12;55.75;6;18.75;-2;0.5;9.75
o;8;28.0;Scherer Christian;*;25;46.25;8;28.0;0;0.0;8.5
+;13;36.5;Keller Werner;;16;54.75;13;36.5;0;0.0;9.75
+;12;46.25;Dörig Erich;*;16;54.75;12;46.25;0;0.0;9.75

11c;Wey Nicola;*;;;;;;;;;56.0
o;;;Güntensperger Marcel;*;;;;;;;8.5
-;6;8.5;Gmür Pirmin;*;16;54.75;6;8.5;0;0.0;8.75
+;11;17.25;Eisenring Daniel;;26;35.5;8;18.25;-3;1.0;10.0
+;11;27.25;Inauen Aurel;;17;54.5;11;27.25;0;0.0;9.75
+;11;37.0;Koller Fabian;;14;55.25;12;36.75;1;-0.25;10.0
-;9;47.0;Fuster Sepp;;13;55.5;11;46.5;2;-0.5;9.0

11d;Korrodi Paul;*;;;;;;;;;56.0
-;;;Good Marco;*;;;;;;;9.0
+;4;9.0;Keller Stefan (1998);;20;53.75;2;10.0;-2;1.0;10.0
o;5;19.0;Bless Michael;***;3;58.25;7;18.5;2;-0.5;8.5
-;10;27.5;Fausch Kjetil;;16;54.75;11;27.25;1;-0.25;8.75
+;14;36.25;Manser Adrian (1998);;21;53.5;13;36.5;-1;0.25;10.0
+;12;46.25;Vollmeier Sandro;;15;55.0;11;46.5;-1;0.25;9.75

11e;Oertig Dominik;**;;;;;;;;;56.0
-;;;Kammermann Thomas;*;;;;;;;8.75
-;5;8.75;Burkhalter Stefan;***;8;56.75;5;8.75;0;0.0;8.75
+;10;17.5;Marty Jaime (2000);;12;55.75;6;18.75;-4;1.25;9.75
+;11;27.25;Koller Martin;*;1;110.75;1;54.25;-10;27.0;10.0
+;10;37.25;Hersche Stefan;;13;55.5;11;37.0;1;-0.25;10.0
o;8;47.25;Schneider Domenic;**;8;56.75;9;47.0;1;-0.25;8.75

12a;Poltera Andrin (1999);;;;;;;;;;55.75
-;;;Lehmann Philipp (1999);;;;;;;;8.75
o;5;8.75;Schiesser Patrik (1998);;24;52.75;5;8.75;0;0.0;8.75
+;10;17.5;Frei Kilian (2000);;26;35.5;12;17.0;2;-0.5;10.0
o;10;27.5;Koller Martin;*;1;110.75;1;54.25;-9;26.75;8.5
+;15;36.0;Speck Christof (1999);;23;53.0;16;35.75;1;-0.25;10.0
+;13;46.0;Hengartner Ivo;;18;54.25;14;45.75;1;-0.25;9.75

12b;Landolt Reto;*;;;;;;;;;55.75
+;;;Ackermann Remo;*;;;;;;;9.75
-;3;9.75;Oertig Adrian;**;13;55.5;3;9.75;0;0.0;8.75
o;7;18.5;Oertle Daniel;;8;56.75;3;19.75;-4;1.25;8.5
+;12;27.0;Bürki Patrik (1999);;24;52.75;12;27.0;0;0.0;10.0
+;11;37.0;Fuster Sepp;;13;55.5;7;38.0;-4;1.0;10.0
o;9;47.0;Giger Urs;*;5;57.5;6;47.75;-3;0.75;8.75

12c;Marty Jaime (2000);;;;;;;;;;55.75
+;;;Rhyner Beni (1999);;;;;;;;10.0
-;2;10.0;Alder Armin;;17;54.5;2;10.0;0;0.0;8.75
o;6;18.75;Oertig Dominik;**;11;56.0;10;17.5;4;-1.25;8.5
+;11;27.25;Giger Lorenz (2000);;23;53.0;11;27.25;0;0.0;9.75
o;11;37.0;Krähenbühl Lukas;*;14;55.25;11;37.0;0;0.0;8.75
+;14;45.75;Riedi Thomas;;20;53.75;16;45.25;2;-0.5;10.0

12d;Wittenwiler Roman (1998);;;;;;;;;;55.75
+;;;Eisenring Daniel;;;;;;;;10.0
+;2;10.0;Raymann David;*;13;55.5;4;9.0;2;-1.0;10.0
o;2;20.0;Rychen Roger;**;7;57.0;7;18.5;5;-1.5;8.5
-;6;28.5;Harder Benj;;13;55.5;7;28.25;1;-0.25;8.75
+;10;37.25;Oettli Silvio (2000);;19;54.0;11;37.0;1;-0.25;9.75
o;9;47.0;Bickel Roman (1998);*;8;56.75;10;46.75;1;-0.25;8.75

12e;Good Marco;*;;;;;;;;;55.75
-;;;Korrodi Paul;*;;;;;;;9.0
+;4;9.0;Dobler Lorenz (2000);;26;35.5;2;10.0;-2;1.0;9.75
+;6;18.75;Straub Robin;*;12;55.75;7;18.5;1;-0.25;10.0
+;5;28.75;Koch Thomas;;7;57.0;3;29.75;-2;1.0;9.75
o;5;38.5;Roth Martin;*;7;57.0;4;38.75;-1;0.25;8.5
-;9;47.0;Kuster Thomas;*;9;56.5;6;47.75;-3;0.75;8.75

12f;Straub Robin;*;;;;;;;;;55.75
o;;;Elmer Daniel;*;;;;;;;8.5
+;6;8.5;Koller Martin;*;1;110.75;1;17.5;-5;9.0;10.0
o;7;18.5;Good Marco;*;12;55.75;6;18.75;-1;0.25;8.5
+;12;27.0;Langenegger Beat;;26;35.5;12;27.0;0;0.0;10.0
-;11;37.0;Dörig Erich;*;16;54.75;9;37.5;-2;0.5;8.75
+;14;45.75;Alder Armin;;17;54.5;13;46.0;-1;0.25;10.0

12g;Schlegel Reto;*;;;;;;;;;55.75
+;;;Vestner Bruno;*;;;;;;;9.75
o;3;9.75;Roth Martin;*;7;57.0;2;10.0;-1;0.25;8.5
+;8;18.25;Giger Lorenz (2000);;23;53.0;6;18.75;-2;0.5;10.0
o;7;28.25;Oertle Daniel;;8;56.75;4;29.5;-3;1.25;8.5
-;12;36.75;Tanner Adrian;;17;54.5;11;37.0;-1;0.25;9.0
+;14;45.75;Ackermann Remo;*;18;54.25;14;45.75;0;0.0;10.0

12h;Koch Reto;;;;;;;;;;55.75
+;;;Rüegger Remo (1999);;;;;;;;10.0
o;2;10.0;Jöhl Christian;*;14;55.25;4;9.0;2;-1.0;8.75
o;6;18.75;Junker Nik;;11;56.0;8;18.25;2;-0.5;8.5
+;11;27.25;Candrian Gian-Luca (1998);;26;35.5;12;27.0;1;-0.25;10.0
o;10;37.25;Koller Martin;*;1;110.75;1;72.5;-9;35.25;8.5
+;14;45.75;Oettli Silvio (2000);;19;54.0;15;45.5;1;-0.25;10.0

13a;Pﬁffner Ivo;;;;;;;;;;55.5
+;;;Lanter Christian (1998);;;;;;;;9.75
-;3;9.75;Gwerder Andreas;**;17;54.5;6;8.5;3;-1.25;8.75
+;7;18.5;Dobler Mathias;;19;54.0;6;18.75;-1;0.25;10.0
o;6;28.5;Ackermann Remo;*;18;54.25;11;27.25;5;-1.25;8.5
+;11;37.0;Pianta Christian;;14;55.25;12;36.75;1;-0.25;10.0
o;9;47.0;Schläpfer Matthias;*;9;56.5;11;46.5;2;-0.5;8.5

13b;Rüegg Roman;*;;;;;;;;;55.5
o;;;Roth Martin;*;;;;;;;8.75
