3381-2016-05-01_112_Ob-_und_Nidwaldner_Kantonalschwingfest-ST

1a;Laimbacher Philipp;***;;;;;;;;;58.5
+;;;von Ah Benji;***;;;;;;;10.0
+;1;10.0;Omlin Toni;*;10;56.0;1;10.0;0;0.0;10.0
+;1;20.0;Herger Matthias;**;8;56.5;2;19.75;1;-0.25;10.0
+;1;30.0;Odermatt Remo;*;11;55.75;2;29.75;1;-0.25;10.0
+;1;40.0;Scheuber Lutz;**;6;57.0;3;38.5;2;-1.5;9.75
-;1;49.75;Glarner Matthias;***;4;57.5;2;48.75;1;-1.0;8.75

2a;Wicki Joel;**;;;;;;;;;58.25
+;;;Kempf Elias;**;;;;;;;9.75
-;2;9.75;Hurschler Thomas;**;14;55.0;2;9.75;0;0.0;8.75
+;6;18.5;Zurfluh Michael (1999);;12;55.5;5;18.75;-1;0.25;10.0
+;6;28.5;von Ah Benji;***;6;57.0;6;28.5;0;0.0;10.0
+;3;38.5;Murer Andy;*;6;57.0;2;38.75;-1;0.25;9.75
+;3;48.25;Herger Matthias;**;8;56.5;4;48.0;1;-0.25;10.0

2b;Imhof Andi;***;;;;;;;;;58.25
-;;;Glarner Matthias;***;;;;;;;8.75
+;4;8.75;Niederberger Martin;*;8;56.5;2;9.75;-2;1.0;10.0
+;5;18.75;Binggeli Stefan;;7;56.75;1;20.0;-4;1.25;10.0
+;5;28.75;Anderegg Simon;***;8;56.5;3;29.25;-2;0.5;9.75
+;3;38.5;Bernhard Lukas;*;11;55.75;2;38.75;-1;0.25;9.75
+;3;48.25;Gassmann Fabian;**;7;56.75;3;48.25;0;0.0;10.0

3a;Ulrich Andreas;***;;;;;;;;;57.75
-;;;Britschgi Melk;**;;;;;;;8.75
+;4;8.75;Briker Michael;*;9;56.25;2;9.75;-2;1.0;10.0
+;5;18.75;Albert Thomas;;14;55.0;2;19.75;-3;1.0;10.0
-;5;28.75;Rohrer Marco;**;8;56.5;5;28.75;0;0.0;9.0
+;6;37.75;Zimmermann Simon;*;7;56.75;4;38.25;-2;0.5;10.0
+;5;47.75;Odermatt Christian;**;7;56.75;3;48.25;-2;0.5;10.0

4a;Glarner Matthias;***;;;;;;;;;57.5
-;;;Imhof Andi;***;;;;;;;8.75
+;4;8.75;Rohrer Ivan;*;13;55.25;2;9.75;-2;1.0;10.0
+;5;18.75;Ettlin Martin (1998);;12;55.5;1;20.0;-4;1.25;10.0
+;5;28.75;Niederberger Jakob;**;5;57.25;5;28.75;0;0.0;10.0
+;2;38.75;Imfeld Peter;***;6;57.0;3;38.5;1;-0.25;10.0
-;2;48.75;Laimbacher Philipp;***;1;58.5;1;49.75;-1;1.0;8.75

4b;Amgarten Martin;;;;;;;;;;57.5
o;;;Schöpfer Ronny (1999);;;;;;;;8.75
+;4;8.75;Fanger Manuel (2000);;27;35.25;2;9.75;-2;1.0;10.0
-;5;18.75;Baumann Roger;*;15;54.75;6;18.5;1;-0.25;9.0
+;9;27.75;Herger Peter;;14;55.0;8;28.0;-1;0.25;9.75
+;7;37.5;Töngi Thomas;*;12;55.5;9;37.0;2;-0.5;10.0
+;6;47.5;Käslin Ruedi;;13;55.25;9;46.75;3;-0.75;10.0

