3390-2017-08-12_Schaffhauser_Kantonalschwingfest-ST

1a;Giger Samuel;***;;;;;;;;;58.25
+;;;Kindlimann Fabian;***;;;;;;;9.75
+;2;9.75;Kid Simon;**;7;56.75;1;10.0;-1;0.25;10.0
+;2;19.75;Jöhl Christian;*;8;56.5;2;19.75;0;0.0;10.0
-;2;29.75;Bösch Daniel;***;4;57.5;1;30.0;-1;0.25;8.75
+;2;38.5;Geisser Lars;**;7;56.75;2;38.5;0;0.0;9.75
+;2;48.25;Bösch Daniel;***;4;57.5;1;48.75;-1;0.5;10.0

2a;Bless Michael;***;;;;;;;;;58.0
+;;;Eugster Ruedi;**;;;;;;;9.75
o;2;9.75;Bösch Daniel;***;4;57.5;1;10.0;-1;0.25;8.5
+;7;18.25;Bäbler Dominik;*;16;54.5;6;18.5;-1;0.25;10.0
+;6;28.25;Güntensperger Marcel;*;14;55.0;6;28.25;0;0.0;10.0
+;3;38.25;Kid Simon;**;7;56.75;2;38.5;-1;0.25;9.75
+;3;48.0;Bickel Roman;*;7;56.75;2;48.25;-1;0.25;10.0

3a;Koller Martin;*;;;;;;;;;57.75
-;;;Koch Thomas;*;;;;;;;8.75
+;4;8.75;Baumann Rico;*;9;56.25;4;8.75;0;0.0;9.75
+;6;18.5;Bollhalder Manuel (2001);;12;55.5;1;20.0;-5;1.5;9.75
+;6;28.25;Büsser André;*;13;55.25;6;28.25;0;0.0;9.75
+;4;38.0;Elmer Daniel;*;15;54.75;6;37.5;2;-0.5;9.75
+;4;47.75;Bernold Michael (1999);*;12;55.5;7;47.0;3;-0.75;10.0

4a;Roth Martin;*;;;;;;;;;57.5
o;;;Odermatt Christoph;*;;;;;;;8.5
+;5;8.5;Nock Benjamin (2001);;19;53.75;2;9.75;-3;1.25;9.75
+;7;18.25;Bollier Fabian;;22;52.75;6;18.5;-1;0.25;10.0
+;6;28.25;Ott Damian (2000);*;13;55.25;6;28.25;0;0.0;9.75
+;4;38.0;Schlegel Reto;*;12;55.5;8;37.0;4;-1.0;9.75
+;4;47.75;Forrer Arnold;***;11;55.75;6;47.25;2;-0.5;9.75

4b;Bösch Daniel;***;;;;;;;;;57.5
+;;;Schlegel Sandro;**;;;;;;;10.0
+;1;10.0;Bless Michael;***;2;58.0;2;9.75;1;-0.25;10.0
+;1;20.0;Dumelin David;*;8;56.5;3;19.5;2;-0.5;10.0
-;1;30.0;Giger Samuel;***;1;58.25;2;29.75;1;-0.25;8.75
+;1;38.75;Schmid Dominik;**;6;57.0;2;38.5;1;-0.25;10.0
o;1;48.75;Giger Samuel;***;1;58.25;2;48.25;1;-0.5;8.75

4c;Ammann Rico;*;;;;;;;;;57.5
+;;;Fejzaj Naim;**;;;;;;;9.75
+;2;9.75;Hersche Daniel;*;14;55.0;2;9.75;0;0.0;9.75
+;3;19.5;Schudel Simon;*;10;56.0;1;20.0;-2;0.5;9.75
o;3;29.25;Forrer Arnold;***;11;55.75;4;28.75;1;-0.5;8.5
+;5;37.75;Wetter Silvan (2000);;16;54.5;7;37.25;2;-0.5;10.0
+;4;47.75;Candrian Gian-Luca;;14;55.0;9;46.5;5;-1.25;9.75

5a;Good Marco;*;;;;;;;;;57.25
-;;;Battaglia Ursin;**;;;;;;;8.75
+;4;8.75;Furrer Matthias;;25;35.25;2;9.75;-2;1.0;10.0
+;5;18.75;Flütsch Marco (1999);;13;55.25;6;18.5;1;-0.25;10.0
o;4;28.75;Kindlimann Fabian;***;6;57.0;6;28.25;2;-0.5;8.5
+;7;37.25;Funk Nicola (1999);;13;55.25;4;38.0;-3;0.75;10.0
+;6;47.25;Koch Reto;*;14;55.0;9;46.5;3;-0.75;10.0

5b;Battaglia Ursin;**;;;;;;;;;57.25
-;;;Good Marco;*;;;;;;;8.75
+;4;8.75;Wetter Silvan (2000);;16;54.5;1;10.0;-3;1.25;9.75
+;6;18.5;Hari Michi;;9;56.25;7;18.25;1;-0.25;10.0
+;5;28.5;Hersche Daniel;*;14;55.0;6;28.25;1;-0.25;9.75
+;3;38.25;Giger Urs;*;8;56.5;4;38.0;1;-0.25;10.0
-;2;48.25;Burkhalter Stefan;***;6;57.0;3;48.0;1;-0.25;9.0

6a;Kindlimann Fabian;***;;;;;;;;;57.0
o;;;Giger Samuel;***;;;;;;;8.5
+;5;8.5;Bernold Michael (1999);*;12;55.5;1;10.0;-4;1.5;10.0
+;6;18.5;Fontana Michael;*;15;54.75;5;18.75;-1;0.25;9.75
+;6;28.25;Good Marco;*;5;57.25;4;28.75;-2;0.5;10.0
-;3;38.25;Forrer Arnold;***;11;55.75;2;38.5;-1;0.25;8.75
+;7;47.0;Ott Damian (2000);*;13;55.25;8;46.75;1;-0.25;10.0

6b;Eugster Ruedi;**;;;;;;;;;57.0
o;;;Bless Michael;***;;;;;;;8.5
+;5;8.5;Funk Nicola (1999);;13;55.25;2;9.75;-3;1.25;10.0
+;6;18.5;Fuster Sepp;;13;55.25;5;18.75;-1;0.25;10.0
+;5;28.5;Blaser Niklas;*;14;55.0;6;28.25;1;-0.25;9.75
-;3;38.25;Schlegel Sandro;**;6;57.0;2;38.5;-1;0.25;8.75
+;7;47.0;Hersche Daniel;*;14;55.0;9;46.5;2;-0.5;10.0

6c;Burkhalter Stefan;***;;;;;;;;;57.0
-;;;Forrer Arnold;***;;;;;;;8.75
+;4;8.75;Bickel Roman;*;7;56.75;2;9.75;-2;1.0;9.75
+;6;18.5;Koch Thomas;*;13;55.25;5;18.75;-1;0.25;10.0
+;5;28.5;Vögeli Sven;*;6;57.0;4;28.75;-1;0.25;9.75
+;3;38.25;Bernold Michael (1999);*;12;55.5;2;38.5;-1;0.25;9.75
-;3;48.0;Battaglia Ursin;**;5;57.25;2;48.25;-1;0.25;9.0

6d;Schmid Dominik;**;;;;;;;;;57.0
-;;;Geisser Lars;**;;;;;;;8.75
+;4;8.75;Pfister Florian;*;12;55.5;2;9.75;-2;1.0;9.75
+;6;18.5;Fäh Tobias;;18;54.0;5;18.75;-1;0.25;10.0
+;5;28.5;Schwyn Adrian;;7;56.75;2;29.75;-3;1.25;10.0
o;2;38.5;Bösch Daniel;***;4;57.5;1;38.75;-1;0.25;8.5
+;7;47.0;Blaser Niklas;*;14;55.0;9;46.5;2;-0.5;10.0

6e;Vögeli Sven;*;;;;;;;;;57.0
-;;;Vestner Roman;*;;;;;;;8.75
+;4;8.75;Tschudi Mario (2001);;25;35.25;2;9.75;-2;1.0;10.0
+;5;18.75;Harder Benj;;17;54.25;5;18.75;0;0.0;10.0
o;4;28.75;Burkhalter Stefan;***;6;57.0;5;28.5;1;-0.25;8.75
+;6;37.5;Nock Benjamin (2001);;19;53.75;9;36.75;3;-0.75;9.75
+;6;47.25;Inauen Andreas;*;12;55.5;7;47.0;1;-0.25;9.75

6f;Schlegel Sandro;**;;;;;;;;;57.0
+;;;Coray Beda;**;;;;;;;10.0
o;1;10.0;Bösch Daniel;***;4;57.5;1;10.0;0;0.0;8.5
+;6;18.5;Ott Matthias (1999);;13;55.25;1;20.0;-5;1.5;10.0
+;5;28.5;Riget Florian;;13;55.25;4;28.75;-1;0.25;10.0
-;2;38.5;Eugster Ruedi;**;6;57.0;3;38.25;1;-0.25;8.75
+;6;47.25;Bickel Stefan;*;13;55.25;8;46.75;2;-0.5;9.75

7a;Odermatt Christoph;*;;;;;;;;;56.75
+;;;Roth Martin;*;;;;;;;9.75
o;2;9.75;Geisser Lars;**;7;56.75;4;8.75;2;-1.0;8.5
+;7;18.25;Schiess Christian;;16;54.5;6;18.5;-1;0.25;10.0
o;6;28.25;Vestner Roman;*;13;55.25;6;28.25;0;0.0;8.5
+;9;36.75;Fuster Sepp;;13;55.25;8;37.0;-1;0.25;10.0
+;8;46.75;Coray Beda;**;12;55.5;7;47.0;-1;0.25;10.0

7b;Geisser Lars;**;;;;;;;;;56.75
-;;;Schmid Dominik;**;;;;;;;8.75
+;4;8.75;Odermatt Christoph;*;7;56.75;2;9.75;-2;1.0;10.0
+;5;18.75;Lehmann Philipp (1999);;15;54.75;3;19.5;-2;0.75;9.75
+;5;28.5;Koch Reto;*;14;55.0;6;28.25;1;-0.25;10.0
o;2;38.5;Giger Samuel;***;1;58.25;2;38.5;0;0.0;8.5
+;7;47.0;Kammermann Dominik;;14;55.0;9;46.5;2;-0.5;9.75

7c;Vollenweider Jeremy;*;;;;;;;;;56.75
+;;;Leuppi Karim;*;;;;;;;9.75
+;2;9.75;Braun Mathias;*;14;55.0;2;9.75;0;0.0;9.75
-;3;19.5;Coray Beda;**;12;55.5;6;18.5;3;-1.0;8.75
+;6;28.25;Ulmann Fabian (1999);;19;53.75;7;28.0;1;-0.25;9.75
-;4;38.0;Bäbler Dominik;*;16;54.5;8;37.0;4;-1.0;8.75
+;8;46.75;Hobi Ignaz;;17;54.25;12;45.75;4;-1.0;10.0

7d;Kid Simon;**;;;;;;;;;56.75
+;;;Gwerder Andreas;**;;;;;;;10.0
o;1;10.0;Giger Samuel;***;1;58.25;2;9.75;1;-0.25;8.75
+;5;18.75;Kammermann Dominik;;14;55.0;4;19.0;-1;0.25;10.0
+;4;28.75;Ackermann Remo;*;8;56.5;5;28.5;1;-0.25;9.75
o;2;38.5;Bless Michael;***;2;58.0;3;38.25;1;-0.25;8.5
+;7;47.0;Dörig Erich;*;9;56.25;4;47.75;-3;0.75;9.75

7e;Schwyn Adrian;;;;;;;;;;56.75
+;;;Caflisch Stefan;;;;;;;;10.0
+;1;10.0;Ritter Fabio (2001);;23;52.5;1;10.0;0;0.0;10.0
+;1;20.0;Kuhn Roman;*;13;55.25;6;18.5;5;-1.5;9.75
