3393-2016-06-05_Schaffhauser_Kantonalschwingfest-ST

1a;Forrer Arnold;***;;;;;;;;;58.5
+;;;Kindlimann Fabian;***;;;;;;;9.75
+;2;9.75;Fejzaj Naim;*;4;57.25;2;9.75;0;0.0;10.0
+;2;19.75;Notz Hans;*;9;56.0;2;19.75;0;0.0;10.0
-;1;29.75;Leuppi Samir;**;4;57.25;3;28.75;2;-1.0;8.75
+;2;38.5;Eugster Ruedi;**;5;57.0;2;38.5;0;0.0;10.0
+;1;48.5;Rhyner Michael;**;4;57.25;1;48.5;0;0.0;10.0

2a;Kindlimann Fabian;***;;;;;;;;;57.75
o;;;Forrer Arnold;***;;;;;;;8.5
+;4;8.5;Akeret Benno;*;12;55.25;2;9.75;-2;1.25;9.75
+;6;18.25;Ammann Rico;*;6;56.75;4;18.75;-2;0.5;9.75
+;6;28.0;Bernold Edi;**;11;55.5;4;28.5;-2;0.5;10.0
+;4;38.0;Wickli Beat;**;5;57.0;2;38.5;-2;0.5;9.75
+;3;47.75;Oertig Dominik;*;7;56.5;2;48.0;-1;0.25;10.0

3a;Näf Pius;*;;;;;;;;;57.5
-;;;Kamer Hanspeter;*;;;;;;;8.75
+;3;8.75;Vollmeier Sandro;;9;56.0;2;9.75;-1;1.0;10.0
-;4;18.75;Vestner Roman;*;4;57.25;4;18.75;0;0.0;8.75
+;8;27.5;Kammermann Dominik;;12;55.25;5;28.25;-3;0.75;10.0
+;6;37.5;Dändliker Shane;;13;55.0;4;38.0;-2;0.5;10.0
+;4;47.5;Frick Andreas;*;10;55.75;6;47.0;2;-0.5;10.0

4a;Fejzaj Naim;*;;;;;;;;;57.25
+;;;Bernold Edi;**;;;;;;;9.75
o;2;9.75;Forrer Arnold;***;1;58.5;2;9.75;0;0.0;8.5
+;6;18.25;Büsser André;;9;56.0;3;19.5;-3;1.25;10.0
+;5;28.25;Oettli Marco;*;8;56.25;4;28.5;-1;0.25;10.0
-;3;38.25;Rhyner Michael;**;4;57.25;1;39.5;-2;1.25;9.0
+;5;47.25;Kamer Hanspeter;*;10;55.75;5;47.25;0;0.0;10.0

4b;Rhyner Michael;**;;;;;;;;;57.25
+;;;Horner Peter;**;;;;;;;10.0
+;1;10.0;Schnurrenberger Roman;**;8;56.25;1;10.0;0;0.0;9.75
+;2;19.75;Wey Nicola;*;9;56.0;2;19.75;0;0.0;9.75
+;2;29.5;Zbinden Marc;*;5;57.0;4;28.5;2;-1.0;10.0
-;1;39.5;Fejzaj Naim;*;4;57.25;3;38.25;2;-1.25;9.0
o;1;48.5;Forrer Arnold;***;1;58.5;1;48.5;0;0.0;8.75

4c;Vestner Roman;*;;;;;;;;;57.25
-;;;Bühler Hannes;*;;;;;;;8.75
+;3;8.75;Keller Andreas;*;23;35.25;4;8.5;1;-0.25;10.0
-;4;18.75;Näf Pius;*;3;57.5;4;18.75;0;0.0;8.75
+;8;27.5;Danner Daniel;;14;54.75;7;27.75;-1;0.25;10.0
+;6;37.5;Burkhard Patrick;*;12;55.25;8;37.0;2;-0.5;9.75
+;5;47.25;Keller Dominic;;13;55.0;8;46.5;3;-0.75;10.0

4d;Leuppi Samir;**;;;;;;;;;57.25
-;;;Eugster Ruedi;**;;;;;;;8.75
+;3;8.75;Oettli Marco;*;8;56.25;1;10.0;-2;1.25;10.0
+;4;18.75;Oertig Simon;;17;54.0;2;19.75;-2;1.0;10.0
-;3;28.75;Forrer Arnold;***;1;58.5;1;29.75;-2;1.0;8.75
+;6;37.5;Holenstein Christian;*;10;55.75;3;38.25;-3;0.75;9.75
+;5;47.25;Baumann Rico;*;11;55.5;6;47.0;1;-0.25;10.0

5a;Eugster Ruedi;**;;;;;;;;;57.0
-;;;Leuppi Samir;**;;;;;;;8.75
+;3;8.75;Straub Robin;*;14;54.75;1;10.0;-2;1.25;10.0
+;4;18.75;Pfleghart Remo;;14;54.75;4;18.75;0;0.0;9.75
+;4;28.5;Bühler Hannes;*;5;57.0;4;28.5;0;0.0;10.0
o;2;38.5;Forrer Arnold;***;1;58.5;2;38.5;0;0.0;8.5
+;6;47.0;Kammermann Dominik;;12;55.25;7;46.75;1;-0.25;10.0

5b;Zbinden Marc;*;;;;;;;;;57.0
-;;;Wickli Beat;**;;;;;;;8.75
+;3;8.75;Bucher Roland;;12;55.25;1;10.0;-2;1.25;10.0
+;4;18.75;Dändliker Shane;;13;55.0;2;19.75;-2;1.0;9.75
o;4;28.5;Rhyner Michael;**;4;57.25;2;29.5;-2;1.0;8.5
+;8;37.0;Rentsch Christian (1998);;10;55.75;2;38.5;-6;1.5;10.0
+;6;47.0;Oertig Adrian;**;11;55.5;6;47.0;0;0.0;10.0

5c;Horner Peter;**;;;;;;;;;57.0
o;;;Rhyner Michael;**;;;;;;;8.5
+;4;8.5;Knup Stephan;;23;35.25;2;9.75;-2;1.25;10.0
+;5;18.5;Braun Mathias;*;23;35.25;6;18.25;1;-0.25;9.75
-;5;28.25;Good Marco;*;7;56.5;3;28.75;-2;0.5;8.75
+;8;37.0;Schuler Martin;;12;55.25;8;37.0;0;0.0;10.0
+;6;47.0;Bernold Edi;**;11;55.5;7;46.75;1;-0.25;10.0

