3430-2016-07-03_110_Innerschweizerisches_Schwingfest-ST

1a;Zimmermann Martin;*;;;;;;;;;108.5
-;;;Odermatt Andreas;*;;;;;;;8.75
-;;;Betschart Remo;**;;;;;;;8.75
-;1;17.5;Vonlaufen Lukas;*;36;35.0;6;8.75;5;-8.75;8.75
-;1;17.5;Inderbitzin Daniel;*;12;55.75;6;8.75;5;-8.75;8.75
+;1;35.0;Gwerder Andreas;*;37;34.75;11;17.5;10;-17.5;9.75
-;1;35.0;Graber Michael;*;17;54.5;8;18.5;7;-16.5;9.0
o;1;53.75;Steinauer Adrian;**;11;56.0;11;27.5;10;-26.25;8.5
+;1;53.75;Gwerder Dominik;;25;52.5;13;27.0;12;-26.75;10.0
+;2;72.25;Jund Matthias (1999);;24;52.75;17;35.5;15;-36.75;10.0
o;2;72.25;Nietlispach Pascal;**;12;55.75;11;37.0;9;-35.25;8.5
-;1;90.75;Beffa Mario;;16;54.75;14;45.75;13;-45.0;9.0
-;1;90.75;Muff André;*;18;54.25;15;45.5;14;-45.25;8.75

2a;Heinzer Stefan;*;;;;;;;;;100.25
-;;;Murer Andy;*;;;;;;;8.75
o;;;Bürli Roger;*;;;;;;;8.5
-;2;17.25;Odermatt Remo;*;36;35.0;6;8.75;4;-8.5;8.75
-;2;17.25;Koch Roger;*;19;54.0;7;8.5;5;-8.75;8.75
+;2;34.75;Arnold Severin;*;39;34.25;12;17.25;10;-17.5;9.75
-;2;34.75;Töngi Thomas;*;33;35.75;12;17.25;10;-17.5;8.75
+;2;53.25;Lang Sven (1998);*;15;55.0;11;27.5;9;-25.75;10.0
+;2;53.25;Durrer Nando (1999);;37;34.75;17;26.0;15;-27.25;10.0
o;1;73.25;Hurschler Thomas;**;12;55.75;10;37.25;9;-36.0;8.5
-;1;73.25;Hirsiger Alexander;;18;54.25;12;36.75;11;-36.5;8.75
+;2;90.5;Bucher Christian (1998);;18;54.25;14;45.75;12;-44.75;9.75

3a;Schuler Christian;***;;;;;;;;;58.75
+;;;Clopath Beat;***;;;;;;;10.0
+;3;10.0;Rohrer Ivan;*;11;56.0;3;10.0;0;0.0;9.75
+;4;19.75;Suppiger René;**;9;56.5;4;19.75;0;0.0;10.0
+;3;29.75;Imhof Andi;***;5;58.0;4;29.5;1;-0.25;10.0
-;3;39.75;Fankhauser Erich;***;6;57.5;5;38.75;2;-1.0;9.0
+;3;48.75;Müllestein Mike;**;6;57.5;3;48.75;0;0.0;10.0

4a;Schurtenberger Sven;**;;;;;;;;;58.5
-;;;Gerber Christian;**;;;;;;;8.75
+;6;8.75;Niederberger Markus;*;25;52.5;3;10.0;-3;1.25;10.0
