3486-2016-07-10_Rigi_Schwing-_und_Aelplerfest-ST

1a;Sempach Matthias;***;;;;;;;;;58.5
+;;;Grab Martin;***;;;;;;;10.0
+;1;10.0;Betschart Rainer;**;6;56.75;2;9.75;1;-0.25;10.0
+;1;20.0;Roschi Ruedi;**;11;55.5;2;19.75;1;-0.25;10.0
-;1;30.0;Stucki Christian;***;4;57.25;2;29.75;1;-0.25;8.75
+;3;38.75;Schuler Philipp;**;11;55.5;5;38.25;2;-0.5;9.75
+;1;48.5;Stucki Christian;***;4;57.25;1;48.5;0;0.0;10.0

2a;Anderegg Simon;***;;;;;;;;;58.0
+;;;Steinauer Adrian;**;;;;;;;10.0
+;1;10.0;Kennel Stefan;**;13;55.0;1;10.0;0;0.0;9.75
+;2;19.75;Gapany Benjamin;**;8;56.25;2;19.75;0;0.0;10.0
+;2;29.75;Fankhauser Erich;***;4;57.25;4;28.75;2;-1.0;9.75
-;1;39.5;Sempach Thomas;***;3;57.5;2;39.0;1;-0.5;8.75
+;2;48.25;Nötzli Reto;***;5;57.0;2;48.25;0;0.0;9.75

3a;Sempach Thomas;***;;;;;;;;;57.5
+;;;Nötzli Reto;***;;;;;;;10.0
-;1;10.0;Bürli Roger;**;11;55.5;2;9.75;1;-0.25;9.0
+;4;19.0;Rohrer Ivan;**;12;55.25;6;18.5;2;-0.5;10.0
+;3;29.0;Müller Michael;**;10;55.75;4;28.75;1;-0.25;10.0
-;2;39.0;Anderegg Simon;***;2;58.0;1;39.5;-1;0.5;8.75
+;3;47.75;Gapany Benjamin;**;8;56.25;3;47.75;0;0.0;9.75

4a;Gnägi Florian;***;;;;;;;;;57.25
+;;;Suppiger René;**;;;;;;;9.75
-;2;9.75;Linggi Bruno;**;7;56.5;2;9.75;0;0.0;9.0
+;5;18.75;Gwerder Dario;**;16;54.25;6;18.5;1;-0.25;10.0
+;4;28.75;Aeschbacher Matthias;**;6;56.75;4;28.75;0;0.0;10.0
-;3;38.75;Kämpf Bernhard;***;4;57.25;3;38.75;0;0.0;8.75
+;4;47.5;Steinauer Adrian;**;12;55.25;7;46.75;3;-0.75;9.75

4b;Wenger Kilian;***;;;;;;;;;57.25
-;;;Schurtenberger Sven;**;;;;;;;8.75
+;4;8.75;Kälin Remo;*;21;52.75;1;10.0;-3;1.25;9.75
-;6;18.5;Schuler Alex;**;7;56.5;7;18.25;1;-0.25;9.0
+;9;27.5;Schelbert Ralf;**;11;55.5;9;27.5;0;0.0;10.0
+;8;37.5;Brun Jonas;**;10;55.75;9;37.25;1;-0.25;10.0
+;4;47.5;Suppiger René;**;12;55.25;7;46.75;3;-0.75;9.75

4c;Fankhauser Erich;***;;;;;;;;;57.25
-;;;Kämpf Bernhard;***;;;;;;;8.75
+;4;8.75;Emonet Frédéric;*;19;53.5;2;9.75;-2;1.0;10.0
+;5;18.75;Roch Vincent;**;15;54.5;4;19.0;-1;0.25;10.0
o;4;28.75;Anderegg Simon;***;2;58.0;2;29.75;-2;1.0;8.5
+;9;37.25;Rolli Martin;**;15;54.5;10;37.0;1;-0.25;10.0
+;5;47.25;Roschi Ruedi;**;11;55.5;6;47.0;1;-0.25;10.0

4d;Kämpf Bernhard;***;;;;;;;;;57.25
