3578-2016-04-24_97_Zuger_Kantonal_Schwingfest-ST

1a;Heinzer Stefan;*;;;;;;;;;111.0
+;;;Bircher Vital;*;;;;;;;10.0
+;;;Bisig Thomas;**;;;;;;;10.0
o;1;20.0;Bieri Christian;*;5;57.0;2;10.0;1;-10.0;8.5
o;1;20.0;Linggi Bruno;**;9;56.0;2;10.0;1;-10.0;8.5
-;1;37.0;Kempf Damian;;17;54.0;4;19.5;3;-17.5;9.0
+;1;37.0;Ambühl Joel (1998);;13;55.0;7;18.5;6;-18.5;9.75
o;1;55.75;Reichmuth Pirmin;**;6;56.75;10;27.25;9;-28.5;8.5
o;1;55.75;Reichmuth Armin;*;7;56.5;6;28.25;5;-27.5;8.75
+;1;73.0;Egli Christian;;19;53.5;11;36.5;10;-36.5;10.0
+;1;73.0;Moos Christoph;;11;55.5;8;37.25;7;-35.75;9.75
+;1;92.75;Suter Beat;;13;55.0;9;46.5;8;-46.25;9.75
o;1;92.75;Waser Dominik;**;5;57.0;7;47.0;6;-45.75;8.5

2a;Schuler Christian;***;;;;;;;;;59.0
+;;;Britschgi Melk;**;;;;;;;9.75
+;3;9.75;Schelbert Ralf;**;4;57.25;2;10.0;-1;0.25;9.75
+;4;19.5;Nötzli Bruno;***;13;55.0;6;18.75;2;-0.75;10.0
+;3;29.5;Linggi Bruno;**;9;56.0;3;29.5;0;0.0;9.75
+;2;39.25;Gwerder Dario;;4;57.25;3;38.5;1;-0.75;9.75
+;2;49.0;Grab Martin;***;6;56.75;3;48.0;1;-1.0;10.0

3a;Laimbacher Philipp;***;;;;;;;;;57.5
-;;;Luginbühl Hanspeter;**;;;;;;;8.75
+;5;8.75;Höﬂiger Andreas;**;5;57.0;3;9.75;-2;1.0;9.75
+;7;18.5;Bieri Christian;*;5;57.0;2;20.0;-5;1.5;10.0
-;5;28.5;Wyrsch Marco;*;10;55.75;5;28.5;0;0.0;9.0
+;7;37.5;Hasler Florian;**;11;55.5;4;38.25;-3;0.75;10.0
+;5;47.5;Gwerder Guido;**;7;56.5;3;48.0;-2;0.5;10.0

4a;Gwerder Dario;;;;;;;;;;57.25
+;;;Fischer Tobias;;;;;;;;10.0
+;2;10.0;Wittwer Jan;*;11;55.5;5;8.75;3;-1.25;10.0
+;2;20.0;Kennel Stefan;*;14;54.75;5;19.0;3;-1.0;10.0
o;2;30.0;Schuler Christian;***;2;59.0;3;29.5;1;-0.5;8.5
-;3;38.5;Waser Dominik;**;5;57.0;4;38.25;1;-0.25;8.75
+;6;47.25;Schindler Thomas;;12;55.25;8;46.75;2;-0.5;10.0

4b;Nietlispach Pascal;**;;;;;;;;;57.25
-;;;Schnider Markus;*;;;;;;;8.75
+;5;8.75;Kennel Beat;*;11;55.5;6;8.5;1;-0.25;10.0
+;6;18.75;Gwerder Michael (2000);;16;54.25;3;19.75;-3;1.0;10.0
o;4;28.75;Ulrich Andreas;***;4;57.25;4;28.75;0;0.0;8.5
+;8;37.25;Kessler Joel;;15;54.5;7;37.5;-1;0.25;10.0
+;6;47.25;Villiger Cyrill;*;12;55.25;8;46.75;2;-0.5;10.0

4c;Schelbert Ralf;**;;;;;;;;;57.25
+;;;Imboden Roger;**;;;;;;;10.0
o;2;10.0;Schuler Christian;***;2;59.0;3;9.75;1;-0.25;8.5
+;7;18.5;Arnold Marcel;;19;53.5;6;18.75;-1;0.25;10.0
+;5;28.5;Bieri Marcel;**;5;57.0;4;28.75;-1;0.25;9.75
-;4;38.25;Fankhauser Reto;**;8;56.25;4;38.25;0;0.0;9.0
+;6;47.25;Schöpfer Thomas;*;13;55.0;9;46.5;3;-0.75;10.0

4d;Ulrich Andreas;***;;;;;;;;;57.25
+;;;Imfeld Peter;***;;;;;;;10.0
+;2;10.0;Schuler Philipp;**;9;56.0;2;10.0;0;0.0;10.0
-;2;20.0;Lengacher Jonas;**;31;28.5;3;19.75;1;-0.25;8.75
+;4;28.75;Nietlispach Pascal;**;4;57.25;4;28.75;0;0.0;9.75
-;3;38.5;Schuler Alex;**;8;56.25;3;38.5;0;0.0;8.75
+;6;47.25;Bisig Thomas;**;12;55.25;8;46.75;2;-0.5;10.0

5a;Bieri Marcel;**;;;;;;;;;57.0
-;;;Müllestein Mike;**;;;;;;;8.75
+;5;8.75;Fink Bruno;*;16;54.25;5;8.75;0;0.0;10.0
+;6;18.75;Kessler Joel;;15;54.5;2;20.0;-4;1.25;10.0
o;4;28.75;Schelbert Ralf;**;4;57.25;5;28.5;1;-0.25;8.5
+;8;37.25;Schürpf Bruno;;16;54.25;9;37.0;1;-0.25;9.75
+;7;47.0;Blaser Theo;*;8;56.25;5;47.5;-2;0.5;10.0

5b;Bieri Christian;*;;;;;;;;;57.0
+;;;Zimmermann Daniel;*;;;;;;;10.0
+;2;10.0;Heinzer Stefan;*;1;111.0;1;20.0;-1;10.0;10.0
o;2;20.0;Laimbacher Philipp;***;3;57.5;7;18.5;5;-1.5;8.5
+;5;28.5;Suter Paul;;16;54.25;5;28.5;0;0.0;10.0
o;3;38.5;Grab Martin;***;6;56.75;4;38.25;1;-0.25;8.5
+;7;47.0;Betschart Patrick (1999);;14;54.75;10;46.25;3;-0.75;10.0

5c;Höﬂiger Andreas;**;;;;;;;;;57.0
+;;;Fankhauser Reto;**;;;;;;;9.75
o;3;9.75;Laimbacher Philipp;***;3;57.5;5;8.75;2;-1.0;8.5
+;8;18.25;Hurschler Michael;;12;55.25;7;18.5;-1;0.25;10.0
+;6;28.25;Elsener Manuel;;17;54.0;6;28.25;0;0.0;10.0
-;4;38.25;Schuler Philipp;**;9;56.0;4;38.25;0;0.0;8.75
+;7;47.0;Amgarten Martin;;15;54.5;11;46.0;4;-1.0;10.0

5d;Waser Dominik;**;;;;;;;;;57.0
o;;;Nötzli Reto;***;;;;;;;8.5
+;6;8.5;Eﬃnger Markus;*;24;35.5;6;8.5;0;0.0;10.0
+;7;18.5;Schöpfer Thomas;*;13;55.0;3;19.75;-4;1.25;10.0
+;5;28.5;Amgarten Martin;;15;54.5;5;28.5;0;0.0;9.75
-;4;38.25;Gwerder Dario;;4;57.25;3;38.5;-1;0.25;8.75
+;7;47.0;Heinzer Stefan;*;1;111.0;1;92.75;-6;45.75;10.0

6a;Grab Martin;***;;;;;;;;;56.75
+;;;Föhn Franz;**;;;;;;;10.0
+;2;10.0;Gwerder Guido;**;7;56.5;3;9.75;1;-0.25;9.75
-;3;19.75;Nötzli Reto;***;11;55.5;5;19.0;2;-0.75;8.75
+;5;28.5;Betschart Rainer;**;9;56.0;4;28.75;-1;0.25;9.75
+;4;38.25;Bieri Christian;*;5;57.0;3;38.5;-1;0.25;9.75
o;3;48.0;Schuler Christian;***;2;59.0;2;49.0;-1;1.0;8.75

6b;Gloggner Reto;**;;;;;;;;;56.75
o;;;Linggi Bruno;**;;;;;;;8.5
+;6;8.5;Föhn Pirmin;*;12;55.25;5;8.75;-1;0.25;9.75
+;8;18.25;Schürpf Guido;;16;54.25;6;18.75;-2;0.5;10.0
+;6;28.25;Gwerder Andreas;*;12;55.25;6;28.25;0;0.0;10.0
o;4;38.25;Gwerder Guido;**;7;56.5;5;38.0;1;-0.25;8.75
+;7;47.0;Grab Daniel;**;15;54.5;11;46.0;4;-1.0;9.75

6c;Reichmuth Pirmin;**;;;;;;;;;56.75
-;;;Nötzli Bruno;***;;;;;;;8.75
-;5;8.75;Blaser Theo;*;8;56.25;2;10.0;-3;1.25;8.75
+;11;17.5;Hirsiger Alexander;;21;53.0;7;18.5;-4;1.0;9.75
+;10;27.25;Heinzer Stefan;*;1;111.0;1;55.75;-9;28.5;9.75
+;9;37.0;Ulrich Marco;;11;55.5;9;37.0;0;0.0;10.0
+;7;47.0;Kennel Beat;*;11;55.5;8;46.75;1;-0.25;9.75

6d;Britschgi Melk;**;;;;;;;;;56.75
o;;;Schuler Christian;***;;;;;;;8.5
-;6;8.5;Fässler Cornel;*;12;55.25;4;9.0;-2;0.5;8.75
+;12;17.25;Küttel Samuel;;24;35.5;7;18.5;-5;1.25;10.0
+;10;27.25;Gwerder Beni;;15;54.5;10;27.25;0;0.0;9.75
+;9;37.0;Hösli Fritz;*;13;55.0;10;36.75;1;-0.25;10.0
+;7;47.0;Kessler Joel;;15;54.5;11;46.0;4;-1.0;9.75

6e;Küttel Pirmin;**;;;;;;;;;56.75
o;;;Inderbitzin Daniel;*;;;;;;;8.5
o;6;8.5;Fankhauser Reto;**;8;56.25;6;8.5;0;0.0;8.5
+;13;17.0;Heinzer Josef;;17;54.0;8;18.25;-5;1.25;10.0
+;11;27.0;Hurschler Adrian;;11;55.5;11;27.0;0;0.0;10.0
+;9;37.0;Elsener Adrian;**;11;55.5;8;37.25;-1;0.25;10.0
+;7;47.0;Luginbühl Hanspeter;**;12;55.25;8;46.75;1;-0.25;9.75

7a;Gwerder Guido;**;;;;;;;;;56.5
+;;;Muff Armin;**;;;;;;;9.75
o;3;9.75;Grab Martin;***;6;56.75;2;10.0;-1;0.25;8.5
+;8;18.25;Inderbitzin Urs;;24;35.5;7;18.5;-1;0.25;10.0
+;6;28.25;Baumann Marco;;14;54.75;9;27.5;3;-0.75;9.75
+;5;38.0;Gloggner Reto;**;6;56.75;4;38.25;-1;0.25;10.0
o;3;48.0;Laimbacher Philipp;***;3;57.5;5;47.5;2;-0.5;8.5

7b;Reichmuth Armin;*;;;;;;;;;56.5
+;;;Eﬃnger Markus;*;;;;;;;10.0
o;2;10.0;Imfeld Peter;***;32;27.0;6;8.5;4;-1.5;8.5
