3581-2018-05-10_Baselstaedtischer_Schwingertag-ST

1a;Sempach Thomas;***;;;;;;;;;59.25
+;;;Gisler Bruno;***;;;;;;;10.0
+;1;10.0;Döbeli Andreas;*;6;56.75;2;9.75;1;-0.25;10.0
+;1;20.0;Stalder Remo;***;11;55.5;2;19.75;1;-0.25;9.75
+;1;29.75;Thürig Mario;***;8;56.25;2;28.75;1;-1.0;9.75
+;1;39.5;Bieri Christoph;***;11;55.5;4;38.25;3;-1.25;9.75
+;1;49.25;Widmer Tobias;**;4;57.25;2;48.5;1;-0.75;10.0

2a;Alpiger Nick;***;;;;;;;;;58.0
+;;;Schenk Patrick;***;;;;;;;9.75
-;2;9.75;Oertig Dominik;**;3;57.5;1;10.0;-1;0.25;9.0
+;5;18.75;Bader Andreas;**;15;54.5;5;18.75;0;0.0;9.75
+;3;28.5;Brun Samuel;**;13;55.0;4;28.25;1;-0.25;10.0
+;3;38.5;Gisler Bruno;***;6;56.75;4;38.25;1;-0.25;9.75
+;3;48.25;Bieri Marcel;**;7;56.5;4;48.0;1;-0.25;9.75

3a;Oertig Dominik;**;;;;;;;;;57.5
+;;;Räbmatter Patrick;***;;;;;;;10.0
-;1;10.0;Alpiger Nick;***;2;58.0;2;9.75;1;-0.25;9.0
o;4;19.0;Bieri Christoph;***;11;55.5;5;18.75;1;-0.25;8.5
+;7;27.5;Loosli Adrian;;13;55.0;5;28.0;-2;0.5;10.0
+;7;37.5;Winiger Fabian;**;13;55.0;5;38.0;-2;0.5;10.0
+;6;47.5;Kramer Franz;*;10;55.75;8;47.0;2;-0.5;10.0

4a;Erb Roger;**;;;;;;;;;57.25
+;;;Steinmann Yves;*;;;;;;;10.0
+;1;10.0;Schenk Patrick;***;6;56.75;4;8.5;3;-1.5;10.0
-;1;20.0;Schmid David;***;6;56.75;6;18.5;5;-1.5;8.75
+;2;28.75;Leuthard Reto;*;11;55.5;3;28.5;1;-0.25;10.0
o;2;38.75;Widmer Tobias;**;4;57.25;3;38.5;1;-0.25;8.5
+;7;47.25;Büttler Adrian;;12;55.25;9;46.75;2;-0.5;10.0

4b;Räber Lukas;;;;;;;;;;57.25
+;;;Dobler Florian;;;;;;;;9.75
-;2;9.75;Hauri Urs;**;10;55.75;3;8.75;1;-1.0;8.75
+;6;18.5;Schillig Willi;**;11;55.5;6;18.5;0;0.0;9.75
-;4;28.25;Küng Marco;*;15;54.5;4;28.25;0;0.0;9.0
+;8;37.25;Dettwiler Patrick;;18;53.75;10;36.75;2;-0.5;10.0
+;7;47.25;Büttler Gian (2000);;10;55.75;8;47.0;1;-0.25;10.0

4c;Widmer Tobias;**;;;;;;;;;57.25
+;;;Nägeli Marco;**;;;;;;;10.0
+;1;10.0;Probst Gabriel;**;13;55.0;1;10.0;0;0.0;10.0
-;1;20.0;Fankhauser Erich;***;5;57.0;5;18.75;4;-1.25;8.75
+;2;28.75;Lisser Daniel;*;22;37.0;3;28.5;1;-0.25;9.75
+;3;38.5;Erb Roger;**;4;57.25;2;38.75;-1;0.25;10.0
o;2;48.5;Sempach Thomas;***;1;59.25;1;49.25;-1;0.75;8.75

4d;Stüdeli Thomas;**;;;;;;;;;57.25
-;;;Arnold Kornel;*;;;;;;;8.75
-;3;8.75;Mangold Michael;**;14;54.75;3;8.75;0;0.0;8.75
+;8;17.5;Joho Philip (2002);;11;55.5;6;18.5;-2;1.0;9.75
+;8;27.25;Schwegler Dominik;;17;54.0;4;28.25;-4;1.0;10.0
+;8;37.25;Steinmann Yves;*;11;55.5;9;37.0;1;-0.25;10.0
+;7;47.25;Reimann Marco;;13;55.0;10;46.5;3;-0.75;10.0

5a;Fankhauser Erich;***;;;;;;;;;57.0
-;;;Bieri Christoph;***;;;;;;;8.75
+;3;8.75;Kropf Marcel;**;5;57.0;1;10.0;-2;1.25;10.0
-;5;18.75;Widmer Tobias;**;4;57.25;1;20.0;-4;1.25;8.75
+;7;27.5;Schaffner Samuel;**;12;55.25;4;28.25;-3;0.75;10.0
+;7;37.5;Vieira Tiago;**;12;55.25;4;38.25;-3;0.75;9.75
+;7;47.25;Kocher Remo;**;12;55.25;9;46.75;2;-0.5;9.75

5b;Kropf Marcel;**;;;;;;;;;57.0
+;;;Schaffner Samuel;**;;;;;;;10.0
o;1;10.0;Fankhauser Erich;***;5;57.0;3;8.75;2;-1.25;8.5
+;6;18.5;Schwenkfelder Lukas;;9;56.0;6;18.5;0;0.0;10.0
o;3;28.5;Schmid Dominik;**;8;56.25;5;28.0;2;-0.5;8.5
+;9;37.0;Reinhard Pirmin (2001);;16;54.25;9;37.0;0;0.0;10.0
+;8;47.0;Winiger Fabian;**;13;55.0;10;46.5;2;-0.5;10.0

5c;Mangold Martin;;;;;;;;;;57.0
+;;;Ris Jörn;;;;;;;;10.0
-;1;10.0;Scherrer Johann;**;15;54.5;4;8.5;3;-1.5;8.75
-;5;18.75;Anderegg David;*;16;54.25;6;18.5;1;-0.25;8.75
+;7;27.5;Hitz Florian;;16;54.25;8;27.25;1;-0.25;10.0
+;7;37.5;Moser Matthias;*;16;54.25;10;36.75;3;-0.75;9.75
+;7;47.25;Krebs Clemens;;11;55.5;9;46.75;2;-0.5;9.75

5d;von Weissenfluh Kilian;**;;;;;;;;;57.0
-;;;Thürig Mario;***;;;;;;;8.75
-;3;8.75;Klausner Yanick;**;6;56.75;1;10.0;-2;1.25;8.75
+;8;17.5;Huber Fabian;;20;52.75;6;18.5;-2;1.0;10.0
+;7;27.5;Hasler Manuel;*;10;55.75;3;28.5;-4;1.0;10.0
+;7;37.5;Stoll Simon;*;6;56.75;4;38.25;-3;0.75;9.75
+;7;47.25;Schmutz Adrian;*;11;55.5;8;47.0;1;-0.25;9.75

6a;Schmid David;***;;;;;;;;;56.75
-;;;Bieri Marcel;**;;;;;;;8.75
+;3;8.75;Waldner Patrick;**;15;54.5;2;9.75;-1;1.0;9.75
-;6;18.5;Erb Roger;**;4;57.25;1;20.0;-5;1.5;8.75
+;8;27.25;Stark Urban (2000);;16;54.25;3;28.5;-5;1.25;10.0
+;8;37.25;Hasler Manuel;*;10;55.75;9;37.0;1;-0.25;9.75
