3617-2017-06-25_Fete_Cantonale_Vaudoise2-ST

1a;Moser Steven;**;;;;;;;;;58.75
-;;;Egli Pirmin;**;;;;;;;8.75
+;4;8.75;Schmidiger Marco;*;10;56.0;2;9.75;-2;1.0;10.0
+;5;18.75;Emonet Frédéric;*;14;55.0;7;18.25;2;-0.5;10.0
+;2;28.75;Lerch Jimmy;*;13;55.25;3;28.5;1;-0.25;10.0
+;1;38.75;Dind Samuel;**;11;55.75;3;38.25;2;-0.5;10.0
+;1;48.75;Kramer Lario;**;4;57.5;1;48.75;0;0.0;10.0

2a;Piemontesi Pascal;**;;;;;;;;;58.25
+;;;Egli Damian;**;;;;;;;10.0
+;1;10.0;Dind Samuel;**;11;55.75;2;9.75;1;-0.25;9.75
-;2;19.75;Brodard Simon;**;10;56.0;5;18.75;3;-1.0;8.75
+;3;28.5;Lützelschwab Luc (1999);;12;55.5;3;28.5;0;0.0;10.0
+;2;38.5;Dousse Michel;**;7;56.75;3;38.25;1;-0.25;10.0
+;2;48.5;Roch Vincent;**;7;56.75;3;48.25;1;-0.25;9.75

3a;Borcard Johann;**;;;;;;;;;58.0
-;;;Matthey Mickaël;**;;;;;;;9.0
+;3;9.0;Kramer Dorian (1999);;17;54.25;2;9.75;-1;0.75;9.75
+;5;18.75;Loup Alexandre;*;15;54.75;7;18.25;2;-0.5;9.75
+;3;28.5;Parvex Yannick;;13;55.25;3;28.5;0;0.0;9.75
+;3;38.25;Mollet Ivan;*;6;57.0;2;38.5;-1;0.25;10.0
+;3;48.25;Doppmann Urs;*;11;55.75;4;47.25;1;-1.0;9.75

4a;Kramer Lario;**;;;;;;;;;57.5
+;;;Giroud Jonathan;**;;;;;;;10.0
-;1;10.0;Duplan Steve;**;6;57.0;1;10.0;0;0.0;9.0
+;4;19.0;Gottofrey Luc;*;13;55.25;6;18.5;2;-0.5;9.75
+;2;28.75;Haenni Stéphane;**;5;57.25;1;30.0;-1;1.25;10.0
+;1;38.75;Egli Damian;**;6;57.0;2;38.5;1;-0.25;10.0
o;1;48.75;Moser Steven;**;1;58.75;1;48.75;0;0.0;8.75

5a;Haenni Stéphane;**;;;;;;;;;57.25
+;;;Doppmann Urs;*;;;;;;;10.0
+;1;10.0;Bersier Jean-Jacques;*;17;54.25;1;10.0;0;0.0;10.0
+;1;20.0;Egli Pirmin;**;11;55.75;5;18.75;4;-1.25;10.0
o;1;30.0;Kramer Lario;**;4;57.5;2;28.75;1;-1.25;8.5
-;2;38.5;Brodard Augustin;**;13;55.25;4;38.0;2;-0.5;8.75
+;4;47.25;Cotting Florian;;12;55.5;5;47.0;1;-0.25;10.0

5b;Gottofrey Marc;**;;;;;;;;;57.25
-;;;Egli David;*;;;;;;;9.0
+;3;9.0;Lützelschwab Luc (1999);;12;55.5;1;10.0;-2;1.0;10.0
