3621-2019-07-20_68_Weissenstein-Schwinget-ST

1a;Giger Samuel;***;;;;;;;;;59.75
+;;;Wenger Kilian;***;;;;;;;10.0
+;1;10.0;Staudenmann Fabian;**;5;56.5;2;9.75;1;-0.25;9.75
+;2;19.75;Strebel Joel;**;5;56.5;2;19.75;0;0.0;10.0
+;1;29.75;Wiget Michael;**;2;57.5;2;29.5;1;-0.25;10.0
+;1;39.75;Räbmatter Patrick;***;3;57.0;4;38.25;3;-1.5;10.0
+;1;49.75;Wiget Michael;**;2;57.5;3;47.75;2;-2.0;10.0

2a;Wiget Michael;**;;;;;;;;;57.5
+;;;Kropf Marcel;**;;;;;;;10.0
+;1;10.0;Krähenbühl Tobias;***;11;55.0;4;8.75;3;-1.25;9.75
+;2;19.75;Leuppi Samir;**;5;56.5;2;19.75;0;0.0;9.75
o;2;29.5;Giger Samuel;***;1;59.75;1;29.75;-1;0.25;8.5
+;5;38.0;Rychen Roger;***;14;54.25;8;37.0;3;-1.0;9.75
+;3;47.75;Alpiger Nick;***;6;56.25;3;47.75;0;0.0;9.75
o;2;57.5;Giger Samuel;***;1;59.75;1;59.75;-1;2.25;0.0

3a;Gnägi Florian;***;;;;;;;;;57.0
+;;;Bless Michael;***;;;;;;;10.0
o;1;10.0;Oertig Dominik;**;7;56.0;1;10.0;0;0.0;8.5
-;6;18.5;Kropf Marcel;**;14;54.25;6;18.5;0;0.0;8.75
+;9;27.25;Stalder Remo;***;10;55.25;7;28.0;-2;0.75;10.0
+;7;37.25;Leuthard Reto;**;14;54.25;8;37.0;1;-0.25;10.0
+;5;47.25;Steiner Michael;**;12;54.75;9;46.25;4;-1.0;9.75

3b;Wenger Kilian;***;;;;;;;;;57.0
o;;;Giger Samuel;***;;;;;;;8.5
+;5;8.5;Riget Tobias;**;27;27.0;1;10.0;-4;1.5;10.0
+;6;18.5;Kuster Thomas;*;8;55.75;5;18.75;-1;0.25;10.0
+;5;28.5;Oertig Dominik;**;7;56.0;3;29.0;-2;0.5;10.0
+;3;38.5;Bless Michael;***;3;57.0;3;38.5;0;0.0;9.75
-;2;48.25;Staudenmann Fabian;**;5;56.5;3;47.75;1;-0.5;8.75

3c;Ramseier Fritz;**;;;;;;;;;57.0
+;;;Schillig Willi;**;;;;;;;10.0
+;1;10.0;Zwyssig Raphael;***;9;55.5;5;8.5;4;-1.5;10.0
-;1;20.0;Erb Roger;**;4;56.75;1;20.0;0;0.0;8.75
+;4;28.75;Schmid David;***;15;54.0;6;28.25;2;-0.5;10.0
o;2;38.75;Alpiger Nick;***;6;56.25;5;38.0;3;-0.75;8.5
+;5;47.25;Voggensperger Lars (2001);*;10;55.25;7;46.75;2;-0.5;9.75

3d;Bless Michael;***;;;;;;;;;57.0
o;;;Gnägi Florian;***;;;;;;;8.5
+;5;8.5;Kocher Remo;**;14;54.25;1;10.0;-4;1.5;10.0
+;6;18.5;Gerber Christian;**;10;55.25;6;18.5;0;0.0;10.0
+;5;28.5;Gobeli Patrick;**;9;55.5;4;28.75;-1;0.25;10.0
o;3;38.5;Wenger Kilian;***;3;57.0;3;38.5;0;0.0;8.5
+;6;47.0;von Weissenfluh Kilian;**;6;56.25;4;47.5;-2;0.5;10.0

3e;Räbmatter Patrick;***;;;;;;;;;57.0
o;;;Leuppi Samir;**;;;;;;;8.5
+;5;8.5;Gasser Dominik;*;9;55.5;1;10.0;-4;1.5;9.75
+;7;18.25;Wickli Beat;**;15;54.0;6;18.5;-1;0.25;10.0
+;6;28.25;Schenk Patrick;***;8;55.75;4;28.75;-2;0.5;10.0
o;4;38.25;Giger Samuel;***;1;59.75;1;39.75;-3;1.5;8.75
+;6;47.0;Zangger Dominik;*;7;56.0;4;47.5;-2;0.5;10.0

4a;Erb Roger;**;;;;;;;;;56.75
+;;;Rychen Roger;***;;;;;;;10.0
+;1;10.0;Notz Beni;***;18;53.0;4;8.75;3;-1.25;10.0
-;1;20.0;Ramseier Fritz;**;3;57.0;1;20.0;0;0.0;8.75
+;4;28.75;Iseli Marco;**;10;55.25;5;28.5;1;-0.25;9.75
o;3;38.5;Schenk Patrick;***;8;55.75;7;37.25;4;-1.25;8.5
+;6;47.0;Gasser Dominik;*;9;55.5;6;47.0;0;0.0;9.75

4b;Studer Stefan;**;;;;;;;;;56.75
+;;;Stalder Remo;***;;;;;;;10.0
o;1;10.0;Strebel Joel;**;5;56.5;1;10.0;0;0.0;8.5
+;6;18.5;Schmutz Simon;*;20;35.25;7;18.25;1;-0.25;9.75
+;6;28.25;Krähenbühl Tobias;***;11;55.0;10;27.0;4;-1.25;9.75
-;5;38.0;Schmid David;***;15;54.0;9;36.75;4;-1.25;8.75
+;7;46.75;von Arx Christian;*;11;55.0;8;46.5;1;-0.25;10.0

5a;Strebel Joel;**;;;;;;;;;56.5
+;;;Forrer Arnold;***;;;;;;;10.0
+;1;10.0;Studer Stefan;**;4;56.75;1;10.0;0;0.0;9.75
o;2;19.75;Giger Samuel;***;1;59.75;2;19.75;0;0.0;8.5
+;6;28.25;Gasser Dominik;*;9;55.5;5;28.5;-1;0.25;9.75
o;5;38.0;Staudenmann Fabian;**;5;56.5;5;38.0;0;0.0;8.75
+;7;46.75;Schenk Patrick;***;8;55.75;6;47.0;-1;0.25;9.75

5b;Leuppi Samir;**;;;;;;;;;56.5
+;;;Räbmatter Patrick;***;;;;;;;9.75
+;2;9.75;Brand Christian;**;16;53.75;2;9.75;0;0.0;10.0
o;2;19.75;Wiget Michael;**;2;57.5;2;19.75;0;0.0;8.5
+;6;28.25;Voggensperger Lars (2001);*;10;55.25;5;28.5;-1;0.25;9.75
-;5;38.0;Kämpf Bernhard;***;7;56.0;7;37.25;2;-0.75;8.75
+;7;46.75;Gerber Christian;**;10;55.25;7;46.75;0;0.0;9.75

5c;Staudenmann Fabian;**;;;;;;;;;56.5
+;;;Zwyssig Raphael;***;;;;;;;9.75
o;2;9.75;Giger Samuel;***;1;59.75;1;10.0;-1;0.25;8.5
+;7;18.25;Stoll Simon;**;13;54.5;8;17.5;1;-0.75;10.0
+;6;28.25;Kocher Remo;**;14;54.25;5;28.5;-1;0.25;9.75
+;5;38.0;Strebel Joel;**;5;56.5;5;38.0;0;0.0;9.75
-;3;47.75;Wenger Kilian;***;3;57.0;2;48.25;-1;0.5;8.75

6a;Alpiger Nick;***;;;;;;;;;56.25
-;;;Kämpf Bernhard;***;;;;;;;8.75
+;4;8.75;Gehrig Philipp;**;15;54.0;1;10.0;-3;1.25;9.75
+;6;18.5;Iseli Marco;**;10;55.25;1;20.0;-5;1.5;9.75
+;6;28.25;Roth Dominik;**;7;56.0;4;28.75;-2;0.5;9.75
+;5;38.0;Ramseier Fritz;**;3;57.0;2;38.75;-3;0.75;9.75
o;3;47.75;Wiget Michael;**;2;57.5;3;47.75;0;0.0;8.5

6b;von Weissenfluh Kilian;**;;;;;;;;;56.25
+;;;Klausner Yanick;**;;;;;;;9.75
+;2;9.75;Forrer Arnold;***;28;25.75;5;8.5;3;-1.25;10.0
-;2;19.75;Voggensperger Lars (2001);*;10;55.25;3;19.5;1;-0.25;9.0
-;4;28.75;Kindlimann Fabian;***;17;53.5;8;27.5;4;-1.25;8.75
+;6;37.5;Kuster Thomas;*;8;55.75;7;37.25;1;-0.25;10.0
o;4;47.5;Bless Michael;***;3;57.0;6;47.0;2;-0.5;8.75

7a;Roth Dominik;**;;;;;;;;;56.0
