3686-2019-08-11_20_Schwaegalp-Schwinget-ST

1a;Giger Samuel;***;;;;;;;;;58.0
+;;;Nötzli Reto;***;;;;;;;10.0
+;1;10.0;Kramer Lario;**;4;56.75;2;9.75;1;-0.25;9.75
+;2;19.75;Mathis Marcel;***;2;57.25;2;19.75;0;0.0;9.75
+;1;29.5;Geisser Lars;**;8;55.5;2;28.75;1;-0.75;10.0
+;1;39.5;Müllestein Mike;***;2;57.25;2;38.75;1;-0.75;9.75
-;1;49.25;Mathis Marcel;***;2;57.25;2;48.5;1;-0.75;8.75

1b;Bösch Daniel;***;;;;;;;;;58.0
o;;;Mathis Marcel;***;;;;;;;8.5
+;5;8.5;Arztmann Beda;**;14;54.0;1;10.0;-4;1.5;10.0
+;5;18.5;Giger Urs;*;12;54.5;4;18.75;-1;0.25;9.75
+;4;28.25;Roth Martin;**;8;55.5;4;28.25;0;0.0;9.75
+;5;38.0;Schneider Domenic;***;2;57.25;2;38.75;-3;0.75;10.0
+;4;48.0;Gwerder Michael;**;4;56.75;3;48.25;-1;0.25;10.0

2a;Schneider Domenic;***;;;;;;;;;57.25
-;;;Moser Steven;**;;;;;;;9.0
+;3;9.0;Heierli Pascal;*;20;35.5;2;9.75;-1;0.75;9.75
+;4;18.75;Doppmann Urs;**;9;55.25;2;19.75;-2;1.0;10.0
+;2;28.75;Wickli Beat;**;10;55.0;4;28.25;2;-0.5;10.0
o;2;38.75;Bösch Daniel;***;1;58.0;5;38.0;3;-0.75;8.75
+;5;47.5;Kramer Lario;**;4;56.75;3;48.25;-2;0.75;9.75

2b;Müllestein Mike;***;;;;;;;;;57.25
o;;;Orlik Armon;***;;;;;;;8.75
+;4;8.75;Kuster Thomas;*;13;54.25;1;10.0;-3;1.25;10.0
+;4;18.75;Poltera Andrin;*;15;53.75;3;19.5;-1;0.75;10.0
+;2;28.75;Dändliker Shane;**;5;56.5;3;28.5;1;-0.25;10.0
o;2;38.75;Giger Samuel;***;1;58.0;1;39.5;-1;0.75;8.75
+;5;47.5;Zwyssig Raphael;***;7;55.75;6;47.25;1;-0.25;9.75

2c;Mathis Marcel;***;;;;;;;;;57.25
+;;;Bösch Daniel;***;;;;;;;9.75
+;2;9.75;Oettli Marco;**;6;56.0;1;10.0;-1;0.25;10.0
o;2;19.75;Giger Samuel;***;1;58.0;2;19.75;0;0.0;8.75
+;3;28.5;Bernold Christian;**;12;54.5;3;28.5;0;0.0;10.0
+;3;38.5;Bless Michael;***;4;56.75;3;38.5;0;0.0;10.0
-;2;48.5;Giger Samuel;***;1;58.0;1;49.25;-1;0.75;8.75

3a;Reichmuth Marco;**;;;;;;;;;57.0
+;;;Kuster Marcel;***;;;;;;;10.0
+;1;10.0;Battaglia Ursin;**;14;54.0;1;10.0;0;0.0;10.0
o;1;20.0;Bless Michael;***;4;56.75;4;18.75;3;-1.25;8.5
+;3;28.5;Jörger Marc;*;13;54.25;4;28.25;1;-0.25;9.75
-;4;38.25;Burkhalter Stefan;***;10;55.0;6;37.5;2;-0.75;8.75
+;7;47.0;Geisser Lars;**;8;55.5;7;47.0;0;0.0;10.0

4a;Kramer Lario;**;;;;;;;;;56.75
+;;;Oertig Dominik;**;;;;;;;9.75
o;2;9.75;Giger Samuel;***;1;58.0;1;10.0;-1;0.25;8.5
+;6;18.25;Baumann Rico;*;13;54.25;5;18.5;-1;0.25;10.0
+;4;28.25;Bernold Michael;*;13;54.25;4;28.25;0;0.0;10.0
+;4;38.25;Nötzli Reto;***;5;56.5;5;38.0;1;-0.25;10.0
o;3;48.25;Schneider Domenic;***;2;57.25;5;47.5;2;-0.75;8.5

4b;Gwerder Michael;**;;;;;;;;;56.75
+;;;Bless Michael;***;;;;;;;9.75
-;2;9.75;Schneider Mario;**;5;56.5;2;9.75;0;0.0;8.75
+;5;18.5;Koch Thomas;*;13;54.25;4;18.75;-1;0.25;9.75
+;4;28.25;Schläpfer Markus;**;13;54.25;4;28.25;0;0.0;10.0
+;4;38.25;Kuster Marcel;***;9;55.25;5;38.0;1;-0.25;10.0
o;3;48.25;Bösch Daniel;***;1;58.0;4;48.0;1;-0.25;8.5

4c;Bless Michael;***;;;;;;;;;56.75
o;;;Gwerder Michael;**;;;;;;;8.75
+;4;8.75;Brodard Augustin;**;12;54.5;2;9.75;-2;1.0;10.0
+;4;18.75;Reichmuth Marco;**;3;57.0;1;20.0;-3;1.25;9.75
+;3;28.5;Schneider Mario;**;5;56.5;4;28.25;1;-0.25;10.0
o;3;38.5;Mathis Marcel;***;2;57.25;3;38.5;0;0.0;8.5
+;7;47.0;Notz Beni;***;7;55.75;6;47.25;-1;0.25;9.75

5a;Borcard Johann;**;;;;;;;;;56.5
+;;;Rhyner Michael;**;;;;;;;9.75
+;2;9.75;Steiner Michael;**;21;35.25;2;9.75;0;0.0;9.75
