3715-2018-07-01_112_Innerschweizerisches_Schwingfest-ST

1a;Stucki Christian;***;;;;;;;;;114.0
+;;;Imhof Andi;***;;;;;;;10.0
+;;;Betschart Silvan;*;;;;;;;10.0
+;1;20.0;Ulrich Andreas;***;5;58.25;4;10.0;3;-10.0;10.0
o;1;20.0;Gwerder Michael (2000);*;8;57.0;4;10.0;3;-10.0;8.5
+;1;38.5;Herger Matthias;**;8;57.0;4;20.0;3;-18.5;9.75
o;1;38.5;Zimmermann Martin;**;10;56.5;7;19.0;6;-19.5;8.5
+;1;56.75;Nötzli Reto;***;7;57.25;4;29.75;3;-27.0;10.0
+;1;56.75;Reichmuth Lukas (2000);*;20;54.0;14;27.0;13;-29.75;10.0
+;1;76.75;Bieri Marcel;**;9;56.75;4;39.5;3;-37.25;10.0
-;1;76.75;Gwerder Carlo;**;19;54.25;13;37.0;12;-39.75;8.75
-;1;95.5;Wicki Joel;**;4;58.5;4;49.5;3;-46.0;8.75
+;1;95.5;Gut Koni;;19;54.25;17;45.75;16;-49.75;9.75

2a;Schuler Alex;***;;;;;;;;;110.75
+;;;Egli Damian;**;;;;;;;9.75
o;;;Gisler Jonas (2001);;;;;;;;8.5
+;2;18.25;Zurﬂuh Michael;*;19;54.25;5;9.75;3;-8.5;9.75
o;2;18.25;Felder Seppi;*;30;43.0;7;8.75;5;-9.5;8.5
-;2;36.5;Sempach Matthias;***;18;54.5;10;18.25;8;-18.25;8.75
+;2;36.5;Hürlimann Mathias (2000);*;40;26.0;14;17.25;12;-19.25;10.0
+;2;55.25;Amgarten Martin;*;20;54.0;8;28.5;6;-26.75;9.75
o;2;55.25;Thalmann Thomas;*;28;44.25;13;27.25;11;-28.0;8.5
+;2;73.5;Reichmuth Marco;**;9;56.75;7;38.5;5;-35.0;10.0
o;2;73.5;Wallimann Remo;;27;45.25;19;35.5;17;-38.0;8.5
-;2;92.0;Schurtenberger Sven;***;6;57.75;5;48.75;3;-43.25;8.75
+;2;92.0;Gander Michael;;29;44.0;24;44.0;22;-48.0;10.0

3a;Heinzer Stefan;**;;;;;;;;;90.0
o;;;Suppiger Werner;**;;;;;;;8.5
o;;;Fellmann Roman;*;;;;;;;8.5
+;3;17.0;Baumann Roger;*;41;25.75;8;8.5;5;-8.5;9.75
-;3;17.0;Käslin Benno;*;36;34.5;7;8.75;4;-8.25;8.75
+;3;35.5;Wallimann Remo;;27;45.25;9;18.5;6;-17.0;9.75
-;3;35.5;Hess Dominik;*;21;53.75;12;17.75;9;-17.75;8.75
-;3;54.0;Vonlaufen Lukas;*;19;54.25;9;28.25;6;-25.75;8.75
-;3;54.0;Bürgi Reto;*;35;34.75;18;26.0;15;-28.0;8.75
+;3;71.5;Portmann Josef;*;15;55.25;14;36.75;11;-34.75;10.0
o;3;81.5;Gloggner Philipp;***;8;57.0;12;47.0;9;-34.5;8.5

4a;Wicki Joel;**;;;;;;;;;58.5
+;;;Sempach Matthias;***;;;;;;;9.75
+;5;9.75;Odermatt Remo;*;19;54.25;5;9.75;0;0.0;9.75
+;6;19.5;Nietlispach Pascal;**;10;56.5;5;19.75;-1;0.25;10.0
+;5;29.5;Zimmermann Martin;**;10;56.5;6;29.0;1;-0.5;10.0
+;4;39.5;von Ah Benji;***;11;56.25;5;39.25;1;-0.25;10.0
-;4;49.5;Stucki Christian;***;1;114.0;1;95.5;-3;46.0;9.0

4b;Schuler Christian;***;;;;;;;;;58.5
+;;;Räbmatter Patrick;***;;;;;;;9.75
-;5;9.75;Heiniger Marco;*;12;56.0;4;10.0;-1;0.25;9.0
+;8;18.75;Ettlin Stefan;*;15;55.25;5;19.75;-3;1.0;9.75
+;8;28.5;Kurmann Toni;*;14;55.5;8;28.5;0;0.0;10.0
+;7;38.5;Arnold Stefan;**;9;56.75;4;39.5;-3;1.0;10.0
+;6;48.5;Fankhauser Erich;***;10;56.5;8;48.0;2;-0.5;10.0

5a;Ulrich Andreas;***;;;;;;;;;58.25
+;;;Erb Roger;**;;;;;;;10.0
o;4;10.0;Stucki Christian;***;1;114.0;1;20.0;-3;10.0;8.5
+;9;18.5;Ottiger Lukas;*;17;54.75;6;19.5;-3;1.0;10.0
+;8;28.5;Bernhard Lukas;*;14;55.5;8;28.5;0;0.0;9.75
+;8;38.25;Fankhauser Marco;**;8;57.0;6;38.75;-2;0.5;10.0
+;7;48.25;von Ah Benji;***;11;56.25;9;47.75;2;-0.5;10.0

6a;Schurtenberger Sven;***;;;;;;;;;57.75
-;;;Gnägi Florian;***;;;;;;;8.75
+;7;8.75;Würsch Lars;*;16;55.0;4;10.0;-3;1.25;10.0
+;8;18.75;Langenstein Philip;**;17;54.75;7;19.0;-1;0.25;10.0
+;7;28.75;Erb Roger;**;13;55.75;8;28.5;1;-0.25;10.0
+;6;38.75;Müllestein Mike;***;7;57.25;7;38.5;1;-0.25;10.0
-;5;48.75;Schuler Alex;***;2;110.75;2;92.0;-3;43.25;9.0

7a;Nötzli Reto;***;;;;;;;;;57.25
+;;;Gisler Bruno;***;;;;;;;10.0
+;4;10.0;Arnold Andreas;*;16;55.0;5;9.75;1;-0.25;9.75
+;5;19.75;Ambühl Joel;*;8;57.0;5;19.75;0;0.0;10.0
o;4;29.75;Stucki Christian;***;1;114.0;1;56.75;-3;27.0;8.5
-;8;38.25;Arnold Raphael;*;10;56.5;9;38.0;1;-0.25;9.0
+;11;47.25;Muff Armin;**;14;55.5;12;47.0;1;-0.25;10.0

7b;Fellmann Roman;*;;;;;;;;;57.25
+;;;Heinzer Stefan;*;;;;;;;10.0
+;4;10.0;Rhyner Michael;**;13;55.75;7;8.75;3;-1.25;9.75
