3727-2017-06-04_Fete_Cantonale_Fribourgeoise-ST

1a;Aeschbacher Matthias;**;;;;;;;;;59.25
+;;;Piemontesi Pascal;**;;;;;;;10.0
+;1;10.0;Gottofrey Marc;**;6;56.25;1;10.0;0;0.0;9.75
+;2;19.75;Guisolan Marc;**;4;56.75;1;20.0;-1;0.25;10.0
+;1;29.75;Kramer Lario;**;3;57.0;2;29.0;1;-0.75;9.75
+;1;39.5;Matthey Mickaël;**;3;57.0;2;38.5;1;-1.0;9.75
+;1;49.25;Moser Steven;**;3;57.0;2;48.25;1;-1.0;10.0

2a;Riedo Fredy;;;;;;;;;;57.25
+;;;Goy Sébastien;;;;;;;;10.0
o;1;10.0;Bersier Jean-Jacques;*;6;56.25;2;9.75;1;-0.25;8.5
+;6;18.5;Zingrich Jan (1999);;10;55.25;6;18.5;0;0.0;10.0
-;4;28.5;Brodard Simon;**;7;56.0;8;27.25;4;-1.25;8.75
+;7;37.25;Dind Clément;;12;54.75;10;36.5;3;-0.75;10.0
+;4;47.25;Cardinaux Victor;**;9;55.5;6;46.75;2;-0.5;10.0

3a;Kramer Lario;**;;;;;;;;;57.0
+;;;Roth Robin (2000);*;;;;;;;10.0
-;1;10.0;Matthey Mickaël;**;3;57.0;2;9.75;1;-0.25;9.0
+;4;19.0;Buchs Carlo;;10;55.25;2;19.75;-2;0.75;10.0
o;2;29.0;Aeschbacher Matthias;**;1;59.25;1;29.75;-1;0.75;8.5
+;6;37.5;Gottofrey Luc;;4;56.75;2;38.5;-4;1.0;9.75
+;4;47.25;Ducry Antoine;*;10;55.25;6;46.75;2;-0.5;9.75

3b;Piemontesi Pascal;**;;;;;;;;;57.0
o;;;Aeschbacher Matthias;**;;;;;;;8.5
+;5;8.5;Wieland Janis;;10;55.25;1;10.0;-4;1.5;10.0
+;6;18.5;Loup Alexandre;*;14;54.25;5;18.75;-1;0.25;9.75
+;5;28.25;Emonet Frédéric;*;5;56.5;5;28.25;0;0.0;10.0
-;3;38.25;Schenk Patrick;***;4;56.75;4;38.0;1;-0.25;8.75
+;5;47.0;Cotting Alexandre;;9;55.5;5;47.0;0;0.0;10.0

3c;Glauser Thomas;**;;;;;;;;;57.0
o;;;Cardinaux Victor;**;;;;;;;8.5
+;5;8.5;Ledermann Michael (2000);;11;55.0;2;9.75;-3;1.25;9.75
-;7;18.25;Barras André;*;9;55.5;6;18.5;-1;0.25;9.0
+;8;27.25;Loup Grégoire (2000);;14;54.25;4;28.5;-4;1.25;10.0
+;7;37.25;Schafer Damien;*;15;54.0;8;37.0;1;-0.25;10.0
+;4;47.25;Buchs Carlo;;10;55.25;6;46.75;2;-0.5;9.75

3d;Roth Dominik;**;;;;;;;;;57.0
-;;;Borcard Johann;**;;;;;;;8.75
+;4;8.75;Ducry Antoine;*;10;55.25;2;9.75;-2;1.0;10.0
+;5;18.75;Brodard Simon;**;7;56.0;5;18.75;0;0.0;10.0
-;3;28.75;Haenni Stéphane;**;7;56.0;3;28.75;0;0.0;8.75
+;6;37.5;Wieland Janis;;10;55.25;3;38.25;-3;0.75;9.75
+;4;47.25;Berset Julien;*;7;56.0;3;47.5;-1;0.25;9.75

3e;Dousse Michel;**;;;;;;;;;57.0
+;;;Schafer Damien;*;;;;;;;10.0
o;1;10.0;Schenk Patrick;***;4;56.75;5;8.5;4;-1.5;8.5
+;6;18.5;Steiner Pirmin;;7;56.0;3;19.5;-3;1.0;10.0
+;4;28.5;Ducrest Etienne;*;16;53.75;5;28.25;1;-0.25;10.0
+;2;38.5;Ducry Antoine;*;10;55.25;3;38.25;1;-0.25;9.75
-;2;48.25;Haenni Stéphane;**;7;56.0;4;47.25;2;-1.0;8.75

3f;Moser Steven;**;;;;;;;;;57.0
-;;;Sommer Roman;*;;;;;;;8.75
+;4;8.75;Crausaz Simon;;10;55.25;1;10.0;-3;1.25;10.0
+;5;18.75;Barras François;*;11;55.0;6;18.5;1;-0.25;9.75
+;4;28.5;Derron Cédric;*;7;56.0;3;28.75;-1;0.25;9.75
+;3;38.25;Cardinaux Victor;**;9;55.5;3;38.25;0;0.0;10.0
o;2;48.25;Aeschbacher Matthias;**;1;59.25;1;49.25;-1;1.0;8.75

3g;Matthey Mickaël;**;;;;;;;;;57.0
+;;;Brasey Cédric;**;;;;;;;9.75
-;2;9.75;Kramer Lario;**;3;57.0;1;10.0;-1;0.25;9.0
+;5;18.75;Bersier Jean-Jacques;*;6;56.25;3;19.5;-2;0.75;9.75
+;4;28.5;Rapin Florent;;14;54.25;3;28.75;-1;0.25;10.0
o;2;38.5;Aeschbacher Matthias;**;1;59.25;1;39.5;-1;1.0;8.5
+;5;47.0;Ledermann Michael (2000);;11;55.0;7;46.5;2;-0.5;10.0

4a;Guisolan Marc;**;;;;;;;;;56.75
+;;;Schenk Patrick;***;;;;;;;10.0
+;1;10.0;Giroud Jonathan;**;4;56.75;1;10.0;0;0.0;10.0
o;1;20.0;Aeschbacher Matthias;**;1;59.25;2;19.75;1;-0.25;8.5
o;4;28.5;Wieland Janis;;10;55.25;4;28.5;0;0.0;8.5
+;8;37.0;Hayoz Quentin;;6;56.25;5;37.75;-3;0.75;10.0
+;5;47.0;Dind Samuel;**;8;55.75;5;47.0;0;0.0;9.75

4b;Hofer Sven;;;;;;;;;;56.75
+;;;Heiniger Mickaël;;;;;;;;10.0
o;1;10.0;Emonet Frédéric;*;5;56.5;5;8.5;4;-1.5;8.5
o;6;18.5;Borcard Johann;**;8;55.75;5;18.75;-1;0.25;8.5
+;9;27.0;Zingrich Jan (1999);;10;55.25;9;27.0;0;0.0;10.0
+;8;37.0;Colò Kilian (1999);;13;54.5;7;37.25;-1;0.25;9.75
+;6;46.75;Roch Vincent;**;9;55.5;5;47.0;-1;0.25;10.0

4c;Gottofrey Luc;;;;;;;;;;56.75
+;;;Dubey Gaël;;;;;;;;10.0
+;1;10.0;Emonet Fabien;**;13;54.5;5;8.5;4;-1.5;9.75
-;2;19.75;Berset Julien;*;7;56.0;5;18.75;3;-1.0;8.75
+;4;28.5;Buchs Carlo;;10;55.25;5;28.25;1;-0.25;10.0
o;2;38.5;Kramer Lario;**;3;57.0;6;37.5;4;-1.0;8.5
+;5;47.0;Wieland Janis;;10;55.25;6;46.75;1;-0.25;9.75

4d;Giroud Jonathan;**;;;;;;;;;56.75
+;;;Emonet Fabien;**;;;;;;;10.0
o;1;10.0;Guisolan Marc;**;4;56.75;1;10.0;0;0.0;8.5
