3754-2017-05-14_94_Schwyzer_Kant_Schwing-_und_Aelplerfest-ST

1a;Heinzer Stefan;*;;;;;;;;;111.0
+;;;Imboden Roger;**;;;;;;;10.0
o;;;Fellmann Roman;*;;;;;;;8.5
+;2;18.5;Gloggner Philipp;***;7;56.5;6;8.75;4;-9.75;10.0
+;2;18.5;Stöckli Damian;;11;55.5;4;9.75;2;-8.75;10.0
+;1;38.5;Fellmann Roman;*;6;56.75;4;19.75;3;-18.75;9.75
+;1;38.5;Wyss Sven (2001);;18;53.75;5;19.5;4;-19.0;9.75
-;1;58.0;Mathis Marcel;***;12;55.25;7;28.5;6;-29.5;8.75
o;1;58.0;Gloggner Philipp;***;7;56.5;12;27.25;11;-30.75;8.5
o;1;75.25;Egli Pirmin;**;7;56.5;6;38.0;5;-37.25;8.5
+;1;75.25;Wallimann Remo;;12;55.25;11;36.75;10;-38.5;10.0
-;1;93.75;Fessler Linus;;8;56.25;6;47.5;5;-46.25;8.75
o;1;93.75;Fankhauser Erich;***;6;56.75;8;47.0;7;-46.75;8.5

2a;Schuler Alex;***;;;;;;;;;92.75
+;;;Widmer Tobias;**;;;;;;;9.75
+;;;Müller Patrick (1999);;;;;;;;10.0
+;1;19.75;Bucher Christian;*;7;56.5;4;9.75;3;-10.0;9.75
o;1;19.75;Bieri Elias;;14;54.75;4;9.75;3;-10.0;8.5
-;2;38.0;Müllestein Mike;***;6;56.75;4;19.75;2;-18.25;9.0
o;2;38.0;Dober Adrian;**;13;55.0;11;17.5;9;-20.5;8.5
-;2;55.5;Hurschler Thomas;**;14;54.75;7;28.5;5;-27.0;9.0
o;2;55.5;Durrer Robin;;17;54.0;13;27.0;11;-28.5;8.5
+;2;73.0;Betschart Marcel;;13;55.0;6;38.0;4;-35.0;9.75
+;2;82.75;Fink Bruno;*;14;54.75;11;46.25;9;-36.5;10.0

3a;Ulrich Andreas;***;;;;;;;;;58.5
+;;;Mathis Marcel;***;;;;;;;9.75
+;4;9.75;Niederberger Markus;*;12;55.25;3;10.0;-1;0.25;10.0
+;4;19.75;Bucher Roland;*;8;56.25;5;19.5;1;-0.25;9.75
+;3;29.5;Steinauer Adrian;**;8;56.25;4;29.25;1;-0.25;10.0
-;3;39.5;von Ah Benji;***;4;57.25;4;38.5;1;-1.0;9.0
+;3;48.5;Höﬂiger Andreas;**;6;56.75;4;48.0;1;-0.5;10.0

4a;Schuler Philipp;**;;;;;;;;;57.25
+;;;Bernhard Lukas;*;;;;;;;9.75
+;4;9.75;Briker Michael;*;8;56.25;4;9.75;0;0.0;10.0
-;4;19.75;Bieri Marcel;**;5;57.0;8;18.5;4;-1.25;9.0
-;6;28.75;Betschart Remo;**;12;55.25;6;28.75;0;0.0;8.75
+;8;37.5;Hermann Oliver;*;11;55.5;9;37.25;1;-0.25;9.75
+;7;47.25;Hurschler Adrian;;12;55.25;9;46.75;2;-0.5;10.0

4b;von Ah Benji;***;;;;;;;;;57.25
-;;;Grab Martin;***;;;;;;;8.75
+;6;8.75;Kälin Roland;**;11;55.5;4;9.75;-2;1.0;9.75
+;8;18.5;Höﬂiger Andreas;**;6;56.75;4;19.75;-4;1.25;10.0
+;7;28.5;Hasler Florian;**;5;57.0;7;28.5;0;0.0;10.0
-;4;38.5;Ulrich Andreas;***;3;58.5;3;39.5;-1;1.0;9.0
+;6;47.5;Nötzli Bruno;***;8;56.25;5;47.75;-1;0.25;9.75

5a;Hasler Florian;**;;;;;;;;;57.0
-;;;Vonlaufen Alexander;**;;;;;;;8.75
+;6;8.75;Langenstein Philip;*;13;55.0;6;8.75;0;0.0;9.75
+;8;18.5;Reichmuth Roland;;12;55.25;4;19.75;-4;1.25;10.0
o;7;28.5;von Ah Benji;***;4;57.25;7;28.5;0;0.0;8.5
+;10;37.0;Stöckli Damian;;11;55.5;9;37.25;-1;0.25;10.0
+;8;47.0;Fankhauser Reto;**;12;55.25;9;46.75;1;-0.25;10.0

5b;Nötzli Reto;***;;;;;;;;;57.0
-;;;Gloggner Philipp;***;;;;;;;8.75
+;6;8.75;Amgarten Martin;*;17;54.0;4;9.75;-2;1.0;9.75
+;8;18.5;Bieri Christian;**;10;55.75;7;18.75;-1;0.25;10.0
-;7;28.5;Omlin Toni;*;9;56.0;7;28.5;0;0.0;8.75
+;9;37.25;Reichmuth Roland;;12;55.25;6;38.0;-3;0.75;10.0
+;7;47.25;Bernet Christoph;*;10;55.75;7;47.25;0;0.0;9.75

5c;Kennel Stefan;**;;;;;;;;;57.0
+;;;Egli Pirmin;**;;;;;;;10.0
o;3;10.0;Bieri Marcel;**;5;57.0;6;8.75;3;-1.25;8.5
+;8;18.5;Gander Benjamin (2000);;19;53.5;7;18.75;-1;0.25;10.0
-;7;28.5;Müllestein Mike;***;6;56.75;6;28.75;-1;0.25;9.0
+;8;37.5;Durrer Robin;;17;54.0;10;37.0;2;-0.5;9.75
+;7;47.25;Gloggner Reto;**;10;55.75;8;47.0;1;-0.25;9.75

5d;Gwerder Dario;**;;;;;;;;;57.0
+;;;Studinger Stephan;**;;;;;;;10.0
+;3;10.0;Felder Seppi;*;13;55.0;6;8.75;3;-1.25;10.0
o;3;20.0;Mathis Marcel;***;12;55.25;8;18.5;5;-1.5;8.5
+;7;28.5;Herger Lukas;;8;56.25;5;29.0;-2;0.5;9.75
-;5;38.25;Fellmann Roman;*;6;56.75;5;38.25;0;0.0;8.75
+;8;47.0;Fellmann Simon;;11;55.5;8;47.0;0;0.0;10.0

5e;Bieri Marcel;**;;;;;;;;;57.0
-;;;Laimbacher Philipp;***;;;;;;;8.75
+;6;8.75;Kennel Stefan;**;5;57.0;3;10.0;-3;1.25;9.75
-;8;18.5;Schuler Philipp;**;4;57.25;4;19.75;-4;1.25;9.0
+;11;27.5;Eﬃnger Markus;*;10;55.75;7;28.5;-4;1.0;9.75
+;9;37.25;Egli Damian;**;14;54.75;9;37.25;0;0.0;10.0
+;7;47.25;Gmür Pirmin;*;12;55.25;9;46.75;2;-0.5;9.75

5f;Laimbacher Philipp;***;;;;;;;;;57.0
-;;;Bieri Marcel;**;;;;;;;8.75
o;6;8.75;Fellmann Roman;*;6;56.75;4;9.75;-2;1.0;8.5
+;12;17.25;Fankhauser Reto;**;12;55.25;9;18.25;-3;1.0;9.75
+;13;27.0;Bachmann Roger;*;11;55.5;12;27.25;-1;0.25;10.0
+;10;37.0;Imboden Roger;**;8;56.25;7;37.75;-3;0.75;10.0
+;8;47.0;Anderegg David;*;13;55.0;10;46.5;2;-0.5;10.0

6a;Huber Alex;;;;;;;;;;56.75
+;;;Durrer Fabian (1999);;;;;;;;9.75
o;4;9.75;Bernhard Lukas;*;11;55.5;7;8.5;3;-1.25;8.75
+;8;18.5;Moos Christoph;;9;56.0;7;18.75;-1;0.25;9.75
+;8;28.25;Fink Bruno;*;14;54.75;11;27.5;3;-0.75;10.0
o;5;38.25;Fankhauser Erich;***;6;56.75;10;37.0;5;-1.25;8.5
+;9;46.75;Niederberger Markus;*;12;55.25;9;46.75;0;0.0;10.0

6b;Arnold Andreas;*;;;;;;;;;56.75
+;;;Gwerder Michael (2000);*;;;;;;;9.75
o;4;9.75;Nötzli Bruno;***;8;56.25;6;8.75;2;-1.0;8.5
+;9;18.25;Wyrsch Silvio;;11;55.5;8;18.5;-1;0.25;9.75
+;9;28.0;Betschart Patrick (1999);;9;56.0;7;28.5;-2;0.5;10.0
-;6;38.0;Inderbitzin Daniel;*;10;55.75;5;38.25;-1;0.25;8.75
+;9;46.75;Hirsiger Alexander;;12;55.25;9;46.75;0;0.0;10.0

6c;Höﬂiger Andreas;**;;;;;;;;;56.75
+;;;Arnold Stefan;**;;;;;;;9.75
+;4;9.75;Odermatt Andreas;*;9;56.0;5;9.0;1;-0.75;10.0
o;4;19.75;von Ah Benji;***;4;57.25;8;18.5;4;-1.25;8.5
+;8;28.25;Fessler Linus;;8;56.25;5;29.0;-3;0.75;9.75
+;6;38.0;Bucher Roland;*;8;56.25;6;38.0;0;0.0;10.0
o;4;48.0;Ulrich Andreas;***;3;58.5;3;48.5;-1;0.5;8.75

6d;Widmer Tobias;**;;;;;;;;;56.75
o;;;Schuler Alex;***;;;;;;;8.5
+;7;8.5;Bernet Christoph;*;10;55.75;6;8.75;-1;0.25;9.75
+;9;18.25;Durrer Robin;;17;54.0;8;18.5;-1;0.25;9.75
-;9;28.0;Kennel Beat;*;11;55.5;8;28.25;-1;0.25;9.0
+;10;37.0;Hegner Ueli (1999);*;16;54.25;9;37.25;-1;0.25;10.0
+;8;47.0;Grab Martin jun. (1999);;13;55.0;10;46.5;2;-0.5;9.75

6e;Fellmann Roman;*;;;;;;;;;56.75
+;;;Heinzer Stefan;*;;;;;;;9.75
+;4;9.75;Laimbacher Philipp;***;5;57.0;6;8.75;2;-1.0;10.0
