3817-2017-06-05_Glarner-Buendner_Kantonalschwingfest-ST

1a;Giger Samuel;***;;;;;;;;;58.25
+;;;Bösch Daniel;***;;;;;;;9.75
+;2;9.75;Kälin Roland;**;7;56.25;1;10.0;-1;0.25;10.0
-;2;19.75;Forrer Arnold;***;8;56.0;5;18.75;3;-1.0;9.0
+;1;28.75;Steinauer Adrian;**;8;56.0;1;28.75;0;0.0;9.75
+;1;38.5;Battaglia Ursin;**;4;57.0;1;38.5;0;0.0;9.75
+;1;48.25;Krähenbühl Tobias;***;5;56.75;2;48.0;1;-0.25;10.0

2a;Schneider Domenic;***;;;;;;;;;58.0
+;;;Leuppi Samir;**;;;;;;;9.75
+;2;9.75;Inderbitzin Daniel;*;10;55.5;1;10.0;-1;0.25;9.75
-;3;19.5;Bösch Daniel;***;6;56.5;6;18.5;3;-1.0;8.75
+;3;28.25;Kammermann Thomas;*;11;55.25;2;28.5;-1;0.25;10.0
+;2;38.25;Hochholdinger Roman;**;5;56.75;1;38.5;-1;0.25;9.75
+;2;48.0;Schlegel Sandro;**;8;56.0;3;47.25;1;-0.75;10.0

3a;Geisser Lars;*;;;;;;;;;57.25
+;;;Roth Martin;*;;;;;;;9.75
-;2;9.75;Schuler Alex;***;10;55.5;5;8.5;3;-1.25;8.75
+;6;18.5;Wey Nicola;*;10;55.5;5;18.75;-1;0.25;10.0
+;2;28.5;Bärtsch Jann (2000);;11;55.25;2;28.5;0;0.0;10.0
-;1;38.5;Burkhalter Stefan;***;14;54.5;6;37.25;5;-1.25;8.75
+;3;47.25;Kammermann Thomas;*;11;55.25;5;46.75;2;-0.5;10.0

4a;Battaglia Ursin;**;;;;;;;;;57.0
+;;;Bernold Edi;**;;;;;;;10.0
o;1;10.0;Krähenbühl Tobias;***;5;56.75;1;10.0;0;0.0;8.5
+;6;18.5;Kirchmeier Christof (1999);;17;53.75;3;19.5;-3;1.0;10.0
+;2;28.5;Schiesser Patrik;;14;54.5;2;28.5;0;0.0;10.0
o;1;38.5;Giger Samuel;***;1;58.25;1;38.5;0;0.0;8.75
+;3;47.25;Egli Martin;;10;55.5;4;47.0;1;-0.25;9.75

4b;Rychen Roger;***;;;;;;;;;57.0
-;;;Forrer Arnold;***;;;;;;;8.75
+;4;8.75;Krähenbühl Lukas;*;10;55.5;1;10.0;-3;1.25;9.75
+;6;18.5;Korrodi Paul;*;5;56.75;6;18.5;0;0.0;10.0
+;2;28.5;Oettli Marco;*;7;56.25;2;28.5;0;0.0;10.0
o;1;38.5;Krähenbühl Tobias;***;5;56.75;2;38.25;1;-0.25;8.5
+;4;47.0;Odermatt Christoph;*;12;55.0;6;46.5;2;-0.5;10.0

5a;Hersche Martin;***;;;;;;;;;56.75
+;;;Schuler Alex;***;;;;;;;9.75
o;2;9.75;Hochholdinger Roman;**;5;56.75;1;10.0;-1;0.25;8.75
