3860-2017-05-21_98_Luzerner_Kantonalschwingfest-ST

1a;Nötzli Bruno;***;;;;;;;;;58.5
+;;;Suppiger René;***;;;;;;;10.0
+;1;10.0;Fankhauser Reto;**;6;56.75;2;9.75;1;-0.25;10.0
-;1;20.0;Egli Damian;**;6;56.75;2;19.75;1;-0.25;8.75
+;3;28.75;Bättig Martin;*;4;57.25;3;28.75;0;0.0;10.0
+;2;38.75;Müller Michael;**;2;57.75;1;39.0;-1;0.25;9.75
+;1;48.5;Fankhauser Marco;**;6;56.75;2;48.0;1;-0.5;10.0

2a;Müller Michael;**;;;;;;;;;57.75
+;;;Reichmuth Marco;**;;;;;;;10.0
+;1;10.0;Jund Matthias (1999);;17;54.0;2;9.75;1;-0.25;10.0
-;1;20.0;Schnider Markus;*;14;54.75;3;19.5;2;-0.5;9.0
+;2;29.0;Fink Bruno;*;6;56.75;5;28.25;3;-0.75;10.0
o;1;39.0;Nötzli Bruno;***;1;58.5;2;38.75;1;-0.25;8.75
+;3;47.75;Fessler Linus;*;11;55.5;6;47.0;3;-0.75;10.0

3a;Wicki Joel;**;;;;;;;;;57.5
-;;;Steinauer Adrian;**;;;;;;;9.0
+;3;9.0;Kälin Roland;**;9;56.0;2;9.75;-1;0.75;10.0
+;4;19.0;Blaser Theo;*;6;56.75;5;18.75;1;-0.25;9.75
-;3;28.75;Imhof Andi;***;7;56.5;3;28.75;0;0.0;8.75
+;7;37.5;Schelbert Roman;;11;55.5;4;38.25;-3;0.75;10.0
+;4;47.5;Gwerder Dario;**;9;56.0;4;47.5;0;0.0;10.0

3b;Suppiger Thomas;;;;;;;;;;57.5
+;;;Gwerder Beni;;;;;;;;10.0
+;1;10.0;Schmidiger Marco;;12;55.25;2;9.75;1;-0.25;10.0
-;1;20.0;Reichmuth Armin;*;11;55.5;6;18.5;5;-1.5;8.75
-;3;28.75;Hasler Florian;**;12;55.25;5;28.25;2;-0.5;8.75
+;7;37.5;Bärtschi Basil;;16;54.25;8;37.25;1;-0.25;10.0
+;4;47.5;Stöckli Damian;;10;55.75;5;47.25;1;-0.25;10.0

3c;Gloggner Philipp;***;;;;;;;;;57.5
-;;;Imhof Andi;***;;;;;;;8.75
+;4;8.75;Reichmuth Armin;*;11;55.5;1;10.0;-3;1.25;10.0
+;5;18.75;Zgraggen Fabian;*;11;55.5;5;18.75;0;0.0;10.0
-;3;28.75;Gwerder Dario;**;9;56.0;4;28.5;1;-0.25;9.0
+;6;37.75;Linggi Bruno;**;8;56.25;5;38.0;-1;0.25;9.75
+;4;47.5;Huber Alex;*;11;55.5;6;47.0;2;-0.5;10.0

4a;Käser Remo;***;;;;;;;;;57.25
-;;;Schurtenberger Sven;***;;;;;;;8.75
+;4;8.75;Gloggner Reto;**;4;57.25;1;10.0;-3;1.25;10.0
+;5;18.75;Egli David;*;4;57.25;1;20.0;-4;1.25;9.75
+;4;28.5;Fankhauser Marco;**;6;56.75;1;29.5;-3;1.0;9.75
-;4;38.25;Suppiger Werner;**;5;57.0;3;38.5;-1;0.25;9.0
+;5;47.25;Portmann Josef;*;6;56.75;2;48.0;-3;0.75;10.0

4b;Gloggner Reto;**;;;;;;;;;57.25
+;;;Zimmermann Simon;**;;;;;;;10.0
o;1;10.0;Käser Remo;***;4;57.25;4;8.75;3;-1.25;8.5
+;6;18.5;Doppmann Ueli;;13;55.0;2;19.75;-4;1.25;9.75
+;5;28.25;Effinger Peter;;11;55.5;4;28.5;-1;0.25;10.0
-;4;38.25;Egli David;*;4;57.25;2;38.75;-2;0.5;9.0
+;5;47.25;Schöpfer Ronny (1999);;7;56.5;3;47.75;-2;0.5;10.0

4c;Bättig Martin;*;;;;;;;;;57.25
-;;;Kessler Joel;*;;;;;;;8.75
+;4;8.75;Elsener Peter;**;34;17.0;5;8.5;1;-0.25;10.0
+;5;18.75;Schmid Köbi;;11;55.5;2;19.75;-3;1.0;10.0
o;3;28.75;Nötzli Bruno;***;1;58.5;3;28.75;0;0.0;8.5
+;8;37.25;Küttel Samuel;;11;55.5;8;37.25;0;0.0;10.0
+;5;47.25;Portmann Roger;;12;55.25;7;46.75;2;-0.5;10.0

4d;Steinauer Adrian;**;;;;;;;;;57.25
-;;;Wicki Joel;**;;;;;;;8.75
-;4;8.75;Muff André;*;9;56.0;2;9.75;-2;1.0;9.0
+;8;17.75;Fellmann Simon;;13;55.0;5;18.75;-3;1.0;10.0
+;7;27.75;Ziegler Manuel;;18;53.75;5;28.25;-2;0.5;9.75
+;7;37.5;Muff Armin;**;8;56.25;6;37.75;-1;0.25;9.75
+;5;47.25;Stadelmann Ron;;7;56.5;2;48.0;-3;0.75;10.0

4e;Fankhauser Erich;***;;;;;;;;;57.25
-;;;Ulrich Andreas;***;;;;;;;8.75
-;4;8.75;Zurfluh Roman;*;7;56.5;1;10.0;-3;1.25;8.75
+;9;17.5;Ambühl Joel;*;6;56.75;6;18.5;-3;1.0;9.75
+;9;27.25;Ulrich Pascal (1999);;14;54.75;8;27.5;-1;0.25;10.0
+;8;37.25;Muff André;*;9;56.0;7;37.5;-1;0.25;10.0
+;5;47.25;Kennel Stefan;**;9;56.0;4;47.5;-1;0.25;10.0

4f;Egli David;*;;;;;;;;;57.25
+;;;Suter David;**;;;;;;;10.0
+;1;10.0;Wicki Kevin;;12;55.25;2;9.75;1;-0.25;10.0
o;1;20.0;Käser Remo;***;4;57.25;5;18.75;4;-1.25;8.75
+;3;28.75;Stucki Christian;;14;54.75;3;28.75;0;0.0;10.0
-;2;38.75;Gloggner Reto;**;4;57.25;4;38.25;2;-0.5;8.75
+;4;47.5;Hegner Ueli (1999);*;13;55.0;8;46.5;4;-1.0;9.75

5a;Reichmuth Marco;**;;;;;;;;;57.0
o;;;Müller Michael;**;;;;;;;8.75
+;4;8.75;Thalmann Adrian (1999);;13;55.0;1;10.0;-3;1.25;10.0
o;5;18.75;Fankhauser Marco;**;6;56.75;2;19.75;-3;1.0;8.5
+;9;27.25;Krummenacher Roman;;20;53.25;8;27.5;-1;0.25;10.0
+;8;37.25;Imboden Roger;**;8;56.25;7;37.5;-1;0.25;9.75
+;6;47.0;Ottiger Lukas;;12;55.25;7;46.75;1;-0.25;10.0

5b;Suppiger René;***;;;;;;;;;57.0
o;;;Nötzli Bruno;***;;;;;;;8.5
+;5;8.5;von Büren Stephan;*;12;55.25;2;9.75;-3;1.25;9.75
+;7;18.25;Graber Michael;*;6;56.75;6;18.5;-1;0.25;10.0
-;5;28.25;Brun Jonas;**;10;55.75;4;28.5;-1;0.25;8.75
+;9;37.0;Bürgler André;*;11;55.5;8;37.25;-1;0.25;10.0
+;6;47.0;Hasler Florian;**;12;55.25;7;46.75;1;-0.25;10.0

5c;Suppiger Werner;**;;;;;;;;;57.0
-;;;Gasser Stefan;**;;;;;;;8.75
+;4;8.75;Briker Michael;*;10;55.75;4;8.75;0;0.0;9.75
