3896-2022-06-26_Fete_Romande-ST

1a;Schurtenberger Sven;***;;;;;;;;;58.5
+;;;Sturny Nicolas;**;;;;;;;10.0
+;1;10.0;Hayoz Quentin;*;11;55.75;1;10.0;0;0.0;10.0
-;1;20.0;von Weissenfluh Kilian;***;2;58.0;2;19.75;1;-0.25;8.75
+;3;28.75;Moser Steven;**;6;57.0;4;28.5;1;-0.25;9.75
+;2;38.5;Haenni Stéphane;**;5;57.25;1;38.75;-1;0.25;10.0
+;2;48.5;Collaud Romain;**;4;57.5;1;48.75;-1;0.25;10.0

2a;Kramer Lario;***;;;;;;;;;58.0
o;;;von Weissenfluh Kilian;***;;;;;;;8.5
+;5;8.5;Varone Luc;*;13;55.25;2;9.75;-3;1.25;10.0
+;6;18.5;Borcard Clovis;*;11;55.75;5;18.75;-1;0.25;9.75
+;5;28.25;Loup Alexandre;*;18;54.0;5;28.25;0;0.0;10.0
+;3;38.25;Dändliker Shane;**;14;55.0;4;38.0;1;-0.25;10.0
+;3;48.25;Roschi Ruedi;**;8;56.5;4;48.0;1;-0.25;9.75

2b;von Weissenfluh Kilian;***;;;;;;;;;58.0
+;;;Kramer Lario;***;;;;;;;10.0
+;1;10.0;Matthey Mickaël;**;6;57.0;1;10.0;0;0.0;9.75
-;2;19.75;Schurtenberger Sven;***;1;58.5;1;20.0;-1;0.25;8.75
+;4;28.5;Pürro David;*;13;55.25;4;28.5;0;0.0;10.0
+;2;38.5;Hofer Sven;**;7;56.75;3;38.25;1;-0.25;9.75
+;3;48.25;Sturny Nicolas;**;9;56.25;5;47.75;2;-0.5;9.75

3a;Borcard Johann;**;;;;;;;;;57.75
+;;;Arnold Stefan;**;;;;;;;9.75
+;2;9.75;Röthlisberger Sven;;23;52.75;1;10.0;-1;0.25;9.75
o;3;19.5;Voggensperger Lars;**;7;56.75;5;18.75;2;-0.75;8.5
+;6;28.0;Collaud Bastien (2005);;12;55.5;4;28.5;-2;0.5;10.0
+;4;38.0;Schläpfer Markus;**;10;56.0;5;37.5;1;-0.5;10.0
+;4;48.0;Droxler Jonathan;**;9;56.25;5;47.75;1;-0.25;9.75

4a;Collaud Romain;**;;;;;;;;;57.5
+;;;Hügli Kaj;**;;;;;;;10.0
+;1;10.0;Martin Gaël (2004);*;12;55.5;2;9.75;1;-0.25;10.0
+;1;20.0;Roschi Ruedi;**;8;56.5;3;19.5;2;-0.5;9.75
-;1;29.75;Dändliker Shane;**;14;55.0;2;29.0;1;-0.75;9.0
+;1;38.75;Gottofrey Luc;*;8;56.5;4;38.0;3;-0.75;10.0
o;1;48.75;Schurtenberger Sven;***;1;58.5;2;48.5;1;-0.25;8.75

5a;Gapany Benjamin;***;;;;;;;;;57.25
-;;;Voggensperger Lars;**;;;;;;;8.75
+;4;8.75;Riedo Fredy;*;10;56.0;1;10.0;-3;1.25;9.75
o;6;18.5;Dändliker Shane;**;14;55.0;4;19.0;-2;0.5;8.75
+;9;27.25;Dorsaz Théo;*;21;53.25;8;27.5;-1;0.25;10.0
+;6;37.25;Hügli Kaj;**;13;55.25;7;37.0;1;-0.25;10.0
+;6;47.25;Rogivue Théo;*;13;55.25;8;46.75;2;-0.5;10.0

5b;Haenni Stéphane;**;;;;;;;;;57.25
+;;;Dubey Gaël;*;;;;;;;10.0
-;1;10.0;Hügli Kaj;**;13;55.25;5;8.5;4;-1.5;8.75
+;5;18.75;Schwab Livio (2005);;14;55.0;6;18.5;1;-0.25;10.0
+;3;28.75;Riedo Fredy;*;10;56.0;4;28.5;1;-0.25;10.0
