3975-2017-07-30_124_Bruenigschwinget-ST

1a;Reusser Philipp;***;;;;;;;;;57.25
-;;;Schuler Alex;***;;;;;;;8.75
+;4;8.75;Käslin Benno;*;10;55.0;1;10.0;-3;1.25;10.0
+;4;18.75;Murer Andy;**;13;54.25;5;18.5;1;-0.25;9.75
+;4;28.5;Suppiger René;***;14;54.0;5;28.25;1;-0.25;9.75
-;3;38.25;Egli Pirmin;**;7;55.75;4;38.0;1;-0.25;9.0
+;5;47.25;Nötzli Reto;***;8;55.5;6;47.0;1;-0.25;10.0

1b;Kämpf Bernhard;***;;;;;;;;;57.25
+;;;Burkhalter Stefan;***;;;;;;;9.75
+;2;9.75;Murer Andy;**;13;54.25;1;10.0;-1;0.25;10.0
+;2;19.75;Egli Pirmin;**;7;55.75;3;19.5;1;-0.25;10.0
-;1;29.75;Giger Samuel;***;5;56.25;3;28.75;2;-1.0;8.75
+;2;38.5;Arnold Stefan;**;6;56.0;2;38.5;0;0.0;10.0
-;1;48.5;Wenger Kilian;***;2;57.0;2;48.25;1;-0.25;8.75

1c;Stucki Christian;***;;;;;;;;;57.25
o;;;Giger Samuel;***;;;;;;;8.5
+;5;8.5;Gwerder Guido;**;6;56.0;2;9.75;-3;1.25;10.0
+;5;18.5;Waser Dominik;**;7;55.75;4;18.75;-1;0.25;10.0
+;4;28.5;Bösch Daniel;***;7;55.75;4;28.5;0;0.0;10.0
-;2;38.5;Hersche Martin;***;4;56.5;1;38.75;-1;0.25;8.75
+;5;47.25;Steinauer Adrian;**;7;55.75;5;47.25;0;0.0;10.0

2a;Wenger Kilian;***;;;;;;;;;57.0
+;;;Bösch Daniel;***;;;;;;;9.75
+;2;9.75;Rychen Roger;***;3;56.75;2;9.75;0;0.0;9.75
-;3;19.5;Hersche Martin;***;4;56.5;1;20.0;-2;0.5;8.75
+;5;28.25;Gloggner Reto;**;10;55.0;5;28.25;0;0.0;10.0
+;3;38.25;Fankhauser Marco;**;5;56.25;5;37.75;2;-0.5;10.0
-;2;48.25;Kämpf Bernhard;***;1;57.25;1;48.5;-1;0.25;8.75

2b;Aeschbacher Matthias;**;;;;;;;;;57.0
+;;;Leuppi Samir;**;;;;;;;9.75
+;2;9.75;Nötzli Reto;***;8;55.5;1;10.0;-1;0.25;9.75
+;3;19.5;Kid Simon;**;12;54.5;2;19.75;-1;0.25;10.0
-;2;29.5;Orlik Armon;***;3;56.75;5;28.25;3;-1.25;8.75
+;3;38.25;Gwerder Guido;**;6;56.0;5;37.75;2;-0.5;9.75
-;3;48.0;Hersche Martin;***;4;56.5;4;47.5;1;-0.5;9.0

3a;Orlik Armon;***;;;;;;;;;56.75
+;;;Schurtenberger Sven;***;;;;;;;9.75
+;2;9.75;Bieri Marcel;**;5;56.25;1;10.0;-1;0.25;9.75
-;3;19.5;Anderegg Simon;***;5;56.25;1;20.0;-2;0.5;8.75
-;5;28.25;Aeschbacher Matthias;**;2;57.0;2;29.5;-3;1.25;8.75
+;7;37.0;Schuler Philipp;**;7;55.75;6;37.25;-1;0.25;9.75
+;7;46.75;Kälin Roland;**;11;54.75;9;46.25;2;-0.5;10.0

3b;Zenger Niklaus;***;;;;;;;;;56.75
o;;;Nötzli Reto;***;;;;;;;8.5
