4027-2019-06-02_Schaffhauser_Kantonalschwingfest-ST

1a;Bösch Daniel;***;;;;;;;;;59.75
+;;;Kindlimann Fabian;***;;;;;;;9.75
+;2;9.75;Lehmann Philipp;*;11;55.75;1;10.0;-1;0.25;10.0
+;2;19.75;Arztmann Beda;*;3;57.75;3;19.5;1;-0.25;10.0
+;1;29.75;Bickel Roman;*;15;54.75;4;28.75;3;-1.0;10.0
+;1;39.75;Schudel Simon;*;5;57.25;2;39.0;1;-0.75;10.0
+;1;49.75;Vollenweider Jeremy;*;5;57.25;2;48.5;1;-1.25;10.0

2a;Räbsamen Marcel;*;;;;;;;;;58.0
+;;;Hugelshofer Lars (2001);*;;;;;;;9.75
+;2;9.75;Dumelin David;**;7;56.75;5;8.5;3;-1.25;10.0
+;2;19.75;Leuppi Samir;**;2;58.0;3;19.5;1;-0.25;9.75
-;2;29.5;Lehmann Philipp;*;11;55.75;5;28.5;3;-1.0;8.75
+;5;38.25;Junker Nik;;13;55.25;5;38.25;0;0.0;9.75
+;4;48.0;Akeret Benno;*;12;55.5;8;47.0;4;-1.0;10.0

2b;Leuppi Samir;**;;;;;;;;;58.0
+;;;Forrer Arnold;***;;;;;;;9.75
+;2;9.75;Elmer Daniel;*;7;56.75;1;10.0;-1;0.25;9.75
o;3;19.5;Räbsamen Marcel;*;2;58.0;2;19.75;-1;0.25;8.75
+;6;28.25;Baumann Rico;*;11;55.75;4;28.75;-2;0.5;10.0
+;5;38.25;Burkhalter Thomas (2003);;12;55.5;4;38.5;-1;0.25;10.0
+;3;48.25;Rüegg Fabian;*;11;55.75;7;47.25;4;-1.0;9.75

3a;Arztmann Beda;*;;;;;;;;;57.75
+;;;Rüegg Fabian;*;;;;;;;9.75
+;2;9.75;Geisser Lars;**;11;55.75;2;9.75;0;0.0;9.75
o;3;19.5;Bösch Daniel;***;1;59.75;2;19.75;-1;0.25;8.5
+;7;28.0;Ziegler Andreas (2002);;13;55.25;6;28.25;-1;0.25;10.0
+;6;38.0;Aerne Christian;*;14;55.0;6;38.0;0;0.0;9.75
+;5;47.75;Gerig Marcel;;12;55.5;8;47.0;3;-0.75;10.0

4a;Good Marco;*;;;;;;;;;57.5
+;;;Straub Robin;*;;;;;;;9.75
+;2;9.75;Leuppi Karim;*;17;54.25;3;9.0;1;-0.75;10.0
-;2;19.75;Kindlimann Fabian;***;8;56.5;6;18.5;4;-1.25;9.0
+;4;28.75;Schuler Martin;;10;56.0;3;29.0;-1;0.25;9.75
-;4;38.5;Ammann Rico;*;7;56.75;5;38.25;1;-0.25;9.0
+;6;47.5;Burkhalter Thomas (2003);;12;55.5;8;47.0;2;-0.5;10.0

5a;Schudel Simon;*;;;;;;;;;57.25
-;;;Burkhard Patrick;*;;;;;;;9.0
+;3;9.0;Schnyder Christian;;19;53.75;2;9.75;-1;0.75;10.0
+;4;19.0;Wolfer Lukas;*;13;55.25;6;18.5;2;-0.5;10.0
+;3;29.0;Burch Dean (2001);;18;54.0;5;28.5;2;-0.5;10.0
o;2;39.0;Bösch Daniel;***;1;59.75;1;39.75;-1;0.75;8.5
+;6;47.5;Junker Nik;;13;55.25;9;46.75;3;-0.75;9.75

5b;Vollenweider Jeremy;*;;;;;;;;;57.25
-;;;Ott Damian;**;;;;;;;8.75
+;4;8.75;Junker Nik;;13;55.25;1;10.0;-3;1.25;10.0
+;5;18.75;Heierli Pascal;*;7;56.75;2;19.75;-3;1.0;10.0
+;4;28.75;Burkhard Patrick;*;9;56.25;3;29.0;-1;0.25;10.0
+;3;38.75;Jöhl Christian;*;10;56.0;4;38.5;1;-0.25;9.75
o;2;48.5;Bösch Daniel;***;1;59.75;1;49.75;-1;1.25;8.75

6a;Forrer Arnold;***;;;;;;;;;57.0
o;;;Leuppi Samir;**;;;;;;;8.5
+;5;8.5;Ammann Rico;*;7;56.75;2;9.75;-3;1.25;9.75
+;7;18.25;Bühler Hannes;*;13;55.25;5;18.75;-2;0.5;10.0
+;6;28.25;Oettli Silvio;*;6;57.0;4;28.75;-2;0.5;10.0
-;5;38.25;Schnurrenberger Roman;**;6;57.0;5;38.25;0;0.0;8.75
+;8;47.0;Zbinden Marc;*;11;55.75;7;47.25;-1;0.25;10.0

6b;Dändliker Shane;**;;;;;;;;;57.0
o;;;Geisser Lars;**;;;;;;;8.5
+;5;8.5;Signer Andy (2003);;13;55.25;2;9.75;-3;1.25;10.0
-;6;18.5;Zbinden Marc;*;11;55.75;6;18.5;0;0.0;8.75
+;10;27.25;Roth Sämi;;20;53.5;7;28.0;-3;0.75;10.0
+;9;37.25;Hugelshofer Lars (2001);*;12;55.5;10;37.0;1;-0.25;10.0
+;7;47.25;Kolb This (2003);;13;55.25;9;46.75;2;-0.5;9.75

6c;Oettli Silvio;*;;;;;;;;;57.0
o;;;Lehmann Philipp;*;;;;;;;8.75
+;4;8.75;Badat Thomas;;18;54.0;1;10.0;-3;1.25;10.0
+;5;18.75;Schwyn Patrick;;12;55.5;1;20.0;-4;1.25;10.0
o;4;28.75;Forrer Arnold;***;6;57.0;6;28.25;2;-0.5;8.5
+;9;37.25;Burkhard Patrick;*;9;56.25;8;37.5;-1;0.25;9.75
+;8;47.0;Lozza Roman;;14;55.0;10;46.5;2;-0.5;10.0

6d;Straub Robin;*;;;;;;;;;57.0
o;;;Good Marco;*;;;;;;;8.75
+;4;8.75;Amstutz Janic (2002);;23;52.5;2;9.75;-2;1.0;10.0
-;5;18.75;Schnurrenberger Roman;**;6;57.0;3;19.5;-2;0.75;8.75
+;9;27.5;Steiner Joel;;18;54.0;7;28.0;-2;0.5;10.0
+;8;37.5;Schwyn Patrick;;12;55.5;4;38.5;-4;1.0;9.75
+;7;47.25;Rüegg Roman;*;12;55.5;8;47.0;1;-0.25;9.75

6e;Schnurrenberger Roman;**;;;;;;;;;57.0
+;;;Dumelin David;**;;;;;;;9.75
+;2;9.75;Alder Armin;*;17;54.25;1;10.0;-1;0.25;9.75
-;3;19.5;Straub Robin;*;6;57.0;5;18.75;2;-0.75;8.75
+;6;28.25;Rentsch Christian;;8;56.5;5;28.5;-1;0.25;10.0
-;5;38.25;Forrer Arnold;***;6;57.0;5;38.25;0;0.0;8.75
+;8;47.0;Götti Samuel;;13;55.25;9;46.75;1;-0.25;10.0

7a;Dumelin David;**;;;;;;;;;56.75
o;;;Schnurrenberger Roman;**;;;;;;;8.5
o;5;8.5;Räbsamen Marcel;*;2;58.0;2;9.75;-3;1.25;8.5
+;11;17.0;Gerig Marcel;;12;55.5;6;18.5;-5;1.5;10.0
+;11;27.0;Fuster Arjuna (2003);;18;54.0;11;27.0;0;0.0;10.0
+;10;37.0;Riget Ivan;*;16;54.5;9;37.25;-1;0.25;9.75
+;9;46.75;Signer Andy (2003);;13;55.25;9;46.75;0;0.0;10.0

7b;Heierli Pascal;*;;;;;;;;;56.75
+;;;Schmidlin Tobias (2001);*;;;;;;;9.75
+;2;9.75;Blaser Niklas;*;9;56.25;3;9.0;1;-0.75;10.0
o;2;19.75;Vollenweider Jeremy;*;5;57.25;5;18.75;3;-1.0;8.5
o;6;28.25;Burkhalter Thomas (2003);;12;55.5;5;28.5;-1;0.25;8.5
+;11;36.75;Koller Silvan (2002);;15;54.75;12;36.5;1;-0.25;10.0
+;9;46.75;Schwyn Patrick;;12;55.5;8;47.0;-1;0.25;10.0

7c;Elmer Daniel;*;;;;;;;;;56.75
+;;;Schäppi Urs;*;;;;;;;10.0
o;1;10.0;Leuppi Samir;**;2;58.0;2;9.75;1;-0.25;8.5
+;6;18.5;Imhof Gregor (2001);;14;55.0;6;18.5;0;0.0;10.0
+;5;28.5;Buchmann Michael;;18;54.0;6;28.25;1;-0.25;9.75
-;5;38.25;Kindlimann Fabian;***;8;56.5;8;37.5;3;-0.75;8.75
+;8;47.0;Schuler Martin;;10;56.0;7;47.25;-1;0.25;9.75

7d;Ammann Rico;*;;;;;;;;;56.75
+;;;Jöhl Christian;*;;;;;;;9.75
o;2;9.75;Forrer Arnold;***;6;57.0;5;8.5;3;-1.25;8.5
+;7;18.25;Lüthi Manuel (2003);;19;53.75;7;18.25;0;0.0;10.0
+;6;28.25;Signer Andy (2003);;13;55.25;6;28.25;0;0.0;10.0
-;5;38.25;Good Marco;*;4;57.5;4;38.5;-1;0.25;8.75
+;8;47.0;Ziegler Andreas (2002);;13;55.25;9;46.75;1;-0.25;9.75

8a;Kindlimann Fabian;***;;;;;;;;;56.5
o;;;Bösch Daniel;***;;;;;;;8.5
+;5;8.5;Rüegg Roman;*;12;55.5;2;9.75;-3;1.25;10.0
-;6;18.5;Good Marco;*;4;57.5;2;19.75;-4;1.25;9.0
+;9;27.5;Büsser André;*;16;54.5;5;28.5;-4;1.0;10.0
-;8;37.5;Elmer Daniel;*;7;56.75;5;38.25;-3;0.75;9.0
+;10;46.5;Wetter Silvan;*;14;55.0;10;46.5;0;0.0;10.0

8b;Schwyn Adrian;*;;;;;;;;;56.5
+;;;Wolfer Lukas;*;;;;;;;10.0
+;1;10.0;Oberhänsli Nick (2001);;19;53.75;2;9.75;1;-0.25;10.0
o;1;20.0;Bickel Roman;*;15;54.75;5;18.75;4;-1.25;8.5
o;5;28.5;Junker Nik;;13;55.25;6;28.25;1;-0.25;8.5
+;10;37.0;Baumgartner Ramon (2002);;13;55.25;11;36.75;1;-0.25;9.75
+;9;46.75;Schmidlin Tobias (2001);*;11;55.75;8;47.0;-1;0.25;9.75

8c;Rentsch Christian;;;;;;;;;;56.5
+;;;Schiess Christian;;;;;;;;10.0
+;1;10.0;Ziegler Andreas (2002);;13;55.25;2;9.75;1;-0.25;10.0
o;1;20.0;Baumann Rico;*;11;55.75;5;18.75;4;-1.25;8.5
o;5;28.5;Schnurrenberger Roman;**;6;57.0;6;28.25;1;-0.25;8.5
+;10;37.0;Roth Sämi;;20;53.5;12;36.5;2;-0.5;9.75
+;9;46.75;Jöhl Christian;*;10;56.0;7;47.25;-2;0.5;9.75

9a;Blaser Niklas;*;;;;;;;;;56.25
-;;;Leuppi Karim;*;;;;;;;9.0
o;3;9.0;Heierli Pascal;*;7;56.75;2;9.75;-1;0.75;8.5
