4056-2019-06-16_Buendner-Glarner_Kantonalschwingfest-ST

1a;Orlik Armon;***;;;;;;;;;59.25
+;;;Leuppi Samir;**;;;;;;;10.0
+;1;10.0;Dändliker Shane;**;7;56.75;1;10.0;0;0.0;9.75
+;2;19.75;Rychen Roger;***;2;58.0;2;19.75;0;0.0;9.75
+;1;29.5;Schnurrenberger Roman;**;5;57.25;3;28.75;2;-0.75;10.0
+;1;39.5;Zwyssig Raphael;***;7;56.75;3;38.5;2;-1.0;9.75
+;1;49.25;Schlegel Sandro;**;4;57.5;2;48.75;1;-0.5;10.0

2a;Rychen Roger;***;;;;;;;;;58.0
+;;;Bless Michael;***;;;;;;;10.0
+;1;10.0;Schlegel Sandro;**;4;57.5;1;10.0;0;0.0;9.75
o;2;19.75;Orlik Armon;***;1;59.25;2;19.75;0;0.0;8.5
+;5;28.25;Hochholdinger Roman;**;5;57.25;3;28.75;-2;0.5;10.0
+;4;38.25;Geisser Lars;**;7;56.75;3;38.5;-1;0.25;10.0
+;3;48.25;Bühler Hannes;*;8;56.5;4;48.0;1;-0.25;9.75

3a;Riget Tobias;**;;;;;;;;;57.75
-;;;Krähenbühl Tobias;***;;;;;;;8.75
+;4;8.75;Kolb This (2003);;18;54.0;1;10.0;-3;1.25;9.75
+;5;18.5;Dörig Erich;*;11;55.75;4;18.75;-1;0.25;9.75
+;5;28.25;Oettli Marco;*;12;55.5;5;28.25;0;0.0;9.75
+;5;38.0;Funk Nicola;*;8;56.5;4;38.25;-1;0.25;9.75
+;5;47.75;Biäsch Christian;*;10;56.0;6;47.5;1;-0.25;10.0

4a;Landolt Reto;*;;;;;;;;;57.5
+;;;Burkhard Patrick;*;;;;;;;10.0
-;1;10.0;Bernold Edi;**;15;54.75;3;9.0;2;-1.0;9.0
+;3;19.0;Brülisauer Thomas (2003);;24;52.5;5;18.5;2;-0.5;10.0
o;2;29.0;Krähenbühl Tobias;***;6;57.0;4;28.5;2;-0.5;8.75
+;6;37.75;Ackermann Roman;;17;54.25;9;37.0;3;-0.75;9.75
+;6;47.5;Nock Benjamin (2001);*;12;55.5;9;46.75;3;-0.75;10.0

4b;Schlegel Sandro;**;;;;;;;;;57.5
+;;;Dumelin David;**;;;;;;;10.0
o;1;10.0;Rychen Roger;***;2;58.0;1;10.0;0;0.0;8.75
+;4;18.75;Hänni Marc (2001);;16;54.5;4;18.75;0;0.0;10.0
+;3;28.75;Schlegel Werner (2002);*;10;56.0;3;28.75;0;0.0;10.0
+;2;38.75;Kuster Marcel;***;8;56.5;5;38.0;3;-0.75;10.0
o;2;48.75;Orlik Armon;***;1;59.25;1;49.25;-1;0.5;8.75

4c;Leuppi Samir;**;;;;;;;;;57.5
o;;;Orlik Armon;***;;;;;;;8.5
+;5;8.5;Schlegel Reto;*;14;55.0;2;9.75;-3;1.25;9.75
+;6;18.25;Wittenwiler Roman;*;6;57.0;4;18.75;-2;0.5;9.75
+;6;28.0;Dumelin David;**;12;55.5;3;28.75;-3;0.75;10.0
+;5;38.0;Krähenbühl Tobias;***;6;57.0;3;38.5;-2;0.5;9.75
+;5;47.75;Kuster Thomas;*;8;56.5;4;48.0;-1;0.25;9.75

5a;Hochholdinger Roman;**;;;;;;;;;57.25
-;;;Ott Damian;**;;;;;;;8.75
+;4;8.75;Schönenberger Björn;;21;53.25;1;10.0;-3;1.25;10.0
+;4;18.75;Kamer Hanspeter;*;16;54.5;4;18.75;0;0.0;10.0
o;3;28.75;Rychen Roger;***;2;58.0;5;28.25;2;-0.5;8.5
+;8;37.25;Schlegel Reto;*;14;55.0;6;37.75;-2;0.5;10.0
+;7;47.25;Wolfer Lukas;*;13;55.25;9;46.75;2;-0.5;10.0

5b;Schnurrenberger Roman;**;;;;;;;;;57.25
-;;;Bernold Christian;**;;;;;;;8.75
+;4;8.75;Inauen Andreas;*;12;55.5;2;9.75;-2;1.0;10.0
+;4;18.75;Riget Florian;*;15;54.75;4;18.75;0;0.0;10.0
o;3;28.75;Orlik Armon;***;1;59.25;1;29.5;-2;0.75;8.5
+;8;37.25;Fausch Kjetil;*;17;54.25;9;37.0;1;-0.25;10.0
+;7;47.25;Breitenmoser Manuel;*;13;55.25;9;46.75;2;-0.5;10.0

6a;Jörger Marc;*;;;;;;;;;57.0
-;;;Funk Nicola;*;;;;;;;9.0
+;3;9.0;Schiesser Patrik;;13;55.25;1;10.0;-2;1.0;10.0
+;3;19.0;Oertle Daniel;*;12;55.5;5;18.5;2;-0.5;9.75
o;3;28.75;Zwyssig Raphael;***;7;56.75;4;28.5;1;-0.25;8.5
+;8;37.25;Christen Jérôme (2002);;17;54.25;9;37.0;1;-0.25;9.75
+;8;47.0;Schuler Martin;;13;55.25;9;46.75;1;-0.25;10.0

6b;Steiner Michael;**;;;;;;;;;57.0
+;;;Schläpfer Markus;**;;;;;;;9.75
-;2;9.75;Kindlimann Fabian;***;9;56.25;4;8.75;2;-1.0;8.75
+;5;18.5;Lötscher Abraham;;12;55.5;5;18.5;0;0.0;9.75
-;5;28.25;Ott Damian;**;15;54.75;4;28.5;-1;0.25;9.0
+;8;37.25;Kamer Hanspeter;*;16;54.5;8;37.25;0;0.0;10.0
+;7;47.25;Marty Jaime;*;13;55.25;9;46.75;2;-0.5;9.75

6c;Krähenbühl Tobias;***;;;;;;;;;57.0
-;;;Riget Tobias;**;;;;;;;8.75
+;4;8.75;Arztmann Beda;*;10;56.0;1;10.0;-3;1.25;10.0
+;4;18.75;Marty Jaime;*;13;55.25;4;18.75;0;0.0;9.75
+;4;28.5;Landolt Reto;*;4;57.5;2;29.0;-2;0.5;10.0
o;3;38.5;Leuppi Samir;**;4;57.5;5;38.0;2;-0.5;8.5
+;8;47.0;Rhyner Michael;**;11;55.75;7;47.25;-1;0.25;10.0

6d;Wittenwiler Roman;*;;;;;;;;;57.0
-;;;Lehmann Philipp;*;;;;;;;9.0
+;3;9.0;Badat Thomas;;12;55.5;1;10.0;-2;1.0;9.75
o;4;18.75;Leuppi Samir;**;4;57.5;6;18.25;2;-0.5;8.5
+;9;27.25;Baumgartner Joël;;22;53.0;10;27.0;1;-0.25;10.0
+;8;37.25;Räbsamen Marcel;*;11;55.75;9;37.0;1;-0.25;10.0
+;7;47.25;Naef Sandro;;14;55.0;10;46.5;3;-0.75;9.75

7a;Geisser Lars;**;;;;;;;;;56.75
+;;;Gwerder Andreas;**;;;;;;;9.75
-;2;9.75;Bless Michael;***;11;55.75;5;8.5;3;-1.25;8.75
+;5;18.5;Schuler Martin;;13;55.25;4;18.75;-1;0.25;10.0
+;4;28.5;Dändliker Shane;**;7;56.75;5;28.25;1;-0.25;10.0
o;3;38.5;Rychen Roger;***;2;58.0;4;38.25;1;-0.25;8.5
+;8;47.0;Wehrli Jan (2002);;13;55.25;9;46.75;1;-0.25;9.75

7b;Keller Werner;;;;;;;;;;56.75
-;;;Martin Dominik;;;;;;;;8.75
+;4;8.75;Fäh Tobias;;21;53.25;4;8.75;0;0.0;10.0
o;4;18.75;Zbinden Marc;*;10;56.0;9;17.5;5;-1.25;8.5
+;9;27.25;Schönenberger Björn;;21;53.25;9;27.25;0;0.0;10.0
+;8;37.25;Battaglia Ursin;**;11;55.75;7;37.5;-1;0.25;9.75
+;8;47.0;Castelli Fabio;;11;55.75;7;47.25;-1;0.25;9.75

7c;Dändliker Shane;**;;;;;;;;;56.75
+;;;Rhyner Michael;**;;;;;;;10.0
o;1;10.0;Orlik Armon;***;1;59.25;1;10.0;0;0.0;8.5
+;5;18.5;Ackermann Roman;;17;54.25;5;18.5;0;0.0;9.75
o;5;28.25;Geisser Lars;**;7;56.75;4;28.5;-1;0.25;8.5
+;10;36.75;Bernold Edi;**;15;54.75;6;37.75;-4;1.0;10.0
+;9;46.75;Lötscher Abraham;;12;55.5;8;47.0;-1;0.25;10.0

7d;Zwyssig Raphael;***;;;;;;;;;56.75
-;;;Kindlimann Fabian;***;;;;;;;8.75
+;4;8.75;Breitenmoser Manuel;*;13;55.25;2;9.75;-2;1.0;10.0
+;4;18.75;Wey Nicola;*;10;56.0;5;18.5;1;-0.25;9.75
+;4;28.5;Jörger Marc;*;6;57.0;3;28.75;-1;0.25;10.0
o;3;38.5;Orlik Armon;***;1;59.25;1;39.5;-2;1.0;8.5
+;8;47.0;Arztmann Beda;*;10;56.0;7;47.25;-1;0.25;9.75

8a;Kuster Thomas;*;;;;;;;;;56.5
+;;;Koller Silvan (2002);;;;;;;;10.0
-;1;10.0;Burkhalter Stefan;***;9;56.25;4;8.75;3;-1.25;8.5
+;5;18.5;Badat Thomas;;12;55.5;5;18.5;0;0.0;9.75
+;5;28.25;Arztmann Beda;*;10;56.0;4;28.5;-1;0.25;9.75
+;5;38.0;Ott Damian;**;15;54.75;7;37.5;2;-0.5;10.0
o;4;48.0;Leuppi Samir;**;4;57.5;5;47.75;1;-0.25;8.5

8b;Jörger Corsin;;;;;;;;;;56.5
+;;;Grimm Michael;;;;;;;;10.0
+;1;10.0;Oertle Daniel;*;12;55.5;5;8.5;4;-1.5;10.0
o;1;20.0;Blaser Christian;*;12;55.5;5;18.5;4;-1.5;8.5
+;4;28.5;Schiesser Patrik;;13;55.25;5;28.25;1;-0.25;9.75
o;4;38.25;Bühler Hannes;*;8;56.5;5;38.0;1;-0.25;8.5
+;9;46.75;Galli Cedric (2001);;14;55.0;10;46.5;1;-0.25;9.75

8c;Kuster Marcel;***;;;;;;;;;56.5
-;;;Burkhalter Stefan;***;;;;;;;8.75
+;4;8.75;Jöhl Christian;*;11;55.75;1;10.0;-3;1.25;9.75
+;5;18.5;Räbsamen Marcel;*;11;55.75;4;18.75;-1;0.25;9.75
+;5;28.25;Biäsch Christian;*;10;56.0;2;29.0;-3;0.75;9.75
o;5;38.0;Schlegel Sandro;**;4;57.5;2;38.75;-3;0.75;8.5
+;10;46.5;Dumelin David;**;12;55.5;8;47.0;-2;0.5;10.0

8d;Funk Nicola;*;;;;;;;;;56.5
