4068-2019-07-07_113_Innerschweizer_Schwing-_und_Aelplerfest-ST

1a;Heinzer Stefan;**;;;;;;;;;109.25
o;;;Kempf Elias;**;;;;;;;8.5
-;;;Vogel Remo;**;;;;;;;8.75
+;1;17.25;Dissler Philipp;*;35;27.25;5;8.75;4;-8.5;9.75
o;1;17.25;Arnold Stefan;**;11;56.0;5;8.75;4;-8.5;8.5
+;1;35.5;Gasser Dominik 2;;28;35.5;7;18.5;6;-17.0;9.75
o;1;35.5;Hürlimann Mathias;*;21;53.25;10;17.5;9;-18.0;8.5
o;1;53.75;Lang Sven;*;7;57.0;10;27.5;9;-26.25;8.5
+;1;53.75;Arnold Sebastian;;22;53.0;11;27.25;10;-26.5;10.0
+;1;72.25;Wyrsch Marco;**;17;54.5;13;36.25;12;-36.0;10.0
-;1;72.25;Bürgi Reto;*;21;53.25;15;35.75;14;-36.5;8.75
o;1;91.0;Ettlin Stefan;**;9;56.5;9;46.75;8;-44.25;8.5
+;1;91.0;Wicki Patrick;;23;52.75;19;44.25;18;-46.75;9.75

2a;Alpiger Nick;***;;;;;;;;;58.5
+;;;Imhof Andi;***;;;;;;;10.0
+;2;10.0;Egli Damian;**;9;56.5;2;10.0;0;0.0;9.75
+;3;19.75;Nötzli Reto;***;8;56.75;3;19.75;0;0.0;9.75
-;3;29.5;Schuler Christian;***;6;57.25;2;29.75;-1;0.25;9.0
+;4;38.5;von Ah Benji;***;7;57.0;2;39.5;-2;1.0;10.0
+;2;48.5;Schuler Christian;***;6;57.25;2;48.5;0;0.0;10.0

3a;Wicki Joel;**;;;;;;;;;58.25
-;;;von Weissenﬂuh Kilian;**;;;;;;;8.75
+;5;8.75;Nietlispach Pascal;**;19;54.0;3;9.75;-2;1.0;10.0
+;6;18.75;Müllestein Mike;***;9;56.5;5;19.0;-1;0.25;10.0
+;5;28.75;Odermatt Andreas;*;13;55.5;5;28.75;0;0.0;9.75
+;4;38.5;Nötzli Reto;***;8;56.75;5;38.25;1;-0.25;9.75
+;3;48.25;Gwerder Michael;**;11;56.0;6;47.5;3;-0.75;10.0

4a;Orlik Armon;***;;;;;;;;;58.0
-;;;Reichmuth Pirmin;***;;;;;;;8.75
+;5;8.75;Ambühl Joel;**;8;56.75;2;10.0;-3;1.25;10.0
+;6;18.75;Gloggner Philipp;***;7;57.0;3;19.75;-3;1.0;9.75
+;6;28.5;Suppiger Werner;**;10;56.25;3;29.5;-3;1.0;9.75
+;5;38.25;Bieri Marcel;**;7;57.0;5;38.25;0;0.0;9.75
+;4;48.0;Fankhauser Erich;***;8;56.75;4;48.0;0;0.0;10.0

5a;Schurtenberger Sven;***;;;;;;;;;57.5
+;;;Leuppi Samir;**;;;;;;;10.0
+;2;10.0;Steinauer Adrian;**;10;56.25;3;9.75;1;-0.25;10.0
