4114-2018-05-27_99_Luzerner_Kant_Schwingfest-ST

1a;Fankhauser Reto;**;;;;;;;;;111.25
+;;;Bucher Christian;*;;;;;;;9.75
-;;;Thalmann Thomas;*;;;;;;;9.0
-;1;18.75;Baumann Roger;*;12;56.0;3;10.0;2;-8.75;9.0
-;1;18.75;Bühler Kilian (2000);;12;56.0;3;10.0;2;-8.75;9.0
+;2;36.75;Wyss Sven (2001);;14;55.5;3;20.0;1;-16.75;10.0
+;2;36.75;Aregger Fabian (2001);;20;54.0;8;18.5;6;-18.25;9.75
o;1;56.5;Gwerder Michael (2000);*;9;56.75;7;28.75;6;-27.75;8.75
+;1;56.5;Achermann Daniel;;17;54.75;10;28.0;9;-28.5;10.0
+;1;75.25;Reichmuth Roland;;17;54.75;10;37.5;9;-37.75;9.75
-;1;75.25;Müller Michael;**;10;56.5;10;37.5;9;-37.75;8.75
o;1;93.75;Linggi Bruno;**;10;56.5;11;46.75;10;-47.0;8.75
-;1;93.75;Egli Damian;**;14;55.5;11;46.75;10;-47.0;8.75

2a;Thalmann Adrian;;;;;;;;;;91.25
+;;;Durrer Ueli;;;;;;;;10.0
o;;;Gander Martin;;;;;;;;8.5
o;2;18.5;Wüthrich Philip;*;16;55.0;4;9.75;2;-8.75;8.5
+;2;18.5;Hurni Florian (2002);;32;35.5;7;8.5;5;-10.0;10.0
+;1;37.0;Vogel Marcel;;14;55.5;8;18.5;7;-18.5;10.0
o;1;37.0;Zgraggen Fabian;*;12;56.0;11;17.5;10;-19.5;8.5
-;2;55.5;Fessler Linus;**;16;55.0;11;27.75;9;-27.75;9.0
o;2;55.5;Huser Christian (2000);;16;55.0;15;26.75;13;-28.75;8.5
o;2;73.0;Reichmuth Armin;*;10;56.5;9;37.75;7;-35.25;8.5
+;2;81.5;Gander Martin;;18;54.5;14;46.0;12;-35.5;9.75

3a;Wicki Joel;**;;;;;;;;;59.25
+;;;von Ah Benji;***;;;;;;;9.75
+;4;9.75;Blaser Roman;*;12;56.0;4;9.75;0;0.0;10.0
+;4;19.75;Schelbert Ralf;**;7;57.25;4;19.75;0;0.0;9.75
+;5;29.5;Wüthrich Philip;*;16;55.0;5;29.5;0;0.0;10.0
+;4;39.5;Bieri Marcel;**;6;57.75;4;39.5;0;0.0;9.75
+;4;49.25;Schurtenberger Sven;***;4;58.25;3;49.5;-1;0.25;10.0

4a;Schurtenberger Sven;***;;;;;;;;;58.25
+;;;Mathis Marcel;***;;;;;;;10.0
+;3;10.0;Wyrsch Marco;**;8;57.0;3;10.0;0;0.0;10.0
+;3;20.0;Waser Dominik;**;14;55.5;4;19.75;1;-0.25;9.75
+;4;29.75;Baumann Roger;*;12;56.0;7;28.75;3;-1.0;10.0
+;3;39.75;Suppiger Werner;**;8;57.0;5;38.75;2;-1.0;9.75
o;3;49.5;Wicki Joel;**;3;59.25;4;49.25;1;-0.25;8.75

5a;Fankhauser Erich;***;;;;;;;;;58.0
o;;;Schelbert Ralf;**;;;;;;;8.5
+;7;8.5;Arnold Fabian;*;11;56.25;4;9.75;-3;1.25;9.75
+;9;18.25;Amgarten Roman;*;17;54.75;9;18.25;0;0.0;10.0
+;9;28.25;Michel Jonas;*;9;56.75;8;28.5;-1;0.25;10.0
+;7;38.25;Portmann Fabian;;27;46.75;7;38.25;0;0.0;9.75
+;6;48.0;Reichmuth Armin;*;10;56.5;7;47.75;1;-0.25;10.0

6a;Bieri Marcel;**;;;;;;;;;57.75
