4149-2018-05-06_Zuercher_Kantonalschwingfest-ST

1a;Giger Samuel;***;;;;;;;;;59.25
+;;;Gisler Bruno;***;;;;;;;9.75
+;2;9.75;Geisser Lars;**;7;56.75;1;10.0;-1;0.25;9.75
+;3;19.5;Leuthard Reto;*;8;56.5;3;19.5;0;0.0;10.0
+;2;29.5;Döbeli Andreas;*;6;57.0;3;28.75;1;-0.75;10.0
+;1;39.5;Schnurrenberger Roman;**;9;56.25;2;38.75;1;-0.75;9.75
+;1;49.25;Gisler Bruno;***;5;57.25;2;48.5;1;-0.75;10.0

2a;Orlik Armon;***;;;;;;;;;58.0
-;;;Hersche Martin;***;;;;;;;8.75
+;4;8.75;Strebel Joel;**;8;56.5;2;9.75;-2;1.0;9.75
+;6;18.5;Wickli Beat;**;13;55.25;6;18.5;0;0.0;9.75
+;5;28.25;Eugster Ruedi;**;6;57.0;4;28.5;-1;0.25;10.0
+;4;38.25;Wey Nicola;*;6;57.0;3;38.5;-1;0.25;10.0
+;3;48.25;Kid Simon;**;6;57.0;2;48.5;-1;0.25;9.75

3a;Arztmann Beda;*;;;;;;;;;57.75
+;;;Blaser Niklas;*;;;;;;;9.75
o;2;9.75;Koch Reto;*;11;55.75;1;10.0;-1;0.25;8.5
+;7;18.25;Vollmeier Sandro;;14;55.0;2;19.75;-5;1.5;10.0
+;5;28.25;Zehnder Mario;;18;54.0;4;28.5;-1;0.25;10.0
+;4;38.25;Hochholdinger Roman;**;11;55.75;8;37.25;4;-1.0;9.75
+;4;48.0;Schlegel Reto;*;10;56.0;6;47.5;2;-0.5;9.75

3b;Rhyner Michael;**;;;;;;;;;57.75
-;;;Nägeli Marco;**;;;;;;;8.75
-;4;8.75;Klausner Yanick;**;5;57.25;4;8.75;0;0.0;9.0
+;8;17.75;Castelli Fabio;;12;55.5;5;18.75;-3;1.0;10.0
+;7;27.75;Götti Samuel;;18;54.0;5;28.25;-2;0.5;10.0
+;6;37.75;Ammann Rico;*;11;55.75;4;38.25;-2;0.5;10.0
+;5;47.75;Leuppi Samir;**;7;56.75;3;48.25;-2;0.5;10.0

4a;Hersche Martin;***;;;;;;;;;57.5
-;;;Orlik Armon;***;;;;;;;8.75
-;4;8.75;Döbeli Andreas;*;6;57.0;1;10.0;-3;1.25;8.75
+;9;17.5;Baumann Rico;*;14;55.0;6;18.5;-3;1.0;10.0
+;8;27.5;Reber Marcel;*;14;55.0;5;28.25;-3;0.75;10.0
+;7;37.5;Büsser André;*;13;55.25;4;38.25;-3;0.75;10.0
+;6;47.5;Steiner Michael;**;12;55.5;8;47.0;2;-0.5;10.0

5a;Gwerder Andreas;**;;;;;;;;;57.25
o;;;Geisser Lars;**;;;;;;;8.5
+;5;8.5;Knabe Robert;;29;35.5;2;9.75;-3;1.25;10.0
+;6;18.5;Hobi Ignaz;;12;55.5;5;18.75;-1;0.25;9.75
+;5;28.25;Landolt Cla;;18;54.0;5;28.25;0;0.0;10.0
-;4;38.25;Riget Tobias;**;6;57.0;4;38.25;0;0.0;9.0
+;7;47.25;Büsser André;*;13;55.25;9;46.75;2;-0.5;10.0

5b;Gisler Bruno;***;;;;;;;;;57.25
o;;;Giger Samuel;***;;;;;;;8.75
+;4;8.75;Bernold Michael;*;10;56.0;1;10.0;-3;1.25;10.0
+;5;18.75;Dumelin David;*;12;55.5;5;18.75;0;0.0;10.0
+;3;28.75;Schlegel Sandro;**;10;56.0;3;28.75;0;0.0;9.75
+;3;38.5;Krähenbühl Tobias;***;7;56.75;3;38.5;0;0.0;10.0
o;2;48.5;Giger Samuel;***;1;59.25;1;49.25;-1;0.75;8.75

5c;Klausner Yanick;**;;;;;;;;;57.25
-;;;Riget Tobias;**;;;;;;;8.75
-;4;8.75;Rhyner Michael;**;3;57.75;4;8.75;0;0.0;9.0
+;8;17.75;Bollhalder Manuel (2001);;17;54.25;5;18.75;-3;1.0;9.75
+;8;27.5;Inauen Aurel;;17;54.25;4;28.5;-4;1.0;9.75
+;8;37.25;Peng Mike;***;22;53.0;13;36.0;5;-1.25;10.0
+;7;47.25;Ackermann Remo;*;12;55.5;8;47.0;1;-0.25;10.0

6a;Eugster Ruedi;**;;;;;;;;;57.0
+;;;Battaglia Ursin;**;;;;;;;9.75
-;2;9.75;Schlegel Sandro;**;10;56.0;1;10.0;-1;0.25;8.75
+;6;18.5;Buchmann Michael;;11;55.75;1;20.0;-5;1.5;10.0
o;4;28.5;Orlik Armon;***;2;58.0;5;28.25;1;-0.25;8.5
+;9;37.0;Junker Nik;;8;56.5;4;38.25;-5;1.25;10.0
+;8;47.0;Reber Marcel;*;14;55.0;10;46.5;2;-0.5;10.0

6b;Kid Simon;**;;;;;;;;;57.0
-;;;Dumelin David;*;;;;;;;8.75
+;4;8.75;Hochholdinger Roman;**;11;55.75;4;8.75;0;0.0;10.0
+;5;18.75;Reichmuth Beat;;8;56.5;1;20.0;-4;1.25;9.75
+;4;28.5;Strebel Joel;**;8;56.5;5;28.25;1;-0.25;10.0
+;3;38.5;Leuppi Samir;**;7;56.75;1;39.5;-2;1.0;10.0
o;2;48.5;Orlik Armon;***;2;58.0;3;48.25;1;-0.25;8.5

6c;Wey Nicola;*;;;;;;;;;57.0
+;;;Elmer Adrian;*;;;;;;;10.0
+;1;10.0;Pfister Florian;*;12;55.5;2;9.75;1;-0.25;10.0
o;1;20.0;Schneider Mario;**;7;56.75;2;19.75;1;-0.25;8.5
+;4;28.5;Schönenberger Christian;;18;54.0;4;28.5;0;0.0;10.0
o;3;38.5;Orlik Armon;***;2;58.0;4;38.25;1;-0.25;8.5
+;8;47.0;Burkhard Tobias;;12;55.5;8;47.0;0;0.0;10.0

6d;Nägeli Marco;**;;;;;;;;;57.0
-;;;Rhyner Michael;**;;;;;;;8.75
-;4;8.75;Schlegel Werner (2002);;10;56.0;1;10.0;-3;1.25;8.75
+;9;17.5;Brülisauer Dominik (2001);;18;54.0;6;18.5;-3;1.0;10.0
+;8;27.5;Ueltschi Patric;*;16;54.5;4;28.5;-4;1.0;9.75
+;8;37.25;Bickel Stefan;*;8;56.5;5;38.0;-3;0.75;10.0
+;7;47.25;Koch Reto;*;11;55.75;7;47.25;0;0.0;9.75

6e;Riget Tobias;**;;;;;;;;;57.0
-;;;Klausner Yanick;**;;;;;;;8.75
+;4;8.75;Steiner Michael;**;12;55.5;4;8.75;0;0.0;9.75
+;6;18.5;Funk Nicola;;7;56.75;2;19.75;-4;1.25;9.75
+;5;28.25;Bärtsch Andreas (2002);;18;54.0;4;28.5;-1;0.25;10.0
-;4;38.25;Gwerder Andreas;**;5;57.25;4;38.25;0;0.0;9.0
+;7;47.25;Schlegel Sandro;**;10;56.0;7;47.25;0;0.0;9.75

6f;Döbeli Andreas;*;;;;;;;;;57.0
+;;;Bickel Stefan;*;;;;;;;10.0
-;1;10.0;Hersche Martin;***;4;57.5;4;8.75;3;-1.25;8.75
+;5;18.75;Weibel Lucien;;17;54.25;5;18.75;0;0.0;10.0
o;3;28.75;Giger Samuel;***;1;59.25;2;29.5;-1;0.75;8.5
+;8;37.25;Hobi Ignaz;;12;55.5;8;37.25;0;0.0;9.75
+;8;47.0;Neff Florian;;14;55.0;10;46.5;2;-0.5;10.0

6g;Kunz Daniel;;;;;;;;;;57.0
+;;;Thoma Christoph;;;;;;;;10.0
+;1;10.0;Furrer Matthias;;29;35.5;1;10.0;0;0.0;9.75
+;2;19.75;Schäppi Urs;*;29;35.5;6;18.5;4;-1.25;10.0
o;1;29.75;Schnurrenberger Roman;**;9;56.25;3;28.75;2;-1.0;8.5
o;4;38.25;Steiner Michael;**;12;55.5;9;37.0;5;-1.25;8.75
+;8;47.0;Odermatt Michi;;12;55.5;8;47.0;0;0.0;10.0

7a;Geisser Lars;**;;;;;;;;;56.75
+;;;Gwerder Andreas;**;;;;;;;10.0
o;1;10.0;Giger Samuel;***;1;59.25;2;9.75;1;-0.25;8.5
+;6;18.5;Schmidlin Tobias (2001);;24;47.0;1;20.0;-5;1.5;10.0
