4161-2019-06-02_Luzerner_Kant_Schwingfest-ST

1a;Heinzer Stefan;**;;;;;;;;;112.0
o;;;Gloggner Reto;**;;;;;;;8.5
o;;;Doppmann Urs;**;;;;;;;8.5
+;1;17.0;Kammermann Christoph;*;17;54.5;5;8.75;4;-8.25;10.0
+;1;17.0;Hirsiger Alexander;*;17;54.5;5;8.75;4;-8.25;9.75
+;1;36.75;Schaller Noah;;14;55.25;4;19.5;3;-17.25;9.75
-;1;36.75;Wüest David;;13;55.5;5;19.0;4;-17.75;9.0
o;1;55.5;Suppiger René;***;7;57.0;14;27.0;13;-28.5;8.5
+;1;55.5;Riebli Leon (2003);;18;54.25;9;28.25;8;-27.25;10.0
+;1;74.0;Wicki Kevin;;14;55.25;12;37.0;11;-37.0;9.75
o;1;74.0;Thierstein Marco;*;6;57.25;9;37.75;8;-36.25;8.5
+;1;92.25;Bucher Thomas;;13;55.5;10;47.0;9;-45.25;9.75
+;1;92.25;Widmer Simon;;18;54.25;15;45.75;14;-46.5;10.0

2a;Reichmuth Pirmin;***;;;;;;;;;58.75
+;;;Suppiger René;***;;;;;;;10.0
+;2;10.0;Doppmann Urs;**;8;56.75;2;10.0;0;0.0;10.0
+;2;20.0;Kurmann Toni;*;8;56.75;2;20.0;0;0.0;10.0
-;2;30.0;Wicki Joel;**;3;58.5;4;29.5;2;-0.5;9.0
+;4;39.0;Suppiger Werner;**;6;57.25;5;38.75;1;-0.25;9.75
+;3;48.75;Schurtenberger Sven;***;4;58.0;2;49.25;-1;0.5;10.0

3a;Wicki Joel;**;;;;;;;;;58.5
+;;;Schneider Domenic;***;;;;;;;9.75
+;3;9.75;Waser Dominik;**;10;56.25;2;10.0;-1;0.25;10.0
+;3;19.75;Gwerder Christian;**;11;56.0;2;20.0;-1;0.25;9.75
-;4;29.5;Reichmuth Pirmin;***;2;58.75;2;30.0;-2;0.5;9.0
+;6;38.5;Zürcher Ueli;*;7;57.0;7;38.25;1;-0.25;10.0
+;4;48.5;Schuler Christian;***;6;57.25;4;48.5;0;0.0;10.0

4a;Schurtenberger Sven;***;;;;;;;;;58.0
+;;;Wenger Kilian;***;;;;;;;10.0
+;2;10.0;Hurschler Thomas;**;5;57.5;3;9.75;1;-0.25;10.0
+;2;20.0;Bernhard Lukas;*;5;57.5;4;19.5;2;-0.5;9.75
+;3;29.75;Burkhalter Stefan;***;11;56.0;7;28.75;4;-1.0;9.75
+;3;39.5;Betschart Remo;**;7;57.0;5;38.75;2;-0.75;9.75
o;2;49.25;Reichmuth Pirmin;***;2;58.75;3;48.75;1;-0.5;8.75

5a;Bernhard Lukas;*;;;;;;;;;57.5
+;;;Fässler Dominic;**;;;;;;;9.75
+;3;9.75;Achermann Simon;;13;55.5;2;10.0;-1;0.25;9.75
o;4;19.5;Schurtenberger Sven;***;4;58.0;2;20.0;-2;0.5;8.5
+;10;28.0;Lustenberger Josef;;13;55.5;8;28.5;-2;0.5;9.75
+;9;37.75;Achermann Christoph;*;13;55.5;8;38.0;-1;0.25;10.0
+;7;47.75;Fankhauser Erich;***;10;56.25;8;47.5;1;-0.25;9.75

5b;Hurschler Thomas;**;;;;;;;;;57.5
+;;;Graber Michael;*;;;;;;;9.75
o;3;9.75;Schurtenberger Sven;***;4;58.0;2;10.0;-1;0.25;8.5
+;8;18.25;Widmer Dominik;;19;54.0;6;18.75;-2;0.5;9.75
+;10;28.0;Zgraggen Fabian;*;14;55.25;9;28.25;-1;0.25;10.0
+;8;38.0;Wyss Sven (2001);;8;56.75;7;38.25;-1;0.25;9.75
+;7;47.75;Schärli Reto;*;12;55.75;9;47.25;2;-0.5;9.75

5c;Wenger Kilian;***;;;;;;;;;57.5
o;;;Schurtenberger Sven;***;;;;;;;8.5
+;6;8.5;Gloggner Reto;**;7;57.0;2;10.0;-4;1.5;9.75
+;8;18.25;Heiniger Marco;*;25;46.0;7;18.5;-1;0.25;9.75
+;10;28.0;Zurﬂuh Roman;**;9;56.5;7;28.75;-3;0.75;9.75
+;9;37.75;Müller Michael;**;7;57.0;6;38.5;-3;0.75;10.0
+;7;47.75;Kurmann Toni;*;8;56.75;5;48.25;-2;0.5;9.75

6a;Schneider Mario;**;;;;;;;;;57.25
-;;;Egli Damian;**;;;;;;;8.75
-;5;8.75;Kenel Franz-Toni;*;12;55.75;5;8.75;0;0.0;8.75
+;11;17.5;Bühler Patrice;;12;55.75;6;18.75;-5;1.25;9.75
+;13;27.25;Barmet Sven;;12;55.75;9;28.25;-4;1.0;10.0
+;11;37.25;Gerber Peter;*;15;55.0;8;38.0;-3;0.75;10.0
+;9;47.25;Wyrsch Marco;**;9;56.5;6;48.0;-3;0.75;10.0

6b;Thierstein Marco;*;;;;;;;;;57.25
o;;;Gwerder Christian;**;;;;;;;8.75
-;5;8.75;Durrer Fabian;*;14;55.25;4;9.0;-1;0.25;9.0
+;10;17.75;von Ah Markus;;14;55.25;7;18.5;-3;0.75;10.0
+;11;27.75;Portmann Roger;;13;55.5;8;28.5;-3;0.75;10.0
+;9;37.75;Heinzer Stefan;*;1;112.0;1;74.0;-8;36.25;9.75
+;8;47.5;Müller Mathias;;13;55.5;10;47.0;2;-0.5;9.75

6c;Suppiger Werner;**;;;;;;;;;57.25
-;;;Burkhalter Stefan;***;;;;;;;9.0
+;4;9.0;Oettli Marco;*;11;56.0;4;9.0;0;0.0;10.0
+;5;19.0;Auf der Maur Michael;;19;54.0;2;20.0;-3;1.0;9.75
