4226-2019-05-26_105_StGaller_Kantonalschwingfest-ST

1a;Bösch Daniel;***;;;;;;;;;59.5
+;;;Bless Michael;***;;;;;;;9.75
+;2;9.75;Schlegel Sandro;**;8;56.25;1;10.0;-1;0.25;10.0
+;2;19.75;Arztmann Beda;*;6;56.75;1;20.0;-1;0.25;10.0
+;1;29.75;Roth Martin;**;5;57.0;2;29.0;1;-0.75;10.0
+;1;39.75;Koch Thomas;*;5;57.0;3;38.5;2;-1.25;9.75
+;1;49.5;Ott Damian;**;5;57.0;2;48.25;1;-1.25;10.0

2a;Kuster Marcel;***;;;;;;;;;57.75
o;;;Riget Tobias;**;;;;;;;8.5
+;5;8.5;Bernold Michael;*;7;56.5;1;10.0;-4;1.5;10.0
+;6;18.5;Alder Armin;*;15;54.5;5;18.75;-1;0.25;10.0
+;4;28.5;Baumann Rico;*;9;56.0;3;28.75;-1;0.25;9.75
+;4;38.25;Rüegg Fabian;*;5;57.0;3;38.5;-1;0.25;9.75
+;3;48.0;Bernold Christian;**;8;56.25;4;47.75;1;-0.25;9.75

3a;Rhyner Michael;**;;;;;;;;;57.5
-;;;Peng Mike;***;;;;;;;8.75
+;4;8.75;Oertle Daniel;*;12;55.25;1;10.0;-3;1.25;10.0
+;5;18.75;Wehrli Jan (2002);;18;53.75;2;19.75;-3;1.0;10.0
-;3;28.75;Schlegel Sandro;**;8;56.25;3;28.75;0;0.0;9.0
+;6;37.75;Arztmann Beda;*;6;56.75;3;38.5;-3;0.75;9.75
+;5;47.5;Schmid Patrick;*;9;56.0;6;47.25;1;-0.25;10.0

3b;Riget Tobias;**;;;;;;;;;57.5
+;;;Kuster Marcel;***;;;;;;;10.0
+;1;10.0;Biäsch Christian;*;11;55.5;1;10.0;0;0.0;9.75
-;2;19.75;Poltera Andrin;*;8;56.25;2;19.75;0;0.0;9.0
-;3;28.75;Schnurrenberger Roman;**;9;56.0;3;28.75;0;0.0;8.75
+;7;37.5;Gwerder Andreas;**;10;55.75;7;37.5;0;0.0;10.0
+;5;47.5;Schudel Simon;*;10;55.75;6;47.25;1;-0.25;10.0

3c;Kamer Hanspeter;*;;;;;;;;;57.5
o;;;Arztmann Beda;*;;;;;;;8.5
+;5;8.5;Inauen Maurus (2003);;23;35.5;2;9.75;-3;1.25;10.0
+;6;18.5;Ackermann Roman;;23;35.5;6;18.5;0;0.0;10.0
-;4;28.5;Gwerder Andreas;**;10;55.75;4;28.5;0;0.0;9.0
+;7;37.5;Bernold Edi;**;21;53.0;13;36.0;6;-1.5;10.0
