4345-2019-05-26_115_Ob-_und_Nidw_Kant_Schwingfest-ST

1a;Rohrer Marco;**;;;;;;;;;111.25
-;;;Muff Armin;**;;;;;;;8.75
+;;;Giger Janik (2002);;;;;;;;10.0
+;1;18.75;Villiger Cyrill;*;8;56.25;5;8.75;4;-10.0;10.0
o;1;18.75;Bürgi Michael (2002);;13;55.0;2;10.0;1;-8.75;8.75
+;1;37.5;Muff Reto;;16;54.25;6;18.75;5;-18.75;9.75
o;1;37.5;Blaser Theo;*;9;56.0;12;17.25;11;-20.25;8.5
+;1;55.75;Reichmuth Armin;*;12;55.25;9;28.0;8;-27.75;9.75
-;1;55.75;Brunner Timon;;14;54.75;12;27.25;11;-28.5;8.75
+;1;74.25;Elsener Marcel;*;12;55.25;6;37.75;5;-36.5;9.75
o;1;74.25;Muff Reto;;16;54.25;14;35.75;13;-38.5;8.5
-;1;92.5;Gloggner Philipp;***;5;57.0;3;48.25;2;-44.25;8.75
+;1;92.5;Schmid Joel;;20;53.25;18;44.5;17;-48.0;10.0

2a;Orlik Armon;***;;;;;;;;;58.5
+;;;Mathis Marcel;***;;;;;;;9.75
+;3;9.75;Scheuber Lutz;**;10;55.75;3;9.75;0;0.0;9.75
+;4;19.5;Arnold Stefan;**;7;56.5;3;19.75;-1;0.25;10.0
+;3;29.5;Elsener Marcel;*;12;55.25;4;29.25;1;-0.25;10.0
-;2;39.5;Imhof Andi;***;8;56.25;3;38.5;1;-1.0;9.0
+;2;48.5;Herger Matthias;**;4;57.25;2;48.5;0;0.0;10.0

3a;Gwerder Dario;**;;;;;;;;;57.5
-;;;Gasser Stefan;**;;;;;;;8.75
+;5;8.75;Käslin Benno;*;5;57.0;6;8.5;1;-0.25;10.0
+;6;18.75;Durrer Lukas;;18;53.75;3;19.75;-3;1.0;10.0
-;6;28.75;Mathis Marcel;***;4;57.25;7;28.5;1;-0.25;9.0
+;6;37.75;Durrer Jonas (2003);;8;56.25;5;38.0;-1;0.25;9.75
+;6;47.5;Odermatt Christian;**;7;56.5;5;47.75;-1;0.25;10.0

4a;Reichmuth Marco;**;;;;;;;;;57.25
o;;;Odermatt Christian;**;;;;;;;8.5
+;6;8.5;Barmettler Peter;*;13;55.0;6;8.5;0;0.0;9.75
-;8;18.25;Heiniger Marco;*;8;56.25;6;18.75;-2;0.5;9.0
+;12;27.25;Della Torre Simon;;14;54.75;6;28.75;-6;1.5;10.0
+;8;37.25;Achermann Simon;;10;55.75;8;37.25;0;0.0;10.0
+;7;47.25;Zimmermann Simon;**;11;55.5;8;47.0;1;-0.25;10.0

4b;Hurschler Thomas;**;;;;;;;;;57.25
-;;;Ambühl Joel;**;;;;;;;8.75
+;5;8.75;Schürpf Bruno;*;7;56.5;4;9.0;-1;0.25;10.0
+;6;18.75;Bucher André (2001);;18;53.75;4;19.5;-2;0.75;9.75
-;7;28.5;Kempf Elias;**;9;56.0;7;28.5;0;0.0;8.75
+;8;37.25;Wiget Ueli;;17;54.0;9;37.0;1;-0.25;10.0
+;7;47.25;Reichmuth Roland;*;11;55.5;8;47.0;1;-0.25;10.0

4c;Mathis Marcel;***;;;;;;;;;57.25
o;;;Orlik Armon;***;;;;;;;8.5
+;6;8.5;Reichmuth Armin;*;12;55.25;3;9.75;-3;1.25;10.0
+;7;18.5;Fässler Dominic;**;9;56.0;2;20.0;-5;1.5;10.0
-;7;28.5;Gwerder Dario;**;3;57.5;6;28.75;-1;0.25;9.0
+;7;37.5;Bieri Christian;**;9;56.0;7;37.5;0;0.0;9.75
+;7;47.25;Gwerder Carlo;**;12;55.25;9;46.75;2;-0.5;10.0

4d;Herger Matthias;**;;;;;;;;;57.25
o;;;Scheuber Lutz;**;;;;;;;8.5
+;6;8.5;Muff André;*;31;27.0;6;8.5;0;0.0;10.0
+;7;18.5;Schürpf Guido;;14;54.75;3;19.75;-4;1.25;10.0
+;7;28.5;Elsener Adrian;**;11;55.5;7;28.5;0;0.0;10.0
+;3;38.5;Zimmermann Martin;**;7;56.5;4;38.25;1;-0.25;10.0
o;2;48.5;Orlik Armon;***;2;58.5;2;48.5;0;0.0;8.75

5a;Bernhard Lukas;*;;;;;;;;;57.0
+;;;Briker Michael;*;;;;;;;9.75
+;3;9.75;Felder Martin;*;24;35.5;3;9.75;0;0.0;10.0
+;3;19.75;Fellmann Simon;;14;54.75;2;20.0;-1;0.25;10.0
+;2;29.75;Schöpfer Ronny;*;9;56.0;2;29.75;0;0.0;9.75
-;2;39.5;Gloggner Philipp;***;5;57.0;2;39.5;0;0.0;8.75
-;3;48.25;Bürli Roger;**;7;56.5;5;47.75;2;-0.5;8.75

5b;Ettlin Stefan;**;;;;;;;;;57.0
+;;;Bieri Christian;**;;;;;;;9.75
+;3;9.75;Hürlimann Mathias;*;11;55.5;2;10.0;-1;0.25;10.0
+;3;19.75;Suter Beat;;12;55.25;2;20.0;-1;0.25;10.0
o;2;29.75;Gloggner Philipp;***;5;57.0;3;29.5;1;-0.25;8.5
+;4;38.25;Schöpfer Ronny;*;9;56.0;3;38.5;-1;0.25;9.75
-;4;48.0;Imhof Andi;***;8;56.25;7;47.25;3;-0.75;9.0

5c;Van Messel Noe (2002);*;;;;;;;;;57.0
+;;;Rohrer Ueli;*;;;;;;;10.0
-;2;10.0;von Ah Benji;***;32;26.0;6;8.5;4;-1.5;8.75
+;6;18.75;Elmiger Andreas;;13;55.0;5;19.0;-1;0.25;9.75
o;7;28.5;Zurﬂuh Roman;**;8;56.25;7;28.5;0;0.0;8.75
+;8;37.25;Gasser Dominik 1;;11;55.5;9;37.0;1;-0.25;10.0
+;7;47.25;Gasser Stefan;**;10;55.75;8;47.0;1;-0.25;9.75

5d;Gloggner Philipp;***;;;;;;;;;57.0
+;;;von Ah Benji;***;;;;;;;10.0
