4396-2019-07-07_Appenzeller_Kantonalschwingfest-ST

1a;Bless Michael;***;;;;;;;;;58.5
o;;;Schneider Domenic;***;;;;;;;8.5
+;5;8.5;Hugelshofer Lars (2001);*;6;56.5;1;10.0;-4;1.5;10.0
+;4;18.5;Bernold Michael;*;9;55.75;1;19.75;-3;1.25;10.0
+;3;28.5;Oettli Marco;**;10;55.5;3;28.5;0;0.0;10.0
+;2;38.5;Wickli Beat;**;6;56.5;4;38.0;2;-0.5;10.0
+;2;48.5;Schläpfer Markus;**;2;57.5;1;48.75;-1;0.25;10.0

2a;Roth Martin;**;;;;;;;;;57.5
+;;;Landolt Reto;*;;;;;;;10.0
-;1;10.0;Schneider Domenic;***;2;57.5;2;9.75;1;-0.25;8.75
+;3;18.75;Stauffacher Martin;;24;35.5;4;18.5;1;-0.25;10.0
-;2;28.75;Rüegg Fabian;*;8;56.0;2;28.75;0;0.0;9.0
+;5;37.75;Roth Peter;;14;54.5;7;37.25;2;-0.5;9.75
+;4;47.5;Bernold Michael;*;9;55.75;6;47.0;2;-0.5;10.0

2b;Schneider Domenic;***;;;;;;;;;57.5
+;;;Bless Michael;***;;;;;;;9.75
-;2;9.75;Roth Martin;**;2;57.5;1;10.0;-1;0.25;8.75
-;4;18.5;Bernold Christian;**;8;56.0;4;18.5;0;0.0;9.0
+;7;27.5;Keller Werner;*;9;55.75;3;28.5;-4;1.0;10.0
+;6;37.5;Wittenwiler Roman;*;5;56.75;2;38.5;-4;1.0;10.0
+;4;47.5;Oertig Dominik;**;10;55.5;6;47.0;2;-0.5;10.0

2c;Schläpfer Markus;**;;;;;;;;;57.5
+;;;Ott Damian;**;;;;;;;10.0
-;1;10.0;Wickli Beat;**;6;56.5;2;9.75;1;-0.25;8.75
+;3;18.75;Naef Sandro;;16;54.0;1;19.75;-2;1.0;10.0
+;2;28.75;Jörger Marc;*;4;57.0;3;28.5;1;-0.25;10.0
+;1;38.75;Kuster Marcel;***;5;56.75;2;38.5;1;-0.25;10.0
o;1;48.75;Bless Michael;***;1;58.5;2;48.5;1;-0.25;8.75

3a;Poltera Andrin;*;;;;;;;;;57.25
+;;;Leuppi Karim;*;;;;;;;9.75
-;2;9.75;Forrer Arnold;***;9;55.75;4;8.75;2;-1.0;8.75
+;4;18.5;Rhyner Beni;;24;35.5;4;18.5;0;0.0;10.0
+;3;28.5;Naef Sandro;;16;54.0;4;28.25;1;-0.25;9.75
-;3;38.25;Ott Damian;**;8;56.0;8;37.0;5;-1.25;9.0
+;5;47.25;Kammermann Thomas;*;10;55.5;7;46.75;2;-0.5;10.0

3b;Koch Reto;*;;;;;;;;;57.25
+;;;Fausch Kjetil;*;;;;;;;9.75
-;2;9.75;Krähenbühl Tobias;***;6;56.5;3;9.0;1;-0.75;9.0
+;3;18.75;Roth Peter;;14;54.5;3;18.75;0;0.0;10.0
o;2;28.75;Wickli Beat;**;6;56.5;4;28.25;2;-0.5;8.75
+;6;37.5;Brügger Stefan;*;15;54.25;7;37.25;1;-0.25;10.0
+;4;47.5;Schäppi Urs;*;11;55.25;7;46.75;3;-0.75;9.75

4a;Jörger Marc;*;;;;;;;;;57.0
+;;;Kuhn Roman;*;;;;;;;10.0
o;1;10.0;Oettli Marco;**;10;55.5;4;8.75;3;-1.25;8.5
+;4;18.5;Thoma Christoph;;10;55.5;3;18.75;-1;0.25;10.0
o;3;28.5;Schläpfer Markus;**;2;57.5;2;28.75;-1;0.25;8.5
+;8;37.0;Salnajs Leo;;13;54.75;7;37.25;-1;0.25;10.0
+;6;47.0;Keller Werner;*;9;55.75;6;47.0;0;0.0;10.0

4b;Schneider Mario;**;;;;;;;;;57.0
-;;;Geisser Lars;**;;;;;;;8.75
+;4;8.75;Rotach Lars;*;16;54.0;4;8.75;0;0.0;9.75
+;4;18.5;Wey Nicola;*;11;55.25;4;18.5;0;0.0;10.0
-;3;28.5;Zwyssig Raphael;***;5;56.75;1;29.0;-2;0.5;8.75
+;7;37.25;Schiess Daniel (2002);;16;54.0;8;37.0;1;-0.25;10.0
+;5;47.25;Landolt Reto;*;9;55.75;5;47.25;0;0.0;9.75

4c;Giger Urs;*;;;;;;;;;57.0
+;;;Aerne Christian;*;;;;;;;9.75
-;2;9.75;Oertig Dominik;**;10;55.5;3;9.0;1;-0.75;9.0
+;3;18.75;Koller Andreas;;24;35.5;4;18.5;1;-0.25;10.0
o;2;28.75;Krähenbühl Tobias;***;6;56.5;5;28.0;3;-0.75;8.5
+;7;37.25;Rütsche Stefan;*;11;55.25;8;37.0;1;-0.25;10.0
+;5;47.25;Riget Florian;*;12;55.0;8;46.5;3;-0.75;9.75

5a;Schmid Patrick;*;;;;;;;;;56.75
+;;;Kammermann Thomas;*;;;;;;;9.75
o;2;9.75;Ammann Rico;*;12;55.0;2;9.75;0;0.0;8.5
+;5;18.25;Rütsche Stefan;*;11;55.25;4;18.5;-1;0.25;10.0
+;4;28.25;Bickel Roman;*;12;55.0;4;28.25;0;0.0;10.0
o;3;38.25;Bernold Christian;**;8;56.0;6;37.5;3;-0.75;8.75
+;6;47.0;Mettler Valentin;*;10;55.5;7;46.75;1;-0.25;9.75

5b;Dändliker Shane;**;;;;;;;;;56.75
o;;;Wickli Beat;**;;;;;;;8.5
+;5;8.5;Schiess Daniel (2002);;16;54.0;1;10.0;-4;1.5;10.0
+;4;18.5;Bärtsch Fabian;*;13;54.75;3;18.75;-1;0.25;10.0
o;3;28.5;Kuster Marcel;***;5;56.75;2;28.75;-1;0.25;8.5
+;8;37.0;Thoma Luca;;10;55.5;8;37.0;0;0.0;9.75
+;7;46.75;Rüegg Fabian;*;8;56.0;4;47.5;-3;0.75;10.0

5c;Kuster Marcel;***;;;;;;;;;56.75
-;;;Forrer Arnold;***;;;;;;;8.75
+;4;8.75;Bickel Roman;*;12;55.0;2;9.75;-2;1.0;10.0
+;3;18.75;Bollhalder Manuel (2001);*;13;54.75;3;18.75;0;0.0;10.0
+;2;28.75;Dändliker Shane;**;5;56.75;3;28.5;1;-0.25;9.75
o;2;38.5;Schläpfer Markus;**;2;57.5;1;38.75;-1;0.25;8.5
+;6;47.0;Wey Nicola;*;11;55.25;7;46.75;1;-0.25;9.75

5d;Zwyssig Raphael;***;;;;;;;;;56.75
-;;;Krähenbühl Tobias;***;;;;;;;9.0
+;3;9.0;Ammann Rico;*;12;55.0;2;9.75;-1;0.75;10.0
+;2;19.0;Brügger Stefan;*;15;54.25;3;18.75;1;-0.25;10.0
-;1;29.0;Schneider Mario;**;4;57.0;3;28.5;2;-0.5;8.75
-;5;37.75;Oettli Silvio;*;7;56.25;6;37.5;1;-0.25;9.0
+;7;46.75;Fausch Kjetil;*;12;55.0;8;46.5;1;-0.25;10.0

5e;Koch Thomas;*;;;;;;;;;56.75
+;;;Koller Fabian;*;;;;;;;10.0
+;1;10.0;Bühler Hannes;*;15;54.25;4;8.75;3;-1.25;9.75
o;1;19.75;Oettli Marco;**;10;55.5;4;18.5;3;-1.25;8.75
+;3;28.5;Fausch Kjetil;*;12;55.0;4;28.25;1;-0.25;9.75
o;3;38.25;Gmür Pirmin;**;7;56.25;6;37.5;3;-0.75;8.5
+;7;46.75;Ammann Rico;*;12;55.0;8;46.5;1;-0.25;10.0

5f;Wittenwiler Roman;*;;;;;;;;;56.75
+;;;Funk Nicola;*;;;;;;;9.75
+;2;9.75;Schlegel Sandro;**;7;56.25;3;9.0;1;-0.75;10.0
-;1;19.75;Geisser Lars;**;9;55.75;3;18.75;2;-1.0;8.75
+;3;28.5;Blaser Niklas;*;16;54.0;4;28.25;1;-0.25;10.0
o;2;38.5;Schneider Domenic;***;2;57.5;6;37.5;4;-1.0;8.5
+;6;47.0;Bickel Roman;*;12;55.0;8;46.5;2;-0.5;9.75

6a;Kuster Thomas;*;;;;;;;;;56.5
+;;;Mettler Valentin;*;;;;;;;10.0
o;1;10.0;Notz Beni;***;11;55.25;4;8.75;3;-1.25;8.5
+;4;18.5;Junker Nik;;24;35.5;4;18.5;0;0.0;9.75
+;4;28.25;Aerne Christian;*;12;55.0;5;28.0;1;-0.25;10.0
o;3;38.25;Krähenbühl Tobias;***;6;56.5;5;37.75;2;-0.5;8.25
+;8;46.5;Brülisauer Dominik (2001);;12;55.0;8;46.5;0;0.0;10.0

6b;Hugelshofer Lars (2001);*;;;;;;;;;56.5
+;;;Wey Nicola;*;;;;;;;10.0
o;1;10.0;Bless Michael;***;1;58.5;5;8.5;4;-1.5;8.5
+;4;18.5;Niederer Andreas (2002);;13;54.75;4;18.5;0;0.0;9.75
o;4;28.25;Geisser Lars;**;9;55.75;7;27.5;3;-0.75;8.5
+;9;36.75;Inauen Marco;;11;55.25;9;36.75;0;0.0;9.75
