4404-2019-05-12_Zuercher_Kantonalschwingfest-ST

1a;Leuppi Samir;**;;;;;;;;;58.25
+;;;Betschart Patrick;*;;;;;;;10.0
+;1;10.0;Schneider Mario;**;5;56.75;2;9.75;1;-0.25;9.75
+;2;19.75;Oettli Marco;*;5;56.75;2;19.75;0;0.0;9.75
+;2;29.5;Rhyner Michael;**;9;55.75;1;30.0;-1;0.5;10.0
-;1;39.5;Krähenbühl Tobias;***;3;57.25;2;38.5;1;-1.0;8.75
+;2;48.25;Lanter Christian;;3;57.25;1;48.5;-1;0.25;10.0

2a;Schneider Domenic;***;;;;;;;;;57.5
-;;;Kindlimann Fabian;***;;;;;;;9.0
+;3;9.0;Wickli Beat;**;10;55.5;2;9.75;-1;0.75;10.0
+;4;19.0;Arnold Marcel;*;9;55.75;4;19.0;0;0.0;10.0
-;3;29.0;Vollenweider Jeremy;*;4;57.0;4;28.75;1;-0.25;8.75
+;5;37.75;Baumann Rico;*;6;56.5;3;38.25;-2;0.5;10.0
+;4;47.75;Pianta Christian;;6;56.5;3;48.0;-1;0.25;9.75

3a;Räbsamen Marcel;;;;;;;;;;57.25
+;;;Inauen Aurel;;;;;;;;9.75
+;2;9.75;Betschart Patrick;*;12;55.0;5;8.5;3;-1.25;9.75
-;3;19.5;Dändliker Shane;**;11;55.25;5;18.75;2;-0.75;9.0
+;5;28.5;Junker Nik;;11;55.25;6;28.25;1;-0.25;10.0
-;2;38.5;Kindlimann Fabian;***;7;56.25;6;37.5;4;-1.0;9.0
+;5;47.5;Giger Urs;*;11;55.25;8;46.75;3;-0.75;9.75

3b;Wey Nicola;*;;;;;;;;;57.25
+;;;Notz Armin;*;;;;;;;10.0
-;1;10.0;Burkhalter Stefan;***;11;55.25;4;8.75;3;-1.25;8.75
+;5;18.75;Landolt Cla;;22;35.5;6;18.5;1;-0.25;10.0
-;4;28.75;Krähenbühl Lukas;*;13;54.75;5;28.5;1;-0.25;9.0
+;5;37.75;Schudel Simon;*;7;56.25;5;37.75;0;0.0;9.75
+;5;47.5;Hugelshofer Lars (2001);*;9;55.75;7;47.0;2;-0.5;9.75

3c;Lanter Christian;;;;;;;;;;57.25
+;;;Studerus Jan (2002);;;;;;;;10.0
+;1;10.0;Heierli Pascal;*;25;34.5;5;8.5;4;-1.5;10.0
+;1;20.0;Notz Armin;*;16;54.0;6;18.5;5;-1.5;10.0
o;1;30.0;Krähenbühl Tobias;***;3;57.25;4;28.75;3;-1.25;8.5
+;2;38.5;Wickli Beat;**;10;55.5;4;38.0;2;-0.5;10.0
o;1;48.5;Leuppi Samir;**;1;58.25;2;48.25;1;-0.25;8.75

3d;Krähenbühl Tobias;***;;;;;;;;;57.25
-;;;Rychen Roger;***;;;;;;;8.75
+;4;8.75;Funk Nicola;*;6;56.5;1;10.0;-3;1.25;10.0
+;5;18.75;Schläpfer Matthias;*;14;54.5;5;18.75;0;0.0;10.0
