4405-2019-05-12_98_Urner_Kant_Schwingfest-ST

1a;Schuler Alex;***;;;;;;;;;112.0
o;;;Mathis Marcel;***;;;;;;;8.5
+;;;Briker Hannes;;;;;;;;9.75
o;2;18.25;Zimmermann Martin;**;9;56.75;4;9.75;2;-8.5;8.75
-;2;18.25;Bernet Christoph;*;26;46.75;6;8.75;4;-9.5;8.75
+;3;35.75;Betschart Marcel;*;32;35.5;9;18.5;6;-17.25;9.75
-;3;35.75;Wicki Kevin;;26;46.75;9;18.5;6;-17.25;8.75
+;2;54.25;Durrer Fabian;*;13;55.75;12;27.5;10;-26.75;9.75
+;2;54.25;Albert Stefan (2002);;30;44.5;13;27.25;11;-27.0;10.0
+;1;74.0;Gander Adrian;*;16;55.0;13;36.75;12;-37.25;9.75
o;1;74.0;Schaffner Samuel;**;27;45.75;12;37.0;11;-37.0;8.5
+;1;92.25;Zimmermann Simon;**;15;55.25;11;46.75;10;-45.5;9.75
+;1;92.25;Gisler Silvan (2002);;2;98.5;2;90.0;1;-2.25;10.0

2a;Gisler Silvan (2002);;;;;;;;;;98.5
+;;;Bieri Elias;;;;;;;;10.0
o;;;Bühlmann Daniel;;;;;;;;8.5
+;1;18.5;Heinzer Remo (2003);;32;35.5;4;9.75;3;-8.75;10.0
+;1;18.5;Mignola Michele;;37;34.25;7;8.5;6;-10.0;10.0
o;1;38.5;Gwerder Michael;**;10;56.5;10;18.25;9;-20.25;8.5
o;1;38.5;Bürgler André;*;16;55.0;13;17.5;12;-21.0;8.5
o;1;55.5;Gloggner Reto;**;10;56.5;11;27.75;10;-27.75;8.5
-;1;55.5;Auf der Maur Michael;;18;54.5;14;27.0;13;-28.5;9.0
o;2;73.0;Bühlmann Daniel;;13;55.75;11;37.25;9;-35.75;8.5
o;2;73.0;Gwerder Beni;;15;55.25;12;37.0;10;-36.0;8.5
o;2;90.0;Bürgi Tobias;;19;54.25;20;44.5;18;-45.5;8.5

3a;Rohrer Marco;**;;;;;;;;;91.0
+;;;Nietlispach Pascal;**;;;;;;;9.75
o;;;Wyrsch Gabriel (2001);;;;;;;;8.5
-;2;18.25;Bieri Marcel;**;7;57.25;6;8.75;4;-9.5;8.75
+;2;18.25;Kempf Fabian (2002);;32;35.5;7;8.5;5;-9.75;9.75
-;2;36.75;Wicki David;;13;55.75;5;19.75;3;-17.0;8.75
-;2;36.75;Murer Remo;*;37;34.25;15;17.0;13;-19.75;8.75
+;2;54.25;Steiner Severin (2001);;12;56.0;8;28.5;6;-25.75;9.75
o;2;54.25;Herger Marco (2002);;20;54.0;14;27.0;12;-27.25;8.5
+;3;72.5;Bissig Fabian;;13;55.75;11;37.25;8;-35.25;9.75
o;3;82.25;Ulrich Andreas;***;10;56.5;12;46.5;9;-35.75;8.75

4a;Reichmuth Pirmin;***;;;;;;;;;60.0
+;;;Wicki Joel;**;;;;;;;10.0
+;3;10.0;Schurtenberger Sven;***;5;58.5;3;10.0;0;0.0;10.0
