4655-2019-06-16_Solothurner_Kantonal_Schwingfest-ST

1a;Strebel Joel;**;;;;;;;;;58.5
+;;;Henzer Andreas;**;;;;;;;10.0
+;1;10.0;Scherrer Johann;**;5;57.0;1;10.0;0;0.0;10.0
+;1;20.0;Studinger Stephan;**;6;56.75;1;20.0;0;0.0;9.75
-;1;29.75;Alpiger Nick;***;2;58.25;2;29.5;1;-0.25;8.75
+;1;38.5;Hauri Urs;**;7;56.5;2;38.25;1;-0.25;10.0
+;1;48.5;Bieri Christoph;***;5;57.0;2;48.25;1;-0.25;10.0

2a;Alpiger Nick;***;;;;;;;;;58.25
+;;;Gnägi Florian;***;;;;;;;9.75
+;2;9.75;Stegmüller Klemens;*;11;55.5;2;9.75;0;0.0;10.0
+;2;19.75;Döbeli Andreas;*;3;57.5;1;20.0;-1;0.25;9.75
-;2;29.5;Strebel Joel;**;1;58.5;1;29.75;-1;0.25;8.75
+;2;38.25;Scherrer Johann;**;5;57.0;1;38.5;-1;0.25;10.0
+;2;48.25;Mangold Michael;**;8;56.25;3;47.75;1;-0.5;10.0

3a;Döbeli Andreas;*;;;;;;;;;57.5
+;;;Schmutz Adrian;*;;;;;;;10.0
+;1;10.0;Lisser Beat;*;13;55.0;2;9.75;1;-0.25;10.0
o;1;20.0;Alpiger Nick;***;2;58.25;2;19.75;1;-0.25;8.5
+;5;28.5;Lisser Daniel;*;11;55.5;5;28.5;0;0.0;10.0
-;1;38.5;Henzer Andreas;**;9;56.0;2;38.25;1;-0.25;9.0
+;4;47.5;Probst Gabriel;**;13;55.0;8;46.5;4;-1.0;10.0

3b;Stüdeli Thomas;**;;;;;;;;;57.5
-;;;Waldner Patrick;**;;;;;;;8.75
+;3;8.75;Mangold Martin;*;13;55.0;4;8.5;1;-0.25;10.0
-;4;18.75;Mangold Michael;**;8;56.25;1;20.0;-3;1.25;9.0
+;8;27.75;Reinhard Pirmin (2001);;13;55.0;6;28.25;-2;0.5;10.0
+;4;37.75;Bearda Samuel;**;11;55.5;7;37.0;3;-0.75;9.75
+;4;47.5;Voggensperger Lars (2001);*;11;55.5;6;47.0;2;-0.5;10.0

4a;Döbeli Lukas;**;;;;;;;;;57.25
+;;;Kocher Remo;**;;;;;;;10.0
-;1;10.0;Gnägi Florian;***;8;56.25;4;8.5;3;-1.5;8.75
-;4;18.75;Gerber Andrj;*;14;54.75;5;18.5;1;-0.25;9.0
+;8;27.75;Stoll Thomas;;15;54.5;4;28.75;-4;1.0;10.0
+;4;37.75;Kohler Adrian;*;13;55.0;3;38.0;-1;0.25;9.75
+;4;47.5;Lisser Beat;*;13;55.0;8;46.5;4;-1.0;9.75

5a;Scherrer Johann;**;;;;;;;;;57.0
+;;;Schwenkfelder Lukas;*;;;;;;;10.0
o;1;10.0;Strebel Joel;**;1;58.5;1;10.0;0;0.0;8.5
+;5;18.5;Müller Jan;;27;44.0;5;18.5;0;0.0;10.0
+;5;28.5;Hermann Oliver;*;7;56.5;5;28.5;0;0.0;10.0
o;1;38.5;Alpiger Nick;***;2;58.25;2;38.25;1;-0.25;8.5
+;6;47.0;Widmer David;**;11;55.5;6;47.0;0;0.0;10.0

5b;Bieri Christoph;***;;;;;;;;;57.0
+;;;Hauri Urs;**;;;;;;;9.75
+;2;9.75;Kohler Adrian;*;13;55.0;2;9.75;0;0.0;10.0
-;2;19.75;Räbmatter Patrick;***;5;57.0;2;19.75;0;0.0;8.75
+;5;28.5;Schillig Willi;**;24;45.5;11;27.0;6;-1.5;10.0
+;1;38.5;Hermann Oliver;*;7;56.5;2;38.25;1;-0.25;9.75
o;2;48.25;Strebel Joel;**;1;58.5;1;48.5;-1;0.25;8.75

5c;Räbmatter Patrick;***;;;;;;;;;57.0
+;;;Kropf Marcel;**;;;;;;;10.0
+;1;10.0;von Arx Christian;*;11;55.5;2;9.75;1;-0.25;9.75
-;2;19.75;Bieri Christoph;***;5;57.0;2;19.75;0;0.0;8.75
-;5;28.5;Mangold Michael;**;8;56.25;3;29.0;-2;0.5;8.75
+;6;37.25;Lisser Beat;*;13;55.0;3;38.0;-3;0.75;10.0
+;5;47.25;Kocher Remo;**;12;55.25;8;46.5;3;-0.75;9.75

6a;Brun Samuel;**;;;;;;;;;56.75
o;;;Bächli Michael;**;;;;;;;8.5
+;4;8.5;Huber Fabian;;24;45.5;1;10.0;-3;1.5;10.0
+;5;18.5;Von Wyl Simon;;20;53.25;6;18.25;1;-0.25;10.0
-;5;28.5;Hügli Kaj;**;9;56.0;5;28.5;0;0.0;8.75
+;6;37.25;Hasler Jimmy;*;11;55.5;7;37.0;1;-0.25;9.75
+;6;47.0;Kropf Marcel;**;10;55.75;5;47.25;-1;0.25;9.75

6b;Studinger Stephan;**;;;;;;;;;56.75
+;;;Schillig Willi;**;;;;;;;10.0
+;1;10.0;Ris Jörn;*;16;54.25;2;9.75;1;-0.25;10.0
o;1;20.0;Strebel Joel;**;1;58.5;1;20.0;0;0.0;8.5
+;5;28.5;von Arx Christian;*;11;55.5;6;28.25;1;-0.25;9.75
-;2;38.25;Gnägi Florian;***;8;56.25;5;37.5;3;-0.75;8.75
+;6;47.0;Bader Andreas;**;14;54.75;9;46.25;3;-0.75;9.75

7a;Hermann Oliver;*;;;;;;;;;56.5
+;;;Voggensperger Lars (2001);*;;;;;;;9.75
+;2;9.75;Probst Gabriel;**;13;55.0;1;10.0;-1;0.25;10.0
o;2;19.75;Scherrer Johann;**;5;57.0;5;18.5;3;-1.25;8.75
+;5;28.5;Schmutz Adrian;*;16;54.25;6;28.25;1;-0.25;9.75
o;2;38.25;Bieri Christoph;***;5;57.0;1;38.5;-1;0.25;8.5
+;7;46.75;Büttler Adrian;;12;55.25;7;46.75;0;0.0;9.75

7b;Hauri Urs;**;;;;;;;;;56.5
o;;;Bieri Christoph;***;;;;;;;8.5
+;4;8.5;Läuchli Janik;*;11;55.5;3;8.75;-1;0.25;10.0
+;5;18.5;Steger Robert;;17;54.0;5;18.5;0;0.0;10.0
+;5;28.5;Hasler Jimmy;*;11;55.5;5;28.5;0;0.0;9.75
o;2;38.25;Strebel Joel;**;1;58.5;1;38.5;-1;0.25;8.5
