4669-2019-07-28_Bruenig-Schwinget-ST

1a;Reichmuth Pirmin;***;;;;;;;;;59.0
+;;;Wenger Kilian;***;;;;;;;10.0
+;1;10.0;Roth Dominik;**;7;56.75;2;9.75;1;-0.25;10.0
+;1;20.0;von Weissenfluh Kilian;**;7;56.75;2;19.75;1;-0.25;10.0
+;1;30.0;Suppiger René;***;6;57.0;5;28.5;4;-1.5;10.0
+;1;40.0;von Ah Benji;***;10;55.75;3;38.5;2;-1.5;10.0
-;1;50.0;Wicki Joel;**;2;58.5;2;49.5;1;-0.5;9.0

2a;Wicki Joel;**;;;;;;;;;58.5
+;;;Kämpf Bernhard;***;;;;;;;10.0
+;1;10.0;Wiget Michael;**;8;56.5;2;9.75;1;-0.25;10.0
+;1;20.0;Glarner Matthias;***;15;54.5;5;18.75;4;-1.25;10.0
+;1;30.0;Scheuber Lutz;**;12;55.25;3;29.5;2;-0.5;9.75
+;2;39.75;Schuler Christian;***;6;57.0;3;38.5;1;-1.25;9.75
-;2;49.5;Reichmuth Pirmin;***;1;59.0;1;50.0;-1;0.5;9.0

3a;Aeschbacher Matthias;**;;;;;;;;;58.25
o;;;von Ah Benji;***;;;;;;;8.5
+;5;8.5;Rohrer Ivan;**;19;53.5;2;9.75;-3;1.25;10.0
+;6;18.5;Steinauer Adrian;**;16;54.25;4;19.0;-2;0.5;9.75
+;6;28.25;Schurtenberger Sven;***;4;57.75;3;29.5;-3;1.25;10.0
+;4;38.25;Burch Jonas;*;12;55.25;4;38.25;0;0.0;10.0
+;4;48.25;Gwerder Michael;**;6;57.0;3;48.5;-1;0.25;10.0

4a;Schurtenberger Sven;***;;;;;;;;;57.75
+;;;Anderegg Simon;***;;;;;;;9.75
+;2;9.75;Luginbühl Hanspeter;**;11;55.5;2;9.75;0;0.0;9.75
+;3;19.5;Burch Jonas;*;12;55.25;2;19.75;-1;0.25;10.0
o;3;29.5;Aeschbacher Matthias;**;3;58.25;6;28.25;3;-1.25;8.5
+;5;38.0;Gapany Benjamin;**;25;45.25;9;36.75;4;-1.25;9.75
+;6;47.75;Müllestein Mike;***;6;57.0;3;48.5;-3;0.75;10.0

5a;Bieri Marcel;**;;;;;;;;;57.25
-;;;Gapany Benjamin;**;;;;;;;8.75
+;4;8.75;Scheuner Michael;*;17;54.0;2;9.75;-2;1.0;9.75
-;6;18.5;Kämpf Bernhard;***;6;57.0;6;18.5;0;0.0;8.75
+;10;27.25;Rolli Martin;**;15;54.5;9;27.5;-1;0.25;10.0
+;7;37.25;Iseli Marco;**;16;54.25;8;37.0;1;-0.25;10.0
+;8;47.25;Roschi Ruedi;**;15;54.5;13;46.0;5;-1.25;10.0

5b;Mathis Marcel;***;;;;;;;;;57.25
+;;;Graber Willy;***;;;;;;;10.0
+;1;10.0;Berger Lorenz;**;26;35.5;2;9.75;1;-0.25;10.0
+;1;20.0;Aellen Florian;*;12;55.25;2;19.75;1;-0.25;9.75
-;2;29.75;Gnägi Florian;***;14;54.75;5;28.5;3;-1.25;8.75
+;3;38.5;Ambühl Joel;**;7;56.75;3;38.5;0;0.0;10.0
-;3;48.5;Roth Dominik;**;7;56.75;5;48.0;2;-0.5;8.75

6a;Suppiger René;***;;;;;;;;;57.0
-;;;Gnägi Florian;***;;;;;;;8.75
+;4;8.75;Zangger Dominik;*;19;53.5;1;10.0;-3;1.25;10.0
+;5;18.75;Schwander Severin;**;15;54.5;5;18.75;0;0.0;9.75
o;5;28.5;Reichmuth Pirmin;***;1;59.0;1;30.0;-4;1.5;8.5
+;8;37.0;Schenk Patrick;***;12;55.25;8;37.0;0;0.0;10.0
+;9;47.0;Zürcher Remo;*;12;55.25;10;46.75;1;-0.25;10.0

6b;Gloggner Philipp;***;;;;;;;;;57.0
-;;;Roschi Ruedi;**;;;;;;;8.75
+;4;8.75;Siegenthaler Tobias;*;21;53.0;1;10.0;-3;1.25;9.75
+;6;18.5;Wenger Kilian;***;8;56.5;7;18.25;1;-0.25;9.75
+;6;28.25;Matthey Mickaël;**;16;54.25;5;28.5;-1;0.25;9.75
+;5;38.0;Weyermann Florian;**;16;54.25;7;37.25;2;-0.75;10.0
-;5;48.0;Gobeli Patrick;**;8;56.5;7;47.5;2;-0.5;9.0

6c;Gwerder Michael;**;;;;;;;;;57.0
+;;;Inniger Thomas;**;;;;;;;10.0
o;1;10.0;Kämpf Bernhard;***;6;57.0;5;8.5;4;-1.5;8.5
+;6;18.5;Siegenthaler Tobias;*;21;53.0;5;18.75;-1;0.25;10.0
+;5;28.5;Duplan Steve;**;17;54.0;6;28.25;1;-0.25;10.0
+;3;38.5;Roschi Ruedi;**;15;54.5;6;37.5;3;-1.0;10.0
o;3;48.5;Aeschbacher Matthias;**;3;58.25;4;48.25;1;-0.25;8.5

6d;Schuler Christian;***;;;;;;;;;57.0
-;;;Glarner Matthias;***;;;;;;;9.0
+;3;9.0;Zürcher Remo;*;12;55.25;2;9.75;-1;0.75;10.0
+;4;19.0;Brun Jonas;**;14;54.75;5;18.75;1;-0.25;9.75
+;4;28.75;Wiget Michael;**;8;56.5;6;28.25;2;-0.5;9.75
o;3;38.5;Wicki Joel;**;2;58.5;2;39.75;-1;1.25;8.5
+;9;47.0;Gasser Dominik;*;12;55.25;10;46.75;1;-0.25;10.0

6e;Müllestein Mike;***;;;;;;;;;57.0
+;;;Zenger Niklaus;***;;;;;;;9.75
-;2;9.75;Borcard Johann;**;15;54.5;1;10.0;-1;0.25;9.0
+;5;18.75;Marti Stefan;**;14;54.75;5;18.75;0;0.0;10.0
+;4;28.75;Anderegg Simon;***;11;55.5;6;28.25;2;-0.5;9.75
+;3;38.5;Stöckli Damian;*;10;55.75;3;38.5;0;0.0;10.0
o;3;48.5;Schurtenberger Sven;***;4;57.75;6;47.75;3;-0.75;8.5

6f;Kämpf Bernhard;***;;;;;;;;;57.0
o;;;Wicki Joel;**;;;;;;;8.5
+;5;8.5;Gwerder Michael;**;6;57.0;1;10.0;-4;1.5;10.0
-;6;18.5;Bieri Marcel;**;5;57.25;6;18.5;0;0.0;8.75
+;10;27.25;Kälin Roland;**;16;54.25;9;27.5;-1;0.25;10.0
+;7;37.25;Schuler Philipp;**;18;53.75;9;36.75;2;-0.5;10.0
+;8;47.25;Hurschler Thomas;**;14;54.75;12;46.25;4;-1.0;9.75

6g;Gerber Christian;**;;;;;;;;;57.0
-;;;Gasser Stefan;**;;;;;;;8.75
+;4;8.75;Odermatt Christian;**;13;55.0;2;9.75;-2;1.0;10.0
-;5;18.75;von Ah Benji;***;10;55.75;2;19.75;-3;1.0;8.75
+;9;27.5;Herger Matthias;**;10;55.75;9;27.5;0;0.0;9.75
+;7;37.25;Hess Michael;*;11;55.5;8;37.0;1;-0.25;10.0
+;8;47.25;Borcard Johann;**;15;54.5;13;46.0;5;-1.25;9.75

7a;Ambühl Joel;**;;;;;;;;;56.75
o;;;von Weissenfluh Kilian;**;;;;;;;8.5
+;5;8.5;Kämpf Alexander;**;29;34.75;4;8.75;-1;0.25;10.0
