4985-2022-07-03_115_Innerschweizer_Schwing-_und_Aelplerfest-ST

1a;Wicki Joel;***;;;;;;;;;58.75
+;;;Strebel Joel;***;;;;;;;9.75
+;2;9.75;Gwerder Dario;**;7;56.75;1;10.0;-1;0.25;10.0
-;2;19.75;Aeschbacher Matthias;***;2;58.5;1;20.0;-1;0.25;9.0
+;4;28.75;Burch Jonas;**;9;56.25;4;28.75;0;0.0;10.0
+;4;38.75;Bucher Christian;**;6;57.0;5;38.5;1;-0.25;10.0
+;2;48.75;Nötzli Reto;***;4;57.75;1;49.0;-1;0.25;10.0

2a;Aeschbacher Matthias;***;;;;;;;;;58.5
+;;;Schuler Christian;***;;;;;;;10.0
+;1;10.0;Rohrer Ivan;**;13;55.25;1;10.0;0;0.0;10.0
-;1;20.0;Wicki Joel;***;1;58.75;2;19.75;1;-0.25;9.0
+;3;29.0;Suppiger Werner;**;3;58.0;1;29.75;-2;0.75;10.0
+;3;39.0;Lustenberger Marc;*;7;56.75;2;39.25;-1;0.25;9.75
+;2;48.75;Doppmann Urs;**;7;56.75;3;48.25;1;-0.5;9.75

3a;Suppiger Werner;**;;;;;;;;;58.0
+;;;Wyrsch Marco;**;;;;;;;9.75
+;2;9.75;Durrer Markus;*;17;54.25;2;9.75;0;0.0;10.0
+;2;19.75;Bucher Thomas;*;8;56.5;2;19.75;0;0.0;10.0
o;1;29.75;Aeschbacher Matthias;***;2;58.5;3;29.0;2;-0.75;8.5
+;6;38.25;Arnold Stefan;**;9;56.25;7;38.0;1;-0.25;9.75
+;4;48.0;Ulrich Marco;**;7;56.75;3;48.25;-1;0.25;10.0

4a;Nötzli Reto;***;;;;;;;;;57.75
+;;;Burger Matthieu;**;;;;;;;9.75
+;2;9.75;Odermatt Christian;**;7;56.75;2;9.75;0;0.0;9.75
+;3;19.5;Elmiger Andreas;*;9;56.25;3;19.5;0;0.0;10.0
+;2;29.5;Schurtenberger Sven;***;6;57.0;1;29.75;-1;0.25;9.75
+;2;39.25;Doppmann Urs;**;7;56.75;1;39.5;-1;0.25;9.75
o;1;49.0;Wicki Joel;***;1;58.75;2;48.75;1;-0.25;8.75

5a;Ettlin Stefan;**;;;;;;;;;57.25
o;;;Müller Michael;**;;;;;;;8.5
+;5;8.5;Bättig Martin;*;19;53.75;4;8.75;-1;0.25;10.0
+;6;18.5;Schmid Simon;*;13;55.25;6;18.5;0;0.0;10.0
+;5;28.5;Waser Reto;*;14;55.0;6;28.25;1;-0.25;9.75
+;6;38.25;Fankhauser Reto;**;7;56.75;6;38.25;0;0.0;10.0
-;3;48.25;Schurtenberger Sven;***;6;57.0;4;48.0;1;-0.25;9.0

5b;Müller Michael;**;;;;;;;;;57.25
+;;;Ettlin Stefan;**;;;;;;;9.75
-;2;9.75;Suter Bruno;*;12;55.5;2;9.75;0;0.0;9.0
-;5;18.75;Strebel Joel;***;14;55.0;7;18.25;2;-0.5;8.75
+;9;27.5;Hürlimann Mathias;*;11;55.75;9;27.5;0;0.0;10.0
+;9;37.5;Züger Benjamin (2004);;10;56.0;5;38.5;-4;1.0;9.75
+;7;47.25;Röthlin Pascal;*;12;55.5;9;46.75;2;-0.5;10.0

6a;Bucher Christian;**;;;;;;;;;57.0
-;;;von Ah Benji;***;;;;;;;9.0
+;3;9.0;Gerber Peter;*;16;54.5;1;10.0;-2;1.0;9.75
+;5;18.75;Wyrsch Silvio;*;38;27.0;6;18.5;1;-0.25;9.75
+;5;28.5;Wandeler Roman;*;9;56.25;3;29.0;-2;0.5;10.0
o;5;38.5;Wicki Joel;***;1;58.75;4;38.75;-1;0.25;8.5
+;8;47.0;Lüthy Ralph;;13;55.25;9;46.75;1;-0.25;10.0

6b;Murer Andy;**;;;;;;;;;57.0
-;;;Betschart Patrick;*;;;;;;;8.75
+;4;8.75;Bühlmann Daniel;*;16;54.5;5;8.5;1;-0.25;9.75
-;6;18.5;Burger Matthieu;**;8;56.5;6;18.5;0;0.0;8.75
+;10;27.25;Appert Silvan;*;17;54.25;10;27.25;0;0.0;10.0
+;10;37.25;Hürlimann Ueli;;16;54.5;9;37.5;-1;0.25;9.75
+;8;47.0;Züger Benjamin (2004);;10;56.0;7;47.25;-1;0.25;10.0

6c;Egli Damian;**;;;;;;;;;57.0
-;;;Rohrer Ueli;**;;;;;;;8.75
+;4;8.75;Inderbitzin Daniel;*;15;54.75;4;8.75;0;0.0;10.0
o;5;18.75;Hersche Martin;***;7;56.75;6;18.5;1;-0.25;8.75
+;9;27.5;Heinzer Lukas (2004);*;17;54.25;10;27.25;1;-0.25;10.0
+;9;37.5;von Wyl Kevin (2004);;17;54.25;10;37.25;1;-0.25;9.75
+;7;47.25;Suter Beat;*;12;55.5;8;47.0;1;-0.25;9.75

6d;Felder Martin;*;;;;;;;;;57.0
-;;;Hegner Ueli;*;;;;;;;8.75
+;4;8.75;Wyrsch Marco;**;17;54.25;5;8.5;1;-0.25;10.0
-;5;18.75;von Ah Benji;***;16;54.5;6;18.5;1;-0.25;8.75
+;9;27.5;Schuler Daniel;*;22;53.0;10;27.25;1;-0.25;9.75
+;10;37.25;Betschart Roger;;17;54.25;10;37.25;0;0.0;10.0
+;7;47.25;Kessler Joel;*;10;56.0;7;47.25;0;0.0;9.75

6e;Schurtenberger Sven;***;;;;;;;;;57.0
+;;;Bless Michael;***;;;;;;;9.75
+;2;9.75;Schürpf Bruno;*;25;46.25;1;10.0;-1;0.25;10.0
+;2;19.75;Zurfluh Michael;*;7;56.75;2;19.75;0;0.0;10.0
o;1;29.75;Nötzli Reto;***;4;57.75;2;29.5;1;-0.25;8.5
+;6;38.25;Gwerder Dario;**;7;56.75;6;38.25;0;0.0;9.75
-;4;48.0;Ettlin Stefan;**;5;57.25;3;48.25;-1;0.25;9.0

7a;Ulrich Marco;**;;;;;;;;;56.75
+;;;Burch Jonas;**;;;;;;;10.0
+;1;10.0;Thierstein Marco;*;14;55.0;2;9.75;1;-0.25;9.75
o;2;19.75;Lustenberger Marc;*;7;56.75;2;19.75;0;0.0;8.75
+;5;28.5;Bieri Elias;;15;54.75;7;28.0;2;-0.5;10.0
+;5;38.5;Hersche Martin;***;7;56.75;6;38.25;1;-0.25;9.75
o;3;48.25;Suppiger Werner;**;3;58.0;4;48.0;1;-0.25;8.5
o;7;56.75;Kaufmann Reto;*;9;56.25;9;56.25;2;-0.5;0.0

7b;Zurfluh Michael;*;;;;;;;;;56.75
+;;;Schmid Simon;*;;;;;;;9.75
+;2;9.75;Durrer Fabian;*;12;55.5;4;8.75;2;-1.0;10.0
o;2;19.75;Schurtenberger Sven;***;6;57.0;2;19.75;0;0.0;8.5
+;6;28.25;Amrhyn Jonas;;18;54.0;5;28.5;-1;0.25;10.0
-;6;38.25;Bieri Marcel;***;11;55.75;10;37.25;4;-1.0;8.75
+;8;47.0;Lemmenmeier Lukas;*;11;55.75;8;47.0;0;0.0;9.75

7c;Doppmann Urs;**;;;;;;;;;56.75
+;;;Kessler Joel;*;;;;;;;10.0
+;1;10.0;Suter Beat;*;12;55.5;1;10.0;0;0.0;9.75
+;2;19.75;Müllestein Mike;***;10;56.0;5;18.75;3;-1.0;10.0
+;1;29.75;Bissig Lukas;**;8;56.5;5;28.5;4;-1.25;9.75
o;1;39.5;Nötzli Reto;***;4;57.75;2;39.25;1;-0.25;8.75
o;3;48.25;Aeschbacher Matthias;***;2;58.5;2;48.75;-1;0.5;8.5

7d;Scherer Niklaus;**;;;;;;;;;56.75
+;;;Kennel Beat;**;;;;;;;10.0
o;1;10.0;Müllestein Mike;***;10;56.0;4;8.75;3;-1.25;8.5
-;6;18.5;Bernhard Lukas;**;9;56.25;6;18.5;0;0.0;8.75
+;10;27.25;Steinauer Kevin (2004);;15;54.75;7;28.0;-3;0.75;9.75
+;11;37.0;Mehr Lars;*;18;54.0;12;36.75;1;-0.25;9.75
+;9;46.75;Grab Florian;;12;55.5;9;46.75;0;0.0;10.0

7e;Hersche Martin;***;;;;;;;;;56.75
-;;;Ambühl Joel;**;;;;;;;8.75
+;4;8.75;Zemp Christian (2004);*;15;54.75;1;10.0;-3;1.25;9.75
+;6;18.5;Egli Damian;**;6;57.0;5;18.75;-1;0.25;9.75
+;6;28.25;Stöckli Stefan;***;8;56.5;4;28.75;-2;0.5;10.0
o;6;38.25;Ulrich Marco;**;7;56.75;5;38.5;-1;0.25;8.5
+;9;46.75;Waser Reto;*;14;55.0;10;46.5;1;-0.25;10.0

7f;Gwerder Dario;**;;;;;;;;;56.75
+;;;Fankhauser Reto;**;;;;;;;10.0
o;1;10.0;Wicki Joel;***;1;58.75;2;9.75;1;-0.25;8.5
+;6;18.5;Wyrsch Gabriel;;14;55.0;2;19.75;-4;1.25;9.75
+;6;28.25;Wallimann Remo;*;17;54.25;9;27.5;3;-0.75;10.0
o;6;38.25;Schurtenberger Sven;***;6;57.0;6;38.25;0;0.0;8.5
+;9;46.75;Scherrer Patrick;*;13;55.25;9;46.75;0;0.0;10.0

7g;Odermatt Christian;**;;;;;;;;;56.75
+;;;Bieri Christian;**;;;;;;;9.75
o;2;9.75;Nötzli Reto;***;4;57.75;2;9.75;0;0.0;8.5
+;7;18.25;Gwerder Beni;;24;52.5;6;18.5;-1;0.25;10.0
+;6;28.25;Stöckli Damian;*;12;55.5;9;27.5;3;-0.75;9.75
+;7;38.0;Wandeler Roman;*;9;56.25;8;37.75;1;-0.25;9.75
-;5;47.75;Lustenberger Marc;*;7;56.75;5;47.75;0;0.0;9.0

7h;Fankhauser Reto;**;;;;;;;;;56.75
