5107-2022-07-23_71_Weissenstein-Schwinget2-ST

1a;Aeschbacher Matthias;***;;;;;;;;;59.25
+;;;Strebel Joel;***;;;;;;;10.0
+;1;10.0;Leuthard Reto;**;15;54.25;1;10.0;0;0.0;9.75
+;2;19.75;Lüscher Sinisha (2006);*;17;53.75;2;19.75;0;0.0;9.75
+;2;29.5;Staudenmann Fabian;***;2;57.75;2;29.5;0;0.0;9.75
+;1;39.25;Schwander Severin;**;3;57.25;3;38.75;2;-0.5;10.0
+;1;49.25;Schneider Domenic;***;2;57.75;2;49.0;1;-0.25;10.0

2a;Schneider Domenic;***;;;;;;;;;57.75
-;;;Walther Adrian;**;;;;;;;9.0
+;3;9.0;Gobeli Patrick;**;4;57.0;1;10.0;-2;1.0;10.0
+;4;19.0;Orlik Curdin;***;4;57.0;2;19.75;-2;0.75;10.0
+;4;29.0;Wenger Kilian;***;4;57.0;5;28.75;1;-0.25;10.0
+;2;39.0;Sempach Thomas;***;2;57.75;1;39.25;-1;0.25;10.0
o;2;49.0;Aeschbacher Matthias;***;1;59.25;1;49.25;-1;0.25;8.75

2b;Sempach Thomas;***;;;;;;;;;57.75
+;;;Voggensperger Janic;**;;;;;;;9.75
+;2;9.75;Schmid Patrick;*;30;26.75;2;9.75;0;0.0;10.0
+;2;19.75;von Weissenfluh Kilian;***;3;57.25;3;19.5;1;-0.25;9.75
+;2;29.5;Odermatt Adrian;**;3;57.25;1;29.75;-1;0.25;9.75
o;1;39.25;Schneider Domenic;***;2;57.75;2;39.0;1;-0.25;8.5
+;5;47.75;Hermann Oliver;**;11;55.25;9;46.75;4;-1.0;10.0

2c;Staudenmann Fabian;***;;;;;;;;;57.75
+;;;Döbeli Andreas;***;;;;;;;10.0
+;1;10.0;Riget Florian;**;17;53.75;2;9.75;1;-0.25;9.75
+;2;19.75;Koch Reto;**;9;55.75;1;20.0;-1;0.25;9.75
o;2;29.5;Aeschbacher Matthias;***;1;59.25;2;29.5;0;0.0;8.5
+;6;38.0;Roschi Ruedi;**;8;56.0;2;39.0;-4;1.0;10.0
+;4;48.0;Gobeli Patrick;**;4;57.0;3;48.25;-1;0.25;9.75

3a;Schwander Severin;**;;;;;;;;;57.25
-;;;Burkhalter Stefan;***;;;;;;;8.75
+;4;8.75;Bühler Hannes;*;18;53.5;2;9.75;-2;1.0;10.0
+;5;18.75;Döbeli Lukas;**;4;57.0;5;18.75;0;0.0;10.0
+;5;28.75;Vieira Tiago;**;11;55.25;6;28.5;1;-0.25;10.0
o;3;38.75;Aeschbacher Matthias;***;1;59.25;1;39.25;-2;0.5;8.5
+;7;47.25;Roth Jan (2004);*;13;54.75;11;46.25;4;-1.0;10.0

3b;Odermatt Adrian;**;;;;;;;;;57.25
+;;;Notz Beni;***;;;;;;;9.75
+;2;9.75;Wenger Kilian;***;4;57.0;1;10.0;-1;0.25;10.0
+;2;19.75;Gäumann Stefan;**;7;56.25;3;19.5;1;-0.25;10.0
o;1;29.75;Sempach Thomas;***;2;57.75;2;29.5;1;-0.25;8.5
-;5;38.25;Burger Matthieu;**;4;57.0;1;39.25;-4;1.0;9.0
+;7;47.25;Zangger Dominik;*;10;55.5;8;47.0;1;-0.25;10.0

3c;Wittwer Jan;**;;;;;;;;;57.25
+;;;Nägeli Marco;**;;;;;;;10.0
o;1;10.0;Lüscher Sinisha (2006);*;17;53.75;1;10.0;0;0.0;8.5
+;6;18.5;Räbmatter Patrick;***;14;54.5;9;17.25;3;-1.25;9.75
-;7;28.25;Koch Reto;**;9;55.75;6;28.5;-1;0.25;9.0
+;9;37.25;Leuthard Reto;**;15;54.25;9;37.25;0;0.0;10.0
+;7;47.25;Roth Tim (2004);*;12;55.0;10;46.5;3;-0.75;10.0

3d;von Weissenfluh Kilian;***;;;;;;;;;57.25
+;;;Zwyssig Raphael;***;;;;;;;9.75
+;2;9.75;Hugelshofer Lars;*;19;53.25;1;10.0;-1;0.25;9.75
o;3;19.5;Sempach Thomas;***;2;57.75;2;19.75;-1;0.25;8.5
+;8;28.0;Zaugg Lars;**;5;56.75;6;28.5;-2;0.5;9.75
+;7;37.75;Roth Philipp;***;10;55.5;9;37.25;2;-0.5;9.75
+;6;47.5;Schmid Dominik;**;13;54.75;11;46.25;5;-1.25;9.75

4a;Wenger Kilian;***;;;;;;;;;57.0
+;;;Voggensperger Lars;**;;;;;;;10.0
o;1;10.0;Odermatt Adrian;**;3;57.25;2;9.75;1;-0.25;8.75
+;5;18.75;Burkhalter Stefan;***;15;54.25;5;18.75;0;0.0;10.0
o;5;28.75;Schneider Domenic;***;2;57.75;4;29.0;-1;0.25;8.5
+;9;37.25;Joho Philip;*;16;54.0;11;36.75;2;-0.5;9.75
+;8;47.0;Zwyssig Raphael;***;12;55.0;10;46.5;2;-0.5;10.0

4b;Gobeli Patrick;**;;;;;;;;;57.0
+;;;Fejzaj Naim;**;;;;;;;10.0
o;1;10.0;Schneider Domenic;***;2;57.75;3;9.0;2;-1.0;8.5
+;6;18.5;Brun Samuel;**;15;54.25;6;18.5;0;0.0;10.0
+;6;28.5;Lüscher Sinisha (2006);*;17;53.75;7;28.25;1;-0.25;10.0
+;4;38.5;Walther Adrian;**;10;55.5;6;38.0;2;-0.5;9.75
o;3;48.25;Staudenmann Fabian;***;2;57.75;4;48.0;1;-0.25;8.75

4c;Döbeli Lukas;**;;;;;;;;;57.0
-;;;Lüthi David;*;;;;;;;8.75
+;4;8.75;Oettli Marco;**;16;54.0;4;8.75;0;0.0;10.0
o;5;18.75;Schwander Severin;**;3;57.25;5;18.75;0;0.0;8.5
+;10;27.25;Wittwer Josias;**;15;54.25;10;27.25;0;0.0;10.0
+;9;37.25;Burkhalter Stefan;***;15;54.25;9;37.25;0;0.0;9.75
+;8;47.0;Roschi Ruedi;**;8;56.0;6;47.5;-2;0.5;10.0

4d;Orlik Curdin;***;;;;;;;;;57.0
+;;;Roth Martin;***;;;;;;;9.75
+;2;9.75;Brun Samuel;**;15;54.25;1;10.0;-1;0.25;10.0
o;2;19.75;Schneider Domenic;***;2;57.75;4;19.0;2;-0.75;8.5
+;7;28.25;Erb Roger;**;9;55.75;5;28.75;-2;0.5;9.75
+;6;38.0;Roth Jan (2004);*;13;54.75;7;37.75;1;-0.25;10.0
-;4;48.0;Burger Matthieu;**;4;57.0;3;48.25;-1;0.25;9.0

4e;Burger Matthieu;**;;;;;;;;;57.0
+;;;Hermann Oliver;**;;;;;;;9.75
+;2;9.75;Odermatt Gian Maria (2004);**;19;53.25;1;10.0;-1;0.25;9.75
+;3;19.5;Roth Martin;***;5;56.75;7;18.25;4;-1.25;9.75
+;3;29.25;Döbeli Andreas;***;23;37.25;6;28.5;3;-0.75;10.0
-;1;39.25;Odermatt Adrian;**;3;57.25;5;38.25;4;-1.0;9.0
-;3;48.25;Orlik Curdin;***;4;57.0;4;48.0;1;-0.25;8.75

5a;Roth Martin;***;;;;;;;;;56.75
o;;;Orlik Curdin;***;;;;;;;8.5
