5141-2022-05-29_107_St_Galler_Kantonalschwingfest-ST

1a;Koller Silvan;*;;;;;;;;;108.75
o;;;Lüthi Manuel;*;;;;;;;8.5
+;;;Graf Dominik (2005);;;;;;;;10.0
-;1;18.5;Schönenberger Tobias (2004);;7;57.0;2;10.0;1;-8.5;8.75
o;1;18.5;Burkhalter Thomas;*;16;54.75;4;9.0;3;-9.5;8.5
-;1;35.75;Schiess Christian;;23;53.0;7;18.5;6;-17.25;9.0
o;1;35.75;Thiemann Fabrice;;12;55.75;7;18.5;6;-17.25;8.5
+;1;53.25;Kaiser David (2006);;28;35.25;12;26.75;11;-26.5;10.0
+;1;53.25;Keller Dominic;;27;35.5;11;27.0;10;-26.25;10.0
-;1;73.25;Hobi Ignaz;*;17;54.5;16;35.75;15;-37.5;8.75
o;1;73.25;Brülisauer Dominik;;13;55.5;11;37.0;10;-36.25;8.5
+;1;90.5;Höpli Remo;;20;53.75;16;45.25;15;-45.25;9.75
o;1;90.5;Flütsch Marco;;14;55.25;16;45.25;15;-45.25;8.5

2a;Schlegel Werner;**;;;;;;;;;58.5
+;;;Schneider Domenic;***;;;;;;;9.75
+;3;9.75;Oettli Silvio;**;9;56.5;3;9.75;0;0.0;10.0
+;3;19.75;Schläpfer Markus;**;8;56.75;4;19.5;1;-0.25;10.0
+;2;29.75;Oettli Marco;**;9;56.5;6;28.5;4;-1.25;10.0
+;2;39.75;Schmid Dominik;**;7;57.0;5;38.5;3;-1.25;9.75
-;2;49.5;Leuppi Samir;***;3;58.25;3;49.25;1;-0.25;9.0

3a;Ott Damian;**;;;;;;;;;58.25
o;;;Leuppi Samir;***;;;;;;;8.5
+;6;8.5;Koller Fabian;*;13;55.5;2;10.0;-4;1.5;10.0
+;7;18.5;Koch Reto;*;4;57.75;3;19.75;-4;1.25;9.75
+;7;28.25;Lehmann Philipp;*;9;56.5;4;29.0;-3;0.75;10.0
+;6;38.25;Raschle Urban;;12;55.75;4;38.75;-2;0.5;10.0
+;4;48.25;Voggensperger Janic;**;10;56.25;6;47.75;2;-0.5;10.0

3b;Leuppi Samir;***;;;;;;;;;58.25
+;;;Ott Damian;**;;;;;;;9.75
+;3;9.75;Rotach Lars;*;6;57.25;3;9.75;0;0.0;9.75
+;4;19.5;Forrer Arnold;***;9;56.5;4;19.5;0;0.0;10.0
+;3;29.5;Wittenwiler Roman;*;10;56.25;5;28.75;2;-0.75;10.0
+;3;39.5;Gmür Pirmin;**;8;56.75;5;38.5;2;-1.0;9.75
-;3;49.25;Schlegel Werner;**;2;58.5;2;49.5;-1;0.25;9.0

4a;Koch Reto;*;;;;;;;;;57.75
+;;;Wey Nicola;*;;;;;;;9.75
+;3;9.75;Roth Michael;;14;55.25;3;9.75;0;0.0;10.0
o;3;19.75;Ott Damian;**;3;58.25;7;18.5;4;-1.25;8.75
+;6;28.5;Mannhart Jan;;8;56.75;2;29.75;-4;1.25;9.75
+;6;38.25;Bollhalder Manuel;*;7;57.0;6;38.25;0;0.0;9.75
+;5;48.0;Geisser Lars;**;10;56.25;6;47.75;1;-0.25;9.75

5a;Good Marco;**;;;;;;;;;57.5
-;;;Schmid Dominik;**;;;;;;;8.75
+;5;8.75;Schwyn Patrick;;13;55.5;2;10.0;-3;1.25;9.75
-;7;18.5;Keller Manuel;*;11;56.0;7;18.5;0;0.0;9.0
+;9;27.5;Flütsch Marco;;14;55.25;11;27.0;2;-0.5;10.0
+;9;37.5;Schmid Patrick;*;8;56.75;6;38.25;-3;0.75;10.0
+;7;47.5;Koller Fabian;*;13;55.5;9;47.0;2;-0.5;10.0

6a;Lenherr Cédric;*;;;;;;;;;57.25
o;;;Winzeler Simon;*;;;;;;;8.5
+;6;8.5;Meier Adrian (2005);;28;35.25;6;8.5;0;0.0;10.0
+;7;18.5;Signer Sandro (2006);;25;52.5;7;18.5;0;0.0;10.0
+;6;28.5;Bürgler Patrick;*;14;55.25;7;28.25;1;-0.25;10.0
o;5;38.5;Schnurrenberger Roman;**;12;55.75;10;37.25;5;-1.25;8.75
+;8;47.25;Bachmann Janos (2004);;14;55.25;10;46.75;2;-0.5;10.0

6b;Baumann Rico;*;;;;;;;;;57.25
o;;;Schmid Patrick;*;;;;;;;8.75
+;5;8.75;Ochsner Reto;;21;53.5;2;10.0;-3;1.25;10.0
+;6;18.75;Roth Martin;***;10;56.25;10;17.5;4;-1.25;10.0
+;5;28.75;Niederberger Marc Ursin;;17;54.5;6;28.5;1;-0.25;10.0
o;4;38.75;Voggensperger Janic;**;10;56.25;7;38.0;3;-0.75;8.5
+;8;47.25;Brülisauer Dominik;;13;55.5;9;47.0;1;-0.25;10.0

6c;Räbsamen Marcel;**;;;;;;;;;57.25
-;;;Burkhalter Stefan;***;;;;;;;8.75
+;5;8.75;Bürgler Patrick;*;14;55.25;2;10.0;-3;1.25;10.0
