5192-2021-06-27_Glarner-Buendner_Kantonalschwingfest-ST

1a;Schneider Domenic;***;;;;;;;;;58.25
-;;;Leuppi Samir;***;;;;;;;8.75
+;4;8.75;Riget Florian;*;6;56.5;1;10.0;-3;1.25;9.75
+;5;18.5;Koch Thomas;*;11;55.25;5;18.5;0;0.0;9.75
+;5;28.25;Schläpfer Matthias;*;17;53.75;5;28.25;0;0.0;10.0
+;2;38.25;Herger Matthias;**;6;56.5;2;38.25;0;0.0;10.0
+;1;48.25;Rychen Roger;***;4;57.0;1;48.25;0;0.0;10.0

2a;Bless Michael;***;;;;;;;;;57.5
+;;;Krähenbühl Tobias;***;;;;;;;10.0
-;1;10.0;Imhof Andi;***;5;56.75;2;9.75;1;-0.25;8.75
-;4;18.75;Dändliker Shane;**;4;57.0;1;19.75;-3;1.0;9.0
+;7;27.75;Riget Florian;*;6;56.5;4;28.5;-3;0.75;10.0
+;4;37.75;Räbsamen Marcel;*;8;56.0;1;38.5;-3;0.75;9.75
+;3;47.5;Steiner Michael;**;8;56.0;3;47.5;0;0.0;10.0

2b;Biäsch Christian;*;;;;;;;;;57.5
-;;;Bollhalder Manuel;*;;;;;;;9.0
+;3;9.0;Kurmann Patrick (2003);;14;54.5;1;10.0;-2;1.0;10.0
-;3;19.0;Rotach Lars;*;15;54.25;6;18.25;3;-0.75;8.75
+;7;27.75;Lusti Remo;;17;53.75;6;28.0;-1;0.25;10.0
+;4;37.75;Odermatt Gian Maria (2004);*;11;55.25;2;38.25;-2;0.5;10.0
+;2;47.75;Koch Reto;*;8;56.0;4;47.25;2;-0.5;9.75

2c;Leuppi Samir;***;;;;;;;;;57.5
-;;;Schneider Domenic;***;;;;;;;8.75
+;4;8.75;Koch Reto;*;8;56.0;1;10.0;-3;1.25;10.0
-;4;18.75;Riget Tobias;**;8;56.0;2;19.5;-2;0.75;8.75
+;8;27.5;Oettli Marco;**;8;56.0;8;27.5;0;0.0;10.0
+;5;37.5;Huber Alex;*;9;55.75;5;37.5;0;0.0;10.0
+;3;47.5;Geisser Lars;**;9;55.75;4;47.25;1;-0.25;10.0

3a;Funk Nicola;*;;;;;;;;;57.25
-;;;Jörger Marc;*;;;;;;;8.75
+;4;8.75;Lenherr Cédric (2003);;16;54.0;1;10.0;-3;1.25;10.0
+;4;18.75;Niederer Andreas;;14;54.5;5;18.5;1;-0.25;10.0
