5194-2022-06-06_Glarner-Buendner_Kantonalschwingfest-ST

1a;Orlik Armon;***;;;;;;;;;58.75
+;;;Ott Damian;**;;;;;;;10.0
+;1;10.0;Kolb This;**;9;55.75;2;9.75;1;-0.25;10.0
+;1;20.0;Walther Adrian;**;4;57.0;1;20.0;0;0.0;9.75
-;1;29.75;Leuppi Samir;***;6;56.5;4;28.75;3;-1.0;9.0
+;1;38.75;Schlegel Reto;*;4;57.0;2;38.5;1;-0.25;10.0
+;1;48.75;Schlegel Werner;**;4;57.0;2;48.25;1;-0.5;10.0

2a;Nötzli Reto;***;;;;;;;;;57.75
-;;;Schneider Domenic;***;;;;;;;8.75
+;4;8.75;Lüthi Manuel;*;10;55.5;1;10.0;-3;1.25;10.0
-;5;18.75;Geisser Lars;**;9;55.75;5;18.75;0;0.0;9.0
+;8;27.75;Bernold Edi;**;11;55.25;6;28.25;-2;0.5;10.0
+;5;37.75;Wild Thomas;*;10;55.5;2;38.5;-3;0.75;10.0
+;3;47.75;Leuppi Samir;***;6;56.5;3;47.75;0;0.0;10.0

3a;Oettli Marco;**;;;;;;;;;57.25
-;;;Geisser Lars;**;;;;;;;8.75
+;4;8.75;Jörger Corsin;*;9;55.75;1;10.0;-3;1.25;10.0
o;5;18.75;Schlegel Werner;**;4;57.0;6;18.5;1;-0.25;8.5
+;10;27.25;Laager Michael;;11;55.25;5;28.5;-5;1.25;10.0
+;7;37.25;Elmer Daniel;*;9;55.75;7;37.25;0;0.0;10.0
+;5;47.25;Ziegler Andreas;;8;56.0;4;47.5;-1;0.25;10.0

3b;Pianta Christian;*;;;;;;;;;57.25
+;;;Schudel Simon;*;;;;;;;10.0
o;1;10.0;Forrer Arnold;***;4;57.0;4;8.75;3;-1.25;8.5
+;6;18.5;Roth Sämi;;11;55.25;5;18.75;-1;0.25;10.0
-;5;28.5;Burch Dean;*;5;56.75;6;28.25;1;-0.25;8.75
+;7;37.25;Kundert Elias (2005);;6;56.5;4;38.0;-3;0.75;10.0
+;5;47.25;Müller Josias (2006);;10;55.5;6;47.0;1;-0.25;10.0

3c;Schneider Domenic;***;;;;;;;;;57.25
-;;;Nötzli Reto;***;;;;;;;8.75
+;4;8.75;Fausch Kjetil;*;5;56.75;2;9.75;-2;1.0;10.0
+;5;18.75;Huber Alex;*;8;56.0;5;18.75;0;0.0;10.0
+;4;28.75;Ott Damian;**;5;56.75;5;28.5;1;-0.25;9.75
-;2;38.5;Forrer Arnold;***;4;57.0;2;38.5;0;0.0;8.75
+;5;47.25;Bernold Edi;**;11;55.25;7;46.75;2;-0.5;10.0

3d;Rychen Roger;***;;;;;;;;;57.25
-;;;Leuppi Samir;***;;;;;;;8.75
+;4;8.75;Schlegel Reto;*;4;57.0;1;10.0;-3;1.25;10.0
+;5;18.75;Hochholdinger Roman;**;5;56.75;2;19.75;-3;1.0;10.0
o;4;28.75;Forrer Arnold;***;4;57.0;5;28.5;1;-0.25;8.5
+;7;37.25;Mannhart Jan;*;9;55.75;2;38.5;-5;1.25;10.0
+;5;47.25;Geisser Lars;**;9;55.75;5;47.25;0;0.0;10.0

4a;Forrer Arnold;***;;;;;;;;;57.0
-;;;Schneider Mario;**;;;;;;;8.75
+;4;8.75;Pianta Christian;*;3;57.25;1;10.0;-3;1.25;10.0
+;5;18.75;Hugelshofer Lars;*;14;54.5;5;18.75;0;0.0;9.75
+;5;28.5;Rychen Roger;***;3;57.25;4;28.75;-1;0.25;10.0
-;2;38.5;Schneider Domenic;***;3;57.25;2;38.5;0;0.0;8.75
+;5;47.25;Odermatt Gian Maria (2004);*;8;56.0;4;47.5;-1;0.25;9.75

4b;Schneider Mario;**;;;;;;;;;57.0
-;;;Forrer Arnold;***;;;;;;;8.75
+;4;8.75;Burch Dean;*;5;56.75;2;9.75;-2;1.0;10.0
+;5;18.75;Bärtsch Fabian;*;9;55.75;5;18.75;0;0.0;9.75
-;5;28.5;Walther Adrian;**;4;57.0;5;28.5;0;0.0;8.75
+;7;37.25;Lüthi Manuel;*;10;55.5;7;37.25;0;0.0;9.75
+;6;47.0;Flück Bruno;;9;55.75;5;47.25;-1;0.25;10.0

4c;Walther Adrian;**;;;;;;;;;57.0
+;;;Schlegel Werner;**;;;;;;;10.0
+;1;10.0;Schnurrenberger Roman;**;10;55.5;2;9.75;1;-0.25;10.0
o;1;20.0;Orlik Armon;***;1;58.75;1;20.0;0;0.0;8.5
-;5;28.5;Schneider Mario;**;4;57.0;5;28.5;0;0.0;8.75
+;7;37.25;Kobler Janosch;*;8;56.0;2;38.5;-5;1.25;10.0
+;5;47.25;Bollhalder Manuel;*;10;55.5;6;47.0;1;-0.25;9.75

4d;Schiesser Patrik;*;;;;;;;;;57.0
+;;;Koller Silvan;*;;;;;;;10.0
o;1;10.0;Good Marco;**;9;55.75;5;8.5;4;-1.5;8.5
+;6;18.5;Lüönd Remo;;20;52.75;5;18.75;-1;0.25;10.0
o;5;28.5;Wild Thomas;*;10;55.5;5;28.5;0;0.0;8.5
+;8;37.0;Rüegger Remo;;16;54.0;8;37.0;0;0.0;10.0
+;6;47.0;Roth Sämi;;11;55.25;7;46.75;1;-0.25;10.0

4e;Biäsch Christian;*;;;;;;;;;57.0
-;;;Huber Alex;*;;;;;;;9.0
+;3;9.0;Widmer Fadri (2005);;15;54.25;1;10.0;-2;1.0;9.75
+;5;18.75;Ziegler Andreas;;8;56.0;3;19.5;-2;0.75;9.75
o;5;28.5;Schlegel Werner;**;4;57.0;5;28.5;0;0.0;8.5
+;8;37.0;Bucher Roman;;10;55.5;8;37.0;0;0.0;10.0
+;6;47.0;Wild Thomas;*;10;55.5;6;47.0;0;0.0;10.0

4f;Schlegel Reto;*;;;;;;;;;57.0
+;;;Brügger Stefan;*;;;;;;;10.0
o;1;10.0;Rychen Roger;***;3;57.25;4;8.75;3;-1.25;8.5
+;6;18.5;Imhof Gregor;;16;54.0;2;19.75;-4;1.25;10.0
+;5;28.5;Flütsch Marco;;11;55.25;5;28.5;0;0.0;10.0
o;2;38.5;Orlik Armon;***;1;58.75;1;38.75;-1;0.25;8.5
+;6;47.0;Rhyner Beni;;11;55.25;7;46.75;1;-0.25;10.0

4g;Gmür Pirmin;**;;;;;;;;;57.0
+;;;Arztmann Beda;**;;;;;;;9.75
o;2;9.75;Leuppi Samir;***;6;56.5;4;8.75;2;-1.0;8.5
+;7;18.25;Blaser Niklas;*;15;54.25;6;18.5;-1;0.25;10.0
+;6;28.25;Kundert Elias (2005);;6;56.5;2;29.5;-4;1.25;10.0
-;3;38.25;Hochholdinger Roman;**;5;56.75;3;38.25;0;0.0;8.75
+;6;47.0;Laager Michael;;11;55.25;7;46.75;1;-0.25;10.0

4h;Schlegel Werner;**;;;;;;;;;57.0
o;;;Walther Adrian;**;;;;;;;8.5
