5234-2021-09-19_Fete_Cantonale_Vaudoise-ST

1a;Sempach Thomas;***;;;;;;;;;58.5
+;;;Kramer Dorian;**;;;;;;;9.75
-;2;9.75;Borcard Johann;**;3;57.5;2;9.75;0;0.0;9.0
+;3;18.75;Hofer Sven;**;4;57.0;3;18.75;0;0.0;9.75
+;3;28.5;Piemontesi Pascal;**;5;56.75;3;28.5;0;0.0;10.0
+;2;38.5;Baeriswyl Christoph;**;6;56.5;3;38.25;1;-0.25;10.0
+;2;48.5;Roschi Ruedi;**;2;58.0;1;49.25;-1;0.75;10.0

2a;Roschi Ruedi;**;;;;;;;;;58.0
+;;;Haenni Stéphane;**;;;;;;;9.75
+;2;9.75;Ambresin Cyril;**;12;55.0;1;10.0;-1;0.25;10.0
+;1;19.75;Baeriswyl Christoph;**;6;56.5;1;19.75;0;0.0;10.0
+;1;29.75;Collaud Romain;**;4;57.0;2;28.75;1;-1.0;9.75
+;1;39.5;Balimann Sandro;*;5;56.75;1;39.5;0;0.0;9.75
o;1;49.25;Sempach Thomas;***;1;58.5;2;48.5;1;-0.75;8.75

3a;Borcard Johann;**;;;;;;;;;57.5
+;;;Hayoz Quentin;*;;;;;;;9.75
-;2;9.75;Sempach Thomas;***;1;58.5;2;9.75;0;0.0;9.0
+;3;18.75;Mamadou Lamine Gnabaly;;11;55.25;4;18.5;1;-0.25;10.0
-;2;28.75;Gerber Ueli;*;10;55.5;3;28.5;1;-0.25;9.0
+;5;37.75;Schläfli Hugo;;5;56.75;2;38.5;-3;0.75;9.75
+;5;47.5;Dufey Gil;*;11;55.25;8;46.75;3;-0.75;10.0

3b;Mollet Ivan;**;;;;;;;;;57.5
+;;;Sturny Nicolas;**;;;;;;;9.75
o;2;9.75;Wieland Janis;*;6;56.5;2;9.75;0;0.0;8.5
+;5;18.25;Vallotton Jason;;18;53.5;4;18.5;-1;0.25;10.0
+;4;28.25;Pürro David;;10;55.5;3;28.5;-1;0.25;9.75
+;4;38.0;Gerber Ueli;*;10;55.5;7;37.25;3;-0.75;9.75
