5235-2021-08-22_Fete_Cantonale_Fribourgeoise-ST

1a;Schuler Christian;***;;;;;;;;;58.75
-;;;Kramer Lario;***;;;;;;;8.75
+;5;8.75;Dubey Gaël;*;15;54.25;1;10.0;-4;1.25;10.0
+;4;18.75;Borcard Johann;**;6;56.5;3;19.5;-1;0.75;10.0
+;3;28.75;Derron Cédric;*;5;56.75;1;30.0;-2;1.25;10.0
+;2;38.75;Wieland Janis;*;8;56.0;3;38.5;1;-0.25;10.0
+;2;48.75;Gapany Benjamin;***;2;58.0;1;49.25;-1;0.5;10.0

1b;Collaud Romain;**;;;;;;;;;58.75
-;;;Gottofrey Marc;**;;;;;;;8.75
+;5;8.75;Mosimann Vincent;*;13;54.75;2;9.75;-3;1.0;10.0
+;4;18.75;Neyroud Geoffrey;;15;54.25;5;18.5;1;-0.25;10.0
+;3;28.75;Balimann Fabian;;12;55.0;5;28.25;2;-0.5;10.0
+;2;38.75;Steinauer Adrian;**;6;56.5;5;38.0;3;-0.75;10.0
+;2;48.75;Piemontesi Pascal;**;9;55.75;6;47.25;4;-1.5;10.0

2a;Gapany Benjamin;***;;;;;;;;;58.0
+;;;Steinauer Adrian;**;;;;;;;10.0
+;1;10.0;Kälin Roland;**;7;56.25;3;9.5;2;-0.5;10.0
+;1;20.0;Loup Grégoire;;10;55.5;1;20.0;0;0.0;9.75
+;2;29.75;Mollet Ivan;**;9;55.75;4;28.5;2;-1.25;9.75
+;1;39.5;Balimann Sandro;*;10;55.5;3;38.5;2;-1.0;9.75
o;1;49.25;Schuler Christian;***;1;58.75;2;48.75;1;-0.5;8.75

3a;Kramer Lario;***;;;;;;;;;57.25
-;;;Schuler Christian;***;;;;;;;8.75
+;5;8.75;Hayoz Quentin;*;6;56.5;2;9.75;-3;1.0;10.0
+;4;18.75;Pürro David;;11;55.25;3;19.5;-1;0.75;10.0
+;3;28.75;Matthey Mickaël;**;9;55.75;3;28.75;0;0.0;9.75
-;3;38.5;Piemontesi Pascal;**;9;55.75;3;38.5;0;0.0;8.75
+;6;47.25;Ambresin Cyril;**;11;55.25;8;46.75;2;-0.5;10.0

4a;Dorsaz Théo;;;;;;;;;;57.0
-;;;Zbinden Lukas (2003);;;;;;;;8.75
+;5;8.75;Rey Arnaud (2003);;17;53.75;6;8.5;1;-0.25;9.75
-;5;18.5;Loup Alexandre;*;15;54.25;10;17.0;5;-1.5;8.75
+;9;27.25;Beaud Eric;;21;52.5;10;27.0;1;-0.25;9.75
+;9;37.0;Cotting Florian;*;17;53.75;10;36.75;1;-0.25;10.0
+;7;47.0;Loup Grégoire;;10;55.5;7;47.0;0;0.0;10.0

4b;Colò Kilian;**;;;;;;;;;57.0
