5266-2022-06-12_Buendner-Glarner_Kantonalschwingfest-ST

1a;Schmid Dominik;**;;;;;;;;;109.5
-;;;Gmür Pirmin;**;;;;;;;8.75
+;;;Keller Cedric;;;;;;;;10.0
+;1;18.75;Rüger Damian;;18;53.75;2;10.0;1;-8.75;10.0
o;1;18.75;Ulmann Fabian;*;12;55.25;6;8.5;5;-10.25;8.5
o;1;37.25;Räbsamen Marcel;**;5;57.0;6;18.75;5;-18.5;8.5
o;1;37.25;Dobler Martin;;17;54.0;7;18.5;6;-18.75;8.5
+;1;54.25;Nock Benjamin;*;18;53.75;9;27.75;8;-26.5;10.0
o;1;54.25;Manser Adrian;;12;55.25;12;27.0;11;-27.25;8.5
+;1;72.75;Odermatt Michi;;16;54.25;8;37.25;7;-35.5;10.0
o;1;72.75;Büchler Livio;;15;54.5;14;35.75;13;-37.0;8.5
o;1;91.25;Odermatt Andreas;**;7;56.5;8;46.75;7;-44.5;8.5
+;1;91.25;Walser Aaron (2006);;23;52.5;19;44.0;18;-47.25;9.75

2a;Giger Samuel;***;;;;;;;;;58.5
-;;;Orlik Armon;***;;;;;;;8.75
+;5;8.75;Landolt Reto;*;15;54.5;2;10.0;-3;1.25;10.0
+;6;18.75;Dändliker Shane;**;6;56.75;3;19.75;-3;1.0;10.0
+;5;28.75;Good Marco;**;4;57.25;2;30.0;-3;1.25;10.0
+;2;38.75;Orlik Curdin;***;6;56.75;3;38.5;1;-0.25;9.75
+;2;48.5;Orlik Armon;***;5;57.0;3;48.25;1;-0.25;10.0

3a;Dumelin David;**;;;;;;;;;57.5
+;;;Baumgartner Ramon;**;;;;;;;9.75
+;3;9.75;Rychen Roger;***;12;55.25;2;10.0;-1;0.25;9.75
o;4;19.5;Orlik Armon;***;5;57.0;7;18.5;3;-1.0;8.5
+;8;28.0;Castelli Fabio;*;24;37.0;6;28.5;-2;0.5;10.0
+;5;38.0;Bless Michael;***;7;56.5;5;38.0;0;0.0;9.75
+;5;47.75;Koch Thomas;*;7;56.5;4;48.0;-1;0.25;9.75

4a;Good Marco;**;;;;;;;;;57.25
+;;;Fejzaj Naim;**;;;;;;;10.0
+;2;10.0;Bless Michael;***;7;56.5;3;9.75;1;-0.25;10.0
+;2;20.0;Jörger Corsin;*;13;55.0;4;19.5;2;-0.5;10.0
o;2;30.0;Giger Samuel;***;2;58.5;5;28.75;3;-1.25;8.5
+;3;38.5;Rychen Roger;***;12;55.25;5;38.0;2;-0.5;9.75
-;3;48.25;Dändliker Shane;**;6;56.75;5;47.75;2;-0.5;9.0

4b;Koch Reto;*;;;;;;;;;57.25
+;;;Fausch Kjetil;*;;;;;;;9.75
+;3;9.75;Dobler Martin;;17;54.0;2;10.0;-1;0.25;9.75
+;4;19.5;Lanter Christian;*;9;56.0;6;18.75;2;-0.75;9.75
o;4;29.25;Orlik Curdin;***;6;56.75;6;28.5;2;-0.75;8.5
+;6;37.75;Hobi Ignaz;*;10;55.75;8;37.25;2;-0.5;9.75
+;6;47.5;Riget Florian;**;11;55.5;7;47.0;1;-0.5;9.75

5a;Lehmann Philipp;*;;;;;;;;;57.0
+;;;Ulmann Fabian;*;;;;;;;9.75
o;3;9.75;Orlik Curdin;***;6;56.75;6;8.5;3;-1.25;8.75
+;7;18.5;Inauen Aurel;;12;55.25;6;18.75;-1;0.25;10.0
o;6;28.5;Räbsamen Marcel;**;5;57.0;5;28.75;-1;0.25;8.75
+;8;37.25;Stadelmann Patrick;;13;55.0;5;38.0;-3;0.75;9.75
+;7;47.0;Kiser Aron;;11;55.5;7;47.0;0;0.0;10.0

5b;Orlik Armon;***;;;;;;;;;57.0
-;;;Giger Samuel;***;;;;;;;8.75
+;5;8.75;Lüthi Manuel;*;9;56.0;2;10.0;-3;1.25;9.75
+;7;18.5;Dumelin David;**;3;57.5;4;19.5;-3;1.0;10.0
+;6;28.5;Koch Thomas;*;7;56.5;3;29.75;-3;1.25;10.0
+;3;38.5;Räbsamen Marcel;**;5;57.0;3;38.5;0;0.0;9.75
o;3;48.25;Giger Samuel;***;2;58.5;2;48.5;-1;0.25;8.75

5c;Räbsamen Marcel;**;;;;;;;;;57.0
-;;;Odermatt Christian;**;;;;;;;8.75
+;5;8.75;Castelli Fabio;*;24;37.0;2;10.0;-3;1.25;10.0
+;6;18.75;Schmid Dominik;**;1;109.5;1;37.25;-5;18.5;10.0
+;5;28.75;Lehmann Philipp;*;5;57.0;6;28.5;1;-0.25;9.75
o;3;38.5;Orlik Armon;***;5;57.0;3;38.5;0;0.0;8.5
+;7;47.0;Fejzaj Naim;**;12;55.25;8;46.75;1;-0.25;10.0

6a;Buchmann Michael;;;;;;;;;;56.75
+;;;Bleiker Daniel;;;;;;;;10.0
o;2;10.0;Brügger Stefan;*;10;55.75;5;8.75;3;-1.25;8.5
o;7;18.5;Widmer Thomas;;15;54.5;7;18.5;0;0.0;8.5
+;12;27.0;Bernhard Thomas;;18;53.75;12;27.0;0;0.0;9.75
+;10;36.75;Horner Sämi;;17;54.0;10;36.75;0;0.0;10.0
+;8;46.75;Jörger Corsin;*;13;55.0;10;46.25;2;-0.5;10.0

6b;Jörger Marc;*;;;;;;;;;56.75
o;;;Durrer Jonas;*;;;;;;;8.5
+;6;8.5;Vetterli Sven;;25;35.25;3;9.75;-3;1.25;9.75
-;8;18.25;Schmidlin Tobias;*;9;56.0;7;18.5;-1;0.25;8.75
+;12;27.0;Hengartner Ivo;*;27;34.25;15;25.75;3;-1.25;10.0
+;9;37.0;Signer Tobias (2004);;11;55.5;9;37.0;0;0.0;9.75
+;8;46.75;Studerus Jan;;13;55.0;9;46.5;1;-0.25;10.0

6c;Kindlimann Fabian;***;;;;;;;;;56.75
-;;;Roth Martin;***;;;;;;;8.75
o;5;8.75;Koch Thomas;*;7;56.5;2;10.0;-3;1.25;8.5
+;11;17.25;Schiesser Patrik;*;16;54.25;6;18.75;-5;1.5;9.75
+;12;27.0;Baumann Rico;*;14;54.75;8;28.0;-4;1.0;10.0
+;9;37.0;Baumgartner Ramon;**;12;55.25;10;36.75;1;-0.25;10.0
+;7;47.0;Poltera Andrin;**;9;56.0;6;47.5;-1;0.5;9.75

6d;Dändliker Shane;**;;;;;;;;;56.75
+;;;Heierli Pascal;**;;;;;;;9.75
+;3;9.75;Mettler Valentin;*;12;55.25;3;9.75;0;0.0;10.0
o;3;19.75;Giger Samuel;***;2;58.5;6;18.75;3;-1.0;8.5
+;7;28.25;Rogenmoser Linus;;15;54.5;6;28.5;-1;0.25;9.75
+;5;38.0;Durrer Jonas;*;7;56.5;4;38.25;-1;0.25;9.75
-;5;47.75;Good Marco;**;4;57.25;3;48.25;-2;0.5;9.0

6e;Biäsch Christian;*;;;;;;;;;56.75
+;;;Lanter Christian;*;;;;;;;10.0
-;2;10.0;Odermatt Andreas;**;7;56.5;5;8.75;3;-1.25;8.75
+;6;18.75;Signer Tobias (2004);;11;55.5;7;18.5;1;-0.25;10.0
o;5;28.75;Bless Michael;***;7;56.5;7;28.25;2;-0.5;8.5
+;8;37.25;Tsirkin Stepan;;11;55.5;5;38.0;-3;0.75;9.75
+;7;47.0;Leuppi Karim;*;11;55.5;7;47.0;0;0.0;9.75

6f;Funk Nicola;*;;;;;;;;;56.75
-;;;Rüegg Fabian;*;;;;;;;8.75
+;5;8.75;Schlegel Jamie (2004);;16;54.25;3;9.75;-2;1.0;9.75
o;7;18.5;Fejzaj Naim;**;12;55.25;7;18.5;0;0.0;8.5
+;12;27.0;Brülisauer Dominik;;14;54.75;8;28.0;-4;1.0;10.0
+;9;37.0;Sprecher Martin;;11;55.5;9;37.0;0;0.0;9.75
+;8;46.75;Rychen Roger;***;12;55.25;9;46.5;1;-0.25;10.0

6g;Orlik Curdin;***;;;;;;;;;56.75
o;;;Bless Michael;***;;;;;;;8.5
+;6;8.5;Lehmann Philipp;*;5;57.0;3;9.75;-3;1.25;10.0
+;7;18.5;Fausch Kjetil;*;6;56.75;6;18.75;-1;0.25;10.0
+;6;28.5;Koch Reto;*;4;57.25;4;29.25;-2;0.75;10.0
o;3;38.5;Giger Samuel;***;2;58.5;2;38.75;-1;0.25;8.5
+;7;47.0;Lanter Christian;*;9;56.0;6;47.5;-1;0.5;9.75

6h;Fausch Kjetil;*;;;;;;;;;56.75
o;;;Koch Reto;*;;;;;;;8.75
+;5;8.75;Hurschler Adrian;;16;54.25;2;10.0;-3;1.25;10.0
o;6;18.75;Orlik Curdin;***;6;56.75;7;18.5;1;-0.25;8.5
+;11;27.25;Schlegel Jamie (2004);;16;54.25;7;28.25;-4;1.0;9.75
+;9;37.0;Nietlispach Pascal;**;11;55.5;9;37.0;0;0.0;9.75
+;8;46.75;Hari Michi;;14;54.75;10;46.25;2;-0.5;10.0

7a;Odermatt Andreas;**;;;;;;;;;56.5
-;;;Riget Tobias;**;;;;;;;8.75
-;5;8.75;Biäsch Christian;*;6;56.75;2;10.0;-3;1.25;8.75
+;10;17.5;Wagner Andreas;;16;54.25;7;18.5;-3;1.0;9.75
+;11;27.25;Dobler Martin;;17;54.0;7;28.25;-4;1.0;9.75
+;9;37.0;Heierli Pascal;**;18;53.75;10;36.75;1;-0.25;9.75
+;8;46.75;Schmid Dominik;**;1;109.5;1;91.25;-7;44.5;9.75

7b;Bless Michael;***;;;;;;;;;56.5
+;;;Orlik Curdin;***;;;;;;;9.75
o;3;9.75;Good Marco;**;4;57.25;2;10.0;-1;0.25;8.75
+;7;18.5;Riget Tobias;**;15;54.5;6;18.75;-1;0.25;9.75
+;7;28.25;Biäsch Christian;*;6;56.75;5;28.75;-2;0.5;9.75
o;5;38.0;Dumelin David;**;3;57.5;5;38.0;0;0.0;8.5
+;9;46.5;Mettler Valentin;*;12;55.25;8;46.75;-1;0.25;10.0

7c;Durrer Jonas;*;;;;;;;;;56.5
+;;;Jörger Marc;*;;;;;;;10.0
o;2;10.0;Riget Florian;**;11;55.5;5;8.75;3;-1.25;8.5
+;7;18.5;Korrodi Janik (2004);;16;54.25;6;18.75;-1;0.25;9.75
+;7;28.25;Fejzaj Naim;**;12;55.25;7;28.25;0;0.0;10.0
o;4;38.25;Dändliker Shane;**;6;56.75;5;38.0;1;-0.25;8.5
+;8;46.75;Stadelmann Patrick;;13;55.0;9;46.5;1;-0.25;9.75

7d;Hochholdinger Roman;**;;;;;;;;;56.5
+;;;Nietlispach Pascal;**;;;;;;;9.75
+;3;9.75;Lacher Tobias (2005);;13;55.0;2;10.0;-1;0.25;10.0
o;3;19.75;Roth Martin;***;9;56.0;7;18.5;4;-1.25;8.5
-;7;28.25;Mettler Valentin;*;12;55.25;7;28.25;0;0.0;8.75
+;9;37.0;Inauen Aurel;;12;55.25;9;37.0;0;0.0;9.75
+;8;46.75;Bucher Roman;;12;55.25;9;46.5;1;-0.25;9.75

7e;Koch Thomas;*;;;;;;;;;56.5
+;;;Ackermann Remo;*;;;;;;;10.0
+;2;10.0;Kindlimann Fabian;***;6;56.75;5;8.75;3;-1.25;9.75
+;3;19.75;Kiser Aron;;11;55.5;4;19.5;1;-0.25;10.0
o;3;29.75;Orlik Armon;***;5;57.0;6;28.5;3;-1.25;8.5
+;4;38.25;Oettli Silvio;**;10;55.75;7;37.5;3;-0.75;9.75
o;4;48.0;Dumelin David;**;3;57.5;5;47.75;1;-0.25;8.5

7f;Schläpfer Markus;**;;;;;;;;;56.5
-;;;Oettli Silvio;**;;;;;;;9.0
+;4;9.0;Bachmann Oliver (2004);;23;52.5;3;9.75;-1;0.75;10.0
+;5;19.0;Joos Enrico;*;10;55.75;3;19.75;-2;0.75;9.75
-;5;28.75;Gmür Pirmin;**;9;56.0;6;28.5;1;-0.25;8.75
-;7;37.5;Rüegg Fabian;*;8;56.25;7;37.5;0;0.0;9.0
+;9;46.5;Lacher Tobias (2005);;13;55.0;9;46.5;0;0.0;10.0

8a;Rüegg Fabian;*;;;;;;;;;56.25
-;;;Funk Nicola;*;;;;;;;8.75
+;5;8.75;Thiemann Fabrice;;16;54.25;5;8.75;0;0.0;10.0
-;6;18.75;Zwyssig Raphael;***;11;55.5;8;18.25;2;-0.5;8.75
+;10;27.5;Studerus Jan;;13;55.0;7;28.25;-3;0.75;10.0
-;7;37.5;Schläpfer Markus;**;7;56.5;7;37.5;0;0.0;8.75
+;10;46.25;Ackermann Remo;*;12;55.25;8;46.75;-2;0.5;10.0

9a;Poltera Andrin;**;;;;;;;;;56.0
-;;;Riget Florian;**;;;;;;;8.75
+;5;8.75;Keller Dominic;;29;18.25;3;9.75;-2;1.0;10.0
-;6;18.75;Rotach Lars;*;10;55.75;7;18.5;1;-0.25;8.75
+;10;27.5;Egli Martin;*;14;54.75;10;27.5;0;0.0;10.0
+;7;37.5;Ulmann Fabian;*;12;55.25;6;37.75;-1;0.25;10.0
o;6;47.5;Kindlimann Fabian;***;6;56.75;7;47.0;1;-0.5;8.5

9b;Roth Martin;***;;;;;;;;;56.0
-;;;Kindlimann Fabian;***;;;;;;;8.75
+;5;8.75;Kolb Pirmin;*;13;55.0;3;9.75;-2;1.0;9.75
+;7;18.5;Hochholdinger Roman;**;7;56.5;3;19.75;-4;1.25;9.75
-;7;28.25;Riget Florian;**;11;55.5;6;28.5;-1;0.25;9.0
+;8;37.25;Barmettler Renato;*;9;56.0;7;37.5;-1;0.25;9.75
-;7;47.0;Lüthi Manuel;*;9;56.0;7;47.0;0;0.0;9.0

9c;Barmettler Renato;*;;;;;;;;;56.0
o;;;Lüthi Manuel;*;;;;;;;8.5
+;6;8.5;Bossert Luc (2006);;25;35.25;3;9.75;-3;1.25;10.0
-;7;18.5;Hobi Ignaz;*;10;55.75;8;18.25;1;-0.25;9.0
+;10;27.5;Müller Josias (2006);;19;53.5;9;27.75;-1;0.25;10.0
o;7;37.5;Roth Martin;***;9;56.0;8;37.25;1;-0.25;8.5
+;11;46.0;Korrodi Janik (2004);;16;54.25;12;45.75;1;-0.25;10.0

9d;Lüthi Manuel;*;;;;;;;;;56.0
+;;;Barmettler Renato;*;;;;;;;10.0
o;2;10.0;Orlik Armon;***;5;57.0;5;8.75;3;-1.25;8.5
+;7;18.5;Manser Adrian;;12;55.25;7;18.5;0;0.0;10.0
-;6;28.5;Kolb Pirmin;*;13;55.0;7;28.25;1;-0.25;8.75
+;8;37.25;Trümpy Thomas (2006);;17;54.0;9;37.0;1;-0.25;9.75
-;7;47.0;Roth Martin;***;9;56.0;7;47.0;0;0.0;9.0

9e;Lanter Christian;*;;;;;;;;;56.0
o;;;Biäsch Christian;*;;;;;;;8.75
+;5;8.75;Mösli Timo (2006);;23;52.5;2;10.0;-3;1.25;10.0
o;6;18.75;Koch Reto;*;4;57.25;4;19.5;-2;0.75;8.75
+;10;27.5;Ammann Rico;*;16;54.25;11;27.25;1;-0.25;10.0
+;7;37.5;Jörger Corsin;*;13;55.0;6;37.75;-1;0.25;10.0
o;6;47.5;Orlik Curdin;***;6;56.75;7;47.0;1;-0.5;8.5

9f;Gmür Pirmin;**;;;;;;;;;56.0
-;;;Schmid Dominik;**;;;;;;;8.75
+;5;8.75;Hari Michi;;14;54.75;3;9.75;-2;1.0;10.0
+;6;18.75;Schläpfer Matthias;*;21;53.0;6;18.75;0;0.0;9.75
-;6;28.5;Schläpfer Markus;**;7;56.5;5;28.75;-1;0.25;8.75
-;8;37.25;Odermatt Christian;**;11;55.5;9;37.0;1;-0.25;8.75
+;11;46.0;Inauen Andreas;*;16;54.25;12;45.75;1;-0.25;10.0

9g;Schmidlin Tobias;*;;;;;;;;;56.0
o;;;Hobi Ignaz;*;;;;;;;8.5
+;6;8.5;Fässler Tobias;;12;55.25;3;9.75;-3;1.25;10.0
-;7;18.5;Jörger Marc;*;6;56.75;8;18.25;1;-0.25;8.75
-;11;27.25;Habegger Andrin (2005);;16;54.25;11;27.25;0;0.0;9.0
+;12;36.25;Joos Roman (2005);;17;54.0;11;36.5;-1;0.25;9.75
+;11;46.0;Manser Adrian;;12;55.25;14;45.25;3;-0.75;10.0

10a;Brügger Stefan;*;;;;;;;;;55.75
-;;;Ackermann Rico;*;;;;;;;8.75
+;5;8.75;Buchmann Michael;;6;56.75;2;10.0;-3;1.25;9.75
-;7;18.5;Bucher Roman;;12;55.25;4;19.5;-3;1.0;8.75
o;11;27.25;Leuppi Karim;*;11;55.5;12;27.0;1;-0.25;8.5
+;14;35.75;Mathys Stefan (2005);;14;54.75;11;36.5;-3;0.75;10.0
+;12;45.75;Schoch René;;17;54.0;13;45.5;1;-0.25;10.0

10b;Rotach Lars;*;;;;;;;;;55.75
-;;;Pianta Christian;*;;;;;;;8.75
+;5;8.75;Plüer Fabian;;20;53.25;4;9.0;-1;0.25;9.75
-;7;18.5;Poltera Andrin;**;9;56.0;6;18.75;-1;0.25;9.0
+;10;27.5;Bucher Roman;;12;55.25;7;28.25;-3;0.75;9.75
-;8;37.25;Zwyssig Raphael;***;11;55.5;9;37.0;1;-0.25;8.75
+;11;46.0;Widmer Thomas;;15;54.5;11;46.0;0;0.0;9.75

10c;Feldmann Patrik (2005);;;;;;;;;;55.75
-;;;Odermatt Michi;;;;;;;;8.75
+;5;8.75;Schläpfer Andrin;;23;52.5;6;8.5;1;-0.25;9.75
o;7;18.5;Odermatt Gian Maria (2004);*;19;53.5;10;17.5;3;-1.0;8.75
-;11;27.25;Inauen Maurus;;14;54.75;11;27.25;0;0.0;8.75
+;13;36.0;Bleiker Daniel;;22;52.75;14;35.75;1;-0.25;9.75
+;12;45.75;Spörndli Cyril;;18;53.75;14;45.25;2;-0.5;10.0

10d;Oettli Silvio;**;;;;;;;;;55.75
-;;;Schläpfer Markus;**;;;;;;;9.0
+;4;9.0;Stadelmann Patrick;;13;55.0;2;10.0;-2;1.0;10.0
o;5;19.0;Rychen Roger;***;12;55.25;7;18.5;2;-0.5;8.5
+;10;27.5;Lacher Tobias (2005);;13;55.0;7;28.25;-3;0.75;10.0
o;7;37.5;Koch Thomas;*;7;56.5;4;38.25;-3;0.75;8.5
+;11;46.0;Hurschler Adrian;;16;54.25;12;45.75;1;-0.25;9.75

10e;Joos Enrico;*;;;;;;;;;55.75
+;;;Egli Martin;*;;;;;;;9.75
+;3;9.75;Widmer Thomas;;15;54.5;2;10.0;-1;0.25;10.0
o;3;19.75;Schläpfer Markus;**;7;56.5;5;19.0;2;-0.75;8.5
-;7;28.25;Kiser Aron;;11;55.5;7;28.25;0;0.0;9.0
o;8;37.25;Riget Florian;**;11;55.5;8;37.25;0;0.0;8.75
+;11;46.0;Schiesser Patrik;*;16;54.25;12;45.75;1;-0.25;9.75

10f;Hobi Ignaz;*;;;;;;;;;55.75
+;;;Schmidlin Tobias;*;;;;;;;9.75
o;3;9.75;Zwyssig Raphael;***;11;55.5;6;8.5;3;-1.25;8.5
-;8;18.25;Barmettler Renato;*;9;56.0;7;18.5;-1;0.25;9.0
+;11;27.25;Hari Michi;;14;54.75;8;28.0;-3;0.75;10.0
o;8;37.25;Koch Reto;*;4;57.25;6;37.75;-2;0.5;8.5
+;12;45.75;Odermatt Michi;;16;54.25;12;45.75;0;0.0;10.0

11a;Signer Tobias (2004);;;;;;;;;;55.5
+;;;Lötscher Niklas (2006);;;;;;;;10.0
o;2;10.0;Korrodi Janik (2004);;16;54.25;5;8.75;3;-1.25;8.5
o;7;18.5;Biäsch Christian;*;6;56.75;6;18.75;-1;0.25;8.5
+;12;27.0;Flütsch Marco;;13;55.0;13;26.75;1;-0.25;10.0
o;9;37.0;Jörger Marc;*;6;56.75;9;37.0;0;0.0;8.5
+;13;45.5;Wagner Andreas;;16;54.25;12;45.75;-1;0.25;10.0

11b;Riget Florian;**;;;;;;;;;55.5
-;;;Poltera Andrin;**;;;;;;;8.75
+;5;8.75;Durrer Jonas;*;7;56.5;2;10.0;-3;1.25;9.75
+;7;18.5;Wehrli Jan;;17;54.0;7;18.5;0;0.0;10.0
-;6;28.5;Roth Martin;***;9;56.0;7;28.25;1;-0.25;8.75
+;8;37.25;Joos Enrico;*;10;55.75;8;37.25;0;0.0;9.75
o;7;47.0;Koch Reto;*;4;57.25;6;47.5;-1;0.5;8.5

11c;Odermatt Christian;**;;;;;;;;;55.5
-;;;Räbsamen Marcel;**;;;;;;;8.75
+;5;8.75;Manser Adrian;;12;55.25;2;10.0;-3;1.25;10.0
o;6;18.75;Ackermann Remo;*;12;55.25;7;18.5;1;-0.25;8.5
+;11;27.25;Odermatt Gian Maria (2004);*;19;53.5;11;27.25;0;0.0;9.75
-;9;37.0;Gmür Pirmin;**;9;56.0;8;37.25;-1;0.25;8.75
+;12;45.75;Baumann Rico;*;14;54.75;10;46.25;-2;0.5;9.75

11d;Nietlispach Pascal;**;;;;;;;;;55.5
o;;;Hochholdinger Roman;**;;;;;;;8.5
+;6;8.5;Tsirkin Stepan;;11;55.5;3;9.75;-3;1.25;10.0
+;7;18.5;Tschudi Mario;;15;54.5;3;19.75;-4;1.25;10.0
o;6;28.5;Rychen Roger;***;12;55.25;7;28.25;1;-0.25;8.5
o;9;37.0;Fausch Kjetil;*;6;56.75;9;37.0;0;0.0;8.5
+;13;45.5;Dobler Martin;;17;54.0;13;45.5;0;0.0;10.0

11e;Tsirkin Stepan;;;;;;;;;;55.5
+;;;Schoch René;;;;;;;;9.75
o;3;9.75;Nietlispach Pascal;**;11;55.5;6;8.5;3;-1.25;8.5
+;8;18.25;Aebli Andrin;;27;34.25;11;17.25;3;-1.0;9.75
+;8;28.0;Bernold Edi;**;25;35.25;13;26.75;5;-1.25;10.0
o;5;38.0;Biäsch Christian;*;6;56.75;8;37.25;3;-0.75;8.5
-;9;46.5;Ulmann Fabian;*;12;55.25;10;46.25;1;-0.25;9.0

11f;Leuppi Karim;*;;;;;;;;;55.5
o;;;Jörger Corsin;*;;;;;;;8.5
+;6;8.5;Horner Sämi;;17;54.0;2;10.0;-4;1.5;9.75
o;8;18.25;Ulmann Fabian;*;12;55.25;8;18.25;0;0.0;8.75
+;12;27.0;Brügger Stefan;*;10;55.75;11;27.25;-1;0.25;10.0
+;9;37.0;Schiesser Patrik;*;16;54.25;9;37.0;0;0.0;10.0
o;7;47.0;Biäsch Christian;*;6;56.75;7;47.0;0;0.0;8.5

11g;Hänni Marc;;;;;;;;;;55.5
-;;;Habegger Andrin (2005);;;;;;;;8.75
+;5;8.75;Engi Niculin (2006);;16;54.25;6;8.5;1;-0.25;10.0
o;6;18.75;Ammann Rico;*;16;54.25;10;17.5;4;-1.25;8.5
-;11;27.25;Landolt Reto;*;15;54.5;11;27.25;0;0.0;8.75
+;13;36.0;Gantenbein Linard (2004);;22;52.75;15;35.5;2;-0.5;9.75
+;12;45.75;Rogenmoser Linus;;15;54.5;12;45.75;0;0.0;9.75

11h;Kiser Aron;;;;;;;;;;55.5
+;;;Schiess Daniel;;;;;;;;9.75
+;3;9.75;Heierli Pascal;**;18;53.75;6;8.5;3;-1.25;9.75
o;4;19.5;Koch Thomas;*;7;56.5;3;19.75;-1;0.25;8.75
-;7;28.25;Joos Enrico;*;10;55.75;7;28.25;0;0.0;9.0
+;8;37.25;Wehrli Jan;;17;54.0;9;37.0;1;-0.25;9.75
o;7;47.0;Lehmann Philipp;*;5;57.0;7;47.0;0;0.0;8.5

11i;Sprecher Martin;;;;;;;;;;55.5
o;;;Widmer Thomas;;;;;;;;8.5
+;6;8.5;Rust Emanuel;;25;35.25;6;8.5;0;0.0;9.75
-;8;18.25;Inauen Andreas;*;16;54.25;12;17.0;4;-1.25;8.75
+;12;27.0;Schläpfer Andrin;;23;52.5;12;27.0;0;0.0;10.0
o;9;37.0;Funk Nicola;*;6;56.75;9;37.0;0;0.0;8.5
+;13;45.5;Trümpy Thomas (2006);;17;54.0;13;45.5;0;0.0;10.0

11j;Zwyssig Raphael;***;;;;;;;;;55.5
o;;;Rychen Roger;***;;;;;;;8.5
+;6;8.5;Hobi Ignaz;*;10;55.75;3;9.75;-3;1.25;9.75
-;8;18.25;Rüegg Fabian;*;8;56.25;6;18.75;-2;0.5;8.75
+;12;27.0;Kurmann Patrick;*;14;54.75;10;27.5;-2;0.5;10.0
-;9;37.0;Rotach Lars;*;10;55.75;8;37.25;-1;0.25;8.75
+;12;45.75;Heierli Pascal;**;18;53.75;14;45.25;2;-0.5;9.75

12a;Kühne Cyrill (2004);;;;;;;;;;55.25
o;;;Tschudi Mario;;;;;;;;8.5
o;6;8.5;Wagner Andreas;;16;54.25;6;8.5;0;0.0;8.5
+;12;17.0;Niederberger Marc Ursin;;12;55.25;12;17.0;0;0.0;9.75
+;13;26.75;Nay Kyron (2006);;28;34.0;16;25.5;3;-1.25;10.0
o;10;36.75;Baumann Rico;*;14;54.75;11;36.5;1;-0.25;8.5
+;14;45.25;Müller Josias (2006);;19;53.5;16;44.75;2;-0.5;10.0

12b;Ackermann Remo;*;;;;;;;;;55.25
o;;;Koch Thomas;*;;;;;;;8.5
+;6;8.5;Brülisauer Dominik;;14;54.75;3;9.75;-3;1.25;10.0
+;7;18.5;Odermatt Christian;**;11;55.5;6;18.75;-1;0.25;9.75
o;7;28.25;Ulmann Fabian;*;12;55.25;8;28.0;1;-0.25;8.5
+;10;36.75;Fässler Tobias;;12;55.25;10;36.75;0;0.0;10.0
o;8;46.75;Rüegg Fabian;*;8;56.25;10;46.25;2;-0.5;8.5

12c;Manser Adrian;;;;;;;;;;55.25
+;;;Engi Niculin (2006);;;;;;;;10.0
o;2;10.0;Odermatt Christian;**;11;55.5;5;8.75;3;-1.25;8.5
o;7;18.5;Lüthi Manuel;*;9;56.0;7;18.5;0;0.0;8.5
+;12;27.0;Schmid Dominik;;1;109.5;1;54.25;-11;27.25;9.75
o;10;36.75;Schmidlin Tobias;*;9;56.0;12;36.25;2;-0.5;8.5
+;14;45.25;Tschudi Mario;;15;54.5;12;45.75;-2;0.5;10.0

