5354-2022-05-15_97_Schwyzer_Kantonales_Schwing-_und_Aelplerfest-ST

1a;Schuler Alex;***;;;;;;;;;111.25
o;;;Schöpfer Ronny;**;;;;;;;8.5
-;;;Wicki David;*;;;;;;;8.75
+;1;17.25;Würsch Lars;*;14;55.25;3;9.75;2;-7.5;9.75
+;1;17.25;Kempf David;;28;35.5;2;10.0;1;-7.25;10.0
-;1;37.0;Bühler Kilian;*;9;56.5;6;18.75;5;-18.25;8.75
-;1;37.0;Fankhauser Erich;***;6;57.25;7;18.5;6;-18.5;9.0
+;1;54.75;Theiler Andre;;15;55.0;8;28.25;7;-26.5;10.0
+;1;54.75;Spichtig Clemens;;17;54.5;12;27.25;11;-27.5;9.75
+;1;74.5;Käslin Ruedi;*;14;55.25;9;37.0;8;-37.5;10.0
o;1;74.5;Rohrer Ivan;**;6;57.25;6;37.75;5;-36.75;8.5
+;1;93.0;Elsener Marcel;*;14;55.25;10;46.75;9;-46.25;9.75
o;1;93.0;Bucher André;;11;56.0;13;46.0;12;-47.0;8.5

2a;Müllestein Mike;***;;;;;;;;;58.75
-;;;Fankhauser Reto;**;;;;;;;9.0
+;4;9.0;Fellmann Roman;**;13;55.5;2;10.0;-2;1.0;9.75
+;6;18.75;Bättig Martin;*;15;55.0;5;19.0;-1;0.25;10.0
+;6;28.75;Schöpfer Ronny;**;7;57.0;2;30.0;-4;1.25;10.0
+;2;38.75;Doppmann Urs;**;9;56.5;4;38.25;2;-0.5;10.0
+;2;48.75;Nötzli Reto;***;5;57.5;2;48.75;0;0.0;10.0

3a;Schurtenberger Sven;***;;;;;;;;;58.5
-;;;Steffen Gustav;**;;;;;;;8.75
+;5;8.75;Waser Reto;*;6;57.25;2;10.0;-3;1.25;10.0
+;6;18.75;Kessler Joel;*;8;56.75;6;18.75;0;0.0;10.0
+;6;28.75;Rohrer Ueli;**;7;57.0;2;30.0;-4;1.25;9.75
+;3;38.5;Ulrich Marco;**;10;56.25;2;38.75;-1;0.25;10.0
+;3;48.5;Burch Jonas;**;9;56.5;5;48.0;2;-0.5;10.0

4a;Vogel Remo;**;;;;;;;;;58.0
+;;;Steffen Konrad;*;;;;;;;9.75
+;3;9.75;Kälin Remo;*;14;55.25;2;10.0;-1;0.25;9.75
-;4;19.5;Aeschbacher Matthias;***;4;58.0;3;19.75;-1;0.25;8.75
+;8;28.25;Kathriner Severin;;13;55.5;7;28.5;-1;0.25;10.0
+;4;38.25;Würsch Lars;*;14;55.25;4;38.25;0;0.0;9.75
+;5;48.0;Waser Christoph;*;9;56.5;5;48.0;0;0.0;10.0

4b;Wicki Joel;***;;;;;;;;;58.0
+;;;Herger Matthias;**;;;;;;;10.0
+;2;10.0;Steinauer Adrian;**;7;57.0;3;9.75;1;-0.25;10.0
o;2;20.0;Waser Christoph;*;9;56.5;3;19.75;1;-0.25;8.5
+;7;28.5;Wiget Ueli;*;12;55.75;6;28.75;-1;0.25;9.75
+;4;38.25;Bucher Christian;**;8;56.75;3;38.5;-1;0.25;10.0
+;4;48.25;Rohrer Ueli;**;7;57.0;3;48.5;-1;0.25;9.75

4c;Aeschbacher Matthias;***;;;;;;;;;58.0
+;;;Ambühl Joel;**;;;;;;;9.75
+;3;9.75;Bürli Roger;**;9;56.5;3;9.75;0;0.0;10.0
-;3;19.75;Vogel Remo;**;4;58.0;4;19.5;1;-0.25;8.75
+;7;28.5;Huber Alex;*;9;56.5;4;29.25;-3;0.75;9.75
+;4;38.25;Fankhauser Reto;**;12;55.75;2;38.75;-2;0.5;9.75
+;5;48.0;Wandeler Roman;*;9;56.5;5;48.0;0;0.0;10.0

5a;Nötzli Reto;***;;;;;;;;;57.5
-;;;Stöckli Stefan;***;;;;;;;8.75
+;5;8.75;Betschart Marcel;*;18;54.25;2;10.0;-3;1.25;10.0
+;6;18.75;Bucher Thomas;*;9;56.5;2;20.0;-4;1.25;10.0
+;6;28.75;Waser Christoph;*;9;56.5;3;29.75;-3;1.0;10.0
+;2;38.75;Fellmann Roman;**;13;55.5;4;38.25;2;-0.5;10.0
o;2;48.75;Müllestein Mike;***;2;58.75;2;48.75;0;0.0;8.75

6a;Bühlmann Daniel;;;;;;;;;;57.25
+;;;Styger Alex;;;;;;;;10.0
o;2;10.0;Reichmuth Lukas;*;17;54.5;6;8.5;4;-1.5;8.5
+;7;18.5;Gwerder Andreas;*;28;35.5;7;18.5;0;0.0;10.0
+;7;28.5;Mehr Lars;*;12;55.75;11;27.5;4;-1.0;10.0
o;3;38.5;Kennel Stefan;**;12;55.75;8;37.25;5;-1.25;8.75
+;8;47.25;Andermatt Reto;;14;55.25;10;46.75;2;-0.5;10.0

6b;Waser Reto;*;;;;;;;;;57.25
+;;;Jund Matthias;*;;;;;;;10.0
o;2;10.0;Schurtenberger Sven;***;3;58.5;5;8.75;3;-1.25;8.5
+;7;18.5;Imfeld David (2006);;18;54.25;6;18.75;-1;0.25;10.0
-;7;28.5;Lemmenmeier Lukas;*;11;56.0;7;28.5;0;0.0;8.75
+;8;37.25;Achermann Ivan (2005);;18;54.25;8;37.25;0;0.0;10.0
+;8;47.25;Hurschler Tobias;;15;55.0;11;46.5;3;-0.75;10.0

6c;Schuler Philipp;**;;;;;;;;;57.25
o;;;Gehrig Philipp;**;;;;;;;8.75
+;5;8.75;Arnold Elias (2006);;18;54.25;2;10.0;-3;1.25;10.0
-;6;18.75;Odermatt Remo;*;12;55.75;7;18.5;1;-0.25;8.75
+;11;27.5;Vogel Laurin;;14;55.25;8;28.25;-3;0.75;10.0
+;7;37.5;Lemmenmeier Lukas;*;11;56.0;7;37.5;0;0.0;9.75
+;8;47.25;Hürlimann Marco;;15;55.0;11;46.5;3;-0.75;10.0

6d;Fankhauser Erich;***;;;;;;;;;57.25
-;;;Ulrich Marco;**;;;;;;;8.75
+;5;8.75;Kälin Roland;**;13;55.5;2;10.0;-3;1.25;9.75
-;7;18.5;Schuler Alex;*;1;111.25;1;37.0;-6;18.5;9.0
+;11;27.5;Betschart Roger;;13;55.5;7;28.5;-4;1.0;10.0
+;7;37.5;Zemp Christian (2004);*;16;54.75;7;37.5;0;0.0;9.75
+;8;47.25;Heinzer Stefan;**;14;55.25;10;46.75;2;-0.5;10.0

6e;Rohrer Ivan;**;;;;;;;;;57.25
-;;;Schärli Reto;*;;;;;;;8.75
+;5;8.75;Reichmuth Marco (2005);;18;54.25;2;10.0;-3;1.25;10.0
+;6;18.75;Bienz Romeo;*;26;36.0;6;18.75;0;0.0;10.0
-;6;28.75;Suter Bruno;;8;56.75;4;29.25;-2;0.5;9.0
+;6;37.75;Schuler Alex;*;1;111.25;1;74.5;-5;36.75;9.75
+;7;47.5;Arnold Marcel;*;13;55.5;9;47.0;2;-0.5;9.75

7a;Stöckli Stefan;***;;;;;;;;;57.0
-;;;Nötzli Reto;***;;;;;;;8.75
o;5;8.75;Huber Alex;*;9;56.5;3;9.75;-2;1.0;8.5
+;12;17.25;Schuler Thomas;;28;35.5;7;18.5;-5;1.25;10.0
+;12;27.25;Ming Christian;*;14;55.25;8;28.25;-4;1.0;10.0
+;8;37.25;Suter Beat;*;16;54.75;6;37.75;-2;0.5;9.75
+;9;47.0;Wiget Ueli;*;12;55.75;8;47.25;-1;0.25;10.0

7b;Appert Silvan;;;;;;;;;;57.0
+;;;Ettlin Kevin;;;;;;;;10.0
+;2;10.0;Wallimann Remo;*;35;25.5;6;8.5;4;-1.5;10.0
o;2;20.0;Schöpfer Ronny;**;7;57.0;2;20.0;0;0.0;8.5
o;7;28.5;Wandeler Roman;*;9;56.5;8;28.25;1;-0.25;8.75
+;8;37.25;Achermann Christian;;20;53.75;10;36.75;2;-0.5;9.75
+;9;47.0;Lüthy Ralph;;13;55.5;9;47.0;0;0.0;10.0

7c;Schöpfer Ronny;**;;;;;;;;;57.0
+;;;Schuler Alex;***;;;;;;;10.0
+;2;10.0;Wiget Ueli;*;12;55.75;2;10.0;0;0.0;10.0
+;2;20.0;Appert Silvan;;7;57.0;2;20.0;0;0.0;10.0
o;2;30.0;Müllestein Mike;***;2;58.75;6;28.75;4;-1.25;8.5
o;3;38.5;Burch Jonas;**;9;56.5;4;38.25;1;-0.25;8.5
+;9;47.0;Gwerder Beni;;13;55.5;10;46.75;1;-0.25;10.0

7d;Jund Matthias;*;;;;;;;;;57.0
o;;;Waser Reto;*;;;;;;;8.5
+;6;8.5;Heinzer Benno (2006);;14;55.25;3;9.75;-3;1.25;10.0
+;7;18.5;Arnold Marcel;*;13;55.5;7;18.5;0;0.0;10.0
-;7;28.5;Hegner Ueli;*;13;55.5;7;28.5;0;0.0;9.0
