5376-2021-07-24_Buendner_Glarner_Kantonalschwingfest-ST

1a;Leuppi Samir;***;;;;;;;;;58.25
+;;;Rychen Roger;***;;;;;;;9.75
+;2;9.75;Arnold Stefan;**;5;56.5;1;10.0;-1;0.25;10.0
-;2;19.75;Vollenweider Jeremy;**;4;56.75;2;19.75;0;0.0;8.75
+;4;28.5;Hochholdinger Roman;**;3;57.0;1;29.75;-3;1.25;10.0
+;1;38.5;Biäsch Christian;*;3;57.0;1;38.5;0;0.0;9.75
+;1;48.25;Hochholdinger Roman;**;3;57.0;1;48.25;0;0.0;10.0

2a;Castelli Fabio;;;;;;;;;;57.25
+;;;Sieber Marc;;;;;;;;10.0
+;1;10.0;Leuppi Karim;*;9;55.5;5;8.5;4;-1.5;10.0
o;1;20.0;Schlegel Reto;*;5;56.5;5;18.5;4;-1.5;8.5
-;4;28.5;Schmid Gian (2003);;8;55.75;4;28.5;0;0.0;8.75
+;6;37.25;Wild Thomas;;13;54.5;6;37.25;0;0.0;10.0
+;4;47.25;Horner Sämi;;10;55.25;7;46.5;3;-0.75;10.0

2b;Orlik Armon;***;;;;;;;;;57.25
-;;;Kindlimann Fabian;***;;;;;;;8.75
+;4;8.75;Wey Nicola;*;5;56.5;2;9.75;-2;1.0;9.75
+;5;18.5;Landolt Reto;*;3;57.0;2;19.75;-3;1.25;10.0
-;4;28.5;Vollenweider Jeremy;**;4;56.75;4;28.5;0;0.0;9.0
+;5;37.5;Good Marco;*;5;56.5;2;38.25;-3;0.75;10.0
+;3;47.5;Rotach Lars;*;6;56.25;3;47.5;0;0.0;9.75

2c;Schlegel Sandro;**;;;;;;;;;57.25
-;;;Riget Tobias;**;;;;;;;8.75
+;4;8.75;Bütler Roman (2004);;15;54.0;1;10.0;-3;1.25;10.0
-;4;18.75;Poltera Andrin;*;8;55.75;5;18.5;1;-0.25;8.75
+;7;27.5;Bleiker Daniel;;16;53.75;5;28.25;-2;0.75;10.0
+;5;37.5;Habegger Heinz;**;4;56.75;2;38.25;-3;0.75;10.0
+;3;47.5;Aeschlimann Martin;;7;56.0;3;47.5;0;0.0;9.75

3a;Landolt Reto;*;;;;;;;;;57.0
+;;;Herger Fabian;*;;;;;;;10.0
+;1;10.0;Korrodi Janik (2004);;11;55.0;1;10.0;0;0.0;9.75
o;2;19.75;Orlik Armon;***;2;57.25;5;18.5;3;-1.25;8.5
+;5;28.25;Inauen Maurus (2003);;9;55.5;4;28.5;-1;0.25;10.0
-;2;38.25;Wey Nicola;*;5;56.5;4;37.75;2;-0.5;8.75
+;5;47.0;Kobler Janosch;;7;56.0;4;47.25;-1;0.25;10.0

3b;Geisser Lars;**;;;;;;;;;57.0
-;;;Battaglia Ursin;**;;;;;;;8.75
+;4;8.75;Schwyn Patrick;;15;54.0;1;10.0;-3;1.25;10.0
+;4;18.75;Pianta Christian;*;13;54.5;3;19.0;-1;0.25;9.75
o;4;28.5;Rychen Roger;***;4;56.75;4;28.5;0;0.0;8.5
+;7;37.0;Aebli Nino;;5;56.5;2;38.25;-5;1.25;10.0
+;5;47.0;Schmid Patrick;*;7;56.0;3;47.5;-2;0.5;10.0

3c;Biäsch Christian;*;;;;;;;;;57.0
+;;;Leuppi Karim;*;;;;;;;9.75
+;2;9.75;Gasenzer Christian (2004);;15;54.0;1;10.0;-1;0.25;10.0
o;2;19.75;Rychen Roger;***;4;56.75;5;18.5;3;-1.25;8.75
+;4;28.5;Kobler Janosch;;7;56.0;2;29.0;-2;0.5;10.0
o;1;38.5;Leuppi Samir;***;1;58.25;1;38.5;0;0.0;8.5
+;5;47.0;Schmid Gian (2003);;8;55.75;4;47.25;-1;0.25;10.0

