5494-2021-07-25_Thurgauer_Kant_Schwingfest-ST

1a;Giger Samuel;***;;;;;;;;;58.25
-;;;Leuppi Samir;***;;;;;;;8.75
+;4;8.75;Dändliker Shane;**;6;57.0;1;10.0;-3;1.25;9.75
+;6;18.5;Rüegg Fabian;*;6;57.0;5;18.75;-1;0.25;10.0
+;5;28.5;Schnurrenberger Roman;**;13;55.0;7;28.0;2;-0.5;10.0
+;3;38.5;Schlegel Werner;**;1;58.25;1;39.75;-2;1.25;9.75
+;2;48.25;Schneider Domenic;***;5;57.25;1;48.5;-1;0.25;10.0

1b;Schlegel Werner;**;;;;;;;;;58.25
+;;;Krähenbühl Tobias;***;;;;;;;9.75
+;2;9.75;Schneider Domenic;***;5;57.25;1;10.0;-1;0.25;10.0
+;2;19.75;Giger Urs;*;3;57.75;2;19.75;0;0.0;10.0
+;1;29.75;Burkhalter Stefan;***;7;56.75;1;29.75;0;0.0;10.0
o;1;39.75;Giger Samuel;***;1;58.25;3;38.5;2;-1.25;8.5
+;2;48.25;Kolb Pirmin;*;7;56.75;2;48.25;0;0.0;10.0

2a;Kuster Thomas;*;;;;;;;;;58.0
+;;;Bickel Roman;*;;;;;;;9.75
o;2;9.75;Leuppi Samir;***;5;57.25;4;8.75;2;-1.0;8.5
+;7;18.25;Burkhalter Thomas (2003);*;12;55.25;5;18.75;-2;0.5;10.0
+;6;28.25;Koller Fabian;*;6;57.0;4;28.75;-2;0.5;9.75
+;5;38.0;Fallegger Marc (2003);;17;54.0;9;37.0;4;-1.0;10.0
+;3;48.0;Keller Manuel;*;11;55.5;6;47.0;3;-1.0;10.0

2b;Ott Damian;**;;;;;;;;;58.0
o;;;Schneider Domenic;***;;;;;;;8.5
+;5;8.5;Funk Nicola;*;11;55.5;2;9.75;-3;1.25;10.0
+;6;18.5;Odermatt Michi;;12;55.25;6;18.5;0;0.0;10.0
+;5;28.5;Schneider Mario;**;6;57.0;1;29.75;-4;1.25;10.0
+;3;38.5;Krähenbühl Tobias;***;7;56.75;4;38.25;1;-0.25;9.75
+;2;48.25;Burkhalter Stefan;***;7;56.75;2;48.25;0;0.0;9.75

3a;Giger Urs;*;;;;;;;;;57.75
+;;;Steiner Michael;**;;;;;;;9.75
+;2;9.75;Lenherr Jonas (2005);;18;53.75;2;9.75;0;0.0;10.0
o;2;19.75;Schlegel Werner;**;1;58.25;2;19.75;0;0.0;8.5
+;6;28.25;Imhof Gregor;;15;54.5;6;28.25;0;0.0;9.75
+;5;38.0;Dumelin David;**;10;55.75;8;37.25;3;-0.75;10.0
+;3;48.0;Burkhalter Thomas (2003);*;12;55.25;7;46.75;4;-1.25;9.75

4a;Hugelshofer Lars;*;;;;;;;;;57.5
+;;;Leuppi Karim;*;;;;;;;9.75
+;2;9.75;Galli Cedric;;11;55.5;2;9.75;0;0.0;9.75
+;3;19.5;Nägeli Marco;**;11;55.5;10;17.25;7;-2.25;9.75
o;3;29.25;Arztmann Beda;**;7;56.75;6;28.25;3;-1.0;8.5
+;6;37.75;Mösli Marcel;;11;55.5;9;37.0;3;-0.75;10.0
+;4;47.75;Flück Bruno;;12;55.25;7;46.75;3;-1.0;9.75

5a;Oettli Marco;**;;;;;;;;;57.25
-;;;Schnurrenberger Roman;**;;;;;;;9.0
+;3;9.0;Ackermann Roman;;18;53.75;2;9.75;-1;0.75;10.0
+;4;19.0;Fausch Kjetil;*;10;55.75;5;18.75;1;-0.25;9.75
+;4;28.75;Lieberherr Michael;;18;53.75;6;28.25;2;-0.5;9.75
-;3;38.5;Bernold Christian;**;6;57.0;3;38.5;0;0.0;8.75
+;5;47.25;Ulmann Fabian;*;12;55.25;7;46.75;2;-0.5;10.0

5b;Schneider Domenic;***;;;;;;;;;57.25
+;;;Ott Damian;**;;;;;;;10.0
o;1;10.0;Schlegel Werner;**;1;58.25;2;9.75;1;-0.25;8.75
+;5;18.75;Reichmuth Beat;;11;55.5;6;18.5;1;-0.25;10.0
+;4;28.75;Funk Nicola;*;11;55.5;6;28.25;2;-0.5;10.0
+;2;38.75;Dändliker Shane;**;6;57.0;3;38.5;1;-0.25;9.75
o;1;48.5;Giger Samuel;***;1;58.25;2;48.25;1;-0.25;8.75

5c;Leuppi Samir;***;;;;;;;;;57.25
-;;;Giger Samuel;***;;;;;;;8.75
+;4;8.75;Kuster Thomas;*;2;58.0;2;9.75;-2;1.0;10.0
o;5;18.75;Schneider Mario;**;6;57.0;1;20.0;-4;1.25;8.5
+;9;27.25;Blaser Niklas;*;12;55.25;5;28.5;-4;1.25;10.0
+;8;37.25;Schäppi Urs;*;6;57.0;3;38.5;-5;1.25;10.0
+;5;47.25;Ammann Rico;*;12;55.25;7;46.75;2;-0.5;10.0

6a;Rüegg Fabian;*;;;;;;;;;57.0
+;;;Kolb This (2003);*;;;;;;;10.0
-;1;10.0;Schnurrenberger Roman;**;13;55.0;3;9.0;2;-1.0;8.75
o;5;18.75;Giger Samuel;***;1;58.25;6;18.5;1;-0.25;8.5
+;9;27.25;Müller Christian;;12;55.25;6;28.25;-3;1.0;10.0
+;8;37.25;Ammann Rico;*;12;55.25;4;38.25;-4;1.0;9.75
+;6;47.0;Anliker Andri (2003);;12;55.25;7;46.75;1;-0.25;10.0

6b;Schäppi Urs;*;;;;;;;;;57.0
+;;;Ulmann Fabian;*;;;;;;;9.75
-;2;9.75;Nägeli Marco;**;11;55.5;5;8.5;3;-1.25;8.75
+;6;18.5;Zemp Stefan;;18;53.75;2;19.75;-4;1.25;10.0
+;5;28.5;Raschle Urban (2003);;12;55.25;6;28.25;1;-0.25;10.0
o;3;38.5;Leuppi Samir;***;5;57.25;8;37.25;5;-1.25;8.5
+;6;47.0;Mettler Valentin;*;12;55.25;7;46.75;1;-0.25;10.0

6c;Ackermann Remo;*;;;;;;;;;57.0
+;;;Ammann Rico;*;;;;;;;10.0
o;1;10.0;Burkhalter Stefan;***;7;56.75;1;10.0;0;0.0;8.5
+;6;18.5;Bordos Ion;;27;35.5;6;18.5;0;0.0;10.0
+;5;28.5;Steiner Michael;**;11;55.5;6;28.25;1;-0.25;9.75
+;4;38.25;Keller Manuel;*;11;55.5;3;38.5;-1;0.25;10.0
-;2;48.25;Notz Beni;***;7;56.75;3;48.0;1;-0.25;8.75

6d;Schneider Mario;**;;;;;;;;;57.0
+;;;Bernold Christian;**;;;;;;;10.0
+;1;10.0;Anliker Andri (2003);;12;55.25;2;9.75;1;-0.25;10.0
+;1;20.0;Leuppi Samir;***;5;57.25;5;18.75;4;-1.25;9.75
o;1;29.75;Ott Damian;**;2;58.0;5;28.5;4;-1.25;8.75
+;3;38.5;Baumann Rico;*;11;55.5;4;38.25;1;-0.25;9.75
-;2;48.25;Arztmann Beda;**;7;56.75;3;48.0;1;-0.25;8.75

6e;Bernold Christian;**;;;;;;;;;57.0
o;;;Schneider Mario;**;;;;;;;8.5
+;5;8.5;Buchmann Michael;;11;55.5;1;10.0;-4;1.5;10.0
+;6;18.5;Kolb Pirmin;*;7;56.75;1;20.0;-5;1.5;10.0
+;5;28.5;Koller Silvan;;6;57.0;1;29.75;-4;1.25;10.0
-;3;38.5;Oettli Marco;**;5;57.25;3;38.5;0;0.0;8.75
+;5;47.25;Steiner Michael;**;11;55.5;7;46.75;2;-0.5;9.75

6f;Koller Silvan;;;;;;;;;;57.0
+;;;Landolt Cla;;;;;;;;10.0
+;1;10.0;Oertig Simon;*;28;17.25;4;8.75;3;-1.25;10.0
+;1;20.0;Buchmann Michael;;11;55.5;6;18.5;5;-1.5;9.75
o;1;29.75;Bernold Christian;**;6;57.0;5;28.5;4;-1.25;8.5
+;4;38.25;Signer Tobias (2004);;12;55.25;5;38.0;1;-0.25;9.75
-;3;48.0;Kiser Aron;;9;56.0;6;47.0;3;-1.0;9.0

6g;Dändliker Shane;**;;;;;;;;;57.0
+;;;Dumelin David;**;;;;;;;10.0
o;1;10.0;Giger Samuel;***;1;58.25;4;8.75;3;-1.25;8.5
+;6;18.5;Fallegger Marc (2003);;17;54.0;6;18.5;0;0.0;10.0
+;5;28.5;Keller Lukas;;11;55.5;2;29.5;-3;1.0;10.0
o;3;38.5;Schneider Domenic;***;5;57.25;2;38.75;-1;0.25;8.5
+;6;47.0;Blaser Niklas;*;12;55.25;7;46.75;1;-0.25;10.0

6h;Koller Fabian;*;;;;;;;;;57.0
o;;;Baumann Rico;*;;;;;;;8.75
+;4;8.75;Meier Christian (2003);;18;53.75;1;10.0;-3;1.25;10.0
+;5;18.75;Kiener Raphael;;16;54.25;5;18.75;0;0.0;10.0
o;4;28.75;Kuster Thomas;*;2;58.0;6;28.25;2;-0.5;8.5
+;8;37.25;Fuster Arjuna (2003);;10;55.75;8;37.25;0;0.0;9.75
+;6;47.0;Bürgler Patrick;*;10;55.75;5;47.25;-1;0.25;10.0

7a;Kolb This (2003);*;;;;;;;;;56.75
o;;;Rüegg Fabian;*;;;;;;;8.5
+;5;8.5;Raschle Urban (2003);;12;55.25;2;9.75;-3;1.25;9.75
+;7;18.25;Vollmeier Sandro;;25;45.25;6;18.5;-1;0.25;10.0
o;6;28.25;Baumann Rico;*;11;55.5;6;28.25;0;0.0;8.75
+;9;37.0;Vollenweider Loïc (2004);;16;54.25;9;37.0;0;0.0;9.75
+;7;46.75;Funk Nicola;*;11;55.5;7;46.75;0;0.0;10.0

7b;Arztmann Beda;**;;;;;;;;;56.75
+;;;Notz Beni;***;;;;;;;10.0
+;1;10.0;Blaser Niklas;*;12;55.25;1;10.0;0;0.0;9.75
o;2;19.75;Burkhalter Stefan;***;7;56.75;1;20.0;-1;0.25;8.5
+;6;28.25;Hugelshofer Lars;*;4;57.5;3;29.25;-3;1.0;9.75
+;5;38.0;Kiser Aron;;9;56.0;3;38.5;-2;0.5;10.0
-;3;48.0;Schneider Mario;**;6;57.0;2;48.25;-1;0.25;8.75

7c;Kolb Pirmin;*;;;;;;;;;56.75
+;;;Neff Florian;*;;;;;;;10.0
+;1;10.0;Schegg Daniel;;27;35.5;1;10.0;0;0.0;10.0
o;1;20.0;Bernold Christian;**;6;57.0;6;18.5;5;-1.5;8.5
+;5;28.5;Inauen Maurus (2003);;17;54.0;5;28.5;0;0.0;9.75
+;4;38.25;Fuster Sepp;*;12;55.25;7;37.5;3;-0.75;10.0
o;2;48.25;Schlegel Werner;**;1;58.25;2;48.25;0;0.0;8.5

7d;Notz Beni;***;;;;;;;;;56.75
o;;;Arztmann Beda;**;;;;;;;8.5
+;5;8.5;Reichmuth Beat;;11;55.5;1;10.0;-4;1.5;10.0
+;6;18.5;Mettler Valentin;*;12;55.25;6;18.5;0;0.0;9.75
+;6;28.25;Bürgler Patrick;*;10;55.75;4;28.75;-2;0.5;10.0
+;4;38.25;Leuppi Karim;*;11;55.5;9;37.0;5;-1.25;9.75
-;3;48.0;Ackermann Remo;*;6;57.0;2;48.25;-1;0.25;8.75

7e;Burkhalter Stefan;***;;;;;;;;;56.75
+;;;Nägeli Marco;**;;;;;;;10.0
+;1;10.0;Ackermann Remo;*;6;57.0;1;10.0;0;0.0;10.0
+;1;20.0;Arztmann Beda;**;7;56.75;2;19.75;1;-0.25;9.75
o;1;29.75;Schlegel Werner;**;1;58.25;1;29.75;0;0.0;8.5
+;4;38.25;Kobler Janosch;;8;56.25;6;37.75;2;-0.5;10.0
o;2;48.25;Ott Damian;**;2;58.0;2;48.25;0;0.0;8.5

7f;Krähenbühl Tobias;***;;;;;;;;;56.75
o;;;Schlegel Werner;**;;;;;;;8.5
+;5;8.5;Baumann Rico;*;11;55.5;2;9.75;-3;1.25;9.75
+;7;18.25;Schmid Michael;;12;55.25;2;19.75;-5;1.5;10.0
+;6;28.25;Scherrer Pascal;;14;54.75;7;28.0;1;-0.25;10.0
o;4;38.25;Ott Damian;**;2;58.0;3;38.5;-1;0.25;8.5
+;7;46.75;Fausch Kjetil;*;10;55.75;5;47.25;-2;0.5;10.0

8a;Kobler Janosch;;;;;;;;;;56.25
+;;;Bordos Ion;;;;;;;;9.75
o;2;9.75;Dumelin David;**;10;55.75;5;8.5;3;-1.25;8.5
+;7;18.25;Mösli Marcel;;11;55.5;6;18.5;-1;0.25;9.75
+;7;28.0;Anliker Nino (2005);;17;54.0;6;28.25;-1;0.25;9.75
o;6;37.75;Burkhalter Stefan;***;7;56.75;4;38.25;-2;0.5;8.5
+;9;46.25;Peter Philipp;;16;54.25;11;45.75;2;-0.5;10.0

9a;Kammermann Dominik;;;;;;;;;;56.0
+;;;Scherrer Pascal;;;;;;;;10.0
+;1;10.0;Bickel Roman;*;29;17.0;5;8.5;4;-1.5;10.0
o;1;20.0;Steiner Michael;**;11;55.5;6;18.5;5;-1.5;8.5
-;5;28.5;Oettli Silvio;*;9;56.0;4;28.75;-1;0.25;8.75
+;8;37.25;Peter Philipp;;16;54.25;8;37.25;0;0.0;10.0
-;5;47.25;Keller Lukas;;11;55.5;7;46.75;2;-0.5;8.75

9b;Notz Armin;*;;;;;;;;;56.0
-;;;Fuster Sepp;*;;;;;;;8.75
-;4;8.75;Odermatt Michi;;12;55.25;2;9.75;-2;1.0;8.75
+;9;17.5;Anliker Andri (2003);;12;55.25;7;18.25;-2;0.75;10.0
-;8;27.5;Galli Cedric;;11;55.5;6;28.25;-2;0.75;8.75
+;12;36.25;Wolfer David (2003);;19;53.5;11;36.5;-1;0.25;9.75
+;10;46.0;Signer Tobias (2004);;12;55.25;8;46.5;-2;0.5;10.0

9c;Oettli Silvio;*;;;;;;;;;56.0
+;;;Mettler Valentin;*;;;;;;;9.75
-;2;9.75;Ulmann Fabian;*;12;55.25;5;8.5;3;-1.25;9.0
+;5;18.75;Schegg Daniel;;27;35.5;6;18.5;1;-0.25;10.0
-;4;28.75;Kammermann Dominik;;9;56.0;5;28.5;1;-0.25;8.75
o;7;37.5;Fausch Kjetil;*;10;55.75;8;37.25;1;-0.25;8.75
+;9;46.25;Schnurrenberger Roman;**;13;55.0;8;46.5;-1;0.25;9.75

9d;Schild Cornel (2004);;;;;;;;;;56.0
+;;;Bucher Roman (2003);;;;;;;;9.75
+;2;9.75;Fallegger Marc (2003);;17;54.0;1;10.0;-1;0.25;9.75
o;3;19.5;Leuppi Karim;*;11;55.5;10;17.25;7;-2.25;8.5
o;7;28.0;Mettler Valentin;*;12;55.25;10;27.0;3;-1.0;8.5
+;11;36.5;Hangartner Maurice (2003);;19;53.5;11;36.5;0;0.0;9.75
+;9;46.25;Kiener Raphael;;16;54.25;12;45.5;3;-0.75;9.75

9e;Kiser Aron;;;;;;;;;;56.0
o;;;Bürgler Patrick;*;;;;;;;8.5
+;5;8.5;Krucker Roman (2004);;24;51.0;5;8.5;0;0.0;10.0
+;6;18.5;Neff Florian;*;16;54.25;10;17.25;4;-1.25;10.0
+;5;28.5;Stadelmann Patrick;;13;55.0;6;28.25;1;-0.25;10.0
o;3;38.5;Arztmann Beda;**;7;56.75;5;38.0;2;-0.5;8.5
-;6;47.0;Koller Silvan;;6;57.0;3;48.0;-3;1.0;9.0

10a;Bürgler Patrick;*;;;;;;;;;55.75
+;;;Kiser Aron;;;;;;;;10.0
+;1;10.0;Thiemann Fabrice;;11;55.5;3;9.0;2;-1.0;10.0
-;1;20.0;Krähenbühl Lukas;*;11;55.5;6;18.5;5;-1.5;8.75
o;4;28.75;Notz Beni;***;7;56.75;6;28.25;2;-0.5;8.5
+;8;37.25;Keller Dominic;;11;55.5;9;37.0;1;-0.25;10.0
o;5;47.25;Koller Fabian;*;6;57.0;6;47.0;1;-0.25;8.5

10b;Dumelin David;**;;;;;;;;;55.75
o;;;Dändliker Shane;**;;;;;;;8.5
+;5;8.5;Kobler Janosch;;8;56.25;2;9.75;-3;1.25;10.0
o;6;18.5;Fuster Arjuna (2003);;10;55.75;7;18.25;1;-0.25;8.75
+;9;27.25;Gerig Marcel;;17;54.0;6;28.25;-3;1.0;10.0
o;8;37.25;Giger Urs;*;3;57.75;5;38.0;-3;0.75;8.5
+;11;45.75;Raschle Urban (2003);;12;55.25;8;46.5;-3;0.75;10.0

10c;Fuster Arjuna (2003);;;;;;;;;;55.75
o;;;Lengacher Gian (2003);;;;;;;;8.5
+;5;8.5;Straub Paul;;12;55.25;5;8.5;0;0.0;9.75
+;7;18.25;Dumelin David;**;10;55.75;6;18.5;-1;0.25;10.0
-;6;28.25;Schmid Michael;;12;55.25;6;28.25;0;0.0;9.0
o;8;37.25;Koller Fabian;*;6;57.0;8;37.25;0;0.0;8.5
+;11;45.75;Fallegger Marc (2003);;17;54.0;12;45.5;1;-0.25;10.0

10d;Fausch Kjetil;*;;;;;;;;;55.75
-;;;Krähenbühl Lukas;*;;;;;;;9.0
+;3;9.0;Tritten Robin;;17;54.0;1;10.0;-2;1.0;9.75
o;5;18.75;Oettli Marco;**;5;57.25;4;19.0;-1;0.25;8.5
+;9;27.25;Hinrichs Silvio (2004);;16;54.25;9;27.25;0;0.0;10.0
