5506-2022-05-29_102_Luzerner_Kantonales_Schwingfest-ST

1a;Schuler Alex;***;;;;;;;;;113.5
-;;;Schurtenberger Sven;***;;;;;;;8.75
o;;;Marti Simon;*;;;;;;;8.5
+;2;17.25;Schärli Reto;*;10;56.75;4;10.0;2;-7.25;10.0
+;2;17.25;Vogel Laurin;;18;54.75;5;9.75;3;-7.5;9.75
-;2;37.0;Fellmann Roman;**;8;57.25;8;18.75;6;-18.25;8.75
+;2;37.0;Waser Kevin (2006);;19;54.5;9;18.5;7;-18.5;9.75
+;2;55.5;Schmid Julian;;17;55.0;9;28.25;7;-27.25;10.0
+;2;55.5;Achermann Christoph;*;17;55.0;10;28.0;8;-27.5;10.0
+;1;75.5;Vogel Marcel;*;10;56.75;7;38.25;6;-37.25;10.0
o;1;75.5;Schurtenberger Sven;***;8;57.25;11;37.25;10;-38.25;8.5
+;1;94.0;Thalmann Thomas;*;15;55.5;11;47.0;10;-47.0;9.75
+;1;94.0;Wicki Patrick;;17;55.0;13;46.5;12;-47.5;9.75

2a;Thalmann Adrian;;;;;;;;;;110.0
+;;;Schnellmann Alexander (2004);;;;;;;;10.0
o;;;Walker Jan (2004);;;;;;;;8.5
+;1;18.5;Bissig Julian;;21;54.0;5;9.75;4;-8.75;10.0
+;1;18.5;Schnüriger Kevin (2004);;39;17.0;8;8.5;7;-10.0;10.0
-;1;38.5;Burger Etienne (2004);*;12;56.25;8;18.75;7;-19.75;8.75
o;1;38.5;Rutsch Remo (2004);*;15;55.5;13;17.25;12;-21.25;8.5
o;1;55.75;Lemmenmeier Lukas;*;6;57.75;8;28.5;7;-27.25;8.5
+;1;55.75;Aregger Silvan (2006);;31;35.5;14;27.0;13;-28.75;10.0
o;2;74.25;Bucher Thomas;*;3;81.75;3;63.5;1;-10.75;8.5
o;2;74.25;Murer Andy;**;13;56.0;16;36.0;14;-38.25;8.5
+;2;91.25;Bucher Sandro;;21;54.0;17;45.5;15;-45.75;10.0
-;2;91.25;Rust Silvio;;21;54.0;18;45.25;16;-46.0;8.75

3a;Bucher Thomas;*;;;;;;;;;81.75
o;;;Fankhauser Reto;**;;;;;;;8.5
o;;;von Wyl Kevin (2004);;;;;;;;8.5
+;3;17.0;Lustenberger Tim (2005);;16;55.25;5;9.75;2;-7.25;9.75
+;3;17.0;Eberli Jonas (2005);;31;35.5;8;8.5;5;-8.5;9.75
+;3;36.5;Zgraggen Peter;;31;35.5;9;18.5;6;-18.0;10.0
o;3;36.5;Gander Michael;;16;55.25;10;18.25;7;-18.25;8.5
