5593-2022-05-22_99_Urner_Kant_Schwingfest3-ST

1a;Gisler Silvan;;;;;;;;;;107.5
+;;;Süssmeier Kay (2006);;;;;;;;10.0
-;;;Baumann Lukas;;;;;;;;9.0
-;1;19.0;Kälin Reto (2006);;24;52.75;3;9.75;2;-9.25;9.0
o;1;19.0;Barmettler Severin (2005);;17;54.5;4;9.0;3;-10.0;8.5
o;1;36.5;Jund Matthias;*;11;56.0;10;17.75;9;-18.75;8.5
+;1;36.5;Imgrüth Fabian (2005);;30;34.5;11;17.5;10;-19.0;10.0
o;1;55.0;Ottiger Lukas;*;13;55.5;11;27.0;10;-28.0;8.5
o;1;55.0;Felder Martin;*;11;56.0;9;27.5;8;-27.5;8.5
+;1;72.0;Pfyl Reto (2006);;23;53.0;15;35.75;14;-36.25;9.75
o;1;72.0;Ettlin Michael;;16;54.75;13;36.25;12;-35.75;8.5
o;1;90.25;Von Euw Adi;;13;55.5;14;45.5;13;-44.75;8.5
-;1;90.25;Pfyl Reto (2006);;23;53.0;19;44.25;18;-46.0;8.75

2a;Kramer Lario;***;;;;;;;;;58.5
+;;;Nötzli Reto;***;;;;;;;9.75
+;3;9.75;Durrer Nando;*;9;56.5;3;9.75;0;0.0;10.0
+;3;19.75;Egli Damian;**;7;57.0;2;20.0;-1;0.25;10.0
-;2;29.75;Arnold Stefan;**;9;56.5;3;29.5;1;-0.25;8.75
+;4;38.5;Heiniger Marco;**;9;56.5;5;38.25;1;-0.25;10.0
+;2;48.5;Kurmann Toni;*;7;57.0;3;48.25;1;-0.25;10.0

3a;Orlik Armon;***;;;;;;;;;58.0
+;;;Imhof Andi;***;;;;;;;9.75
+;3;9.75;Schöpfer Ronny;**;6;57.25;3;9.75;0;0.0;9.75
+;4;19.5;Ettlin Stefan;**;9;56.5;3;19.75;-1;0.25;10.0
+;3;29.5;Gwerder Dario;**;9;56.5;2;29.75;-1;0.25;9.75
-;2;39.25;Ambühl Joel;**;7;57.0;5;38.25;3;-1.0;8.75
+;4;48.0;Arnold Stefan;**;9;56.5;4;48.0;0;0.0;10.0

4a;Bissig Lukas;*;;;;;;;;;57.75
-;;;Jund Matthias;*;;;;;;;8.75
+;5;8.75;Ottiger Lukas;*;13;55.5;6;8.5;1;-0.25;9.75
