5596-2021-09-12_Luzerner_Kantonales_Schwingfest-ST

1a;Wicki Joel;***;;;;;;;;;59.0
+;;;Nötzli Reto;***;;;;;;;10.0
+;1;10.0;Egli Damian;**;8;56.75;1;10.0;0;0.0;10.0
+;1;20.0;Stöckli Damian;*;7;57.0;2;19.75;1;-0.25;10.0
+;1;30.0;Fellmann Roman;**;6;57.25;5;28.75;4;-1.25;10.0
-;1;40.0;Schurtenberger Sven;***;5;57.5;3;38.75;2;-1.25;9.0
+;1;49.0;Fankhauser Erich;***;4;57.75;1;49.0;0;0.0;10.0

2a;Ambühl Joel;**;;;;;;;;;58.5
o;;;Schuler Alex;***;;;;;;;8.75
+;4;8.75;Hegner Ueli;*;9;56.5;1;10.0;-3;1.25;10.0
+;5;18.75;Kaufmann Jens;;25;45.25;2;19.75;-3;1.0;10.0
+;5;28.75;Hess Dominik;*;10;56.25;5;28.75;0;0.0;9.75
+;4;38.5;Waser Dominik;**;7;57.0;4;38.5;0;0.0;10.0
+;2;48.5;Schöpfer Ronny;**;7;57.0;2;48.5;0;0.0;10.0

3a;Lang Sven;**;;;;;;;;;58.0
+;;;Arnold Marcel;*;;;;;;;10.0
o;1;10.0;Fankhauser Erich;***;4;57.75;2;9.75;1;-0.25;8.75
+;5;18.75;Müller Luca (2004);;7;57.0;1;20.0;-4;1.25;9.75
+;6;28.5;Lustenberger Tim (2005);;17;54.5;6;28.5;0;0.0;9.75
+;5;38.25;Fink Bruno;*;7;57.0;4;38.5;-1;0.25;10.0
+;3;48.25;Kurmann Toni;*;7;57.0;3;48.25;0;0.0;9.75

3b;Graber Michael;*;;;;;;;;;58.0
+;;;Zimmermann Daniel;*;;;;;;;10.0
o;1;10.0;Riebli Urs;*;10;56.25;1;10.0;0;0.0;8.5
+;6;18.5;Häller Nick;;15;55.0;2;19.75;-4;1.25;9.75
+;7;28.25;Vogler Jonas;;15;55.0;7;28.25;0;0.0;9.75
+;6;38.0;Nötzli Reto;***;13;55.5;10;37.0;4;-1.0;10.0
+;4;48.0;Egli Damian;**;8;56.75;3;48.25;-1;0.25;10.0

3c;Gäumann Stefan;**;;;;;;;;;58.0
o;;;Schurtenberger Sven;***;;;;;;;8.5
+;5;8.5;Wyrsch Silvio;*;8;56.75;5;8.5;0;0.0;9.75
+;7;18.25;Staffelbach Noah (2003);;20;53.75;3;19.5;-4;1.25;10.0
+;7;28.25;Bühlmann Daniel;;17;54.5;7;28.25;0;0.0;10.0
+;5;38.25;Lemmenmeier Lukas;*;8;56.75;4;38.5;-1;0.25;9.75
+;4;48.0;Scherrer Fabian;*;8;56.75;3;48.25;-1;0.25;10.0

4a;Fankhauser Reto;**;;;;;;;;;57.75
-;;;Durrer Nando;*;;;;;;;9.0
-;3;9.0;Bucher Roland;*;14;55.25;4;8.75;1;-0.25;8.75
+;9;17.75;Egli Severin (2004);;18;54.25;6;18.5;-3;0.75;10.0
