5605-2021-08-15_Zuger_Kantonales_Schwingfest-ST

1a;Bieri Marcel;***;;;;;;;;;58.5
+;;;Lang Sven;**;;;;;;;10.0
-;1;10.0;Schuler Christian;***;4;57.25;1;10.0;0;0.0;8.75
+;5;18.75;Arnold Stefan;**;7;56.5;2;19.75;-3;1.0;10.0
+;2;28.75;Suter Pirmin;**;8;56.25;1;29.0;-1;0.25;9.75
+;2;38.5;Odermatt Christian;**;6;56.75;3;38.25;1;-0.25;10.0
+;1;48.5;Schuler Christian;***;4;57.25;1;48.5;0;0.0;10.0

2a;Fankhauser Marco;**;;;;;;;;;58.0
-;;;Nötzli Reto;***;;;;;;;8.75
+;4;8.75;Elsener Marcel;*;11;55.5;1;10.0;-3;1.25;9.75
+;6;18.5;Barmettler Severin (2005);;13;55.0;4;19.0;-2;0.5;10.0
+;3;28.5;Bucher Thomas;*;11;55.5;4;28.25;1;-0.25;10.0
+;2;38.5;Herger Matthias;**;7;56.5;3;38.25;1;-0.25;9.75
+;2;48.25;Suter Pirmin;**;8;56.25;4;47.75;2;-0.5;9.75

3a;Schürpf Bruno;*;;;;;;;;;57.5
+;;;Hess Dominik;*;;;;;;;9.75
-;2;9.75;Egli Damian;**;8;56.25;2;9.75;0;0.0;9.0
-;5;18.75;Wicki David;;5;57.0;2;19.75;-3;1.0;8.75
+;7;27.5;Gisler Silvan;;12;55.25;4;28.25;-3;0.75;10.0
+;6;37.5;Lustenberger Marc (2003);*;10;55.75;6;37.5;0;0.0;10.0
+;5;47.5;Lustenberger Tim (2005);;10;55.75;7;47.0;2;-0.5;10.0

3b;Reichmuth Marco;**;;;;;;;;;57.5
+;;;Zimmermann Martin;***;;;;;;;9.75
+;2;9.75;Waser Christoph;*;13;55.0;1;10.0;-1;0.25;10.0
o;2;19.75;Schuler Christian;***;4;57.25;5;18.75;3;-1.0;8.5
+;4;28.25;Wyss Christian;;12;55.25;3;28.5;-1;0.25;9.75
+;4;38.0;Lemmenmeier Lukas;*;5;57.0;1;38.75;-3;0.75;9.75
+;4;47.75;Hegner Ueli;*;7;56.5;3;48.0;-1;0.25;9.75

3c;Betschart Patrick;*;;;;;;;;;57.5
-;;;Lustenberger Marc (2003);*;;;;;;;9.0
-;3;9.0;Schwyzer Samuel;*;15;54.5;5;8.5;2;-0.5;8.75
+;9;17.75;Gander Benjamin;;13;55.0;6;18.5;-3;0.75;9.75
+;7;27.5;Staub Ivan;;18;53.75;4;28.25;-3;0.75;10.0
+;6;37.5;Schöpfer Ronny;**;8;56.25;6;37.5;0;0.0;10.0
+;5;47.5;Graber Michael;*;10;55.75;7;47.0;2;-0.5;10.0

4a;Burch Jonas;**;;;;;;;;;57.25
-;;;Fellmann Roman;**;;;;;;;8.75
+;4;8.75;Scherrer Fabian;*;10;55.75;4;8.75;0;0.0;10.0
+;5;18.75;Wyss Christian;;12;55.25;1;20.0;-4;1.25;9.75
-;3;28.5;von Euw Lukas;*;9;56.0;4;28.25;1;-0.25;9.0
+;6;37.5;Waser Reto;*;13;55.0;4;38.0;-2;0.5;9.75
+;6;47.25;Duss Yvan (2003);;12;55.25;8;46.75;2;-0.5;10.0

