5623-2022-06-12_Fete_Cantonale_Vaudoise-ST

1a;Gapany Benjamin;***;;;;;;;;;59.5
+;;;Gottofrey Marc;**;;;;;;;9.75
+;2;9.75;Balimann Sandro;*;6;57.0;1;10.0;-1;0.25;10.0
+;2;19.75;Moser Steven;**;3;58.0;3;19.5;1;-0.25;10.0
+;1;29.75;Dousse Michel;**;6;57.0;5;28.5;4;-1.25;10.0
+;1;39.75;Kramer Dorian;**;10;55.75;5;38.25;4;-1.5;9.75
+;1;49.5;Kramer Lario;***;2;58.25;1;49.5;0;0.0;10.0

2a;Kramer Lario;***;;;;;;;;;58.25
+;;;Ducrest Etienne;*;;;;;;;9.75
+;2;9.75;Schläfli Hugo;*;11;55.5;1;10.0;-1;0.25;10.0
+;2;19.75;Duplan Steve;***;2;58.25;1;20.0;-1;0.25;9.75
+;2;29.5;Haenni Stéphane;**;10;55.75;5;28.5;3;-1.0;10.0
+;2;39.5;Piemontesi Pascal;**;4;57.5;3;39.0;1;-0.5;10.0
o;1;49.5;Gapany Benjamin;***;1;59.5;1;49.5;0;0.0;8.75

2b;Duplan Steve;***;;;;;;;;;58.25
+;;;Tschumi Lukas;*;;;;;;;10.0
+;1;10.0;Ducry Antoine;**;30;18.25;2;9.75;1;-0.25;10.0
o;1;20.0;Kramer Lario;***;2;58.25;2;19.75;1;-0.25;8.5
+;5;28.5;Wieland Janis;*;10;55.75;5;28.5;0;0.0;10.0
+;4;38.5;Balimann Sandro;*;6;57.0;4;38.5;0;0.0;10.0
+;2;48.5;Hofer Sven;**;7;56.75;3;48.25;1;-0.25;9.75

3a;Moser Steven;**;;;;;;;;;58.0
+;;;Zürcher Remo;*;;;;;;;9.75
+;2;9.75;Colò Kilian;**;7;56.75;2;9.75;0;0.0;9.75
o;3;19.5;Gapany Benjamin;***;1;59.5;2;19.75;-1;0.25;8.5
+;7;28.0;Loup Grégoire;;12;55.25;6;28.25;-1;0.25;10.0
+;6;38.0;Loup Alexandre;*;12;55.25;6;38.0;0;0.0;10.0
+;4;48.0;Borcard Johann;**;7;56.75;3;48.25;-1;0.25;10.0

4a;Piemontesi Pascal;**;;;;;;;;;57.5
+;;;Emonet Frédéric;**;;;;;;;10.0
+;1;10.0;Wieland Janis;*;10;55.75;1;10.0;0;0.0;10.0
-;1;20.0;Sturny Nicolas;**;7;56.75;3;19.5;2;-0.5;9.0
+;3;29.0;Maridor Loic;;17;54.0;5;28.5;2;-0.5;10.0
o;3;39.0;Kramer Lario;***;2;58.25;2;39.5;-1;0.5;8.5
+;5;47.5;Sudan Jonathan;;12;55.25;8;46.75;3;-0.75;10.0

5a;Martin Gaël (2004);;;;;;;;;;57.25
+;;;Portmann Fabio;*;;;;;;;10.0
o;1;10.0;Grossenbacher Simon;*;9;56.0;4;8.5;3;-1.5;8.75
+;4;18.75;Imhasly Jorin;;17;54.0;5;18.5;1;-0.25;10.0
o;4;28.75;Sturny Nicolas;**;7;56.75;6;28.25;2;-0.5;8.5
+;9;37.25;Maridor Loic;;17;54.0;10;37.0;1;-0.25;10.0
+;6;47.25;Bapst Ludovic;;12;55.25;8;46.75;2;-0.5;10.0

6a;Balimann Sandro;*;;;;;;;;;57.0
+;;;Hayoz Quentin;*;;;;;;;10.0
o;1;10.0;Gapany Benjamin;***;1;59.5;2;9.75;1;-0.25;8.5
+;5;18.5;Vaucher Rémy;;16;54.25;4;18.75;-1;0.25;10.0
+;5;28.5;Suchet Jonathan (2005);;17;54.0;6;28.25;1;-0.25;10.0
o;4;38.5;Duplan Steve;***;2;58.25;4;38.5;0;0.0;8.5
+;7;47.0;Tschumi Daniel (2005);;11;55.5;8;46.75;1;-0.25;10.0

6b;Dousse Michel;**;;;;;;;;;57.0
o;;;Hofer Sven;**;;;;;;;8.5
+;4;8.5;Lengen Michael (2005);;13;55.0;2;9.75;-2;1.25;10.0
+;5;18.5;Varone Luc;*;11;55.5;5;18.5;0;0.0;10.0
o;5;28.5;Gapany Benjamin;***;1;59.5;1;29.75;-4;1.25;8.5
+;10;37.0;Bapst Ludovic;;12;55.25;5;38.25;-5;1.25;10.0
+;7;47.0;Wieland Janis;*;10;55.75;7;47.0;0;0.0;10.0

6c;Baeriswyl Christoph;**;;;;;;;;;57.0
o;;;Borcard Johann;**;;;;;;;8.75
+;3;8.75;Tschumi Daniel (2005);;11;55.5;2;9.75;-1;1.0;9.75
+;5;18.5;Pasquier Loïc;*;17;54.0;5;18.5;0;0.0;9.75
+;6;28.25;Barras François;*;12;55.25;6;28.25;0;0.0;9.75
+;6;38.0;Siegenthaler Leo (2005);;8;56.25;7;37.75;1;-0.25;10.0
-;4;48.0;Kramer Dorian;**;10;55.75;8;46.75;4;-1.25;9.0

7a;Colò Kilian;**;;;;;;;;;56.75
+;;;Grossenbacher Simon;*;;;;;;;9.75
o;2;9.75;Moser Steven;**;3;58.0;2;9.75;0;0.0;8.5
+;6;18.25;Balimann Fabian;;11;55.5;5;18.5;-1;0.25;10.0
o;6;28.25;Tschumi Lukas;*;7;56.75;6;28.25;0;0.0;8.5
+;11;36.75;Wieland Timon;;13;55.0;12;36.5;1;-0.25;10.0
+;8;46.75;Riedo Fredy;*;11;55.5;7;47.0;-1;0.25;10.0

7b;Hofer Sven;**;;;;;;;;;56.75
+;;;Dousse Michel;**;;;;;;;9.75
+;2;9.75;Gottofrey Luc;*;7;56.75;1;10.0;-1;0.25;9.75
-;3;19.5;Borcard Johann;**;7;56.75;2;19.75;-1;0.25;8.75
+;6;28.25;Germanier Joel;;11;55.5;5;28.5;-1;0.25;10.0
+;5;38.25;Rogivue Théo;*;12;55.25;5;38.25;0;0.0;10.0
o;3;48.25;Duplan Steve;***;2;58.25;2;48.5;-1;0.25;8.5

7c;Tornare Paul;;;;;;;;;;56.75
o;;;Monney Branighan;;;;;;;;8.5
+;4;8.5;Schmid Silvan;;12;55.25;4;8.5;0;0.0;10.0
o;5;18.5;Rogivue Théo;*;12;55.25;6;18.25;1;-0.25;8.5
+;10;27.0;Capt Stéphane;;19;53.5;11;26.75;1;-0.25;10.0
+;10;37.0;Varone Luc;*;11;55.5;10;37.0;0;0.0;10.0
+;7;47.0;Bucher Roman;;13;55.0;9;46.5;2;-0.5;9.75

7d;Gottofrey Luc;*;;;;;;;;;56.75
+;;;Pasquier Loïc;*;;;;;;;10.0
o;1;10.0;Hofer Sven;**;7;56.75;2;9.75;1;-0.25;8.5
+;5;18.5;Berger Dilan;;28;35.75;4;18.75;-1;0.25;9.75
+;6;28.25;Fuchs Sylvain (2005);;16;54.25;6;28.25;0;0.0;9.75
-;6;38.0;Sturny Nicolas;**;7;56.75;6;38.0;0;0.0;8.75
+;8;46.75;Leuenberger Gian (2005);;13;55.0;9;46.5;1;-0.25;10.0

7e;Tschumi Lukas;*;;;;;;;;;56.75
o;;;Duplan Steve;***;;;;;;;8.5
+;4;8.5;Bapst Ludovic;;12;55.25;2;9.75;-2;1.25;9.75
+;6;18.25;Dorsaz Théo;*;11;55.5;5;18.5;-1;0.25;10.0
+;6;28.25;Colò Kilian;**;7;56.75;6;28.25;0;0.0;10.0
-;5;38.25;Gottofrey Marc;**;9;56.0;5;38.25;0;0.0;8.75
+;7;47.0;Loup Grégoire;;12;55.25;8;46.75;1;-0.25;9.75

7f;Borcard Johann;**;;;;;;;;;56.75
+;;;Baeriswyl Christoph;**;;;;;;;10.0
+;1;10.0;Rogivue Théo;*;12;55.25;2;9.75;1;-0.25;9.75
-;2;19.75;Hofer Sven;**;7;56.75;3;19.5;1;-0.25;8.75
+;5;28.5;Bucher Roman;;13;55.0;2;29.5;-3;1.0;9.75
+;5;38.25;Schläfli Hugo;*;11;55.5;5;38.25;0;0.0;10.0
o;3;48.25;Moser Steven;**;3;58.0;4;48.0;1;-0.25;8.5

7g;Sturny Nicolas;**;;;;;;;;;56.75
+;;;Varone Luc;*;;;;;;;9.75
+;2;9.75;Loup Alexandre;*;12;55.25;2;9.75;0;0.0;9.75
-;3;19.5;Piemontesi Pascal;**;4;57.5;1;20.0;-2;0.5;8.75
+;6;28.25;Martin Gaël (2004);;5;57.25;4;28.75;-2;0.5;9.75
-;6;38.0;Gottofrey Luc;*;7;56.75;6;38.0;0;0.0;8.75
+;8;46.75;Z'Rotz Roman;;12;55.25;8;46.75;0;0.0;10.0

8a;Siegenthaler Leo (2005);;;;;;;;;;56.25
+;;;Cochrane Benjamin;;;;;;;;9.75
o;2;9.75;Hayoz Quentin;*;11;55.5;4;8.5;2;-1.25;8.5
+;6;18.25;Tschumi Daniel (2005);;11;55.5;6;18.25;0;0.0;9.75
+;7;28.0;Pürro David;*;17;54.0;9;27.25;2;-0.75;9.75
o;7;37.75;Baeriswyl Christoph;**;6;57.0;6;38.0;-1;0.25;8.5
+;10;46.25;Crettaz Olivier;*;15;54.5;11;46.0;1;-0.25;10.0

8b;Emonet Frédéric;**;;;;;;;;;56.25
o;;;Piemontesi Pascal;**;;;;;;;8.5
+;4;8.5;Z'Rotz Roman;;12;55.25;2;9.75;-2;1.25;9.75
+;6;18.25;Röthlisberger Sven;;18;53.75;6;18.25;0;0.0;9.75
o;7;28.0;Kramer Dorian;**;10;55.75;5;28.5;-2;0.5;8.5
+;12;36.5;Burri Flemming;;19;53.5;12;36.5;0;0.0;10.0
+;9;46.5;Rogivue Théo;*;12;55.25;8;46.75;-1;0.25;9.75

9a;Gottofrey Marc;**;;;;;;;;;56.0
o;;;Gapany Benjamin;***;;;;;;;8.5
+;4;8.5;Sudan Jonathan;;12;55.25;1;10.0;-3;1.5;10.0
+;5;18.5;Leuenberger Gian (2005);;13;55.0;2;19.75;-3;1.25;10.0
+;5;28.5;Dubey Gaël;*;13;55.0;5;28.5;0;0.0;9.75
-;5;38.25;Tschumi Lukas;*;7;56.75;5;38.25;0;0.0;8.75
-;7;47.0;Hayoz Quentin;*;11;55.5;9;46.5;2;-0.5;9.0

9b;Grossenbacher Simon;*;;;;;;;;;56.0
o;;;Colò Kilian;**;;;;;;;8.5
+;4;8.5;Martin Gaël (2004);;5;57.25;1;10.0;-3;1.5;9.75
-;6;18.25;Zbinden Dario (2004);*;12;55.25;5;18.5;-1;0.25;9.0
+;9;27.25;Mermillod Jérôme (2004);;16;54.25;5;28.5;-4;1.25;10.0
+;9;37.25;Bucher Roman;;13;55.0;6;38.0;-3;0.75;9.75
-;7;47.0;Haenni Stéphane;**;10;55.75;8;46.75;1;-0.25;9.0

9c;Dufey Gil;*;;;;;;;;;56.0
-;;;Crettaz Olivier;*;;;;;;;8.75
+;3;8.75;Hochuli Samuel;;17;54.0;1;10.0;-2;1.25;10.0
