5628-2022-07-24_Fete_Cantonale_Fribourgeoise-ST

1a;Kramer Lario;***;;;;;;;;;59.5
+;;;Burger Matthieu;**;;;;;;;9.75
+;2;9.75;Emonet Frédéric;**;10;55.25;2;9.75;0;0.0;10.0
+;2;19.75;Duplan Steve;***;4;56.75;2;19.75;0;0.0;9.75
+;1;29.5;Haenni Stéphane;**;6;56.25;2;28.75;1;-0.75;10.0
+;1;39.5;Matthey Mickaël;**;2;57.25;2;38.5;1;-1.0;10.0
+;1;49.5;Gapany Benjamin;***;3;57.0;3;48.25;2;-1.25;10.0

2a;Ducrest Etienne;*;;;;;;;;;57.25
+;;;Dorsaz Théo;*;;;;;;;9.75
o;2;9.75;Gnägi Florian;***;24;48.5;4;8.75;2;-1.0;8.5
+;6;18.25;Mermillod Jérôme (2004);;15;54.0;5;18.5;-1;0.25;10.0
+;4;28.25;Siegenthaler Leo (2005);**;5;56.5;4;28.25;0;0.0;10.0
-;3;38.25;Gottofrey Luc;*;4;56.75;4;38.0;1;-0.25;9.0
+;6;47.25;Wiget Adrian (2004);;10;55.25;8;46.75;2;-0.5;10.0

2b;Matthey Mickaël;**;;;;;;;;;57.25
o;;;Baeriswyl Christoph;**;;;;;;;8.5
+;5;8.5;Barras André;*;5;56.5;2;9.75;-3;1.25;10.0
+;5;18.5;Vonlanthen Alexandre;;13;54.5;4;18.75;-1;0.25;10.0
+;3;28.5;Pasquier Loïc;*;9;55.5;3;28.5;0;0.0;10.0
o;2;38.5;Kramer Lario;***;1;59.5;1;39.5;-1;1.0;8.75
+;6;47.25;Tornare Paul;*;9;55.5;7;47.0;1;-0.25;10.0

3a;Gapany Benjamin;***;;;;;;;;;57.0
-;;;Gnägi Florian;***;;;;;;;8.75
+;4;8.75;Riedo Fredy;*;5;56.5;2;9.75;-2;1.0;10.0
+;4;18.75;Baeriswyl Christoph;**;6;56.25;3;19.5;-1;0.75;10.0
+;2;28.75;Dousse Michel;**;7;56.0;2;28.75;0;0.0;9.75
+;2;38.5;Collaud Romain;**;3;57.0;2;38.5;0;0.0;9.75
o;3;48.25;Kramer Lario;***;1;59.5;1;49.5;-2;1.25;8.75

3b;Collaud Romain;**;;;;;;;;;57.0
+;;;Siegenthaler Leo (2005);**;;;;;;;10.0
+;1;10.0;Balimann Sandro;*;7;56.0;2;9.75;1;-0.25;10.0
o;1;20.0;Gnägi Florian;***;24;48.5;4;18.75;3;-1.25;8.5
+;3;28.5;Rogivue Théo;*;10;55.25;4;28.25;1;-0.25;10.0
o;2;38.5;Gapany Benjamin;***;3;57.0;2;38.5;0;0.0;8.5
+;7;47.0;Dorsaz Théo;*;8;55.75;6;47.25;-1;0.25;10.0

3c;Hofer Sven;**;;;;;;;;;57.0
-;;;Haenni Stéphane;**;;;;;;;8.75
+;4;8.75;Erb Vincent;;18;53.25;1;10.0;-3;1.25;9.75
+;5;18.5;Dubey Gaël;*;14;54.25;5;18.5;0;0.0;10.0
+;3;28.5;Borcard Johann;**;5;56.5;4;28.25;1;-0.25;10.0
o;2;38.5;Gnägi Florian;***;24;48.5;2;38.5;0;0.0;8.5
+;7;47.0;Bucher Adrian (2004);;10;55.25;8;46.75;1;-0.25;10.0

4a;Zbinden Lukas;;;;;;;;;;56.75
+;;;Verdon Simon (2005);;;;;;;;10.0
o;1;10.0;Haenni Stéphane;**;6;56.25;3;9.0;2;-1.0;8.5
+;5;18.5;Fuchs Sylvain (2005);;11;55.0;5;18.5;0;0.0;10.0
o;3;28.5;Derron Cédric;*;9;55.5;8;27.0;5;-1.5;8.5
+;8;37.0;Loup Grégoire;;13;54.5;7;37.25;-1;0.25;9.75
+;8;46.75;Kramer Dorian;**;8;55.75;6;47.25;-2;0.5;10.0

4b;Duplan Steve;***;;;;;;;;;56.75
+;;;Gnägi Damian;*;;;;;;;9.75
+;2;9.75;Ducry Antoine;**;10;55.25;2;9.75;0;0.0;10.0
o;2;19.75;Kramer Lario;***;1;59.5;2;19.75;0;0.0;8.75
o;3;28.5;Kramer Dorian;**;8;55.75;2;28.75;-1;0.25;8.5
+;8;37.0;Sturny Nicolas;**;10;55.25;3;38.25;-5;1.25;10.0
+;7;47.0;Dousse Michel;**;7;56.0;6;47.25;-1;0.25;9.75

4c;Gottofrey Luc;*;;;;;;;;;56.75
+;;;Derron Cédric;*;;;;;;;9.75
+;2;9.75;Pasquier Loïc;*;9;55.5;2;9.75;0;0.0;9.75
o;3;19.5;Burger Matthieu;**;4;56.75;6;18.25;3;-1.25;8.5
+;5;28.0;Clément Aurélien;;10;55.25;4;28.25;-1;0.25;10.0
-;4;38.0;Ducrest Etienne;*;2;57.25;3;38.25;-1;0.25;8.75
+;8;46.75;Bapst Ludovic;;11;55.0;9;46.5;1;-0.25;10.0

4d;Burger Matthieu;**;;;;;;;;;56.75
o;;;Kramer Lario;***;;;;;;;8.5
+;5;8.5;Grossenbacher Simon;*;5;56.5;2;9.75;-3;1.25;9.75
+;6;18.25;Gottofrey Luc;*;4;56.75;3;19.5;-3;1.25;9.75
+;5;28.0;Wieland Janis;*;9;55.5;3;28.5;-2;0.5;10.0
-;4;38.0;Kramer Dorian;**;8;55.75;2;38.5;-2;0.5;9.0
+;7;47.0;Derron Cédric;*;9;55.5;7;47.0;0;0.0;9.75

4e;Moser Steven;**;;;;;;;;;56.75
-;;;Gottofrey Marc;**;;;;;;;8.75
+;4;8.75;Varone Luc;*;14;54.25;1;10.0;-3;1.25;9.75
+;5;18.5;Collaud Bastien (2005);;10;55.25;2;19.75;-3;1.25;10.0
o;3;28.5;Gnägi Florian;***;24;48.5;3;28.5;0;0.0;8.5
+;8;37.0;Dubey Gaël;*;14;54.25;8;37.0;0;0.0;10.0
+;7;47.0;Ducry Antoine;**;10;55.25;8;46.75;1;-0.25;9.75

5a;Siegenthaler Leo (2005);**;;;;;;;;;56.5
o;;;Collaud Romain;**;;;;;;;8.5
+;5;8.5;Fuchs Yannick;;8;55.75;2;9.75;-3;1.25;10.0
+;5;18.5;Loup Alexandre;*;13;54.5;5;18.5;0;0.0;9.75
o;4;28.25;Ducrest Etienne;*;2;57.25;4;28.25;0;0.0;8.5
+;9;36.75;Dufey Gil;*;8;55.75;7;37.25;-2;0.5;10.0
+;8;46.75;Clément Aurélien;;10;55.25;8;46.75;0;0.0;9.75

5b;Balimann Fabian;;;;;;;;;;56.5
o;;;Wiget Adrian (2004);;;;;;;;8.5
+;5;8.5;Berger Dilan;;17;53.5;3;9.0;-2;0.5;10.0
+;5;18.5;Sonnay Thomas;**;14;54.25;7;17.5;2;-1.0;9.75
o;4;28.25;Varone Luc;*;14;54.25;7;27.25;3;-1.0;8.5
